"","symbol","date","open","high","low","close","volume","adjusted"
"1","MCD",2016-01-04,117.25,117.730003,115.870003,117.580002,9995000,101.006073
"2","MCD",2016-01-05,117.410004,119.230003,117.290001,119.199997,6314000,102.39772
"3","MCD",2016-01-06,118,119.269997,117.809998,118.400002,6543800,101.710472
"4","MCD",2016-01-07,117.440002,117.970001,115.589996,115.660004,7477900,99.35672
"5","MCD",2016-01-08,115.75,117.470001,115.260002,115.480003,6103400,99.202095
"6","MCD",2016-01-11,115.650002,117.059998,115.580002,116.690002,6392400,100.241524
"7","MCD",2016-01-12,117.029999,117.739998,116.169998,117.440002,5639700,100.885811
"8","MCD",2016-01-13,117.690002,117.870003,115.080002,115.120003,6986000,98.89283
"9","MCD",2016-01-14,115.589996,117.129997,113,116.620003,9204500,100.181404
"10","MCD",2016-01-15,114.260002,116.449997,114.209999,115.18,10201900,98.944397
"11","MCD",2016-01-19,116.629997,117.709999,115.959999,117.5,9195300,100.93734
"12","MCD",2016-01-20,116.970001,118,114.379997,115.779999,11905200,99.459785
"13","MCD",2016-01-21,116.510002,118.440002,115.790001,117.839996,9839100,101.229424
"14","MCD",2016-01-22,118.440002,118.75,117.370003,118.400002,9016600,101.710472
"15","MCD",2016-01-25,121.849998,121.900002,118.199997,119.199997,15141500,102.39772
"16","MCD",2016-01-26,119.599998,121.300003,119,120.43,8326100,103.45433
"17","MCD",2016-01-27,120.879997,121.620003,119.830002,120.870003,7409000,103.832321
"18","MCD",2016-01-28,121.099998,122.599998,120.199997,122.379997,7460500,105.129463
"19","MCD",2016-01-29,122.769997,124.349998,122.75,123.779999,10549900,106.332123
"20","MCD",2016-02-01,123.080002,124.830002,123.019997,124.610001,6189900,107.04512
"21","MCD",2016-02-02,124.050003,124.339996,123.099998,123.949997,7653000,106.478157
"22","MCD",2016-02-03,124.360001,124.580002,120.839996,121.470001,9327000,104.34774
"23","MCD",2016-02-04,121.040001,121.239998,118.720001,120.660004,7595000,103.651932
"24","MCD",2016-02-05,120.650002,120.650002,114.959999,115.400002,13261700,99.133347
"25","MCD",2016-02-08,114.050003,116.360001,112.709999,116.050003,11311500,99.69175
"26","MCD",2016-02-09,115.540001,117.800003,115.349998,117.010002,7525700,100.516403
"27","MCD",2016-02-10,118.019997,118.529999,117.260002,117.540001,5726300,100.97171
"28","MCD",2016-02-11,115.739998,117.5,115.690002,116.730003,7568600,100.275909
"29","MCD",2016-02-12,116.720001,118.330002,116.099998,117.93,8552800,101.306732
"30","MCD",2016-02-16,118.419998,119.18,117.599998,119.18,10835800,102.380554
"31","MCD",2016-02-17,119.18,119.400002,116.720001,118.639999,12729000,101.916649
"32","MCD",2016-02-18,118.809998,119.459999,116.93,117.169998,9707100,100.653862
"33","MCD",2016-02-19,117,117.349998,115.809998,116.529999,10793700,100.104073
"34","MCD",2016-02-22,116.529999,118.160004,116.529999,117.669998,6223300,101.083374
"35","MCD",2016-02-23,117.349998,118.150002,116.849998,116.900002,5276700,100.421921
"36","MCD",2016-02-24,116.32,117.330002,115.800003,117.059998,5349800,100.559357
