"","symbol","date","open","high","low","close","volume","adjusted"
"1","MDC",2016-01-04,21.647804,21.647804,20.944786,21.193417,1079970,16.870365
"2","MDC",2016-01-05,21.193417,21.433472,21.004801,21.313442,975810,16.965906
"3","MDC",2016-01-06,21.05624,21.270576,20.627571,20.79904,739381,16.556433
"4","MDC",2016-01-07,20.250343,20.713306,19.907408,20.044582,1616397,15.955869
"5","MDC",2016-01-08,20.190329,20.207476,19.161524,19.23011,1000188,15.307537
"6","MDC",2016-01-11,19.350138,19.598764,19.255831,19.48731,747079,15.512268
"7","MDC",2016-01-12,19.641632,19.847395,19.058641,19.564472,581917,15.573693
"8","MDC",2016-01-13,19.564472,20.027435,18.938616,19.067215,1173398,15.177865
"9","MDC",2016-01-14,19.135801,19.144377,18.467077,18.758574,1053143,14.932178
"10","MDC",2016-01-15,18.19273,18.741426,18.038408,18.604252,793502,14.809341
"11","MDC",2016-01-19,18.810015,18.861454,17.986967,18.19273,1028298,14.481759
"12","MDC",2016-01-20,17.558298,17.824074,16.820988,17.592592,2319503,14.004037
"13","MDC",2016-01-21,17.626886,18.141289,17.532579,17.71262,1650923,14.099582
"14","MDC",2016-01-22,17.969822,18.552813,17.926954,18.338476,1706210,14.597778
"15","MDC",2016-01-25,18.312757,18.312757,17.609739,17.686899,658200,14.079108
"16","MDC",2016-01-26,17.841221,18.424212,17.481138,18.312757,754894,14.577302
"17","MDC",2016-01-27,18.304184,18.407064,17.969822,18.046982,766675,14.36574
"18","MDC",2016-01-28,18.29561,18.535666,17.935528,17.995543,914108,14.324793
"19","MDC",2016-01-29,18.098421,18.664267,18.038408,18.655693,1381134,14.850286
"20","MDC",2016-02-01,18.501371,18.870028,18.338476,18.595678,1564959,14.802517
"21","MDC",2016-02-02,18.364199,18.415638,17.678326,17.746914,1240583,14.126884
"22","MDC",2016-02-03,18.167009,18.732853,17.326818,17.772635,2530155,14.147355
"23","MDC",2016-02-04,17.729767,18.758574,17.729767,18.509945,1626778,14.734268
"24","MDC",2016-02-05,18.407064,18.638546,18.098421,18.287037,1343460,14.55683
"25","MDC",2016-02-08,17.806927,18.029835,17.198217,17.352537,1173982,13.976769
"26","MDC",2016-02-09,17.112482,17.309671,16.743828,16.949589,1365038,13.652208
"27","MDC",2016-02-10,17.146776,17.558298,16.906721,17.223936,774606,13.873179
