"","symbol","date","open","high","low","close","volume","adjusted"
"1","MDU",2016-01-04,18.07,18.379999,17.93,18.200001,1539400,15.158287
"2","MDU",2016-01-05,18.200001,18.65,17.91,18.540001,1170800,15.441467
"3","MDU",2016-01-06,18.200001,18.51,18.1,18.26,1282400,15.208259
"4","MDU",2016-01-07,17.9,18.049999,17.43,17.52,1012600,14.591936
"5","MDU",2016-01-08,17.559999,17.790001,17.35,17.5,1211500,14.575277
"6","MDU",2016-01-11,17.530001,17.610001,17.27,17.43,702900,14.516977
"7","MDU",2016-01-12,17.540001,17.540001,16.780001,17.049999,922500,14.200486
"8","MDU",2016-01-13,17.049999,17.24,16.469999,16.75,1557100,13.950625
"9","MDU",2016-01-14,16.719999,17.34,16.610001,17.190001,1451600,14.317085
"10","MDU",2016-01-15,16.74,16.74,16.049999,16.389999,1881300,13.650788
"11","MDU",2016-01-19,16.52,16.809999,16.299999,16.690001,1245400,13.900653
"12","MDU",2016-01-20,16.450001,16.52,15.58,16.24,1436100,13.525855
"13","MDU",2016-01-21,16.209999,16.43,15.95,16.290001,1376200,13.567501
"14","MDU",2016-01-22,16.59,16.870001,16.42,16.719999,1234300,13.925633
"15","MDU",2016-01-25,16.59,16.629999,16.110001,16.18,1225200,13.475885
"16","MDU",2016-01-26,16.309999,16.629999,16.08,16.24,2128900,13.525855
"17","MDU",2016-01-27,16.219999,16.57,16.110001,16.389999,1555000,13.650788
"18","MDU",2016-01-28,16.57,16.690001,15.74,16.030001,4106700,13.350955
"19","MDU",2016-01-29,16.129999,16.9,16.129999,16.879999,4427200,14.058892
"20","MDU",2016-02-01,16.790001,17.25,16.719999,17.08,1937800,14.22547
"21","MDU",2016-02-02,16.959999,17.059999,16.58,16.889999,1926900,14.067225
"22","MDU",2016-02-03,17.02,17.52,16.9,17.34,2779400,14.442015
"23","MDU",2016-02-04,16.84,17.370001,16.66,17.1,2437200,14.242129
"24","MDU",2016-02-05,16.82,17.440001,16.77,16.790001,2610700,13.983937
"25","MDU",2016-02-08,16.73,16.879999,16.129999,16.280001,2016300,13.559174
"26","MDU",2016-02-09,16.27,16.68,16.17,16.43,1680800,13.684102
"27","MDU",2016-02-10,16.540001,16.719999,16.309999,16.549999,1507700,13.784048
"28","MDU",2016-02-11,16.48,16.540001,16.24,16.309999,1176400,13.584161
"29","MDU",2016-02-12,16.370001,16.639999,16.09,16.459999,926900,13.70909
"30","MDU",2016-02-16,16.58,17.02,16.469999,16.959999,970900,14.125525
"31","MDU",2016-02-17,17,17.41,16.940001,17.290001,862300,14.400371
"32","MDU",2016-02-18,17.360001,17.75,17.27,17.610001,1021100,14.666896
"33","MDU",2016-02-19,17.48,17.6,17.26,17.4,574800,14.491986
"34","MDU",2016-02-22,17.620001,17.799999,17.6,17.780001,691100,14.808481
"35","MDU",2016-02-23,17.68,17.870001,17.49,17.68,690300,14.725198
"36","MDU",2016-02-24,17.559999,18.120001,17.459999,18.07,1432900,15.050015
"37","MDU",2016-02-25,18.120001,18.43,18.07,18.25,787000,15.199931
"38","MDU",2016-02-26,18.34,18.58,18.129999,18.190001,1068800,15.149959
"39","MDU",2016-02-29,18.16,18.4,18.059999,18.209999,1098900,15.166619
"40","MDU",2016-03-01,18.379999,18.469999,18.030001,18.17,1217600,15.133301
"41","MDU",2016-03-02,18.08,18.34,17.790001,18.280001,1509600,15.224917
"42","MDU",2016-03-03,18.34,18.459999,18.190001,18.35,1299900,15.283217
"43","MDU",2016-03-04,18.34,18.93,18.309999,18.74,1563900,15.608041
"44","MDU",2016-03-07,18.719999,19.15,18.66,18.959999,1442800,15.791268
"45","MDU",2016-03-08,18.620001,18.84,18.389999,18.5,983100,15.562461
"46","MDU",2016-03-09,18.6,18.73,18.469999,18.6,951500,15.646583
"47","MDU",2016-03-10,18.639999,18.68,18.209999,18.450001,1012700,15.520397
"48","MDU",2016-03-11,18.57,19.02,18.57,18.75,1024400,15.772766
"49","MDU",2016-03-14,18.639999,18.74,18.34,18.620001,656400,15.66341
"50","MDU",2016-03-15,18.540001,18.610001,18.360001,18.440001,635300,15.511991
"51","MDU",2016-03-16,18.370001,18.68,18.25,18.629999,1027900,15.671816
"52","MDU",2016-03-17,18.68,19.24,18.66,19.200001,623200,16.151306
"53","MDU",2016-03-18,19.18,19.450001,18.93,19.02,1735300,15.999893
"54","MDU",2016-03-21,18.99,19.110001,18.82,19.09,629900,16.058777
"55","MDU",2016-03-22,18.99,19.34,18.93,19.209999,1017900,16.159721
"56","MDU",2016-03-23,19.209999,19.209999,18.66,18.85,859600,15.856888
"57","MDU",2016-03-24,18.700001,18.959999,18.389999,18.940001,837600,15.932597
"58","MDU",2016-03-28,18.969999,19.02,18.77,18.879999,559800,15.882122
"59","MDU",2016-03-29,18.870001,19.5,18.76,19.48,1193300,16.386848
"60","MDU",2016-03-30,19.540001,19.549999,19.23,19.459999,779600,16.370028
"61","MDU",2016-03-31,19.459999,19.530001,19.17,19.459999,1097800,16.370028
"62","MDU",2016-04-01,19.33,19.52,19.040001,19.42,1163900,16.336378
"63","MDU",2016-04-04,19.41,19.41,19.120001,19.35,1200300,16.277491
"64","MDU",2016-04-05,19.219999,19.27,18.84,18.91,2018400,15.907355
"65","MDU",2016-04-06,18.93,19.139999,18.76,19.129999,722000,16.092424
"66","MDU",2016-04-07,19.040001,19.209999,18.700001,18.91,999800,15.907355
"67","MDU",2016-04-08,19.09,19.299999,19.02,19.110001,492700,16.0756
"68","MDU",2016-04-11,19.16,19.52,19.120001,19.309999,1126600,16.243843
"69","MDU",2016-04-12,19.379999,19.67,19.27,19.48,721200,16.386848
"70","MDU",2016-04-13,19.629999,19.639999,19.27,19.59,666400,16.479389
"71","MDU",2016-04-14,19.620001,19.66,19.469999,19.57,390600,16.462557
"72","MDU",2016-04-15,19.52,19.77,19.459999,19.76,625200,16.622389
"73","MDU",2016-04-18,19.59,19.77,19.440001,19.76,677700,16.622389
"74","MDU",2016-04-19,19.809999,19.969999,19.700001,19.9,572800,16.74016
"75","MDU",2016-04-20,19.93,20,19.639999,19.67,588800,16.546682
"76","MDU",2016-04-21,19.709999,19.709999,19.309999,19.370001,727200,16.294321
"77","MDU",2016-04-22,19.43,19.719999,19.43,19.58,613700,16.470972
"78","MDU",2016-04-25,19.57,19.65,19.280001,19.49,651700,16.39526
"79","MDU",2016-04-26,19.530001,19.77,19.4,19.709999,807500,16.58033
"80","MDU",2016-04-27,19.76,20.1,19.610001,19.91,690700,16.748577
"81","MDU",2016-04-28,19.709999,20.01,19.59,19.76,830800,16.622389
"82","MDU",2016-04-29,19.75,20.08,19.709999,20.059999,1303100,16.874756
"83","MDU",2016-05-02,20.059999,20.16,19.870001,20.09,711100,16.899988
"84","MDU",2016-05-03,20,20.059999,19.73,20.01,829600,16.832693
"85","MDU",2016-05-04,19.809999,20.74,19.809999,20.6,1184400,17.329012
"86","MDU",2016-05-05,20.700001,21.15,20.450001,20.57,771300,17.303772
"87","MDU",2016-05-06,20.469999,20.93,20.42,20.9,920500,17.581379
"88","MDU",2016-05-09,20.870001,20.99,20.549999,20.83,798700,17.522493
"89","MDU",2016-05-10,20.9,21.139999,20.809999,21.120001,801600,17.766441
"90","MDU",2016-05-11,21.049999,21.459999,21.049999,21.459999,946200,18.052452
"91","MDU",2016-05-12,21.5,21.879999,21.42,21.870001,1534800,18.397356
"92","MDU",2016-05-13,21.85,21.92,21.65,21.85,1037500,18.380526
"93","MDU",2016-05-16,21.879999,22.09,21.77,22.049999,887800,18.548771
"94","MDU",2016-05-17,21.99,22.09,21.68,21.809999,925100,18.346878
"95","MDU",2016-05-18,21.74,21.82,21.190001,21.290001,828500,17.909451
"96","MDU",2016-05-19,21.129999,21.530001,20.940001,21.459999,621800,18.052452
"97","MDU",2016-05-20,21.48,21.700001,21.48,21.620001,643600,18.187054
"98","MDU",2016-05-23,21.620001,21.690001,21.450001,21.450001,503500,18.044041
"99","MDU",2016-05-24,21.540001,21.77,21.48,21.74,531700,18.287998
"100","MDU",2016-05-25,21.809999,22.110001,21.620001,21.889999,780700,18.414173
"101","MDU",2016-05-26,21.93,22.139999,21.870001,21.959999,544200,18.473057
"102","MDU",2016-05-27,22.01,22.08,21.85,22.040001,534800,18.540359
"103","MDU",2016-05-31,22.450001,22.969999,22.299999,22.870001,1362700,19.238567
"104","MDU",2016-06-01,22.809999,22.860001,22.540001,22.74,745100,19.129211
"105","MDU",2016-06-02,22.67,23.07,22.67,23.040001,853100,19.381577
"106","MDU",2016-06-03,23.059999,23.219999,22.889999,23.07,776400,19.406805
"107","MDU",2016-06-06,23.190001,23.35,23,23.09,814000,19.423634
"108","MDU",2016-06-07,22.99,23.120001,22.950001,23.08,862300,19.574602
"109","MDU",2016-06-08,23.17,23.59,23.15,23.43,793400,19.871441
"110","MDU",2016-06-09,23.379999,23.65,23.25,23.6,659200,20.015625
"111","MDU",2016-06-10,23.469999,23.629999,23.08,23.120001,738200,19.608524
"112","MDU",2016-06-13,23.16,23.41,23.049999,23.17,760300,19.650928
"113","MDU",2016-06-14,23.17,23.209999,22.92,23.07,704300,19.566116
"114","MDU",2016-06-15,23.129999,23.23,22.809999,22.860001,904200,19.388018
"115","MDU",2016-06-16,22.83,23.02,22.58,22.99,679900,19.498262
"116","MDU",2016-06-17,22.959999,23.24,22.950001,23.24,1451600,19.710299
"117","MDU",2016-06-20,23.440001,23.65,23.4,23.49,788000,19.922331
"118","MDU",2016-06-21,23.530001,23.629999,23.34,23.52,773500,19.947773
"119","MDU",2016-06-22,23.610001,23.620001,23.26,23.26,598600,19.727257
"120","MDU",2016-06-23,23.49,23.73,23.440001,23.73,583000,20.125875
"121","MDU",2016-06-24,22.940001,23.790001,22.719999,23.530001,1453100,19.956255
"122","MDU",2016-06-27,23.35,23.41,22.84,23.219999,1264000,19.693335
"123","MDU",2016-06-28,23.360001,23.5,22.84,23.4,1828400,19.845991
"124","MDU",2016-06-29,23.58,23.68,23.07,23.25,1342100,19.718777
"125","MDU",2016-06-30,23.299999,24.01,23.209999,24,1669000,20.354868
"126","MDU",2016-07-01,24.01,24.309999,23.76,24.27,1424900,20.583868
"127","MDU",2016-07-05,24.26,24.51,24.110001,24.379999,1901100,20.677151
"128","MDU",2016-07-06,24.24,24.67,24.17,24.280001,2497200,20.592344
"129","MDU",2016-07-07,24.25,24.34,23.59,23.66,1176400,20.066505
"130","MDU",2016-07-08,23.74,23.940001,23.5,23.93,809600,20.2955
"131","MDU",2016-07-11,23.870001,24.1,23.74,24.040001,1136100,20.3888
"132","MDU",2016-07-12,23.969999,24.190001,23.91,23.950001,1002500,20.312458
"133","MDU",2016-07-13,24.08,24.190001,23.959999,24.129999,871900,20.465126
"134","MDU",2016-07-14,24.02,24.219999,24.02,24.129999,873800,20.465126
"135","MDU",2016-07-15,24.129999,24.280001,24.030001,24.129999,892000,20.465126
"136","MDU",2016-07-18,24.1,24.43,24.030001,24.4,1033900,20.694117
"137","MDU",2016-07-19,24.139999,24.24,23.940001,24.209999,1078200,20.532974
"138","MDU",2016-07-20,24.200001,24.219999,24.059999,24.15,1054100,20.482088
"139","MDU",2016-07-21,24.139999,24.4,24.030001,24.389999,717000,20.685638
"140","MDU",2016-07-22,24.360001,24.67,24.33,24.65,776300,20.906145
"141","MDU",2016-07-25,24.6,24.629999,24.33,24.379999,886800,20.677151
"142","MDU",2016-07-26,24.4,24.549999,24.27,24.33,890400,20.63475
"143","MDU",2016-07-27,24.280001,24.34,23.799999,23.950001,971600,20.312458
"144","MDU",2016-07-28,23.99,24.1,23.82,23.9,920200,20.27006
"145","MDU",2016-07-29,23.889999,24.25,23.790001,24.049999,5244400,20.397276
"146","MDU",2016-08-01,24.02,24.17,23.6,23.68,1165300,20.083471
"147","MDU",2016-08-02,23.59,23.719999,23.209999,23.530001,1086800,19.956255
"148","MDU",2016-08-03,23.4,23.84,22.469999,23.5,1691400,19.930809
"149","MDU",2016-08-04,23.459999,23.83,23.23,23.58,1041200,19.998657
"150","MDU",2016-08-05,23.59,23.809999,23.469999,23.66,1057500,20.066505
"151","MDU",2016-08-08,23.700001,23.940001,23.610001,23.67,748000,20.074991
"152","MDU",2016-08-09,23.65,23.67,23.27,23.33,1174700,19.786631
"153","MDU",2016-08-10,23.360001,23.52,23.23,23.309999,532500,19.769667
"154","MDU",2016-08-11,23.389999,23.48,23.27,23.290001,931600,19.752707
"155","MDU",2016-08-12,23.379999,23.82,23.379999,23.559999,614500,19.981691
"156","MDU",2016-08-15,23.58,23.879999,23.4,23.440001,996700,19.879915
"157","MDU",2016-08-16,23.4,23.4,23.02,23.030001,783000,19.532194
"158","MDU",2016-08-17,23.030001,23.309999,22.940001,23.209999,974900,19.684853
"159","MDU",2016-08-18,23.190001,23.549999,23.190001,23.549999,921200,19.973213
"160","MDU",2016-08-19,23.48,23.5,23.32,23.43,635100,19.871441
"161","MDU",2016-08-22,23.43,23.66,23.309999,23.6,616600,20.015625
"162","MDU",2016-08-23,23.67,23.889999,23.540001,23.549999,670900,19.973213
"163","MDU",2016-08-24,23.52,23.540001,23.34,23.530001,661800,19.956255
"164","MDU",2016-08-25,23.49,23.940001,23.459999,23.889999,1053300,20.261566
"165","MDU",2016-08-26,23.93,24.139999,23.5,23.6,994700,20.015625
"166","MDU",2016-08-29,23.719999,23.93,23.6,23.620001,554600,20.032583
"167","MDU",2016-08-30,23.629999,23.83,23.43,23.48,634500,19.913847
"168","MDU",2016-08-31,23.5,23.67,23.280001,23.57,1584200,19.990177
"169","MDU",2016-09-01,23.559999,23.75,23.379999,23.57,732500,19.990177
"170","MDU",2016-09-02,23.66,23.99,23.66,23.9,767700,20.27006
"171","MDU",2016-09-06,23.92,24.059999,23.799999,24.02,732800,20.533352
"172","MDU",2016-09-07,23.959999,24.17,23.82,24.16,805200,20.653027
