"","symbol","date","open","high","low","close","volume","adjusted"
"1","MFG",2016-01-04,3.97,4.01,3.96,3.99,132300,3.99
"2","MFG",2016-01-05,4.04,4.05,4.02,4.04,102600,4.04
"3","MFG",2016-01-06,3.98,3.98,3.94,3.96,120100,3.96
"4","MFG",2016-01-07,3.9,3.93,3.89,3.9,218400,3.9
"5","MFG",2016-01-08,3.9,3.9,3.85,3.85,764700,3.85
"6","MFG",2016-01-11,3.87,3.89,3.82,3.86,524300,3.86
"7","MFG",2016-01-12,3.84,3.85,3.8,3.83,672000,3.83
"8","MFG",2016-01-13,3.88,3.88,3.78,3.8,227600,3.8
"9","MFG",2016-01-14,3.83,3.89,3.81,3.87,369600,3.87
"10","MFG",2016-01-15,3.73,3.75,3.68,3.71,307500,3.71
"11","MFG",2016-01-19,3.65,3.66,3.59,3.63,521200,3.63
"12","MFG",2016-01-20,3.52,3.53,3.44,3.52,432900,3.52
"13","MFG",2016-01-21,3.43,3.51,3.43,3.48,349700,3.48
"14","MFG",2016-01-22,3.52,3.59,3.52,3.58,368400,3.58
"15","MFG",2016-01-25,3.52,3.53,3.47,3.47,293900,3.47
"16","MFG",2016-01-26,3.51,3.53,3.49,3.5,442700,3.5
"17","MFG",2016-01-27,3.55,3.61,3.51,3.54,223800,3.54
"18","MFG",2016-01-28,3.56,3.57,3.52,3.55,270900,3.55
"19","MFG",2016-01-29,3.42,3.46,3.24,3.29,1016200,3.29
"20","MFG",2016-02-01,3.29,3.29,3.15,3.19,526700,3.19
"21","MFG",2016-02-02,3.2,3.21,3.13,3.16,569700,3.16
"22","MFG",2016-02-03,3.2,3.21,3.1,3.15,906400,3.15
"23","MFG",2016-02-04,3.15,3.18,3.1,3.13,1855900,3.13
"24","MFG",2016-02-05,3.13,3.13,3,3.03,1568000,3.03
"25","MFG",2016-02-08,3,3.01,2.96,2.99,1435400,2.99
"26","MFG",2016-02-09,2.89,2.95,2.88,2.92,612400,2.92
"27","MFG",2016-02-10,2.83,2.87,2.8,2.83,448000,2.83
"28","MFG",2016-02-11,2.78,2.78,2.72,2.76,904900,2.76
"29","MFG",2016-02-12,2.76,2.83,2.75,2.82,1530300,2.82
"30","MFG",2016-02-16,2.87,2.96,2.87,2.94,2527900,2.94
"31","MFG",2016-02-17,2.94,2.99,2.93,2.97,3315800,2.97
"32","MFG",2016-02-18,3,3.02,2.95,2.98,505600,2.98
"33","MFG",2016-02-19,2.92,2.94,2.88,2.94,1370800,2.94
"34","MFG",2016-02-22,2.94,2.94,2.9,2.93,853600,2.93
"35","MFG",2016-02-23,2.91,2.92,2.8,2.87,1245400,2.87
"36","MFG",2016-02-24,2.89,2.94,2.87,2.92,457000,2.92
"37","MFG",2016-02-25,2.97,3.03,2.96,3.02,1297100,3.02
"38","MFG",2016-02-26,2.99,2.99,2.94,2.96,605900,2.96
"39","MFG",2016-02-29,2.95,2.95,2.9,2.93,787400,2.93
"40","MFG",2016-03-01,2.96,3.01,2.95,3,1163300,3
"41","MFG",2016-03-02,3.01,3.04,3,3.04,639100,3.04
"42","MFG",2016-03-03,3.17,3.23,3.17,3.22,743800,3.22
"43","MFG",2016-03-04,3.22,3.23,3.19,3.22,275400,3.22
"44","MFG",2016-03-07,3.13,3.17,3.12,3.17,757900,3.17
"45","MFG",2016-03-08,3.13,3.13,3.1,3.11,443300,3.11
"46","MFG",2016-03-09,3.12,3.12,3.07,3.09,268800,3.09
"47","MFG",2016-03-10,3.12,3.13,3.06,3.08,316400,3.08
"48","MFG",2016-03-11,3.21,3.24,3.19,3.21,418400,3.21
"49","MFG",2016-03-14,3.23,3.24,3.22,3.23,348300,3.23
"50","MFG",2016-03-15,3.22,3.23,3.18,3.22,410500,3.22
"51","MFG",2016-03-16,3.12,3.14,3.07,3.11,1318100,3.11
"52","MFG",2016-03-17,3.17,3.22,3.16,3.22,504700,3.22
"53","MFG",2016-03-18,3.19,3.22,3.17,3.18,307600,3.18
"54","MFG",2016-03-21,3.19,3.21,3.16,3.21,2009100,3.21
"55","MFG",2016-03-22,3.15,3.17,3.13,3.16,303300,3.16
"56","MFG",2016-03-23,3.13,3.13,3.1,3.1,167500,3.1
"57","MFG",2016-03-24,3.02,3.02,2.96,2.98,408400,2.98
"58","MFG",2016-03-28,3.01,3.04,3,3.04,291000,3.04
"59","MFG",2016-03-29,2.98,2.98,2.94,2.97,480600,2.97
"60","MFG",2016-03-30,2.94,2.94,2.9,2.91,353700,2.91
"61","MFG",2016-03-31,2.95,2.97,2.92,2.94,265400,2.94
"62","MFG",2016-04-01,2.85,2.88,2.83,2.88,393900,2.88
"63","MFG",2016-04-04,2.86,2.86,2.75,2.81,12610300,2.81
"64","MFG",2016-04-05,2.71,2.75,2.69,2.73,6576800,2.73
"65","MFG",2016-04-06,2.75,2.78,2.73,2.77,446300,2.77
"66","MFG",2016-04-07,2.76,2.77,2.72,2.74,393000,2.74
"67","MFG",2016-04-08,2.84,2.87,2.83,2.84,875000,2.84
"68","MFG",2016-04-11,2.86,2.86,2.81,2.83,538000,2.83
"69","MFG",2016-04-12,2.95,2.99,2.94,2.97,1068300,2.97
"70","MFG",2016-04-13,3.03,3.08,3.03,3.08,394400,3.08
"71","MFG",2016-04-14,3.07,3.09,3.06,3.09,393300,3.09
"72","MFG",2016-04-15,3.02,3.02,2.97,2.97,658800,2.97
"73","MFG",2016-04-18,2.97,3.02,2.97,3.01,582900,3.01
"74","MFG",2016-04-19,3.14,3.15,3.11,3.15,520700,3.15
"75","MFG",2016-04-20,3.14,3.17,3.13,3.16,211600,3.16
"76","MFG",2016-04-21,3.14,3.14,3.1,3.11,298500,3.11
"77","MFG",2016-04-22,3.25,3.3,3.25,3.28,548200,3.28
"78","MFG",2016-04-25,3.28,3.28,3.24,3.25,350600,3.25
"79","MFG",2016-04-26,3.21,3.24,3.18,3.23,558900,3.23
"80","MFG",2016-04-27,3.23,3.24,3.2,3.22,218100,3.22
"81","MFG",2016-04-28,3.06,3.08,2.99,3,706400,3
"82","MFG",2016-04-29,3,3,2.94,2.96,374900,2.96
"83","MFG",2016-05-02,3.03,3.04,2.99,3.03,378500,3.03
"84","MFG",2016-05-03,2.99,3,2.96,2.98,328100,2.98
"85","MFG",2016-05-04,2.95,2.97,2.93,2.95,332200,2.95
"86","MFG",2016-05-05,2.95,2.98,2.94,2.96,235800,2.96
"87","MFG",2016-05-06,2.95,2.97,2.94,2.95,146500,2.95
"88","MFG",2016-05-09,2.97,2.98,2.94,2.94,243600,2.94
"89","MFG",2016-05-10,3.01,3.07,3,3.07,514000,3.07
"90","MFG",2016-05-11,3.03,3.03,2.98,3.02,482300,3.02
"91","MFG",2016-05-12,3.03,3.05,3.01,3.04,214200,3.04
"92","MFG",2016-05-13,3,3.02,2.97,2.98,308500,2.98
"93","MFG",2016-05-16,2.98,3.02,2.96,3.01,234200,3.01
"94","MFG",2016-05-17,2.99,3.01,2.98,2.98,740400,2.98
"95","MFG",2016-05-18,3.03,3.09,3.03,3.04,967300,3.04
"96","MFG",2016-05-19,3.03,3.05,3,3.05,298600,3.05
"97","MFG",2016-05-20,3.08,3.09,3.06,3.06,166900,3.06
"98","MFG",2016-05-23,3.07,3.08,3.03,3.06,420800,3.06
"99","MFG",2016-05-24,3.07,3.12,3.05,3.11,431700,3.11
"100","MFG",2016-05-25,3.08,3.1,3.07,3.09,900400,3.09
"101","MFG",2016-05-26,3.08,3.1,3.08,3.09,3604700,3.09
"102","MFG",2016-05-27,3.09,3.11,3.08,3.11,434100,3.11
"103","MFG",2016-05-31,3.13,3.15,3.1,3.1,613100,3.1
"104","MFG",2016-06-01,3.12,3.13,3.09,3.11,302400,3.11
"105","MFG",2016-06-02,3.06,3.06,3.04,3.05,274800,3.05
"106","MFG",2016-06-03,3.08,3.08,3.04,3.08,308900,3.08
"107","MFG",2016-06-06,3.09,3.09,3.06,3.08,145900,3.08
"108","MFG",2016-06-07,3.12,3.16,3.11,3.13,436500,3.13
"109","MFG",2016-06-08,3.14,3.14,3.1,3.13,266600,3.13
"110","MFG",2016-06-09,3.05,3.05,3.02,3.05,418400,3.05
"111","MFG",2016-06-10,3,3,2.95,2.97,197600,2.97
"112","MFG",2016-06-13,2.95,2.97,2.92,2.92,326200,2.92
"113","MFG",2016-06-14,2.91,2.93,2.87,2.89,742500,2.89
"114","MFG",2016-06-15,2.93,2.94,2.91,2.93,502000,2.93
"115","MFG",2016-06-16,2.95,2.96,2.91,2.95,412900,2.95
"116","MFG",2016-06-17,2.98,3.02,2.94,2.98,1596200,2.98
"117","MFG",2016-06-20,3.05,3.06,3.02,3.05,453800,3.05
"118","MFG",2016-06-21,3.07,3.07,3.04,3.04,449800,3.04
"119","MFG",2016-06-22,3.04,3.06,3.02,3.03,334300,3.03
"120","MFG",2016-06-23,3.11,3.14,3.1,3.12,639100,3.12
"121","MFG",2016-06-24,3,3.05,3,3.02,378100,3.02
"122","MFG",2016-06-27,2.95,2.95,2.83,2.88,1471800,2.88
"123","MFG",2016-06-28,2.89,2.92,2.88,2.91,878900,2.91
"124","MFG",2016-06-29,2.92,2.93,2.89,2.92,460500,2.92
"125","MFG",2016-06-30,2.87,2.87,2.84,2.85,421600,2.85
"126","MFG",2016-07-01,2.85,2.87,2.82,2.84,314900,2.84
"127","MFG",2016-07-05,2.83,2.83,2.79,2.81,301000,2.81
"128","MFG",2016-07-06,2.79,2.88,2.76,2.83,865400,2.83
"129","MFG",2016-07-07,2.85,2.86,2.81,2.84,498500,2.84
"130","MFG",2016-07-08,2.84,2.84,2.81,2.83,299300,2.83
"131","MFG",2016-07-11,2.88,2.93,2.87,2.92,767000,2.92
"132","MFG",2016-07-12,3,3.08,3,3.06,848800,3.06
"133","MFG",2016-07-13,3.09,3.1,3.06,3.08,478300,3.08
"134","MFG",2016-07-14,3.06,3.06,3.04,3.06,517300,3.06
"135","MFG",2016-07-15,3.09,3.12,3.08,3.11,296900,3.11
"136","MFG",2016-07-18,3.11,3.12,3.09,3.11,254900,3.11
"137","MFG",2016-07-19,3.06,3.1,3.05,3.09,485700,3.09
"138","MFG",2016-07-20,3.09,3.09,3.06,3.07,144200,3.07
"139","MFG",2016-07-21,3.04,3.07,3.02,3.04,273400,3.04
"140","MFG",2016-07-22,3.04,3.09,3.04,3.09,133900,3.09
"141","MFG",2016-07-25,3.09,3.09,3.02,3.03,321800,3.03
"142","MFG",2016-07-26,3.02,3.05,3,3.02,257400,3.02
"143","MFG",2016-07-27,3.03,3.03,2.98,3,235100,3
"144","MFG",2016-07-28,3,3,2.95,2.98,726300,2.98
"145","MFG",2016-07-29,3.2,3.21,3.16,3.19,1019500,3.19
"146","MFG",2016-08-01,3.25,3.29,3.24,3.28,319500,3.28
"147","MFG",2016-08-02,3.19,3.21,3.18,3.2,285700,3.2
"148","MFG",2016-08-03,3.14,3.15,3.12,3.15,193000,3.15
"149","MFG",2016-08-04,3.17,3.18,3.17,3.18,108700,3.18
"150","MFG",2016-08-05,3.19,3.24,3.18,3.23,220500,3.23
"151","MFG",2016-08-08,3.26,3.28,3.25,3.27,195200,3.27
"152","MFG",2016-08-09,3.27,3.29,3.24,3.29,257300,3.29
"153","MFG",2016-08-10,3.26,3.26,3.23,3.24,181600,3.24
"154","MFG",2016-08-11,3.28,3.28,3.24,3.26,292600,3.26
"155","MFG",2016-08-12,3.22,3.25,3.22,3.25,145300,3.25
"156","MFG",2016-08-15,3.24,3.27,3.23,3.23,165100,3.23
"157","MFG",2016-08-16,3.22,3.25,3.21,3.24,150400,3.24
"158","MFG",2016-08-17,3.28,3.32,3.28,3.31,145200,3.31
"159","MFG",2016-08-18,3.31,3.32,3.28,3.3,149400,3.3
"160","MFG",2016-08-19,3.3,3.32,3.29,3.32,88000,3.32
"161","MFG",2016-08-22,3.3,3.33,3.28,3.33,240500,3.33
"162","MFG",2016-08-23,3.34,3.34,3.3,3.31,147000,3.31
"163","MFG",2016-08-24,3.34,3.34,3.3,3.32,92100,3.32
"164","MFG",2016-08-25,3.32,3.34,3.31,3.34,78300,3.34
"165","MFG",2016-08-26,3.33,3.33,3.26,3.32,357900,3.32
"166","MFG",2016-08-29,3.31,3.33,3.31,3.33,213500,3.33
"167","MFG",2016-08-30,3.37,3.39,3.35,3.37,289000,3.37
"168","MFG",2016-08-31,3.44,3.47,3.42,3.47,336500,3.47
"169","MFG",2016-09-01,3.49,3.52,3.46,3.52,299100,3.52
"170","MFG",2016-09-02,3.5,3.52,3.48,3.52,202400,3.52
"171","MFG",2016-09-06,3.54,3.54,3.5,3.52,287500,3.52
"172","MFG",2016-09-07,3.53,3.53,3.49,3.5,136600,3.5
"173","MFG",2016-09-08,3.5,3.5,3.45,3.48,231600,3.48
"174","MFG",2016-09-09,3.5,3.52,3.46,3.49,295800,3.49
"175","MFG",2016-09-12,3.46,3.49,3.45,3.49,159100,3.49
"176","MFG",2016-09-13,3.42,3.42,3.36,3.38,207400,3.38
"177","MFG",2016-09-14,3.34,3.36,3.31,3.32,222000,3.32
"178","MFG",2016-09-15,3.3,3.33,3.29,3.32,133000,3.32
"179","MFG",2016-09-16,3.35,3.36,3.32,3.34,126500,3.34
"180","MFG",2016-09-19,3.35,3.36,3.31,3.33,462900,3.33
