"","symbol","date","open","high","low","close","volume","adjusted"
"1","MGP",2016-04-19,21,21,21,21,0,14.825974
"2","MGP",2016-04-20,22.75,22.879999,21.92,22.01,29592000,15.539032
"3","MGP",2016-04-21,22.18,22.34,21.76,21.76,5023600,15.36254
"4","MGP",2016-04-22,21.75,22.23,21.75,22,1945200,15.531973
"5","MGP",2016-04-25,22,22.290001,22,22.08,713500,15.588453
"6","MGP",2016-04-26,22.1,22.405001,22.08,22.389999,877400,15.807315
"7","MGP",2016-04-27,22.35,22.530001,22.27,22.34,1049400,15.772017
"8","MGP",2016-04-28,22.280001,22.5,22.15,22.26,3043600,15.715536
"9","MGP",2016-04-29,22.200001,22.4,21.809999,22.07,818100,15.581392
"10","MGP",2016-05-02,22.07,22.120001,21.940001,22.02,872800,15.546091
"11","MGP",2016-05-03,22,22.389999,21.77,22.35,1231400,15.779074
"12","MGP",2016-05-04,22.200001,22.549999,22.135,22.5,1433300,15.884976
"13","MGP",2016-05-05,22.209999,22.85,22.209999,22.65,1312300,15.990873
"14","MGP",2016-05-06,22.549999,23.15,22.370001,22.790001,1312700,16.089712
"15","MGP",2016-05-09,22.790001,23.190001,22.75,22.9,943900,16.167377
"16","MGP",2016-05-10,22.9,22.959999,22.709999,22.91,1070200,16.174435
"17","MGP",2016-05-11,22.77,22.9,22.67,22.83,583200,16.117952
"18","MGP",2016-05-12,22.809999,22.93,22.67,22.77,483300,16.075596
"19","MGP",2016-05-13,22.6,23.030001,22.5,22.74,964400,16.054415
"20","MGP",2016-05-16,23.08,23.1,22.610001,22.99,742200,16.230913
"21","MGP",2016-05-17,23.35,23.4,22.950001,22.98,1737000,16.223852
"22","MGP",2016-05-18,23.049999,23.139999,22.5,22.889999,876400,16.160316
"23","MGP",2016-05-19,22.950001,23,22.200001,22.780001,1141400,16.082653
"24","MGP",2016-05-20,22.889999,23.040001,22.450001,22.809999,935200,16.10383
"25","MGP",2016-05-23,22.799999,22.799999,22.530001,22.73,601300,16.047354
"26","MGP",2016-05-24,22.67,22.780001,22.530001,22.620001,987900,15.969694
"27","MGP",2016-05-25,22.700001,22.83,22.51,22.799999,606500,16.096771
"28","MGP",2016-05-26,22.73,22.91,22.6,22.75,414200,16.061476
"29","MGP",2016-05-27,22.870001,23.15,22.705,23.030001,414500,16.25915
"30","MGP",2016-05-31,23.110001,23.110001,22.77,23,930400,16.237974
"31","MGP",2016-06-01,23.4,23.85,23.25,23.809999,2388200,16.809828
"32","MGP",2016-06-02,23.809999,24.02,23.799999,23.92,1433300,16.887491
"33","MGP",2016-06-03,24.08,24.629999,24,24.25,1639100,17.120468
"34","MGP",2016-06-06,24.25,24.450001,24.129999,24.35,1375700,17.191072
"35","MGP",2016-06-07,24.33,25.57,24.33,25.450001,2663400,17.96767
"36","MGP",2016-06-08,25.450001,25.98,25.1,25.120001,1655100,17.73469
"37","MGP",2016-06-09,25.16,25.540001,25.025,25.48,1014600,17.988852
"38","MGP",2016-06-10,25.389999,25.790001,25.129999,25.469999,1012200,17.981789
"39","MGP",2016-06-13,25.58,25.73,24.74,24.74,1548800,17.466412
"40","MGP",2016-06-14,24.84,25.120001,24.01,25.02,1194100,17.664093
"41","MGP",2016-06-15,24.950001,25.190001,24.9,24.99,856900,17.642912
"42","MGP",2016-06-16,24.9,26.09,24.68,26,1550600,18.35597
"43","MGP",2016-06-17,26.120001,27.325001,26.120001,26.9,3128000,18.991365
"44","MGP",2016-06-20,27.059999,27.889999,26.58,26.870001,874400,18.97019
"45","MGP",2016-06-21,26.860001,27.1,26.41,26.48,835300,18.694843
"46","MGP",2016-06-22,26.280001,26.280001,25.68,25.690001,938600,18.137112
"47","MGP",2016-06-23,25.610001,26,25.08,25.219999,869300,17.80529
"48","MGP",2016-06-24,24.969999,25.52,24.25,24.73,2280900,17.459351
"49","MGP",2016-06-27,24.66,24.879999,23.969999,24.68,862900,17.424051
"50","MGP",2016-06-28,24.629999,25.23,24.6,25.139999,639800,17.939985
"51","MGP",2016-06-29,25.33,26.200001,25.25,25.969999,957400,18.532272
"52","MGP",2016-06-30,25.9,26.684999,25.9,26.68,455100,19.038937
"53","MGP",2016-07-01,26.780001,27.07,26.379999,26.43,634600,18.860535
"54","MGP",2016-07-05,26.370001,26.73,26.110001,26.629999,272900,19.00326
"55","MGP",2016-07-06,26.6,27.26,26.6,26.9,908600,19.195925
"56","MGP",2016-07-07,26.84,26.84,26.299999,26.440001,715900,18.86767
"57","MGP",2016-07-08,26.58,26.9,26.299999,26.780001,493400,19.110298
"58","MGP",2016-07-11,26.530001,26.75,26.17,26.559999,568800,18.9533
"59","MGP",2016-07-12,26.48,27.049999,26.41,26.969999,632100,19.245878
"60","MGP",2016-07-13,27.040001,27.040001,26.280001,26.65,424800,19.017532
"61","MGP",2016-07-14,26.49,26.639999,25.75,26.48,738700,18.89621
"62","MGP",2016-07-15,26.309999,26.931,26.110001,26.49,243400,18.903351
"63","MGP",2016-07-18,26.42,26.429001,26.030001,26.120001,386200,18.63932
"64","MGP",2016-07-19,26.24,26.74,26.15,26.719999,307600,19.06748
"65","MGP",2016-07-20,26.799999,26.799999,26.450001,26.700001,202800,19.053205
"66","MGP",2016-07-21,26.76,26.98,26.49,26.879999,237300,19.181654
"67","MGP",2016-07-22,26.940001,27.34,26.84,26.98,257500,19.253014
"68","MGP",2016-07-25,27.07,27.290001,26.412001,26.790001,338400,19.117432
"69","MGP",2016-07-26,26.83,26.85,26.379,26.549999,217300,18.946169
"70","MGP",2016-07-27,26.639999,26.75,26.16,26.549999,339400,18.946169
"71","MGP",2016-07-28,26.65,27.09,26.559999,26.77,330900,19.103161
"72","MGP",2016-07-29,26.76,27.66,26.76,27.110001,423300,19.345787
"73","MGP",2016-08-01,27.17,27.84,26.67,26.74,355000,19.081751
"74","MGP",2016-08-02,26.860001,26.959999,26.15,26.24,270200,18.724945
"75","MGP",2016-08-03,26.129999,26.379999,25.93,26.200001,268300,18.696405
"76","MGP",2016-08-04,26.5,27.32,26,26.620001,442400,18.996122
"77","MGP",2016-08-05,26.610001,26.749001,26.290001,26.530001,328000,18.931896
"78","MGP",2016-08-08,26.629999,26.950001,26.545,26.620001,205600,18.996122
"79","MGP",2016-08-09,26.59,26.59,26.1,26.34,441200,18.79631
"80","MGP",2016-08-10,26.280001,26.280001,26.01,26.1,413900,18.625044
"81","MGP",2016-08-11,26.09,26.120001,25.23,25.889999,562700,18.475189
"82","MGP",2016-08-12,25.969999,26.67,25.870001,26.280001,516800,18.75349
"83","MGP",2016-08-15,26.26,26.4,25.82,26.110001,530600,18.632179
"84","MGP",2016-08-16,26.1,26.32,25.700001,26.110001,1014900,18.632179
"85","MGP",2016-08-17,26.15,26.450001,25.35,26.32,688000,18.782038
"86","MGP",2016-08-18,26.299999,26.299999,25.870001,26.01,190200,18.560822
"87","MGP",2016-08-19,26.01,26.01,25.76,25.959999,131800,18.525141
"88","MGP",2016-08-22,25.969999,26.459999,25.549999,26.059999,423500,18.5965
"89","MGP",2016-08-23,26.02,26.200001,25.969999,26.08,220700,18.610775
"90","MGP",2016-08-24,26.08,26.249001,25.690001,25.76,151500,18.382421
"91","MGP",2016-08-25,25.65,25.700001,25.299999,25.549999,476800,18.232559
"92","MGP",2016-08-26,25.530001,26.131001,25.530001,25.74,461600,18.368147
"93","MGP",2016-08-29,25.870001,25.959999,25.540001,25.610001,206800,18.275379
"94","MGP",2016-08-30,25.77,25.83,25.309999,25.33,235100,18.075571
"95","MGP",2016-08-31,25.360001,25.575001,25.09,25.219999,294200,17.997072
"96","MGP",2016-09-01,25.23,25.5,25.049999,25.25,312400,18.018486
"97","MGP",2016-09-02,25.33,25.799999,25.26,25.629999,214600,18.289652
"98","MGP",2016-09-06,25.700001,26.309999,25.059999,26.23,489800,18.717813
"99","MGP",2016-09-07,26.33,26.34,25.65,26.139999,315300,18.653587
"100","MGP",2016-09-08,26.059999,26.07,25.76,25.889999,278600,18.475189
"101","MGP",2016-09-09,25.700001,25.75,25,25.040001,573900,17.868628
"102","MGP",2016-09-12,25,25.1,24.450001,25.01,642500,17.847218
"103","MGP",2016-09-13,24.99,25.1,24,24.32,588900,17.354828
"104","MGP",2016-09-14,24.360001,24.77,24.35,24.41,278200,17.419062
"105","MGP",2016-09-15,24.610001,25.440001,24.5,25.27,1242500,18.032753
"106","MGP",2016-09-16,25.469999,25.6,25.219999,25.32,974700,18.068436
"107","MGP",2016-09-19,25.33,25.629999,25.16,25.4,498700,18.125525
"108","MGP",2016-09-20,25.6,25.75,25.02,25.129999,405500,17.93285
"109","MGP",2016-09-21,25.309999,26.129999,25.253,26.1,1005100,18.625044
"110","MGP",2016-09-22,26.16,26.74,25.969999,26.190001,624800,18.689272
"111","MGP",2016-09-23,26.1,26.33,26.01,26.18,159500,18.682129
"112","MGP",2016-09-26,26.620001,26.77,26.209999,26.440001,424200,18.86767
"113","MGP",2016-09-27,26.610001,26.84,26.450001,26.690001,397300,19.046074
"114","MGP",2016-09-28,26.190001,26.66,26.059999,26.6,420100,19.261864
"115","MGP",2016-09-29,26.530001,26.530001,25.940001,25.950001,634900,18.791178
"116","MGP",2016-09-30,26.02,26.440001,26,26.07,650900,18.878075
"117","MGP",2016-10-03,26.02,26.129999,25.690001,26.059999,459800,18.870831
"118","MGP",2016-10-04,26,26.110001,25.51,25.629999,382200,18.559458
"119","MGP",2016-10-05,25.870001,25.889999,24.77,25.030001,936400,18.124979
"120","MGP",2016-10-06,25.030001,25.040001,24.6,24.74,555300,17.91498
"121","MGP",2016-10-07,24.799999,25.23,24.49,24.52,519900,17.755669
"122","MGP",2016-10-10,24.610001,25.190001,24.610001,24.889999,388800,18.0236
"123","MGP",2016-10-11,24.790001,24.950001,24.49,24.530001,845500,17.762915
"124","MGP",2016-10-12,24.57,25.275999,24.57,24.9,403300,18.030842
"125","MGP",2016-10-13,24.9,25.6,24.76,25.41,346100,18.400146
"126","MGP",2016-10-14,25.43,25.65,25.129999,25.16,211900,18.219118
"127","MGP",2016-10-17,25.32,25.719999,25.25,25.379999,239800,18.37842
"128","MGP",2016-10-18,25.6,26.040001,25.6,25.92,562600,18.769453
"129","MGP",2016-10-19,25.950001,26.01,25.83,25.99,370000,18.820147
"130","MGP",2016-10-20,25.93,26.23,25.82,25.9,505300,18.754972
"131","MGP",2016-10-21,25.98,26,25.4,25.75,651500,18.646355
"132","MGP",2016-10-24,25.93,26.07,25.25,25.5,384800,18.465319
"133","MGP",2016-10-25,25.75,25.780001,25.360001,25.379999,404500,18.37842
"134","MGP",2016-10-26,25.33,25.780001,25.120001,25.74,321600,18.639109
"135","MGP",2016-10-27,25.950001,25.99,25.17,25.25,934500,18.28429
"136","MGP",2016-10-28,25.35,25.85,25.35,25.67,598600,18.588425
"137","MGP",2016-10-31,25.690001,26.379999,25.690001,26.32,439400,19.059105
"138","MGP",2016-11-01,26.370001,26.469999,25.6,25.700001,736500,18.610144
"139","MGP",2016-11-02,25.700001,25.9,25.219999,25.309999,376700,18.327732
"140","MGP",2016-11-03,25.280001,25.5,24.91,25.01,729700,18.110497
"141","MGP",2016-11-04,25.040001,25.4,24.940001,24.98,684200,18.088774
"142","MGP",2016-11-07,25.02,25.68,24.969999,25.5,712800,18.465319
"143","MGP",2016-11-08,25.389999,25.549999,25.35,25.450001,407900,18.429119
"144","MGP",2016-11-09,24.98,25.450001,24.91,25.02,536200,18.117735
"145","MGP",2016-11-10,25,25.049999,24.15,24.450001,883600,17.704985
"146","MGP",2016-11-11,24.290001,24.75,23.77,24.379999,1525700,17.654297
"147","MGP",2016-11-14,24.370001,24.459999,23.66,23.950001,2064400,17.342915
"148","MGP",2016-11-15,24.17,24.735001,23.790001,23.950001,1798800,17.342915
"149","MGP",2016-11-16,23.969999,24.049999,23.629999,23.84,965600,17.26326
"150","MGP",2016-11-17,23.84,24.139999,23.629999,23.799999,1045600,17.234299
"151","MGP",2016-11-18,23.85,24.32,23.85,24.129999,728600,17.473261
"152","MGP",2016-11-21,24.27,24.540001,24.25,24.370001,954100,17.647055
"153","MGP",2016-11-22,24.65,25,24.51,24.959999,1082400,18.074289
"154","MGP",2016-11-23,24.870001,24.99,24.528,24.610001,438200,17.820845
"155","MGP",2016-11-25,24.709999,25.08,24.700001,25.040001,256300,18.132217
"156","MGP",2016-11-28,24.99,25.129999,24.620001,25.1,1044000,18.175669
"157","MGP",2016-11-29,25.120001,25.42,24.99,25.08,480000,18.161186
"158","MGP",2016-11-30,24.889999,24.889999,23.950001,24,8508200,17.379124
"159","MGP",2016-12-01,24,24.15,23.66,24.08,1172900,17.437052
"160","MGP",2016-12-02,24.200001,24.795,23.93,24.129999,906300,17.473261
"161","MGP",2016-12-05,24.200001,24.799999,24.1,24.780001,661800,17.943943
"162","MGP",2016-12-06,24.76,24.940001,24.5,24.6,449500,17.813601
"163","MGP",2016-12-07,24.190001,24.735001,24.1,24.610001,869900,17.820845
"164","MGP",2016-12-08,24.559999,24.83,24.34,24.77,758000,17.936705
"165","MGP",2016-12-09,24.870001,24.969999,24.35,24.6,748100,17.813601
"166","MGP",2016-12-12,24.6,24.799999,24.43,24.469999,410600,17.719469
"167","MGP",2016-12-13,24.540001,24.573999,24.07,24.5,918200,17.74119
"168","MGP",2016-12-14,24.65,25.120001,24.17,24.18,1225600,17.509466
"169","MGP",2016-12-15,24.290001,24.379999,24.110001,24.18,666000,17.509466
"170","MGP",2016-12-16,24.33,24.540001,24.27,24.43,1016500,17.6905
"171","MGP",2016-12-19,24.41,24.68,24.24,24.6,458300,17.813601
"172","MGP",2016-12-20,24.610001,24.91,24.559999,24.610001,272700,17.820845
"173","MGP",2016-12-21,24.6,24.780001,24.540001,24.559999,379800,17.784634
"174","MGP",2016-12-22,24.610001,24.9,24.565001,24.82,403200,17.972908
"175","MGP",2016-12-23,24.92,25.625,24.780001,25.51,707000,18.472561
"176","MGP",2016-12-27,25.65,25.65,25.040001,25.120001,359800,18.190151
"177","MGP",2016-12-28,24.73,24.799999,24.530001,24.76,322700,18.210743
"178","MGP",2016-12-29,24.690001,24.940001,24.610001,24.9,296100,18.313713
"179","MGP",2016-12-30,24.99,25.32,24.906,25.309999,407400,18.615265
"180","MGP",2017-01-03,25.309999,25.450001,24.83,25.15,479200,18.497583
"181","MGP",2017-01-04,25.219999,25.924999,25.16,25.799999,915700,18.975651
"182","MGP",2017-01-05,25.700001,25.950001,25.540001,25.700001,342900,18.902105
"183","MGP",2017-01-06,25.68,25.879999,25.35,25.6,664100,18.828554
"184","MGP",2017-01-09,25.6,25.82,25.34,25.48,694900,18.740297
"185","MGP",2017-01-10,25.51,25.629999,25.309999,25.379999,293900,18.66675
"186","MGP",2017-01-11,25.49,25.606001,24.83,25,568600,18.387257
"187","MGP",2017-01-12,25.01,25.129999,24.75,25.07,417100,18.438749
"188","MGP",2017-01-13,25.01,25.27,24.58,25.07,369900,18.438749
"189","MGP",2017-01-17,25.290001,25.32,24.959999,25.08,365300,18.446098
"190","MGP",2017-01-18,25,25.290001,24.809999,25,389900,18.387257
"191","MGP",2017-01-19,25.1,25.138,24.76,24.82,538500,18.254875
"192","MGP",2017-01-20,24.889999,25.110001,24.870001,25.01,266400,18.394619
