"","symbol","date","open","high","low","close","volume","adjusted"
"1","MGY",2017-06-29,10,10,10,10,1100,9.849767
"2","MGY",2017-06-30,10.25,10.25,10.05,10.06,3300,9.908866
"3","MGY",2017-07-03,10.06,10.06,10.06,10.06,0,9.908866
"4","MGY",2017-07-05,10.06,10.06,10.06,10.06,0,9.908866
"5","MGY",2017-07-06,10.06,10.06,10.06,10.06,0,9.908866
"6","MGY",2017-07-07,9.977,9.977,9.7,9.84,1400,9.692171
"7","MGY",2017-07-10,9.84,9.84,9.84,9.84,0,9.692171
"8","MGY",2017-07-11,9.84,9.84,9.84,9.84,0,9.692171
"9","MGY",2017-07-12,9.84,9.84,9.84,9.84,0,9.692171
"10","MGY",2017-07-13,9.85,9.85,9.85,9.85,200,9.702021
"11","MGY",2017-07-14,9.85,9.85,9.85,9.85,0,9.702021
"12","MGY",2017-07-17,9.9,9.9,9.9,9.9,1000,9.751269
"13","MGY",2017-07-18,9.9,9.9,9.9,9.9,0,9.751269
"14","MGY",2017-07-19,9.9,9.9,9.9,9.9,0,9.751269
"15","MGY",2017-07-20,9.8,9.95,9.8,9.9,47500,9.751269
"16","MGY",2017-07-21,9.9,9.9,9.9,9.9,9300,9.751269
"17","MGY",2017-07-24,9.9,9.9,9.9,9.9,0,9.751269
"18","MGY",2017-07-25,9.9,9.9,9.9,9.9,0,9.751269
"19","MGY",2017-07-26,9.9,9.9,9.9,9.9,0,9.751269
"20","MGY",2017-07-27,9.9,9.9,9.9,9.9,0,9.751269
"21","MGY",2017-07-28,9.9,9.9,9.9,9.9,0,9.751269
"22","MGY",2017-07-31,9.9,9.9,9.9,9.9,0,9.751269
"23","MGY",2017-08-01,9.9,9.9,9.9,9.9,0,9.751269
"24","MGY",2017-08-02,9.9,9.9,9.9,9.9,0,9.751269
"25","MGY",2017-08-03,9.9,9.9,9.9,9.9,0,9.751269
"26","MGY",2017-08-04,9.9,9.9,9.9,9.9,0,9.751269
"27","MGY",2017-08-07,9.88,9.88,9.88,9.88,300,9.73157
"28","MGY",2017-08-08,9.88,9.88,9.88,9.88,0,9.73157
"29","MGY",2017-08-09,9.88,9.88,9.88,9.88,0,9.73157
"30","MGY",2017-08-10,9.88,9.88,9.88,9.88,0,9.73157
"31","MGY",2017-08-11,9.88,9.88,9.88,9.88,0,9.73157
"32","MGY",2017-08-14,9.88,9.88,9.88,9.88,0,9.73157
"33","MGY",2017-08-15,9.8,9.8,9.7,9.7,3000,9.554274
"34","MGY",2017-08-16,9.76,9.82,9.76,9.8,131700,9.652772
"35","MGY",2017-08-17,9.8,9.8,9.8,9.8,1e+05,9.652772
"36","MGY",2017-08-18,9.8,9.8,9.8,9.8,15000,9.652772
"37","MGY",2017-08-21,9.8,9.8,9.8,9.8,2100,9.652772
"38","MGY",2017-08-22,9.8,9.8,9.8,9.8,0,9.652772
"39","MGY",2017-08-23,9.8,9.8,9.79,9.8,3500,9.652772
"40","MGY",2017-08-24,9.8,9.8,9.77,9.8,228000,9.652772
"41","MGY",2017-08-25,9.8,9.8,9.8,9.8,0,9.652772
"42","MGY",2017-08-28,9.83,9.85,9.778,9.778,1000,9.631102
"43","MGY",2017-08-29,9.778,9.778,9.778,9.778,0,9.631102
"44","MGY",2017-08-30,9.778,9.778,9.778,9.778,0,9.631102
"45","MGY",2017-08-31,9.85,9.85,9.835,9.835,1000,9.687246
"46","MGY",2017-09-01,9.85,9.85,9.809,9.809,400,9.661636
"47","MGY",2017-09-05,9.85,9.85,9.807,9.85,28100,9.702021
"48","MGY",2017-09-06,9.85,9.85,9.815,9.815,26700,9.667546
"49","MGY",2017-09-07,9.85,9.85,9.84,9.85,25800,9.702021
"50","MGY",2017-09-08,9.85,9.85,9.8,9.85,27300,9.702021
"51","MGY",2017-09-11,9.85,9.85,9.85,9.85,0,9.702021
"52","MGY",2017-09-12,9.8,9.85,9.79,9.795,23700,9.647846
"53","MGY",2017-09-13,9.85,9.85,9.8,9.8,5500,9.652772
"54","MGY",2017-09-14,9.8,9.8,9.8,9.8,55600,9.652772
"55","MGY",2017-09-15,9.7,9.84,9.7,9.8,2600,9.652772
"56","MGY",2017-09-18,9.8,9.8,9.8,9.8,0,9.652772
