"","symbol","date","open","high","low","close","volume","adjusted"
"1","MMC",2016-01-04,54.48,54.57,53.790001,54.32,2870000,48.472057
"2","MMC",2016-01-05,54.259998,55.029999,54.16,54.77,2350000,48.8736
"3","MMC",2016-01-06,53.970001,54.66,53.700001,54.110001,2563900,48.28466
"4","MMC",2016-01-07,53.130001,53.830002,53.040001,53.700001,5002800,47.9188
"5","MMC",2016-01-08,53.810001,53.959999,52.889999,52.950001,3189500,47.249531
"6","MMC",2016-01-11,52.439999,53.16,51.77,52.18,3864400,46.562435
"7","MMC",2016-01-12,52.540001,52.740002,51.860001,52.669998,3105600,46.999672
"8","MMC",2016-01-13,53.43,53.560001,52.080002,52.23,2683800,46.607052
"9","MMC",2016-01-14,52.400002,54.02,52.209999,53.57,3215200,47.802784
"10","MMC",2016-01-15,52.009998,53.040001,51.84,52.209999,4145400,46.589199
"11","MMC",2016-01-19,52.759998,52.830002,51.869999,52.150002,2668600,46.53566
"12","MMC",2016-01-20,51.02,52.07,50.810001,51.540001,2960800,45.991325
"13","MMC",2016-01-21,51.66,51.779999,50.990002,51.290001,2652700,46.045193
"14","MMC",2016-01-22,52.029999,52.48,51.860001,52.290001,1577300,46.942936
"15","MMC",2016-01-25,52.27,52.299999,51.540001,51.57,2250800,46.296562
"16","MMC",2016-01-26,51.869999,52.330002,51.759998,51.93,1431000,46.619755
"17","MMC",2016-01-27,51.900002,52.43,51.32,51.619999,2120800,46.34145
"18","MMC",2016-01-28,51.939999,52.060001,51.450001,51.799999,1886800,46.503044
"19","MMC",2016-01-29,52.209999,53.369999,52.080002,53.330002,2452900,47.876595
"20","MMC",2016-02-01,53.209999,53.48,52.82,53.27,1693700,47.822731
"21","MMC",2016-02-02,52.630001,52.650002,52.110001,52.349998,2003200,46.996803
"22","MMC",2016-02-03,52.599998,52.91,51.25,52.84,3009800,47.436699
"23","MMC",2016-02-04,53.34,54.66,52.950001,54.169998,4376100,48.630684
"24","MMC",2016-02-05,54.189999,54.73,54.110001,54.650002,3949400,49.061611
"25","MMC",2016-02-08,53.98,55.330002,53.970001,55,3573200,49.375813
"26","MMC",2016-02-09,54.639999,55.630001,54.610001,55.279999,3180300,49.627186
"27","MMC",2016-02-10,55.560001,56.68,55.459999,55.509998,2047700,49.83366
"28","MMC",2016-02-11,54.330002,55.290001,54.32,54.950001,2233500,49.330925
"29","MMC",2016-02-12,55.790001,56.169998,55.529999,56.080002,2243600,50.345394
"30","MMC",2016-02-16,56.459999,56.77,56.259998,56.5,2286500,50.722431
"31","MMC",2016-02-17,56.77,57.459999,56.77,57.369999,2619400,51.503464
"32","MMC",2016-02-18,57.23,57.610001,57.139999,57.5,2626800,51.620178
"33","MMC",2016-02-19,57.240002,57.560001,57.099998,57.310001,2640800,51.449604
"34","MMC",2016-02-22,57.540001,57.880001,57.369999,57.549999,1795400,51.665058
"35","MMC",2016-02-23,57.34,57.68,57.009998,57.09,1855400,51.252106
"36","MMC",2016-02-24,56.700001,57.650002,56.509998,57.450001,2365100,51.575291
"37","MMC",2016-02-25,57.59,57.77,57.27,57.759998,2351100,51.85358
"38","MMC",2016-02-26,58,58.169998,57.48,57.5,2009900,51.620178
"39","MMC",2016-02-29,57.5,57.650002,57.02,57.049999,2682100,51.216187
"40","MMC",2016-03-01,57.459999,58.119999,57.27,58.09,1805700,52.149849
"41","MMC",2016-03-02,57.82,58.060001,57.610001,57.84,2718700,51.925407
"42","MMC",2016-03-03,57.639999,57.849998,57.240002,57.75,2438200,51.844604
"43","MMC",2016-03-04,58,58.099998,57.369999,58.009998,3078200,52.078018
"44","MMC",2016-03-07,57.48,57.970001,56.98,57.689999,2449600,51.790741
"45","MMC",2016-03-08,57.369999,58.16,57.290001,57.439999,2471900,51.566315
"46","MMC",2016-03-09,57.380001,57.880001,57.110001,57.709999,1366700,51.808697
"47","MMC",2016-03-10,57.91,58.299999,57.23,57.73,1756000,51.826672
"48","MMC",2016-03-11,58.200001,58.77,57.830002,58.740002,1472800,52.733379
"49","MMC",2016-03-14,58.48,58.959999,58.41,58.830002,1994000,52.814175
"50","MMC",2016-03-15,58.360001,59.139999,58.209999,59.139999,1863600,53.092476
"51","MMC",2016-03-16,58.799999,59.25,58.709999,58.919998,1857400,52.894974
"52","MMC",2016-03-17,59,60.130001,58.790001,59.849998,2450200,53.72987
