"","symbol","date","open","high","low","close","volume","adjusted"
"1","MMLP",2016-01-04,21.9,22.5,21.51,21.91,229600,11.700411
"2","MMLP",2016-01-05,21.82,22.73,21.690001,22.219999,229300,11.865955
"3","MMLP",2016-01-06,21.700001,22.639999,20.24,20.379999,158300,10.883359
"4","MMLP",2016-01-07,20,20.219999,18.549999,19.24,265000,10.274573
"5","MMLP",2016-01-08,19.299999,20,19.07,19.889999,140100,10.621687
"6","MMLP",2016-01-11,19.75,19.75,17.9,18.01,175700,9.617726
"7","MMLP",2016-01-12,18.35,19.389999,17.030001,17.84,219000,9.526943
"8","MMLP",2016-01-13,17.99,18.49,17.629999,18.190001,271000,9.713851
"9","MMLP",2016-01-14,18.370001,18.5,17.26,17.690001,161900,9.446841
"10","MMLP",2016-01-15,17.190001,17.6,16.51,16.85,181300,8.998261
"11","MMLP",2016-01-19,16.9,16.9,15.12,15.5,329700,8.277332
"12","MMLP",2016-01-20,14.7,15.47,13.27,14.05,429500,7.503002
"13","MMLP",2016-01-21,14.1,15.69,14.01,15.58,252100,8.320054
"14","MMLP",2016-01-22,16.139999,18.030001,16.139999,16.690001,340000,8.912819
"15","MMLP",2016-01-25,16.290001,16.84,15.96,16.16,201400,8.629787
"16","MMLP",2016-01-26,16.290001,17.139999,15.79,16.809999,196000,8.9769
"17","MMLP",2016-01-27,16.799999,17.34,16.5,16.790001,120500,8.966222
"18","MMLP",2016-01-28,17.389999,18.09,16.67,17.35,159700,9.26527
"19","MMLP",2016-01-29,17.51,18.08,17.07,17.459999,212400,9.324017
"20","MMLP",2016-02-01,17.16,17.709999,16.700001,17.450001,157700,9.318677
"21","MMLP",2016-02-02,17.25,17.879999,16.51,17.48,221700,9.334698
"22","MMLP",2016-02-03,16.75,16.99,15.76,16.32,167400,9.14035
"23","MMLP",2016-02-04,16.25,17.24,16.25,16.6,83600,9.297174
"24","MMLP",2016-02-05,16.41,17.030001,16.01,16.33,83400,9.145951
"25","MMLP",2016-02-08,16.01,16.07,14.49,15.25,124900,8.541076
"26","MMLP",2016-02-09,15.25,15.3,14.18,14.41,121300,8.070617
"27","MMLP",2016-02-10,14.15,14.79,14.15,14.42,77300,8.076219
"28","MMLP",2016-02-11,14,14.95,13.89,14.39,173700,8.059414
"29","MMLP",2016-02-12,14.99,17.290001,14.25,14.67,238100,8.216237
"30","MMLP",2016-02-16,15.45,16.049999,14.84,15.48,395200,8.669892
"31","MMLP",2016-02-17,15.17,15.9,14.87,15.62,186300,8.748301
"32","MMLP",2016-02-18,15.93,15.93,14.77,15.14,122000,8.479467
"33","MMLP",2016-02-19,14.9,16.27,14.47,15.13,113000,8.473867
"34","MMLP",2016-02-22,15.55,16.27,15.37,15.88,214100,8.89392
"35","MMLP",2016-02-23,15.89,15.99,14.85,14.9,228500,8.345051
"36","MMLP",2016-02-24,14.5,14.83,14.15,14.57,370300,8.160227
"37","MMLP",2016-02-25,14.89,15.08,14,14.78,364700,8.277843
"38","MMLP",2016-02-26,14.8,15.3,14.72,15.2,428300,8.513073
"39","MMLP",2016-02-29,15.2,15.6,14.97,15.47,423900,8.664291
"40","MMLP",2016-03-01,15.67,16.01,15.31,15.85,212100,8.87712
"41","MMLP",2016-03-02,15.73,16.34,15.37,15.93,553800,8.921924
"42","MMLP",2016-03-03,16.48,17.52,15.95,16.18,418600,9.061943
"43","MMLP",2016-03-04,16.33,17.4,16.200001,16.450001,318200,9.213161
"44","MMLP",2016-03-07,16.530001,17.559999,16.530001,17.129999,357700,9.594007
"45","MMLP",2016-03-08,17.120001,17.18,16.129999,16.4,177200,9.185157
"46","MMLP",2016-03-09,16.780001,17.190001,16.299999,17.07,176300,9.560403
"47","MMLP",2016-03-10,16.9,17.15,16.59,16.959999,113700,9.498795
"48","MMLP",2016-03-11,17.290001,17.77,16.700001,16.83,287300,9.425986
"49","MMLP",2016-03-14,16.85,19.17,16.799999,18.75,276200,10.501322
"50","MMLP",2016-03-15,18.5,19.190001,18.280001,19.08,213300,10.686146
"51","MMLP",2016-03-16,19.23,20.08,19.18,19.93,205100,11.162207
"52","MMLP",2016-03-17,20.049999,20.91,20.049999,20.67,211400,11.576657
"53","MMLP",2016-03-18,20.790001,21.440001,20.35,20.780001,677800,11.638265
"54","MMLP",2016-03-21,20.809999,21.190001,20.43,20.639999,172900,11.559855
"55","MMLP",2016-03-22,20.6,21.27,20.219999,20.290001,142000,11.363832
"56","MMLP",2016-03-23,20.15,20.5,19.67,19.780001,132200,11.078196
"57","MMLP",2016-03-24,19.35,20.23,19,20.139999,117500,11.279819
"58","MMLP",2016-03-28,20.4,20.48,19.75,19.85,133400,11.1174
"59","MMLP",2016-03-29,19.75,19.91,19.110001,19.49,173800,10.915774
"60","MMLP",2016-03-30,19.51,20.82,19.51,20.360001,170800,11.403037
"61","MMLP",2016-03-31,20.440001,21.110001,19.85,20.08,302000,11.246215
"62","MMLP",2016-04-01,19.75,20.309999,19.5,20.200001,103700,11.313425
"63","MMLP",2016-04-04,19.870001,20.49,19.74,19.889999,159100,11.139802
"64","MMLP",2016-04-05,19.530001,19.799999,19.25,19.4,114400,10.865369
"65","MMLP",2016-04-06,19.610001,20.42,19.200001,19.91,126200,11.151005
"66","MMLP",2016-04-07,19.809999,20.18,19.33,19.6,85700,10.977384
"67","MMLP",2016-04-08,19.860001,20.790001,19.82,20.27,81800,11.35263
"68","MMLP",2016-04-11,20.35,20.799999,19.9,20.440001,78000,11.447843
"69","MMLP",2016-04-12,20.450001,21.209999,20.4,20.68,144300,11.582262
"70","MMLP",2016-04-13,20.59,20.690001,20.200001,20.34,93700,11.391837
"71","MMLP",2016-04-14,20.4,20.42,20.01,20.309999,77300,11.375032
"72","MMLP",2016-04-15,20.08,20.51,20.02,20.08,85900,11.246215
"73","MMLP",2016-04-18,20,21.23,19.98,21.1,124800,11.81749
"74","MMLP",2016-04-19,21.110001,21.879999,21.110001,21.15,88800,11.845493
"75","MMLP",2016-04-20,21.139999,21.99,21.030001,21.73,150900,12.170333
"76","MMLP",2016-04-21,21.959999,22.440001,21.620001,22.15,174400,12.405564
"77","MMLP",2016-04-22,22.15,23.52,22.15,23.41,271800,13.111252
"78","MMLP",2016-04-25,23.4,23.41,22.530001,22.940001,175000,12.848017
"79","MMLP",2016-04-26,23,23.700001,22.959999,23.27,192200,13.032843
"80","MMLP",2016-04-27,23.49,24.139999,23.27,23.77,148200,13.312873
"81","MMLP",2016-04-28,23.27,24.25,22.57,22.75,183500,12.741604
"82","MMLP",2016-04-29,22.9,23.92,22.82,23.6,238100,13.217664
"83","MMLP",2016-05-02,23.76,23.76,22.85,23.389999,222600,13.100051
"84","MMLP",2016-05-03,23.74,23.74,22.68,23.58,204300,13.206463
"85","MMLP",2016-05-04,22.780001,23.08,21.690001,22.450001,177600,13.022579
"86","MMLP",2016-05-05,22.639999,23.059999,22.35,22.58,104100,13.097989
"87","MMLP",2016-05-06,22.549999,22.99,22.219999,22.959999,131400,13.318418
"88","MMLP",2016-05-09,22.77,22.77,21.26,22.16,156100,12.85436
"89","MMLP",2016-05-10,22.42,22.92,22.129999,22.639999,150200,13.132793
"90","MMLP",2016-05-11,22.209999,23.049999,22.110001,22.51,106800,13.057384
"91","MMLP",2016-05-12,22.559999,22.969999,21.52,21.76,185700,12.62233
"92","MMLP",2016-05-13,22.639999,22.82,21.75,22.370001,182000,12.976176
"93","MMLP",2016-05-16,22.360001,22.75,22.02,22.41,184600,12.999376
