"","symbol","date","open","high","low","close","volume","adjusted"
"1","MMP",2016-01-04,67.370003,69.139999,67.099998,68.660004,1606300,45.005089
"2","MMP",2016-01-05,68.919998,69.489998,67.209999,69.260002,1105600,45.398373
"3","MMP",2016-01-06,67.980003,69.540001,66.690002,67.019997,1411300,43.930088
"4","MMP",2016-01-07,65.019997,67.150002,64.480003,65.330002,1763400,42.822327
"5","MMP",2016-01-08,65.519997,67.300003,65.459999,65.860001,1443200,43.169743
"6","MMP",2016-01-11,65.419998,66.019997,63.84,64.519997,1525700,42.291393
"7","MMP",2016-01-12,65.669998,67.239998,63.259998,66.669998,1732000,43.700687
"8","MMP",2016-01-13,66.870003,67.660004,63.25,64.790001,1780600,42.46838
"9","MMP",2016-01-14,65.110001,66.879997,63.509998,66.190002,1990200,43.386044
"10","MMP",2016-01-15,64.220001,65.160004,62.84,64.239998,1834600,42.107861
"11","MMP",2016-01-19,64.599998,64.980003,60.09,61.630001,1633800,40.397076
"12","MMP",2016-01-20,60.040001,60.040001,55.25,56.970001,3541800,37.342548
"13","MMP",2016-01-21,57.099998,59.549999,55.639999,58.68,1854400,38.463409
"14","MMP",2016-01-22,60.66,63.369999,60.080002,61.720001,1880100,40.456062
"15","MMP",2016-01-25,60.709999,62.990002,58.720001,58.880001,2251800,38.594513
"16","MMP",2016-01-26,59.549999,62.369999,59,62.23,1565400,40.790359
"17","MMP",2016-01-27,62.299999,64.199997,60,62.860001,1669700,41.203304
"18","MMP",2016-01-28,65.190002,66,62.52,63.240002,941600,41.452396
"19","MMP",2016-01-29,63.740002,65.5,63.490002,64.230003,981300,42.101318
"20","MMP",2016-02-01,63.68,64.57,62,63.720001,1049700,41.767014
"21","MMP",2016-02-02,62.049999,63.720001,61.41,63.669998,937200,41.734238
"22","MMP",2016-02-03,63.529999,63.560001,60.490002,62.740002,1141900,41.638016
"23","MMP",2016-02-04,60.759998,64.139999,59.27,63.950001,1312800,42.441044
