"","symbol","date","open","high","low","close","volume","adjusted"
"1","MN",2016-01-04,8.46,8.88,8.44,8.84,37700,6.371231
"2","MN",2016-01-05,8.99,8.99,8.83,8.84,35200,6.371231
"3","MN",2016-01-06,8.71,8.93,8.61,8.64,29700,6.227086
"4","MN",2016-01-07,8.57,8.77,8.49,8.49,55900,6.118977
"5","MN",2016-01-08,8.52,8.89,8.35,8.35,35400,6.018075
"6","MN",2016-01-11,8.34,8.57,8.28,8.35,47700,6.018075
"7","MN",2016-01-12,8.44,8.59,8.22,8.26,46900,5.95321
"8","MN",2016-01-13,8.29,8.55,7.5,7.59,77000,5.578377
"9","MN",2016-01-14,7.58,7.71,6.9,7.34,101400,5.394637
"10","MN",2016-01-15,7.2,7.3,6.99,7.1,81400,5.218245
"11","MN",2016-01-19,7.22,7.62,7.14,7.31,59900,5.372587
"12","MN",2016-01-20,6.94,7.12,6.66,7.04,119500,5.174148
"13","MN",2016-01-21,7.03,7.27,6.89,7.04,55000,5.174148
"14","MN",2016-01-22,7.13,7.44,7.13,7.25,57600,5.328489
"15","MN",2016-01-25,7.27,7.57,7.1,7.32,28100,5.379938
"16","MN",2016-01-26,7.39,7.43,7.22,7.31,35900,5.372587
"17","MN",2016-01-27,7.33,7.71,7.23,7.46,33600,5.482832
"18","MN",2016-01-28,7.54,7.69,7.26,7.64,36500,5.615126
"19","MN",2016-01-29,7.73,8.31,7.73,8.24,53100,6.056104
"20","MN",2016-02-01,8.15,8.21,7.96,8.13,59800,5.975258
"21","MN",2016-02-02,8.07,8.18,7.7,7.7,58000,5.659223
"22","MN",2016-02-03,7.7,7.93,7.18,7.49,58800,5.504881
"23","MN",2016-02-04,7.52,7.91,7.22,7.4,56800,5.438734
"24","MN",2016-02-05,7.4,7.63,7.34,7.36,27800,5.409336
"25","MN",2016-02-08,7.17,7.24,6.67,6.84,101400,5.027155
"26","MN",2016-02-09,6.79,6.97,6.34,6.36,76600,4.674372
"27","MN",2016-02-10,6.4,6.4,6.04,6.06,91700,4.453883
"28","MN",2016-02-11,5.91,6.02,5.6,5.73,89200,4.211344
"29","MN",2016-02-12,5.78,5.94,5.66,5.68,114300,4.174596
"30","MN",2016-02-16,6.78,6.78,5.77,6.34,354200,4.659673
"31","MN",2016-02-17,6.67,7.01,6.33,6.91,51200,5.078601
"32","MN",2016-02-18,6.96,6.96,6.62,6.64,56300,4.880162
"33","MN",2016-02-19,6.55,6.84,6.52,6.61,35100,4.858114
"34","MN",2016-02-22,6.7,6.99,6.66,6.94,41600,5.100652
"35","MN",2016-02-23,6.91,6.95,6.74,6.75,11200,4.961008
"36","MN",2016-02-24,6.66,6.97,6.54,6.8,28200,4.997756
"37","MN",2016-02-25,6.84,7,6.78,7,25000,5.144748
"38","MN",2016-02-26,7,7.1,6.67,6.89,37600,5.063902
"39","MN",2016-02-29,6.98,7.05,6.86,6.86,57000,5.041855
"40","MN",2016-03-01,7,7.1,6.9,6.96,60600,5.11535
"41","MN",2016-03-02,7,7.17,6.95,7.14,60600,5.247644
"42","MN",2016-03-03,7.1,7.1,6.95,6.95,64200,5.108
"43","MN",2016-03-04,7,7.49,6.99,7.4,103900,5.438734
"44","MN",2016-03-07,7.35,7.48,7.3,7.38,65000,5.424035
"45","MN",2016-03-08,7.37,7.4,7.23,7.25,59300,5.328489
"46","MN",2016-03-09,7.34,7.35,7.17,7.29,106500,5.357887
"47","MN",2016-03-10,7.34,7.37,7.17,7.17,113200,5.269693
"48","MN",2016-03-11,7.38,7.5,7.35,7.39,97400,5.431386
"49","MN",2016-03-14,7.32,7.7,7.31,7.66,65300,5.629826
"50","MN",2016-03-15,7.64,7.64,7.39,7.46,24200,5.482832
"51","MN",2016-03-16,7.4,7.43,7.08,7.08,50700,5.203546
"52","MN",2016-03-17,7.08,7.43,7.08,7.36,51900,5.409336
"53","MN",2016-03-18,7.32,7.45,7.27,7.27,78000,5.34319
"54","MN",2016-03-21,7.32,7.78,7.32,7.74,54100,5.688622
"55","MN",2016-03-22,7.75,7.75,7.56,7.67,142900,5.637175
"56","MN",2016-03-23,7.69,7.74,7.41,7.68,51400,5.644524
"57","MN",2016-03-24,7.5,7.73,7.48,7.66,79600,5.629826
"58","MN",2016-03-28,7.67,7.98,7.61,7.94,45200,5.835615
"59","MN",2016-03-29,7.91,8.09,7.82,7.96,56100,5.850315
"60","MN",2016-03-30,7.99,8.15,7.94,8.07,22700,5.93116
"61","MN",2016-03-31,8.08,8.43,8.05,8.07,43100,5.93116
"62","MN",2016-04-01,8.08,8.15,7.95,8.06,36700,5.92381
"63","MN",2016-04-04,8.09,8.14,7.97,7.99,57100,5.872363
"64","MN",2016-04-05,7.95,8.1,7.81,7.81,55700,5.74007
"65","MN",2016-04-06,8.07,8.07,7.81,7.99,61300,5.872363
"66","MN",2016-04-07,7.98,8.1,7.79,7.86,91500,5.776818
"67","MN",2016-04-08,8,8,7.32,7.36,75300,5.409336
"68","MN",2016-04-11,7.44,7.83,7.44,7.77,51800,5.710673
"69","MN",2016-04-12,7.78,7.99,7.7,7.73,74300,5.681273
"70","MN",2016-04-13,7.83,7.91,7.73,7.85,149500,5.891411
"71","MN",2016-04-14,7.89,8.2,7.86,8.09,85000,6.071532
"72","MN",2016-04-15,8.17,8.3,8.02,8.17,96700,6.131571
"73","MN",2016-04-18,8.25,8.46,8.16,8.38,103100,6.289176
"74","MN",2016-04-19,8.39,8.58,8.14,8.18,42800,6.139077
"75","MN",2016-04-20,8.18,8.71,8.18,8.45,51200,6.341712
"76","MN",2016-04-21,8.57,8.58,8.36,8.48,42800,6.364225
"77","MN",2016-04-22,8.44,8.62,8.44,8.55,75000,6.416761
"78","MN",2016-04-25,8.54,8.57,8.12,8.16,75800,6.124066
"79","MN",2016-04-26,8.2,8.44,8.14,8.28,65900,6.214127
"80","MN",2016-04-27,8.47,8.47,8.2,8.37,80600,6.281671
"81","MN",2016-04-28,9.04,9.04,8.52,8.65,97200,6.491811
"82","MN",2016-04-29,8.65,8.65,8.43,8.55,91800,6.416761
"83","MN",2016-05-02,8.84,9.04,8.53,8.56,151500,6.424266
"84","MN",2016-05-03,8.65,8.74,8.53,8.69,118000,6.52183
"85","MN",2016-05-04,8.67,8.94,8.65,8.85,89200,6.641912
"86","MN",2016-05-05,8.85,9.15,8.75,8.97,102500,6.731971
