"","symbol","date","open","high","low","close","volume","adjusted"
"1","MPC",2016-01-04,51.68,52.830002,50.66,51.240002,5497300,40.648903
"2","MPC",2016-01-05,51.400002,52.220001,50.040001,50.599998,5485100,40.141182
"3","MPC",2016-01-06,49.299999,49.790001,47.93,48.720001,7328500,38.64978
"4","MPC",2016-01-07,47.84,48.860001,47.290001,47.990002,7563500,38.07066
"5","MPC",2016-01-08,48.34,48.549999,46.139999,46.189999,5026000,36.642715
"6","MPC",2016-01-11,46.439999,46.970001,44.290001,45.720001,7508700,36.269859
"7","MPC",2016-01-12,46.209999,47.080002,45.119999,46.389999,4931900,36.801369
"8","MPC",2016-01-13,46.709999,46.77,41.849998,42.279999,9902200,33.540894
"9","MPC",2016-01-14,42.560001,44.189999,41.130001,43.66,9076000,34.635654
"10","MPC",2016-01-15,41.860001,42.75,41.040001,41.419998,7876100,32.85865
"11","MPC",2016-01-19,42.400002,42.970001,40.450001,41.200001,5665000,32.684116
"12","MPC",2016-01-20,40.169998,41.139999,38.950001,40.5,7634200,32.128819
"13","MPC",2016-01-21,40.029999,40.75,39.119999,39.610001,7611500,31.42277
"14","MPC",2016-01-22,40.689999,43.98,40.5,42.830002,9569600,33.977219
"15","MPC",2016-01-25,42.169998,43.23,40.669998,40.77,5836500,32.34301
"16","MPC",2016-01-26,41.080002,41.580002,40.369999,41.560001,5022200,32.969715
"17","MPC",2016-01-27,41.57,41.860001,39.529999,39.860001,8433200,31.621099
"18","MPC",2016-01-28,41.139999,41.48,39.5,40.220001,4811000,31.906681
"19","MPC",2016-01-29,40.560001,41.790001,39.849998,41.790001,7007500,33.152176
"20","MPC",2016-02-01,41.650002,42.200001,40.799999,41.77,6672100,33.136299
"21","MPC",2016-02-02,41.07,41.380001,39.75,40.27,6799400,31.946354
"22","MPC",2016-02-03,39.799999,40.07,35.400002,37.200001,15690000,29.510906
"23","MPC",2016-02-04,36.98,37.34,34.119999,34.939999,17638100,27.718044
"24","MPC",2016-02-05,34.540001,34.650002,32.040001,32.299999,15529700,25.623722
"25","MPC",2016-02-08,31.85,31.85,29.709999,30.73,17273000,24.378235
"26","MPC",2016-02-09,30.290001,31.83,29.24,31.4,16889100,24.90975
"27","MPC",2016-02-10,31.620001,32.669998,31.139999,31.67,9776500,25.123936
"28","MPC",2016-02-11,30.969999,31.379999,29.25,30.83,11198900,24.45756
"29","MPC",2016-02-12,30.860001,31.950001,30.6,31.73,7304200,25.435545
"30","MPC",2016-02-16,32.310001,32.73,31.639999,32.540001,7469700,26.084862
"31","MPC",2016-02-17,32.860001,33.18,32.389999,32.959999,7617700,26.421539
