"","symbol","date","open","high","low","close","volume","adjusted"
"1","MPLX",2016-01-04,38.959999,39.439999,37.650002,39.279999,1202400,22.291737
"2","MPLX",2016-01-05,38.860001,39.459999,38.09,39.040001,1178100,22.155535
"3","MPLX",2016-01-06,38.080002,38.299999,35.130001,36.830002,1723300,20.901339
"4","MPLX",2016-01-07,35.490002,36.990002,34.360001,34.419998,1816100,19.533646
"5","MPLX",2016-01-08,35.029999,36.099998,34.599998,34.919998,1406700,19.817396
"6","MPLX",2016-01-11,34.52,35.009998,31.360001,32.720001,2286600,18.568878
"7","MPLX",2016-01-12,33.5,34.169998,30.370001,33,2673100,18.727781
"8","MPLX",2016-01-13,32.91,33.830002,29,30.34,2666400,17.218208
"9","MPLX",2016-01-14,29.9,32.09,29.68,31.93,1526400,18.120548
"10","MPLX",2016-01-15,30.84,31.24,28.870001,29.51,2208900,16.747177
"11","MPLX",2016-01-19,29.5,29.83,26.610001,28.34,2778800,16.083195
"12","MPLX",2016-01-20,27.059999,27.059999,23.92,25.450001,3344500,14.443097
"13","MPLX",2016-01-21,25.549999,28.559999,25.42,27.700001,3053600,15.719985
"14","MPLX",2016-01-22,29.08,30.74,28.559999,29.790001,2565800,16.906082
"15","MPLX",2016-01-25,29.43,31.200001,27.48,27.530001,2453000,15.623516
"16","MPLX",2016-01-26,28,29.299999,27.08,28.99,2020900,16.452074
"17","MPLX",2016-01-27,28.76,29.25,27.08,28.33,2806300,16.077518
"18","MPLX",2016-01-28,29.99,31.02,29.25,29.389999,1547800,16.679075
"19","MPLX",2016-01-29,29.42,30.84,28.93,30.77,1537900,17.46224
"20","MPLX",2016-02-01,30.15,30.65,28.67,30.27,2028000,17.178488
"21","MPLX",2016-02-02,29.299999,29.700001,28.040001,29.120001,2003400,16.803408
"22","MPLX",2016-02-03,26.01,26.5,20.41,21.860001,8496900,12.614099
"23","MPLX",2016-02-04,21.82,22.700001,20.719999,21.700001,5144800,12.521772
"24","MPLX",2016-02-05,21.290001,21.52,17.549999,20.17,5332300,11.6389
"25","MPLX",2016-02-08,19.76,19.790001,18,18.450001,4065800,10.646391
"26","MPLX",2016-02-09,18.32,18.32,16.93,18.049999,3654600,10.415573
"27","MPLX",2016-02-10,18.08,18.549999,17.41,18,2216900,10.386723
"28","MPLX",2016-02-11,17.18,18.709999,16.469999,16.530001,3955300,9.538474
