"","symbol","date","open","high","low","close","volume","adjusted"
"1","MPW",2016-01-04,11.46,11.49,11.32,11.47,1801200,7.919028
"2","MPW",2016-01-05,11.52,11.87,11.5,11.82,2113400,8.160671
"3","MPW",2016-01-06,11.75,11.78,11.56,11.64,1627600,8.036398
"4","MPW",2016-01-07,11.5,11.55,11.2,11.21,1475500,7.739518
"5","MPW",2016-01-08,11.28,11.33,11.09,11.11,1554800,7.670478
"6","MPW",2016-01-11,11.17,11.37,11.17,11.22,1731900,7.746425
"7","MPW",2016-01-12,11.12,11.21,10.63,10.72,4050800,7.401217
"8","MPW",2016-01-13,10.72,10.87,10.47,10.55,2322100,7.283848
"9","MPW",2016-01-14,10.64,10.68,10.38,10.55,1922300,7.283848
"10","MPW",2016-01-15,10.33,10.53,10.15,10.51,3036500,7.256232
"11","MPW",2016-01-19,10.58,10.64,10.49,10.59,1880200,7.311464
"12","MPW",2016-01-20,10.46,10.55,9.61,10.08,2969400,6.959353
"13","MPW",2016-01-21,10.13,10.48,10.01,10.25,1646900,7.076724
"14","MPW",2016-01-22,10.29,10.78,10.29,10.77,1777900,7.435739
"15","MPW",2016-01-25,10.75,10.97,10.73,10.76,2824300,7.428833
"16","MPW",2016-01-26,10.77,10.95,10.71,10.91,1986200,7.532397
"17","MPW",2016-01-27,10.9,10.9,10.51,10.61,2098900,7.325272
"18","MPW",2016-01-28,10.63,10.81,10.57,10.6,1650600,7.318368
"19","MPW",2016-01-29,10.69,11.02,10.67,11,2150800,7.594532
"20","MPW",2016-02-01,10.85,10.99,10.77,10.85,1920000,7.490973
"21","MPW",2016-02-02,10.82,10.82,10.6,10.71,1417700,7.394312
"22","MPW",2016-02-03,10.76,11.2,10.73,11.11,1546600,7.670478
"23","MPW",2016-02-04,11.04,11.25,10.98,11.22,1834500,7.746425
"24","MPW",2016-02-05,11.16,11.17,10.96,10.97,1646800,7.573821
"25","MPW",2016-02-08,10.9,10.99,10.29,10.6,2098600,7.318368
"26","MPW",2016-02-09,10.41,10.6,10.04,10.22,2862200,7.056013
"27","MPW",2016-02-10,10.23,10.56,10.19,10.34,1476700,7.138863
"28","MPW",2016-02-11,10.19,10.21,9.78,9.86,2708100,6.807464
"29","MPW",2016-02-12,9.9,10.18,9.81,10.05,1475700,6.938643
"30","MPW",2016-02-16,10.1,10.47,10.05,10.46,1535100,7.221711
"31","MPW",2016-02-17,10.51,10.82,10.5,10.58,1741800,7.304561
"32","MPW",2016-02-18,10.61,10.79,10.52,10.74,1459300,7.415025
"33","MPW",2016-02-19,10.7,10.86,10.61,10.79,1489300,7.449548
"34","MPW",2016-02-22,10.92,11.16,10.9,11.1,1679400,7.663576
"35","MPW",2016-02-23,11.05,11.18,11.02,11.08,1676400,7.649766
"36","MPW",2016-02-24,11,11.14,10.82,11.14,1483100,7.691193
"37","MPW",2016-02-25,11.18,11.55,11.12,11.54,1445300,7.967357
"38","MPW",2016-02-26,11.54,11.72,11.42,11.57,1691800,7.988067
"39","MPW",2016-02-29,11.58,11.79,11.55,11.57,2131800,7.988067
"40","MPW",2016-03-01,11.66,12,11.65,12,1707400,8.284943
"41","MPW",2016-03-02,11.98,12.18,11.83,12.11,1521800,8.360889
"42","MPW",2016-03-03,12.13,12.16,11.99,12.06,1511200,8.32637
"43","MPW",2016-03-04,12.08,12.12,11.95,12.11,1752900,8.360889
"44","MPW",2016-03-07,12.05,12.29,11.86,12.27,1527400,8.471357
"45","MPW",2016-03-08,12.25,12.28,11.98,12,2200100,8.284943
"46","MPW",2016-03-09,12.03,12.23,12.02,12.11,978700,8.360889
"47","MPW",2016-03-10,12.12,12.19,11.77,11.97,1195600,8.264233
"48","MPW",2016-03-11,12.07,12.38,12.05,12.37,1783900,8.540399
"49","MPW",2016-03-14,12.35,12.51,12.31,12.49,1497900,8.623248
"50","MPW",2016-03-15,12.22,12.22,11.87,12.07,1527000,8.482688
"51","MPW",2016-03-16,12.02,12.44,11.97,12.4,1569900,8.71461
"52","MPW",2016-03-17,12.4,12.66,12.35,12.64,1875300,8.883279
"53","MPW",2016-03-18,12.7,12.72,12.52,12.56,2252100,8.827056
"54","MPW",2016-03-21,12.52,12.58,12.24,12.26,1214400,8.61622
"55","MPW",2016-03-22,12.2,12.61,12.07,12.6,2890700,8.855167
"56","MPW",2016-03-23,12.55,12.7,12.51,12.56,1940900,8.827056
"57","MPW",2016-03-24,12.47,12.49,12.31,12.39,2708100,8.707582
"58","MPW",2016-03-28,12.42,12.81,12.41,12.8,1515200,8.995726
"59","MPW",2016-03-29,12.77,13.26,12.73,13.22,2882100,9.290901
"60","MPW",2016-03-30,13.25,13.29,12.85,12.92,2296800,9.080061
"61","MPW",2016-03-31,12.91,13.09,12.9,12.98,2959700,9.12223
"62","MPW",2016-04-01,12.88,12.94,12.74,12.87,1900000,9.04492
"63","MPW",2016-04-04,12.88,12.92,12.69,12.72,1863300,8.939503
"64","MPW",2016-04-05,12.66,12.95,12.65,12.89,1568900,9.058977
"65","MPW",2016-04-06,12.88,12.97,12.61,12.96,2074700,9.108173
"66","MPW",2016-04-07,12.88,13.11,12.83,12.96,2447300,9.108173
"67","MPW",2016-04-08,13.05,13.22,13,13.13,1503000,9.227647
"68","MPW",2016-04-11,13.22,13.41,13.13,13.22,1611100,9.290901
"69","MPW",2016-04-12,13.23,13.35,13.2,13.22,1137500,9.290901
"70","MPW",2016-04-13,13.31,13.4,13.21,13.39,1482000,9.410375
"71","MPW",2016-04-14,13.39,13.41,13.15,13.28,1111200,9.333065
"72","MPW",2016-04-15,13.28,13.49,13.26,13.41,1128200,9.424429
"73","MPW",2016-04-18,13.37,13.49,13.34,13.47,962100,9.466598
"74","MPW",2016-04-19,13.5,13.57,13.36,13.4,1275400,9.417401
"75","MPW",2016-04-20,13.42,13.47,13.16,13.18,1507500,9.262788
"76","MPW",2016-04-21,13.19,13.23,12.67,12.74,2859600,8.953557
"77","MPW",2016-04-22,12.72,13.12,12.72,13.07,1349100,9.185479
"78","MPW",2016-04-25,13.08,13.19,13,13.19,1073900,9.269815
"79","MPW",2016-04-26,13.23,13.51,13.14,13.45,1680100,9.452539
"80","MPW",2016-04-27,13.42,13.6,13.35,13.57,1114900,9.536875
"81","MPW",2016-04-28,13.47,13.62,13.39,13.52,1010000,9.501737
"82","MPW",2016-04-29,13.46,13.52,13.12,13.31,1605600,9.35415
"83","MPW",2016-05-02,13.37,13.64,13.36,13.59,1362300,9.550929
"84","MPW",2016-05-03,13.5,13.62,13.45,13.57,1667400,9.536875
"85","MPW",2016-05-04,13.57,14.19,13.51,14.11,2141200,9.916382
"86","MPW",2016-05-05,14.18,14.25,14.07,14.09,1495600,9.902328
"87","MPW",2016-05-06,14.05,14.36,13.95,14.34,1802500,10.078024
"88","MPW",2016-05-09,14.37,14.66,14.37,14.49,2725400,10.183442
"89","MPW",2016-05-10,14.52,14.55,14.18,14.49,1325800,10.183442
"90","MPW",2016-05-11,14.47,14.48,14.1,14.26,1121500,10.021802
"91","MPW",2016-05-12,14.32,14.4,14.15,14.37,1419200,10.099109
"92","MPW",2016-05-13,14.32,14.37,14.09,14.32,1014800,10.063968
"93","MPW",2016-05-16,14.28,14.48,14.22,14.4,1041600,10.120193
"94","MPW",2016-05-17,14.32,14.4,13.92,14.13,1519100,9.930437
"95","MPW",2016-05-18,14.08,14.08,13.54,13.75,1794300,9.663377
"96","MPW",2016-05-19,13.76,13.83,13.61,13.82,3979700,9.712574
"97","MPW",2016-05-20,13.91,14.14,13.88,14.08,38407200,9.895298
"98","MPW",2016-05-23,14.11,14.3,14.05,14.13,2435600,9.930437
"99","MPW",2016-05-24,14.28,14.5,14.24,14.44,3363900,10.148302
"100","MPW",2016-05-25,14.48,14.51,14.12,14.47,1982800,10.169388
"101","MPW",2016-05-26,14.49,14.62,14.4,14.53,1529800,10.211555
"102","MPW",2016-05-27,14.5,14.7,14.47,14.65,1533600,10.295891
"103","MPW",2016-05-31,14.66,14.72,14.51,14.7,1981500,10.331029
"104","MPW",2016-06-01,14.62,14.77,14.6,14.67,2250300,10.309944
"105","MPW",2016-06-02,14.62,14.84,14.55,14.84,2199400,10.42942
"106","MPW",2016-06-03,14.96,15.06,14.76,14.87,2460200,10.450503
"107","MPW",2016-06-06,14.89,14.97,14.71,14.81,2929700,10.408337
"108","MPW",2016-06-07,14.85,14.92,14.76,14.88,1933800,10.45753
"109","MPW",2016-06-08,14.88,15.11,14.82,15.1,1807700,10.612144
"110","MPW",2016-06-09,15.1,15.18,14.99,15.1,2452600,10.612144
"111","MPW",2016-06-10,15,15.16,14.96,15.1,1629300,10.612144
"112","MPW",2016-06-13,15.12,15.29,15.07,15.09,1879700,10.605119
"113","MPW",2016-06-14,14.88,14.93,14.66,14.75,1641700,10.526614
"114","MPW",2016-06-15,14.75,14.9,14.71,14.74,2615400,10.519476
"115","MPW",2016-06-16,14.66,14.86,14.61,14.83,1757600,10.58371
"116","MPW",2016-06-17,14.87,14.91,14.72,14.89,2644100,10.626527
"117","MPW",2016-06-20,14.95,15.09,14.88,14.9,1356100,10.633664
"118","MPW",2016-06-21,14.9,15.08,14.85,15.02,1638900,10.719305
"119","MPW",2016-06-22,15.02,15.12,14.97,14.99,1871700,10.697895
"120","MPW",2016-06-23,15.09,15.17,15.06,15.13,2099300,10.797808
"121","MPW",2016-06-24,14.76,15.21,14.65,15.03,5402100,10.72644
"122","MPW",2016-06-27,14.97,15.11,14.75,15.05,2636500,10.740715
"123","MPW",2016-06-28,15.18,15.36,15.02,15.29,3026400,10.911995
"124","MPW",2016-06-29,15.36,15.5,15.29,15.49,2554400,11.054729
"125","MPW",2016-06-30,15.47,15.5,15.03,15.21,10929400,10.854902
"126","MPW",2016-07-01,15.1,15.37,14.94,15.06,6748900,10.747852
"127","MPW",2016-07-05,15.1,15.22,14.32,14.7,7283600,10.490932
"128","MPW",2016-07-06,14.7,15,14.57,14.99,3861900,10.697895
"129","MPW",2016-07-07,14.98,14.99,14.7,14.8,2466700,10.562297
"130","MPW",2016-07-08,14.95,15.16,14.92,15.13,2365600,10.797808
"131","MPW",2016-07-11,15.18,15.33,15.11,15.23,3013000,10.869175
"132","MPW",2016-07-12,15.28,15.29,15.1,15.14,2208900,10.804946
"133","MPW",2016-07-13,15.19,15.27,15.05,15.25,1660400,10.883449
"134","MPW",2016-07-14,15.2,15.21,15.02,15.04,1201400,10.733578
"135","MPW",2016-07-15,15.09,15.13,14.9,15.08,1525800,10.762128
"136","MPW",2016-07-18,15.05,15.43,14.97,15.42,2587900,11.004772
"137","MPW",2016-07-19,15.46,15.63,15.32,15.61,2139000,11.140368
"138","MPW",2016-07-20,15.65,15.73,15.57,15.67,1815200,11.18319
"139","MPW",2016-07-21,15.59,15.7,15.54,15.69,1397500,11.197461
"140","MPW",2016-07-22,15.74,15.92,15.74,15.8,1538900,11.275966
"141","MPW",2016-07-25,15.78,15.79,15.59,15.72,1470000,11.218874
"142","MPW",2016-07-26,15.71,15.76,15.52,15.64,1554600,11.161778
"143","MPW",2016-07-27,15.66,15.66,15.31,15.52,1601000,11.076138
"144","MPW",2016-07-28,15.48,15.77,15.43,15.59,1362800,11.126095
"145","MPW",2016-07-29,15.56,15.82,15.54,15.7,2311600,11.204599
"146","MPW",2016-08-01,15.65,15.72,15.53,15.69,1424300,11.197461
"147","MPW",2016-08-02,15.65,15.74,15.38,15.43,2205800,11.01191
"148","MPW",2016-08-03,15.44,15.45,15.13,15.29,2571000,10.911995
"149","MPW",2016-08-04,15.46,15.49,15.1,15.36,1588400,10.961952
"150","MPW",2016-08-05,15.46,15.6,15.36,15.46,1742900,11.033319
"151","MPW",2016-08-08,15.5,15.6,15.4,15.53,1162800,11.083274
"152","MPW",2016-08-09,15.53,15.63,15.44,15.6,1077000,11.133233
"153","MPW",2016-08-10,15.63,15.7,15.42,15.45,2552700,11.026183
"154","MPW",2016-08-11,15.43,15.47,15.28,15.3,1331200,10.919132
"155","MPW",2016-08-12,15.36,15.71,15.27,15.42,1436000,11.004772
"156","MPW",2016-08-15,15.41,15.61,15.41,15.52,1555300,11.076138
"157","MPW",2016-08-16,15.48,15.52,15.27,15.31,1231000,10.926267
"158","MPW",2016-08-17,15.35,15.43,15.15,15.38,1792200,10.976224
"159","MPW",2016-08-18,15.4,15.51,15.2,15.24,2747300,10.876314
"160","MPW",2016-08-19,15.23,15.44,15.21,15.39,2740400,10.983363
"161","MPW",2016-08-22,15.36,15.43,15.28,15.41,1290800,10.997635
"162","MPW",2016-08-23,15.51,15.65,15.45,15.62,1922200,11.147507
"163","MPW",2016-08-24,15.65,15.74,15.28,15.36,2008200,10.961952
"164","MPW",2016-08-25,15.3,15.4,15.22,15.32,2078800,10.933403
"165","MPW",2016-08-26,15.39,15.52,15.03,15.09,2551400,10.769262
"166","MPW",2016-08-29,15.15,15.42,15.15,15.25,1431500,10.883449
"167","MPW",2016-08-30,15.26,15.31,15.13,15.24,1796200,10.876314
"168","MPW",2016-08-31,15.2,15.3,15.09,15.27,4425400,10.897721
"169","MPW",2016-09-01,15.25,15.28,14.93,15.05,2505200,10.740715
"170","MPW",2016-09-02,15.16,15.38,15.14,15.21,2503200,10.854902
"171","MPW",2016-09-06,15.3,15.43,15.14,15.37,2177500,10.969088
"172","MPW",2016-09-07,15.38,15.57,15.35,15.46,4391500,11.033319
"173","MPW",2016-09-08,15.38,15.42,14.97,15.01,4296800,10.712169
"174","MPW",2016-09-09,14.92,14.92,14.03,14.09,5373900,10.055594
"175","MPW",2016-09-12,14.01,14.35,13.98,14.27,2653100,10.184052
"176","MPW",2016-09-13,13.97,14.04,13.64,13.74,3339800,9.966445
"177","MPW",2016-09-14,13.74,13.98,13.73,13.85,2274700,10.046234
"178","MPW",2016-09-15,13.88,14.03,13.82,13.98,2223100,10.140532
"179","MPW",2016-09-16,13.95,14.09,13.85,14.08,3871300,10.213066
"180","MPW",2016-09-19,14.11,14.27,14.09,14.23,1694000,10.321871
"181","MPW",2016-09-20,14.34,14.42,14.27,14.33,2111000,10.394407
"182","MPW",2016-09-21,14.32,14.58,14.17,14.51,1847100,10.524974
"183","MPW",2016-09-22,14.66,14.88,14.65,14.88,1678200,10.793357
"184","MPW",2016-09-23,14.82,15.02,14.73,14.96,1980600,10.851384
"185","MPW",2016-09-26,14.91,15.04,14.82,14.99,1405800,10.873143
"186","MPW",2016-09-27,14.57,14.98,14.54,14.8,45831200,10.735327
"187","MPW",2016-09-28,14.73,15.12,14.73,15.11,9657800,10.960188
"188","MPW",2016-09-29,15.11,15.19,14.82,15.13,9636700,10.974696
"189","MPW",2016-09-30,15.17,15.34,14.76,14.77,5949500,10.713566
"190","MPW",2016-10-03,14.83,14.86,14.52,14.57,3430300,10.568493
"191","MPW",2016-10-04,14.6,14.6,14.27,14.47,5873700,10.495958
"192","MPW",2016-10-05,14.54,14.65,13.99,14.01,4910700,10.162292
"193","MPW",2016-10-06,13.93,14.26,13.77,14.17,3632200,10.278352
"194","MPW",2016-10-07,14.26,14.55,14.03,14.21,5507400,10.307364
"195","MPW",2016-10-10,14.3,14.62,14.27,14.42,3664300,10.459689
"196","MPW",2016-10-11,14.38,14.46,14.13,14.25,3163300,10.336379
"197","MPW",2016-10-12,14.28,14.44,14.14,14.37,2139600,10.423422
"198","MPW",2016-10-13,14.32,14.61,14.25,14.54,3453300,10.546734
"199","MPW",2016-10-14,14.57,14.73,14.39,14.55,6524000,10.553988
"200","MPW",2016-10-17,14.55,14.6,14.46,14.51,2364000,10.524974
"201","MPW",2016-10-18,14.64,14.84,14.54,14.69,2076700,10.655538
"202","MPW",2016-10-19,14.69,14.79,14.59,14.67,1855300,10.64103
"203","MPW",2016-10-20,14.6,14.83,14.59,14.78,2197200,10.720819
