"","symbol","date","open","high","low","close","volume","adjusted"
"1","MRVL",2016-01-04,8.67,8.84,8.63,8.8,6680500,8.221336
"2","MRVL",2016-01-05,8.74,8.85,8.5,8.52,4968600,7.95975
"3","MRVL",2016-01-06,8.43,8.44,8.03,8.05,7374500,7.520654
"4","MRVL",2016-01-07,7.92,8.17,7.85,8.13,6480400,7.595393
"5","MRVL",2016-01-08,8.34,8.34,8.16,8.22,5879800,7.679474
"6","MRVL",2016-01-11,8.24,8.36,8.17,8.32,4981200,7.772899
"7","MRVL",2016-01-12,8.41,8.65,8.3,8.48,5152300,7.922379
"8","MRVL",2016-01-13,8.55,8.65,8.15,8.29,5745700,7.744871
"9","MRVL",2016-01-14,8.26,8.49,8.13,8.34,5135500,7.791582
"10","MRVL",2016-01-15,8.12,8.24,7.96,8.11,6940200,7.576706
"11","MRVL",2016-01-19,8.43,8.43,7.73,7.77,6357400,7.259064
"12","MRVL",2016-01-20,7.63,8,7.4,7.91,6162400,7.389858
"13","MRVL",2016-01-21,7.94,8.19,7.78,8.11,7685500,7.576706
"14","MRVL",2016-01-22,8.25,8.34,8.13,8.18,3901300,7.642107
"15","MRVL",2016-01-25,8.13,8.32,8.07,8.18,4315900,7.642107
"16","MRVL",2016-01-26,8.19,8.42,8.15,8.32,4474000,7.772899
"17","MRVL",2016-01-27,8.26,8.38,8.03,8.19,4910400,7.651446
"18","MRVL",2016-01-28,8.26,8.39,8.18,8.38,4550600,7.828954
"19","MRVL",2016-01-29,8.37,8.86,8.37,8.85,6687600,8.268046
"20","MRVL",2016-02-01,8.71,9.09,8.55,8.93,6969500,8.342787
"21","MRVL",2016-02-02,8.85,8.95,8.63,8.67,10769000,8.099883
"22","MRVL",2016-02-03,9.01,9.31,8.63,9.27,15421100,8.660433
"23","MRVL",2016-02-04,9.12,9.5,9,9.3,4798500,8.688458
"24","MRVL",2016-02-05,9.33,9.33,8.94,8.96,4278300,8.370815
"25","MRVL",2016-02-08,8.92,8.96,8.72,8.85,5644700,8.268046
"26","MRVL",2016-02-09,8.68,8.91,8.62,8.7,5845900,8.127912
"27","MRVL",2016-02-10,8.72,8.88,8.54,8.58,4566100,8.015803
"28","MRVL",2016-02-11,8.5,8.57,8.32,8.41,3706400,7.856981
"29","MRVL",2016-02-12,8.44,8.73,8.42,8.61,2367200,8.043829
"30","MRVL",2016-02-16,8.66,9.12,8.66,9.12,3157600,8.520293
"31","MRVL",2016-02-17,9.21,9.39,9.1,9.3,4775900,8.688458
"32","MRVL",2016-02-18,9.53,9.77,9.21,9.28,5346000,8.66977
"33","MRVL",2016-02-19,9.31,9.37,9.05,9.16,4008200,8.557663
"34","MRVL",2016-02-22,9.14,9.39,9.14,9.3,4719300,8.688458
"35","MRVL",2016-02-23,9.3,9.4,9.22,9.26,4349600,8.651086
"36","MRVL",2016-02-24,9.17,9.54,9.09,9.49,4038800,8.865966
"37","MRVL",2016-02-25,9.51,9.59,9.29,9.55,3211900,8.922017
"38","MRVL",2016-02-26,9.6,9.64,9.46,9.54,6593400,8.912674
"39","MRVL",2016-02-29,9.58,9.73,9.51,9.55,3301600,8.922017
"40","MRVL",2016-03-01,9.8,9.95,9.71,9.75,6725500,9.108866
"41","MRVL",2016-03-02,9.75,10.02,9.69,9.94,7995600,9.28637
"42","MRVL",2016-03-03,10,10.02,9.69,9.8,5242600,9.155579
"43","MRVL",2016-03-04,9.61,9.85,9.55,9.75,4062100,9.108866
"44","MRVL",2016-03-07,10.01,10.19,9.78,10.17,5828100,9.501248
"45","MRVL",2016-03-08,9.81,10.05,9.7,9.84,4218600,9.192948
"46","MRVL",2016-03-09,9.9,9.9,9.72,9.87,3312600,9.220973
"47","MRVL",2016-03-10,9.9,10.02,9.82,10,4278900,9.342427
"48","MRVL",2016-03-11,10.02,10.3,10.02,10.28,2898400,9.604014
"49","MRVL",2016-03-14,10.15,10.33,10.15,10.26,4123600,9.58533
"50","MRVL",2016-03-15,10.19,10.24,10.17,10.22,3026200,9.547961
"51","MRVL",2016-03-16,10.16,10.39,10.13,10.27,3438500,9.594672
"52","MRVL",2016-03-17,10.22,10.36,10.08,10.27,3323500,9.594672
"53","MRVL",2016-03-18,10.22,10.38,10.22,10.37,4500900,9.688093
"54","MRVL",2016-03-21,10.37,10.52,10.26,10.48,2258100,9.790864
"55","MRVL",2016-03-22,10.37,10.51,10.29,10.41,4377100,9.725466
"56","MRVL",2016-03-23,10.33,10.4,10.22,10.29,2809500,9.613356
"57","MRVL",2016-03-24,10.14,10.26,10.05,10.24,1766100,9.622753
"58","MRVL",2016-03-28,10.24,10.26,10.13,10.19,2036400,9.575768
"59","MRVL",2016-03-29,10.11,10.38,10.04,10.31,3e+06,9.688536
"60","MRVL",2016-03-30,10.2,10.4,10.2,10.32,2678700,9.69793
"61","MRVL",2016-03-31,10.32,10.49,10.3,10.31,5217800,9.688536
"62","MRVL",2016-04-01,9.83,10.04,9.74,9.94,8303900,9.340836
"63","MRVL",2016-04-04,9.95,10,9.57,9.62,4192400,9.040126
"64","MRVL",2016-04-05,10.74,10.93,10.55,10.88,20773200,10.224178
"65","MRVL",2016-04-06,10.99,11,10.61,10.91,9489600,10.252365
"66","MRVL",2016-04-07,10.75,10.98,10.67,10.69,4231300,10.04563
"67","MRVL",2016-04-08,10.8,10.93,10.48,10.52,3030500,9.885877
"68","MRVL",2016-04-11,10.61,10.88,10.54,10.69,2787600,10.04563
"69","MRVL",2016-04-12,10.69,10.72,10.57,10.66,2196200,10.017437
"70","MRVL",2016-04-13,10.71,10.86,10.66,10.78,3027100,10.130203
"71","MRVL",2016-04-14,10.68,10.74,10.23,10.46,7814700,9.829494
"72","MRVL",2016-04-15,10.37,10.43,10.14,10.18,5593800,9.566369
"73","MRVL",2016-04-18,10.09,10.13,9.88,9.9,11158000,9.303246
"74","MRVL",2016-04-19,9.96,10,9.76,9.8,4254000,9.209277
"75","MRVL",2016-04-20,9.77,9.97,9.72,9.88,3549800,9.284456
"76","MRVL",2016-04-21,9.91,9.95,9.78,9.81,2014300,9.218673
"77","MRVL",2016-04-22,9.95,10.44,9.95,10.18,7376700,9.566369
"78","MRVL",2016-04-25,10.18,10.23,9.92,9.95,3628700,9.350234
"79","MRVL",2016-04-26,9.98,10.1,9.96,9.96,3403700,9.35963
"80","MRVL",2016-04-27,9.92,10.39,9.92,10.38,6272600,9.754315
"81","MRVL",2016-04-28,10.36,10.88,10.26,10.44,9517300,9.810698
"82","MRVL",2016-04-29,10.41,10.48,9.91,9.98,10192900,9.378427
"83","MRVL",2016-05-02,9.92,10.01,9.68,9.75,5410200,9.162291
"84","MRVL",2016-05-03,9.85,9.91,9.6,9.65,5548900,9.06832
"85","MRVL",2016-05-04,9.63,9.72,9.42,9.48,4054200,8.908565
"86","MRVL",2016-05-05,9.51,9.58,9.34,9.55,4732200,8.974345
"87","MRVL",2016-05-06,9.48,9.57,9.43,9.57,2563800,8.99314
"88","MRVL",2016-05-09,9.86,10,9.57,9.66,4059000,9.077716
"89","MRVL",2016-05-10,9.89,9.89,9.57,9.74,2617300,9.152892
"90","MRVL",2016-05-11,9.69,9.81,9.65,9.72,1899100,9.134101
"91","MRVL",2016-05-12,9.76,9.8,9.39,9.51,2306300,8.936757
"92","MRVL",2016-05-13,9.55,9.68,9.45,9.52,2844600,8.946155
"93","MRVL",2016-05-16,9.55,9.76,9.53,9.7,2890500,9.115304
"94","MRVL",2016-05-17,9.71,9.9,9.6,9.73,2935500,9.143496
"95","MRVL",2016-05-18,9.68,10.05,9.56,9.8,3023400,9.209277
"96","MRVL",2016-05-19,9.75,9.92,9.65,9.73,3976400,9.143496
"97","MRVL",2016-05-20,9.85,10.01,9.81,9.94,6322300,9.340836
"98","MRVL",2016-05-23,9.94,10.08,9.91,9.93,5205900,9.331444
"99","MRVL",2016-05-24,9.96,10.04,9.91,10.01,3366100,9.406616
"100","MRVL",2016-05-25,10.03,10.16,9.9,10.06,3946200,9.453604
"101","MRVL",2016-05-26,10.11,10.2,10.05,10.15,8219200,9.538179
"102","MRVL",2016-05-27,10.15,10.26,10.04,10.07,3778600,9.462999
"103","MRVL",2016-05-31,9.55,10.29,9.52,10.23,4917100,9.613356
"104","MRVL",2016-06-01,10.19,10.26,10.13,10.25,2125200,9.63215
"105","MRVL",2016-06-02,10.19,10.31,10.16,10.28,2437900,9.66034
"106","MRVL",2016-06-03,10.26,10.3,10.1,10.17,2375800,9.556973
"107","MRVL",2016-06-06,10.18,10.2,9.99,10.01,3522100,9.406616
"108","MRVL",2016-06-07,10.07,10.14,10.04,10.1,3627600,9.491194
"109","MRVL",2016-06-08,10.09,10.22,10.05,10.18,4548200,9.566369
"110","MRVL",2016-06-09,9.95,10.3,9.95,10.26,3246400,9.641549
"111","MRVL",2016-06-10,9.79,10.12,9.54,9.82,19122400,9.282353
"112","MRVL",2016-06-13,9.7,9.81,9.59,9.71,5710900,9.178376
"113","MRVL",2016-06-14,9.68,9.97,9.67,9.91,8743300,9.367424
"114","MRVL",2016-06-15,9.96,10.14,9.93,10.04,4194300,9.49031
"115","MRVL",2016-06-16,10.02,10.35,9.91,10.31,5900400,9.745526
"116","MRVL",2016-06-17,10.32,10.34,10,10.02,6536500,9.471402
"117","MRVL",2016-06-20,10.16,10.34,10.07,10.14,4919100,9.584832
"118","MRVL",2016-06-21,10.2,10.28,10.05,10.09,9349500,9.537568
"119","MRVL",2016-06-22,10.1,10.27,10.04,10.22,6834900,9.660453
"120","MRVL",2016-06-23,10.31,10.42,10.22,10.41,3811000,9.84005
"121","MRVL",2016-06-24,10.03,10.14,9.77,9.78,7979700,9.244543
"122","MRVL",2016-06-27,9.66,9.71,9.05,9.12,8938700,8.620678
"123","MRVL",2016-06-28,9.23,9.33,9.13,9.23,5383100,8.724656
"124","MRVL",2016-06-29,9.34,9.47,9.28,9.44,4258700,8.92316
"125","MRVL",2016-06-30,9.47,9.56,9.35,9.53,5310800,9.008229
"126","MRVL",2016-07-01,9.5,9.62,9.49,9.53,2512500,9.008229
"127","MRVL",2016-07-05,9.54,9.54,9.31,9.37,2037600,8.856991
"128","MRVL",2016-07-06,9.33,9.46,9.13,9.44,2573700,8.92316
"129","MRVL",2016-07-07,9.63,9.78,9.56,9.77,4868100,9.235091
"130","MRVL",2016-07-08,9.82,10,9.8,10,3384500,9.452498
"131","MRVL",2016-07-11,10.08,10.2,9.99,10,2556600,9.452498
"132","MRVL",2016-07-12,10.25,10.32,10.04,10.05,4392900,9.499763
"133","MRVL",2016-07-13,10.07,10.17,10,10.01,3237100,9.461951
"134","MRVL",2016-07-14,10.1,10.15,10.02,10.09,1845500,9.537568
"135","MRVL",2016-07-15,10.1,10.18,9.99,10,1946300,9.452498
"136","MRVL",2016-07-18,10.1,10.24,9.91,10.08,5289000,9.528119
"137","MRVL",2016-07-19,10.01,10.08,9.68,9.85,6764400,9.310712
"138","MRVL",2016-07-20,10.4,11.4,10.37,11.24,26370400,10.624609
"139","MRVL",2016-07-21,11.18,11.29,11.02,11.28,12722400,10.662417
"140","MRVL",2016-07-22,11.37,11.71,11.24,11.71,13958800,11.068876
"141","MRVL",2016-07-25,11.67,11.72,11.49,11.54,9962300,10.908181
"142","MRVL",2016-07-26,11.6,11.72,11.49,11.64,12087100,11.002707
"143","MRVL",2016-07-27,11.75,11.9,11.47,11.67,9173100,11.031065
"144","MRVL",2016-07-28,12,12.05,11.51,11.89,17393700,11.239019
"145","MRVL",2016-07-29,11.88,12,11.64,11.75,9856500,11.106688
"146","MRVL",2016-08-01,11.8,11.95,11.72,11.85,8221900,11.201212
"147","MRVL",2016-08-02,11.84,11.88,11.36,11.36,5784300,10.738037
"148","MRVL",2016-08-03,11.31,11.41,11.27,11.3,5348600,10.681324
"149","MRVL",2016-08-04,11.3,11.49,11.27,11.41,3882800,10.785298
"150","MRVL",2016-08-05,11.46,11.51,11.4,11.41,2374700,10.785298
"151","MRVL",2016-08-08,11.46,11.55,11.37,11.41,3892700,10.785298
"152","MRVL",2016-08-09,11.42,11.62,11.42,11.59,4307200,10.955443
"153","MRVL",2016-08-10,11.59,11.59,11.41,11.47,2495900,10.842015
"154","MRVL",2016-08-11,11.5,11.54,11.34,11.42,2969300,10.794751
"155","MRVL",2016-08-12,11.44,11.51,11.38,11.4,2273300,10.775846
"156","MRVL",2016-08-15,11.39,11.74,11.3,11.7,6660700,11.059423
"157","MRVL",2016-08-16,11.69,11.73,11.52,11.54,2254100,10.908181
"158","MRVL",2016-08-17,11.47,11.64,11.42,11.61,3775800,10.974349
"159","MRVL",2016-08-18,11.64,11.7,11.38,11.65,2948000,11.012158
"160","MRVL",2016-08-19,11.72,12.23,11.68,12.15,8795300,11.484784
"161","MRVL",2016-08-22,12.18,12.46,12.04,12.43,8211600,11.749454
"162","MRVL",2016-08-23,12.56,12.58,12.17,12.22,3464900,11.550951
"163","MRVL",2016-08-24,12.22,12.39,12.05,12.11,2806300,11.446975
"164","MRVL",2016-08-25,12.13,12.27,12.09,12.18,2614200,11.513144
"165","MRVL",2016-08-26,12.14,12.46,12.14,12.27,4581500,11.598214
"166","MRVL",2016-08-29,12.4,12.6,12.28,12.3,2659700,11.626573
"167","MRVL",2016-08-30,12.27,12.48,12.17,12.3,3011600,11.626573
"168","MRVL",2016-08-31,12.42,12.59,12.29,12.4,4895700,11.721099
"169","MRVL",2016-09-01,12.45,12.88,12.4,12.87,8178900,12.165367
"170","MRVL",2016-09-02,12.96,13.06,12.7,13.01,7731500,12.297698
"171","MRVL",2016-09-06,12.51,12.94,12.13,12.94,21742600,12.231533
"172","MRVL",2016-09-07,12.57,12.82,12.55,12.63,7478100,11.938506
"173","MRVL",2016-09-08,12.59,12.83,12.52,12.55,6410300,11.862885
"174","MRVL",2016-09-09,12.54,12.69,12.09,12.31,6891500,11.636024
"175","MRVL",2016-09-12,12.07,12.54,12.03,12.54,6237200,11.853432
"176","MRVL",2016-09-13,12.42,12.64,12.26,12.45,4178500,11.76836
"177","MRVL",2016-09-14,12.48,12.55,12.25,12.46,2831900,11.777813
"178","MRVL",2016-09-15,12.49,12.7,12.45,12.57,4361900,11.881791
"179","MRVL",2016-09-16,12.95,12.99,12.6,12.74,9954100,12.04248
"180","MRVL",2016-09-19,12.77,13.04,12.77,12.9,9254000,12.193721
"181","MRVL",2016-09-20,12.9,12.94,12.55,12.59,4774700,11.900696
"182","MRVL",2016-09-21,12.7,12.94,12.65,12.92,5813900,12.212628
"183","MRVL",2016-09-22,12.95,13.04,12.84,12.96,3400700,12.250438
"184","MRVL",2016-09-23,12.91,13.12,12.73,13.01,5332000,12.297698
"185","MRVL",2016-09-26,12.9,13.02,12.83,12.87,6302100,12.221729
"186","MRVL",2016-09-27,12.83,13.1,12.77,13.09,5479200,12.430649
"187","MRVL",2016-09-28,13.15,13.45,13.04,13.17,7100700,12.506618
"188","MRVL",2016-09-29,13.18,13.46,13.05,13.24,6707500,12.573092
"189","MRVL",2016-09-30,13.25,13.56,13.25,13.27,7375600,12.601582
"190","MRVL",2016-10-03,13.2,13.33,13,13.02,4013100,12.364176
"191","MRVL",2016-10-04,13.07,13.23,12.95,13.02,3315100,12.364176
"192","MRVL",2016-10-05,13.1,13.24,13.09,13.17,2248900,12.506618
"193","MRVL",2016-10-06,13.13,13.2,12.98,13.18,1914400,12.516117
"194","MRVL",2016-10-07,13.16,13.18,13.03,13.11,2538500,12.449639
"195","MRVL",2016-10-10,13.16,13.26,13.08,13.17,1666600,12.506618
"196","MRVL",2016-10-11,13.14,13.2,12.73,12.83,5039800,12.183745
"197","MRVL",2016-10-12,13.16,13.2,12.79,12.94,4371900,12.288202
"198","MRVL",2016-10-13,12.8,13.05,12.58,13,4670200,12.345181
"199","MRVL",2016-10-14,13.1,13.2,12.98,13,3459100,12.345181
"200","MRVL",2016-10-17,12.92,13.02,12.78,12.87,3287300,12.221729
"201","MRVL",2016-10-18,13,13.04,12.94,13.01,2187700,12.354677
"202","MRVL",2016-10-19,12.84,13.02,12.76,12.91,3772700,12.259716
"203","MRVL",2016-10-20,12.91,13.13,12.85,13.05,3425900,12.392664
"204","MRVL",2016-10-21,12.99,13.07,12.84,12.9,2681100,12.25022
"205","MRVL",2016-10-24,12.95,13.08,12.91,13.07,1943300,12.411654
"206","MRVL",2016-10-25,13.1,13.32,12.97,13.16,3577600,12.497123
"207","MRVL",2016-10-26,13.05,13.51,13.05,13.4,5967700,12.725032
"208","MRVL",2016-10-27,13.42,13.61,13.1,13.12,3973300,12.459135
"209","MRVL",2016-10-28,13.54,13.54,13.05,13.1,7224900,12.440146
