"","symbol","date","open","high","low","close","volume","adjusted"
"1","MTCH",2016-01-04,13.43,13.49,13.04,13.36,1771000,12.715523
"2","MTCH",2016-01-05,13.44,13.98,13.36,13.67,1307200,13.010569
"3","MTCH",2016-01-06,13.6,14.25,13.58,13.92,1661500,13.248509
"4","MTCH",2016-01-07,13.62,13.911,13.16,13.51,1210400,12.858288
"5","MTCH",2016-01-08,13.55,13.85,13.55,13.59,512200,12.934428
"6","MTCH",2016-01-11,13.6,14.13,13.49,13.73,597100,13.067674
"7","MTCH",2016-01-12,13.84,14.14,13.25,13.56,844700,12.905875
"8","MTCH",2016-01-13,13.78,13.83,13,13.295,972500,12.653659
"9","MTCH",2016-01-14,13.49,13.6,12.75,13.06,1792300,12.429996
"10","MTCH",2016-01-15,12.75,13.09,12.13,12.96,1589700,12.334819
"11","MTCH",2016-01-19,13,13.33,12.11,12.51,1457800,11.906527
"12","MTCH",2016-01-20,12.21,12.25,11.45,11.95,1526700,11.37354
"13","MTCH",2016-01-21,12.06,12.25,11.64,11.94,600900,11.364022
"14","MTCH",2016-01-22,12.46,12.46,11.88,12.22,1130500,11.630516
"15","MTCH",2016-01-25,12.57,12.77,11.83,11.97,546400,11.392576
"16","MTCH",2016-01-26,11.99,12.47,11.81,12.14,495800,11.554376
"17","MTCH",2016-01-27,12.27,12.5,11.83,11.96,462200,11.383059
"18","MTCH",2016-01-28,11.87,12.61,11.5,12.47,1065100,11.868456
"19","MTCH",2016-01-29,12.28,12.69,12.11,12.55,934800,11.944597
"20","MTCH",2016-02-01,12.11,12.95,12.03,12.79,1062600,12.173019
"21","MTCH",2016-02-02,12.72,12.825,12,12.19,2017300,11.601963
"22","MTCH",2016-02-03,9.98,10.82,9.17,10.66,6600400,10.145769
"23","MTCH",2016-02-04,10.21,10.55,8.75,9.76,5495400,9.289185
"24","MTCH",2016-02-05,9.78,9.99,9.29,9.3,1425900,8.851375
"25","MTCH",2016-02-08,9.03,9.75,9,9.19,885900,8.74668
"26","MTCH",2016-02-09,9,9.26,8.41,9.12,1866600,8.680058
"27","MTCH",2016-02-10,9.1,9.47,8.84,9.4,636100,8.94655
"28","MTCH",2016-02-11,9.21,9.95,9.05,9.7,1255100,9.232079
"29","MTCH",2016-02-12,9.6,10,9.44,9.82,1044900,9.34629
"30","MTCH",2016-02-16,10.11,10.5,9.85,10.19,1029700,9.698442
"31","MTCH",2016-02-17,10.18,10.71,10.06,10.11,1216300,9.6223
"32","MTCH",2016-02-18,10.18,10.77,9.93,10.44,964700,9.936381
"33","MTCH",2016-02-19,10.42,10.62,10.17,10.5,682700,9.993487
"34","MTCH",2016-02-22,10.49,10.73,10.38,10.47,801000,9.964935
"35","MTCH",2016-02-23,10.26,10.69,10.26,10.35,759900,9.850723
"36","MTCH",2016-02-24,10.49,10.65,10.115,10.58,558600,10.069628
"37","MTCH",2016-02-25,10.63,10.75,10.51,10.64,374500,10.126735
"38","MTCH",2016-02-26,10.65,10.7,10.5,10.61,407000,10.098181
"39","MTCH",2016-02-29,10.74,11.07,10.56,10.89,1029900,10.364675
"40","MTCH",2016-03-01,11.06,11.66,10.81,11.39,1073300,10.840555
"41","MTCH",2016-03-02,11.63,11.97,11.39,11.74,923200,11.173671
"42","MTCH",2016-03-03,11.81,12.3,11.72,11.97,1099700,11.392576
"43","MTCH",2016-03-04,12.15,12.18,11.49,11.52,620000,10.964284
"44","MTCH",2016-03-07,11.55,12,11.5,12,955000,11.421128
"45","MTCH",2016-03-08,11.93,12.05,11.38,11.53,856400,10.973801
"46","MTCH",2016-03-09,11.58,11.72,10.81,11.45,819700,10.89766
"47","MTCH",2016-03-10,11.54,11.71,11.185,11.29,405400,10.745378
"48","MTCH",2016-03-11,11.43,11.62,11.21,11.43,553400,10.878625
"49","MTCH",2016-03-14,11.45,11.68,11.18,11.24,1053700,10.69779
"50","MTCH",2016-03-15,11.14,11.31,10.74,11.16,640400,10.62165
"51","MTCH",2016-03-16,11.12,11.38,10.92,11.34,647500,10.792967
"52","MTCH",2016-03-17,11.33,11.48,11.01,11.2,1141600,10.659719
"53","MTCH",2016-03-18,11.29,11.4,10.48,10.66,3545300,10.145769
"54","MTCH",2016-03-21,10.69,10.92,10.537,10.9,745700,10.374191
"55","MTCH",2016-03-22,10.82,11.07,10.57,10.94,557200,10.412262
"56","MTCH",2016-03-23,10.9,11,10.56,10.72,445100,10.202875
"57","MTCH",2016-03-24,10.76,11.15,10.64,11.03,906600,10.49792
"58","MTCH",2016-03-28,11.13,11.18,10.75,10.87,546300,10.345639
"59","MTCH",2016-03-29,10.82,10.93,10.58,10.86,413800,10.336121
"60","MTCH",2016-03-30,11,11.22,10.81,10.93,738200,10.402745
"61","MTCH",2016-03-31,10.94,11.38,10.81,11.06,675100,10.526474
"62","MTCH",2016-04-01,11.02,11.64,10.84,11.58,1630200,11.021389
"63","MTCH",2016-04-04,11.52,11.7,11.06,11.35,974100,10.802485
"64","MTCH",2016-04-05,11.29,11.33,11.04,11.16,1292900,10.62165
"65","MTCH",2016-04-06,11.2,11.44,11.083,11.39,809300,10.840555
"66","MTCH",2016-04-07,11.35,11.38,10.91,10.97,958400,10.440815
"67","MTCH",2016-04-08,11.03,11.18,10.4,10.44,765600,9.936381
"68","MTCH",2016-04-11,10.48,10.58,10.11,10.24,833900,9.74603
"69","MTCH",2016-04-12,10.29,10.4,10.06,10.3,854100,9.803136
"70","MTCH",2016-04-13,10.43,10.65,10.23,10.62,530400,10.107698
"71","MTCH",2016-04-14,10.64,10.88,10.49,10.84,523300,10.317086
"72","MTCH",2016-04-15,10.85,11.6,10.77,11.34,2162200,10.792967
"73","MTCH",2016-04-18,11.75,11.83,11.29,11.64,1057400,11.078495
"74","MTCH",2016-04-19,11.85,11.85,11.37,11.485,768400,10.930971
"75","MTCH",2016-04-20,11.68,11.97,11.5,11.745,1060500,11.17843
"76","MTCH",2016-04-21,11.89,11.93,11.53,11.75,741700,11.183188
"77","MTCH",2016-04-22,11.96,11.97,11.32,11.73,891800,11.164153
"78","MTCH",2016-04-25,11.9,11.9,11.5,11.67,454000,11.107047
"79","MTCH",2016-04-26,11.75,11.9,11.56,11.7,432900,11.1356
"80","MTCH",2016-04-27,11.78,11.781,11.434,11.57,756000,11.011871
"81","MTCH",2016-04-28,11.75,11.77,11.4,11.44,349400,10.888143
"82","MTCH",2016-04-29,11.55,11.57,11.3,11.4,801200,10.850072
"83","MTCH",2016-05-02,11.5,11.531,11.14,11.29,1649300,10.745378
"84","MTCH",2016-05-03,11.52,11.52,10.72,11.16,1691500,10.62165
"85","MTCH",2016-05-04,12.01,14.19,12,12.81,5670400,12.192055
"86","MTCH",2016-05-05,12.99,13.58,12.4,12.88,991700,12.258678
"87","MTCH",2016-05-06,13,13.41,12.5,12.55,866100,11.944597
"88","MTCH",2016-05-09,12.74,13.43,12.7,13.19,1123800,12.553723
"89","MTCH",2016-05-10,13.44,14.48,13.2,14.25,1225400,13.56259
"90","MTCH",2016-05-11,14.5,14.66,14,14.54,829400,13.838601
"91","MTCH",2016-05-12,14.9,15.4,14.5,14.55,1327400,13.848119
"92","MTCH",2016-05-13,14.71,14.75,14.04,14.41,1181400,13.714871
"93","MTCH",2016-05-16,14.84,14.87,14.25,14.3,810400,13.610178
"94","MTCH",2016-05-17,14.64,14.77,14.3,14.49,537900,13.791013
"95","MTCH",2016-05-18,14.49,14.58,13.63,13.81,884900,13.143816
"96","MTCH",2016-05-19,13.75,13.96,13.07,13.44,868800,12.791663
"97","MTCH",2016-05-20,13.65,13.94,13.33,13.94,826200,13.267544
"98","MTCH",2016-05-23,13.9,14.19,13.74,14.05,1010100,13.372238
"99","MTCH",2016-05-24,14.18,14.2,13.86,14.04,480000,13.36272
"100","MTCH",2016-05-25,14.14,14.45,14.02,14.25,644100,13.56259
"101","MTCH",2016-05-26,14.33,14.334,13.522,13.64,666000,12.982017
"102","MTCH",2016-05-27,13.66,14.13,13.6,13.93,484300,13.258027
"103","MTCH",2016-05-31,14.12,14.14,13.7,14,1326400,13.32465
"104","MTCH",2016-06-01,14,14.1,13.31,13.45,687400,12.801182
"105","MTCH",2016-06-02,13.51,13.725,13.15,13.54,886800,12.88684
"106","MTCH",2016-06-03,13.53,13.58,13.15,13.21,1159400,12.572759
"107","MTCH",2016-06-06,13.3,13.87,13.23,13.41,519300,12.763111
"108","MTCH",2016-06-07,13.35,13.99,13.28,13.8,902200,13.134298
"109","MTCH",2016-06-08,13.95,14.32,13.75,13.99,1745200,13.315132
