"","symbol","date","open","high","low","close","volume","adjusted"
"1","MU",2016-01-04,13.83,14.36,13.81,14.33,22622300,14.294756
"2","MU",2016-01-05,14.42,15.08,14.36,14.82,29806700,14.78355
"3","MU",2016-01-06,14.5,14.69,14.11,14.22,26835100,14.185027
"4","MU",2016-01-07,13.86,14.27,13.63,13.66,26029200,13.626403
"5","MU",2016-01-08,13.78,13.95,13.29,13.33,29064200,13.297215
"6","MU",2016-01-11,13.37,13.46,12.21,12.53,43159100,12.499183
"7","MU",2016-01-12,12.72,13.24,12.4,12.72,25671300,12.688716
"8","MU",2016-01-13,12.78,12.97,11.91,12.06,35319800,12.030339
"9","MU",2016-01-14,12.08,12.26,11.53,12.02,35810400,11.990438
"10","MU",2016-01-15,11.35,11.66,10.91,11.08,37164600,11.05275
"11","MU",2016-01-19,11.28,11.37,10.71,10.8,38131300,10.773438
"12","MU",2016-01-20,10.38,10.39,9.31,10.05,65210400,10.025283
"13","MU",2016-01-21,10.45,10.9,10.13,10.85,52299100,10.823316
"14","MU",2016-01-22,11.18,11.57,10.88,11.07,35091300,11.042773
"15","MU",2016-01-25,11.06,11.17,10.47,10.48,23874800,10.454225
"16","MU",2016-01-26,10.55,10.72,10.36,10.55,26179500,10.524054
"17","MU",2016-01-27,10.5,10.83,10.32,10.39,23013500,10.364446
"18","MU",2016-01-28,10.48,10.55,9.71,9.89,37390400,9.865677
"19","MU",2016-01-29,9.99,11.05,9.94,11.03,38448100,11.002872
"20","MU",2016-02-01,11,11.1,10.51,10.96,25824800,10.933044
"21","MU",2016-02-02,10.8,11.07,10.48,10.59,22090300,10.563954
"22","MU",2016-02-03,10.67,10.86,10.18,10.76,18098100,10.733536
"23","MU",2016-02-04,10.71,11.55,10.7,11.23,26164100,11.202379
"24","MU",2016-02-05,11.15,11.38,10.76,11,22658100,10.972946
"25","MU",2016-02-08,10.71,10.76,9.94,10.17,27424400,10.144987
"26","MU",2016-02-09,10.01,10.34,9.75,9.98,30178600,9.955454
"27","MU",2016-02-10,10.08,10.28,9.82,9.9,22090500,9.875651
"28","MU",2016-02-11,9.72,9.95,9.45,9.69,27105700,9.666167
"29","MU",2016-02-12,9.88,10.24,9.48,10.02,23857000,9.995357
"30","MU",2016-02-16,10.36,10.87,10.31,10.81,27494100,10.783413
"31","MU",2016-02-17,10.97,11.65,10.92,11.43,34404700,11.401889
"32","MU",2016-02-18,11.57,11.75,11.32,11.49,21616100,11.46174
"33","MU",2016-02-19,11.39,11.39,10.95,11.16,17907100,11.132552
"34","MU",2016-02-22,11.37,11.44,10.9,11.05,20001700,11.022822
"35","MU",2016-02-23,11,11.08,10.39,10.49,22686800,10.4642
"36","MU",2016-02-24,10.25,10.67,10.06,10.64,18551800,10.613832
"37","MU",2016-02-25,10.67,10.74,10.21,10.72,16153900,10.693635
"38","MU",2016-02-26,10.79,11,10.57,10.7,16418800,10.673683
"39","MU",2016-02-29,10.65,10.89,10.52,10.63,20720000,10.603856
"40","MU",2016-03-01,10.77,11.1,10.59,11.07,15638700,11.042773
"41","MU",2016-03-02,11.01,11.69,10.97,11.68,18197500,11.651274
"42","MU",2016-03-03,11.73,11.85,11.6,11.79,16323300,11.761003
"43","MU",2016-03-04,11.8,12.29,11.6,11.88,35279500,11.850781
"44","MU",2016-03-07,11.46,11.78,11.05,11.58,27748800,11.551519
"45","MU",2016-03-08,11.44,11.45,10.65,10.66,29648400,10.633782
"46","MU",2016-03-09,10.76,10.91,10.53,10.81,15133800,10.783413
"47","MU",2016-03-10,10.95,11.06,10.66,10.88,17739000,10.853241
"48","MU",2016-03-11,10.99,11.4,10.85,11.39,17261200,11.361987
"49","MU",2016-03-14,11.34,11.34,11.01,11.15,13531300,11.122577
"50","MU",2016-03-15,11.15,11.15,10.72,10.85,15156500,10.823316
"51","MU",2016-03-16,10.71,10.89,10.55,10.72,20471800,10.693635
"52","MU",2016-03-17,10.72,11,10.6,10.87,19976800,10.843266
"53","MU",2016-03-18,10.84,11.17,10.75,11.14,44827100,11.112602
"54","MU",2016-03-21,11.14,11.6,11.08,11.53,18083000,11.501642
"55","MU",2016-03-22,11.45,11.6,11.33,11.44,13463400,11.411863
"56","MU",2016-03-23,11.43,11.46,10.63,10.65,29424300,10.623806
"57","MU",2016-03-24,10.5,10.6,10.33,10.5,22822800,10.474175
"58","MU",2016-03-28,10.5,10.59,10.25,10.38,22898800,10.35447
"59","MU",2016-03-29,10.18,10.53,10.1,10.45,30891600,10.424298
"60","MU",2016-03-30,10.51,10.95,10.4,10.48,35166700,10.454225
"61","MU",2016-03-31,10.31,10.49,10.01,10.47,48134200,10.44425
"62","MU",2016-04-01,10.28,11.07,10.24,11.03,28458300,11.002872
