"","symbol","date","open","high","low","close","volume","adjusted"
"1","M",2016-01-04,34.450001,35.889999,34.330002,35.790001,10916100,27.098894
"2","M",2016-01-05,36.650002,37.389999,36.23,36.959999,13382700,27.984774
"3","M",2016-01-06,36.349998,36.689999,35.73,36.150002,13051000,27.371477
"4","M",2016-01-07,36.549999,38.450001,36.290001,36.889999,18245300,27.931772
"5","M",2016-01-08,36.849998,37.119999,35.549999,35.889999,10981000,27.174608
"6","M",2016-01-11,37,38.849998,36.950001,38.82,16954200,29.393099
"7","M",2016-01-12,38.869999,39.099998,37.610001,38.610001,10161400,29.234102
"8","M",2016-01-13,38.439999,39.57,38.18,38.639999,10138500,29.256798
"9","M",2016-01-14,38.700001,38.759998,37.59,37.639999,7297400,28.499645
"10","M",2016-01-15,36.82,38.139999,36.82,37.880001,7774600,28.681362
"11","M",2016-01-19,37.990002,40.009998,37.470001,38.759998,12771700,29.34767
"12","M",2016-01-20,38.130001,40.139999,37.52,39.73,10793100,30.082121
"13","M",2016-01-21,39.799999,41.599998,39.73,40.610001,9147000,30.748421
"14","M",2016-01-22,41,41.799999,40.599998,41.349998,8391000,31.308729
"15","M",2016-01-25,41.25,41.459999,39.25,39.32,7357300,29.771685
"16","M",2016-01-26,39.560001,40.57,39.529999,40.18,5299700,30.422844
"17","M",2016-01-27,39.830002,41.049999,39.82,40.290001,5554700,30.506128
"18","M",2016-01-28,40.619999,40.619999,39.240002,39.57,5278300,29.96097
"19","M",2016-01-29,39.990002,40.610001,39.84,40.41,5767700,30.596991
"20","M",2016-02-01,40.220001,41.209999,39.630001,40.91,4905400,30.975573
"21","M",2016-02-02,41.220001,41.599998,40.349998,40.900002,4189800,30.967999
"22","M",2016-02-03,40.98,41.93,39.98,41.619999,4480700,31.513159
"23","M",2016-02-04,39.939999,40.82,39.48,40.740002,7030200,30.846853
"24","M",2016-02-05,41.279999,41.279999,40.16,40.259998,5461400,30.483414
"25","M",2016-02-08,40,40.43,39.02,39.650002,5649500,30.021547
"26","M",2016-02-09,39.48,39.889999,38.790001,39.509998,4117600,29.915537
"27","M",2016-02-10,39.799999,39.970001,38.720001,38.810001,5004800,29.38553
"28","M",2016-02-11,38.32,39.169998,37.73,37.900002,5364900,28.696512
"29","M",2016-02-12,38.060001,39.299999,37.709999,39.25,4476700,29.718678
"30","M",2016-02-16,39.560001,41.009998,39.040001,40.470001,5171800,30.642424
"31","M",2016-02-17,40.950001,41.32,40.869999,41.099998,5693700,31.119432
"32","M",2016-02-18,40.669998,41.150002,40.150002,41.130001,5145400,31.142149
"33","M",2016-02-19,40.779999,40.830002,38.830002,40.23,6112800,30.460699
"34","M",2016-02-22,40.490002,41.709999,40.349998,41.060001,6766200,31.089142
"35","M",2016-02-23,42,43.529999,40.52,42.310001,16311500,32.03561
"36","M",2016-02-24,41.48,43.049999,40.880001,42.849998,6680400,32.444469
"37","M",2016-02-25,43.209999,43.57,42.560001,43.369999,4399600,32.838196
"38","M",2016-02-26,43.959999,44,42.799999,43.43,4475400,32.883621
"39","M",2016-02-29,43.470001,43.5,42.889999,43.209999,4110600,32.717056
"40","M",2016-03-01,43.470001,43.799999,43.150002,43.700001,2605200,33.088062
"41","M",2016-03-02,43.580002,44,43.209999,43.959999,3101800,33.284924
"42","M",2016-03-03,43.959999,44.369999,43.48,44.09,3329000,33.383358
"43","M",2016-03-04,44.119999,45.130001,43.98,44.580002,4268500,33.754372
"44","M",2016-03-07,44.23,45.049999,44.23,44.619999,2749100,33.784645
"45","M",2016-03-08,44.509998,44.75,44.009998,44.040001,3138800,33.345493
"46","M",2016-03-09,44.130001,44.720001,43.889999,44.310001,2878200,33.549931
"47","M",2016-03-10,44.700001,44.799999,43.740002,44.200001,3123400,33.466648
"48","M",2016-03-11,44.419998,44.650002,43.990002,44.349998,3357900,33.855968
"49","M",2016-03-14,44.189999,44.580002,43.540001,43.869999,2989500,33.489536
"50","M",2016-03-15,44.040001,44.580002,42.91,43.110001,4432900,32.909367
"51","M",2016-03-16,43.130001,43.509998,42.41,43.5,3755800,33.207092
"52","M",2016-03-17,43.400002,44.169998,43.139999,43.970001,2932300,33.565884
"53","M",2016-03-18,44.119999,45.5,43.93,44.869999,5373300,34.252922
"54","M",2016-03-21,44.650002,44.93,43.740002,44.150002,3522900,33.703289
"55","M",2016-03-22,44.119999,44.349998,43.560001,43.779999,3082000,33.420841
"56","M",2016-03-23,43.59,43.830002,42.900002,43.419998,2526100,33.146027
"57","M",2016-03-24,43.450001,43.549999,42.880001,43.48,2622000,33.191818
"58","M",2016-03-28,43.509998,44.709999,43.509998,44.380001,2665000,33.878868
"59","M",2016-03-29,44.59,44.66,44.189999,44.419998,2561300,33.909401
"60","M",2016-03-30,44.619999,44.84,43.849998,44.099998,2364700,33.665123
"61","M",2016-03-31,44.09,44.450001,43.650002,44.09,2861500,33.65749
"62","M",2016-04-01,44.009998,44.07,42.91,42.959999,3766700,32.794865
"63","M",2016-04-04,43.099998,43.130001,42.099998,42.16,3839700,32.184158
"64","M",2016-04-05,42,42.099998,41.34,41.470001,3140400,31.657429
"65","M",2016-04-06,41.650002,41.860001,40.75,41.57,3629000,31.733763
"66","M",2016-04-07,41.400002,41.73,40.349998,40.619999,3558800,31.008556
"67","M",2016-04-08,40.18,40.220001,39.310001,39.68,5153700,30.290976
"68","M",2016-04-11,39.75,40.380001,39.57,39.82,5571200,30.397852
"69","M",2016-04-12,39.939999,40.349998,39.279999,40.07,4214900,30.588692
"70","M",2016-04-13,40.110001,40.380001,39.349998,40.330002,3993200,30.787174
"71","M",2016-04-14,40.349998,40.439999,39.060001,39.66,6076500,30.275703
"72","M",2016-04-15,39.790001,40.720001,39.759998,40.639999,4715300,31.023827
"73","M",2016-04-18,40.73,41.27,40.41,40.720001,4201200,31.084887
"74","M",2016-04-19,40.849998,41.27,40.540001,41.150002,3505700,31.413151
"75","M",2016-04-20,41.209999,42.040001,41.16,41.360001,3460600,31.573458
"76","M",2016-04-21,41.400002,41.810001,41.18,41.549999,3926700,31.718496
"77","M",2016-04-22,41.400002,41.66,40.700001,40.959999,4173800,31.268105
"78","M",2016-04-25,40.779999,40.93,40.099998,40.330002,2447500,30.787174
"79","M",2016-04-26,40.259998,40.59,39.91,40.540001,2877400,30.947485
"80","M",2016-04-27,40.669998,41.07,40.240002,41.009998,2633200,31.306269
"81","M",2016-04-28,40.91,41.040001,40.529999,40.599998,2298200,30.993286
"82","M",2016-04-29,40.650002,40.650002,39.310001,39.59,3274700,30.222263
"83","M",2016-05-02,39.779999,40.150002,39.619999,39.91,2919300,30.466553
"84","M",2016-05-03,39.68,39.77,39.150002,39.490002,2924900,30.145935
"85","M",2016-05-04,39.16,39.16,38.23,38.68,3903200,29.527592
"86","M",2016-05-05,38.450001,38.450001,37.52,37.900002,5176000,28.932159
"87","M",2016-05-06,37.48,37.689999,37,37.650002,4274600,28.741312
"88","M",2016-05-09,37.060001,38.049999,36.93,37.740002,4746100,28.810017
"89","M",2016-05-10,37.25,37.830002,36.91,36.990002,9834800,28.237474
"90","M",2016-05-11,36.990002,36.990002,31.35,31.379999,35465500,23.954908
"91","M",2016-05-12,31.209999,31.52,30.360001,31.209999,16842900,23.825134
"92","M",2016-05-13,31.059999,32.369999,30.440001,31.219999,15950500,23.832767
"93","M",2016-05-16,31.469999,31.549999,30.5,30.73,7993400,23.45871
"94","M",2016-05-17,30.75,30.98,30.209999,30.4,9053200,23.206795
"95","M",2016-05-18,30.190001,30.610001,29.940001,30.07,8359300,22.95488
"96","M",2016-05-19,30.200001,30.889999,30.1,30.870001,15603800,23.565584
"97","M",2016-05-20,31,31.309999,30.5,31.290001,9078600,23.886202
"98","M",2016-05-23,31.309999,32.009998,31.26,31.290001,8382300,23.886202
"99","M",2016-05-24,31.35,31.620001,31.08,31.190001,6215900,23.809868
"100","M",2016-05-25,31.33,32,31.190001,31.809999,6729000,24.283165
"101","M",2016-05-26,32.16,32.279999,31.4,31.57,5358000,24.099951
"102","M",2016-05-27,31.66,32.84,31.51,32.720001,10194200,24.977842
"103","M",2016-05-31,32.630001,33.25,32.540001,33.209999,9122800,25.351898
"104","M",2016-06-01,33.049999,33.389999,32.720001,33.029999,6846800,25.214487
"105","M",2016-06-02,33.049999,34.610001,33.049999,34.349998,12976300,26.222155
"106","M",2016-06-03,33.93,34.560001,33.84,34.330002,7624400,26.206884
"107","M",2016-06-06,34.52,34.630001,33.880001,34.279999,6255600,26.168715
"108","M",2016-06-07,34.099998,34.650002,33.889999,34.32,5378400,26.199251
"109","M",2016-06-08,34.560001,34.650002,33.990002,34.259998,4882800,26.153442
"110","M",2016-06-09,34.150002,34.150002,33.240002,33.599998,7187600,25.649616
"111","M",2016-06-10,32.950001,33.290001,32.630001,33.240002,5959200,25.374796
"112","M",2016-06-13,32.529999,32.68,31.549999,31.6,7936500,24.40033
"113","M",2016-06-14,31.67,31.84,30.950001,31.309999,6164300,24.176401
"114","M",2016-06-15,31.91,32.830002,31.82,31.940001,6757900,24.662865
"115","M",2016-06-16,32.610001,32.68,32.009998,32.349998,6281400,24.979456
"116","M",2016-06-17,32.32,33.419998,32.32,33.23,11335000,25.658957
"117","M",2016-06-20,33.599998,33.77,33.169998,33.209999,5676900,25.643511
