"","symbol","date","open","high","low","close","volume","adjusted"
"1","NBIX",2016-01-04,55.299999,55.939999,51.32,52.349998,1352800,52.349998
"2","NBIX",2016-01-05,52.599998,54.48,52.049999,52.43,456200,52.43
"3","NBIX",2016-01-06,51.540001,51.639999,49.439999,50.119999,649800,50.119999
"4","NBIX",2016-01-07,48.689999,49.82,47.720001,47.740002,863900,47.740002
"5","NBIX",2016-01-08,47.950001,48.75,46.240002,46.41,756700,46.41
"6","NBIX",2016-01-11,47.049999,47.049999,42.580002,44.599998,1120100,44.599998
"7","NBIX",2016-01-12,45.599998,47.66,44.040001,46.02,1119700,46.02
"8","NBIX",2016-01-13,46.110001,46.529999,41.57,41.860001,1236600,41.860001
"9","NBIX",2016-01-14,43.509998,49.41,41.389999,47.75,2576600,47.75
"10","NBIX",2016-01-15,45.200001,47.650002,44.360001,47.599998,7829900,47.599998
"11","NBIX",2016-01-19,48.41,48.91,45.220001,46.060001,1637000,46.060001
"12","NBIX",2016-01-20,45.240002,50.970001,43.669998,49.669998,1457400,49.669998
"13","NBIX",2016-01-21,49.689999,50.880001,48.029999,49.299999,1059000,49.299999
"14","NBIX",2016-01-22,50.849998,53.68,49.900002,50.369999,1171900,50.369999
"15","NBIX",2016-01-25,49.970001,51.93,48.450001,48.59,984600,48.59
"16","NBIX",2016-01-26,48.759998,48.759998,45.360001,46.82,976600,46.82
"17","NBIX",2016-01-27,47.099998,47.540001,44.02,44.310001,874300,44.310001
"18","NBIX",2016-01-28,45.27,46.240002,42.080002,42.360001,1217900,42.360001
"19","NBIX",2016-01-29,42.150002,43.799999,41.18,42.549999,1421800,42.549999
"20","NBIX",2016-02-01,42.330002,43.48,40.599998,42.889999,1247700,42.889999
"21","NBIX",2016-02-02,42.200001,43.799999,38.959999,39.259998,1499500,39.259998
"22","NBIX",2016-02-03,39.529999,40.849998,36.650002,39.459999,1716800,39.459999
"23","NBIX",2016-02-04,38.459999,39.610001,36.119999,37.07,2281600,37.07
"24","NBIX",2016-02-05,36.700001,37.099998,34.900002,35.990002,2333300,35.990002
"25","NBIX",2016-02-08,35.130001,36.060001,31.790001,32.509998,2165900,32.509998
"26","NBIX",2016-02-09,31.870001,33.860001,31.25,32.189999,1205300,32.189999
"27","NBIX",2016-02-10,33.349998,36.27,33.349998,33.700001,2149400,33.700001
"28","NBIX",2016-02-11,32.919998,36.560001,31.549999,35.369999,2336300,35.369999
"29","NBIX",2016-02-12,35.950001,36.48,33.650002,36.040001,1853900,36.040001
"30","NBIX",2016-02-16,36.560001,37.470001,36.23,37.009998,1279700,37.009998
"31","NBIX",2016-02-17,37.029999,38.939999,36.450001,38.139999,1030100,38.139999
"32","NBIX",2016-02-18,37.889999,38.990002,36.27,36.419998,868100,36.419998
"33","NBIX",2016-02-19,36.400002,37.869999,36.080002,37.580002,726100,37.580002
"34","NBIX",2016-02-22,37.91,39.130001,37.25,37.52,938000,37.52
"35","NBIX",2016-02-23,37.439999,38,35.880001,35.959999,754300,35.959999
"36","NBIX",2016-02-24,35.470001,37.57,35.119999,37.049999,836400,37.049999
"37","NBIX",2016-02-25,37.43,38.720001,36.32,37.279999,638200,37.279999
"38","NBIX",2016-02-26,37.5,38.490002,36.41,38.02,769500,38.02
"39","NBIX",2016-02-29,37.880001,38.970001,36.439999,36.779999,1148000,36.779999
"40","NBIX",2016-03-01,37.169998,37.849998,35.82,37.48,1750100,37.48
"41","NBIX",2016-03-02,37.689999,39.029999,37.16,38.650002,1234900,38.650002
"42","NBIX",2016-03-03,38.549999,38.950001,36.200001,36.360001,1508900,36.360001
"43","NBIX",2016-03-04,36.490002,36.700001,35,35.349998,1505700,35.349998
"44","NBIX",2016-03-07,34.990002,36.389999,33.52,35.98,1749200,35.98
"45","NBIX",2016-03-08,35.869999,36.150002,33.68,33.799999,1124300,33.799999
"46","NBIX",2016-03-09,34.34,34.779999,32.18,33.669998,1123600,33.669998
"47","NBIX",2016-03-10,34.290001,35.080002,32.849998,33.630001,872800,33.630001
"48","NBIX",2016-03-11,34,35.48,33.669998,35.439999,856200,35.439999
"49","NBIX",2016-03-14,35.220001,36.150002,34.59,35.68,701500,35.68
"50","NBIX",2016-03-15,35.290001,35.380001,33.889999,34.07,1110900,34.07
"51","NBIX",2016-03-16,33.889999,34.970001,33.419998,34.060001,795300,34.060001
"52","NBIX",2016-03-17,33.68,34.259998,32.349998,33.810001,1408600,33.810001
"53","NBIX",2016-03-18,33.98,35.279999,32.91,35.060001,1822300,35.060001
"54","NBIX",2016-03-21,34.84,37.200001,34.439999,35.900002,1040400,35.900002
"55","NBIX",2016-03-22,35.75,39.139999,35.259998,38.349998,1107700,38.349998
"56","NBIX",2016-03-23,38.099998,38.650002,35.459999,35.540001,1206600,35.540001
"57","NBIX",2016-03-24,35.369999,35.869999,34.169998,35.330002,1214500,35.330002
"58","NBIX",2016-03-28,35.470001,35.740002,33.560001,35.41,992900,35.41
"59","NBIX",2016-03-29,35.25,37.23,34.68,37.169998,1102000,37.169998
"60","NBIX",2016-03-30,37.299999,38.810001,36.950001,37.150002,1100000,37.150002
"61","NBIX",2016-03-31,37.5,40.09,37.5,39.549999,2114200,39.549999
"62","NBIX",2016-04-01,39.57,41.68,39.009998,41.540001,1196800,41.540001
"63","NBIX",2016-04-04,42,44.48,42,42.93,1877600,42.93
"64","NBIX",2016-04-05,42.41,43.990002,42.099998,42.959999,909600,42.959999
"65","NBIX",2016-04-06,43.110001,46.57,42.759998,46.490002,1381400,46.490002
"66","NBIX",2016-04-07,46.720001,47.990002,44.27,45.259998,1381600,45.259998
"67","NBIX",2016-04-08,46.049999,46.41,43.919998,45.57,932000,45.57
"68","NBIX",2016-04-11,45.689999,45.799999,43.360001,43.779999,956500,43.779999
"69","NBIX",2016-04-12,44.060001,44.799999,42.450001,44.720001,972100,44.720001
"70","NBIX",2016-04-13,44.91,46.279999,44.369999,46.130001,692600,46.130001
"71","NBIX",2016-04-14,46.259998,47.32,45.509998,46.860001,1206700,46.860001
"72","NBIX",2016-04-15,46.619999,47.450001,45.32,46.540001,1035400,46.540001
"73","NBIX",2016-04-18,46.18,47.189999,46.02,46.669998,1111400,46.669998
"74","NBIX",2016-04-19,46.580002,47.16,45.799999,46.34,799800,46.34
"75","NBIX",2016-04-20,46.77,47.790001,45.959999,46.93,832100,46.93
"76","NBIX",2016-04-21,47.060001,49.630001,46.509998,49.189999,888600,49.189999
"77","NBIX",2016-04-22,49.23,49.689999,47.529999,48.66,948000,48.66
"78","NBIX",2016-04-25,48.59,49.349998,48.099998,48.610001,515900,48.610001
"79","NBIX",2016-04-26,48.349998,48.68,46.43,47.549999,739900,47.549999
"80","NBIX",2016-04-27,47.32,47.48,45.619999,46.240002,724600,46.240002
"81","NBIX",2016-04-28,46.48,48.75,45.779999,46.900002,1253000,46.900002
"82","NBIX",2016-04-29,46.73,47.48,45.09,45.580002,704500,45.580002
"83","NBIX",2016-05-02,45.830002,46.810001,44.5,46.709999,792200,46.709999
"84","NBIX",2016-05-03,46.360001,47.220001,44.810001,45.049999,782900,45.049999
"85","NBIX",2016-05-04,44.700001,45,42.669998,42.91,961200,42.91
"86","NBIX",2016-05-05,42.959999,43.389999,41.52,42.650002,956300,42.650002
"87","NBIX",2016-05-06,41.689999,44.07,40.860001,42.869999,1131300,42.869999
"88","NBIX",2016-05-09,43.16,45.509998,42.919998,44.889999,781000,44.889999
