"","symbol","date","open","high","low","close","volume","adjusted"
"1","NDSN",2016-01-04,63.490002,64.139999,62.540001,63.349998,341500,59.622314
"2","NDSN",2016-01-05,63.57,64.57,62.23,62.41,313500,58.737625
"3","NDSN",2016-01-06,61.509998,61.950001,60.43,60.73,455200,57.156475
"4","NDSN",2016-01-07,60.5,60.560001,58.470001,59.130001,751600,55.650631
"5","NDSN",2016-01-08,59.380001,59.41,57.720001,57.860001,685500,54.45536
"6","NDSN",2016-01-11,57.93,58.09,57.189999,57.700001,360400,54.304783
"7","NDSN",2016-01-12,58.290001,58.540001,57.029999,57.830002,262300,54.427116
"8","NDSN",2016-01-13,57.950001,59.32,56.029999,56.41,330600,53.090687
"9","NDSN",2016-01-14,56.599998,56.919998,55.740002,56.25,523300,52.940094
"10","NDSN",2016-01-15,55.099998,55.75,54.709999,55.52,521800,52.253048
"11","NDSN",2016-01-19,55.849998,56.110001,54.41,54.900002,358700,51.669525
"12","NDSN",2016-01-20,54,54.619999,51.889999,53.75,1264700,50.587212
"13","NDSN",2016-01-21,53.98,56.220001,53.240002,55.84,996300,52.554218
"14","NDSN",2016-01-22,56.959999,58.099998,56.41,57.119999,442000,53.7589
"15","NDSN",2016-01-25,56.43,57.419998,55.529999,55.740002,339900,52.460102
"16","NDSN",2016-01-26,56.119999,58.41,55.990002,58.169998,400500,54.747108
"17","NDSN",2016-01-27,57.900002,60.099998,57.380001,58.220001,475900,54.794174
"18","NDSN",2016-01-28,58.669998,59.209999,57.880001,58.27,177700,54.841236
"19","NDSN",2016-01-29,58.360001,60.580002,58.360001,60.43,589900,56.87413
"20","NDSN",2016-02-01,59.849998,60.259998,58.759998,59.560001,231500,56.055332
"21","NDSN",2016-02-02,58.709999,58.790001,57.299999,57.43,195300,54.050655
"22","NDSN",2016-02-03,58.009998,58.959999,56.630001,58.849998,214400,55.387093
"23","NDSN",2016-02-04,58.650002,61.130001,58.419998,59.84,258400,56.318851
"24","NDSN",2016-02-05,59.490002,60.419998,58.560001,58.889999,216300,55.424744
"25","NDSN",2016-02-08,58.07,58.48,57.400002,58.34,312700,54.907108
"26","NDSN",2016-02-09,57.57,59.330002,57.57,59.029999,365700,55.556511
"27","NDSN",2016-02-10,59.150002,60.580002,59.150002,59.720001,370500,56.205906
"28","NDSN",2016-02-11,58.759998,60.200001,58.509998,59.450001,416300,55.951805
"29","NDSN",2016-02-12,60.25,61.59,60.110001,61.41,208300,57.796471
"30","NDSN",2016-02-16,62.099998,62.880001,61.34,62.82,218200,59.123493
"31","NDSN",2016-02-17,63.080002,64.650002,63.080002,64.370003,274700,60.582291
"32","NDSN",2016-02-18,64.620003,64.620003,63.650002,64.110001,188700,60.337589
"33","NDSN",2016-02-19,63.259998,64,62.5,63.84,299800,60.30925
"34","NDSN",2016-02-22,64.650002,65.940002,64.279999,64.739998,615400,61.159481
"35","NDSN",2016-02-23,68.699997,71.349998,68.080002,69.68,926000,65.826263
"36","NDSN",2016-02-24,69.839996,70.720001,68.489998,70.330002,494000,66.440315
"37","NDSN",2016-02-25,70.510002,70.970001,69.57,70.639999,328000,66.733185
"38","NDSN",2016-02-26,71.07,71.910004,70.690002,71.800003,293400,67.82901
"39","NDSN",2016-02-29,71.629997,72.239998,70.760002,71.669998,360600,67.706192
"40","NDSN",2016-03-01,72.199997,73.239998,71.519997,73.209999,296900,69.161041
"41","NDSN",2016-03-02,72.809998,73.470001,72.040001,73.419998,196900,69.359428
"42","NDSN",2016-03-03,73.5,74.330002,73.120003,74.080002,251700,69.982925
"43","NDSN",2016-03-04,74.059998,75.300003,73.239998,74.93,338000,70.785912
