"","symbol","date","open","high","low","close","volume","adjusted"
"1","NEO",2016-01-04,7.82,8,7.43,7.56,382300,7.56
"2","NEO",2016-01-05,7.55,7.58,7.18,7.24,367400,7.24
"3","NEO",2016-01-06,7.15,7.16,6.78,7.07,437400,7.07
"4","NEO",2016-01-07,6.91,7,6.8,6.85,242600,6.85
"5","NEO",2016-01-08,7.03,7.32,6.82,6.92,489000,6.92
"6","NEO",2016-01-11,6.92,6.95,6.61,6.73,413200,6.73
"7","NEO",2016-01-12,6.82,7,6.66,6.72,421400,6.72
"8","NEO",2016-01-13,6.77,6.96,6.65,6.75,313200,6.75
"9","NEO",2016-01-14,6.77,7.14,6.57,7.09,334400,7.09
"10","NEO",2016-01-15,6.87,7.05,6.71,7.03,401100,7.03
"11","NEO",2016-01-19,7.05,7.1,6.71,6.82,270400,6.82
"12","NEO",2016-01-20,6.69,7.09,6.57,6.99,375100,6.99
"13","NEO",2016-01-21,7,7.11,6.77,6.89,327500,6.89
"14","NEO",2016-01-22,7,7.04,6.85,6.95,240300,6.95
"15","NEO",2016-01-25,6.94,7.1,6.93,7,195100,7
"16","NEO",2016-01-26,7.01,7.04,6.75,6.9,111500,6.9
"17","NEO",2016-01-27,6.86,6.91,6.7,6.78,159400,6.78
"18","NEO",2016-01-28,6.84,6.85,6.6,6.69,246300,6.69
"19","NEO",2016-01-29,6.74,6.88,6.69,6.82,176800,6.82
"20","NEO",2016-02-01,6.73,6.95,6.53,6.88,309400,6.88
"21","NEO",2016-02-02,6.72,6.83,6.65,6.66,172700,6.66
"22","NEO",2016-02-03,6.71,6.71,6.2,6.37,371700,6.37
"23","NEO",2016-02-04,6.34,6.46,6.26,6.35,229700,6.35
"24","NEO",2016-02-05,6.35,6.35,6.05,6.1,334300,6.1
"25","NEO",2016-02-08,6.08,6.08,5.78,5.94,302000,5.94
"26","NEO",2016-02-09,5.83,6.09,5.75,5.96,154300,5.96
"27","NEO",2016-02-10,5.98,6.32,5.86,5.91,107800,5.91
"28","NEO",2016-02-11,5.75,5.97,5.62,5.84,158400,5.84
"29","NEO",2016-02-12,5.88,5.91,5.49,5.57,375100,5.57
"30","NEO",2016-02-16,5.66,6,5.66,5.94,491400,5.94
"31","NEO",2016-02-17,6.06,6.24,5.97,6.22,284600,6.22
"32","NEO",2016-02-18,6.25,6.25,6.01,6.07,138300,6.07
"33","NEO",2016-02-19,6.05,6.16,6.02,6.12,80800,6.12
"34","NEO",2016-02-22,6.16,6.31,6.1,6.17,177500,6.17
"35","NEO",2016-02-23,6.17,6.25,5.85,5.87,176700,5.87
"36","NEO",2016-02-24,5.89,6.07,5.77,6.06,117400,6.06
"37","NEO",2016-02-25,6.06,6.42,5.9,6.04,147100,6.04
"38","NEO",2016-02-26,6.08,6.31,6.06,6.25,170200,6.25
"39","NEO",2016-02-29,6.28,6.43,6.18,6.37,248200,6.37
"40","NEO",2016-03-01,6.71,7.1,6.37,6.98,615900,6.98
"41","NEO",2016-03-02,7,7.05,6.5,6.86,464900,6.86
"42","NEO",2016-03-03,6.9,6.93,6.46,6.89,390000,6.89
"43","NEO",2016-03-04,6.86,6.88,6.65,6.87,294200,6.87
"44","NEO",2016-03-07,6.99,7.41,6.88,7.38,516200,7.38
"45","NEO",2016-03-08,7.33,7.41,6.99,7.02,758200,7.02
"46","NEO",2016-03-09,7.01,7.29,6.66,6.73,636900,6.73
"47","NEO",2016-03-10,6.81,6.91,6.63,6.86,261200,6.86
"48","NEO",2016-03-11,7,7.17,6.79,7.02,355700,7.02
"49","NEO",2016-03-14,6.95,7,6.9,6.93,250200,6.93
"50","NEO",2016-03-15,6.91,6.91,6.67,6.67,216500,6.67
"51","NEO",2016-03-16,6.62,6.77,6.52,6.66,206300,6.66
"52","NEO",2016-03-17,6.64,6.68,6.23,6.35,296200,6.35
"53","NEO",2016-03-18,6.42,6.48,6.25,6.27,622800,6.27
"54","NEO",2016-03-21,6.26,6.45,6.2,6.32,414800,6.32
"55","NEO",2016-03-22,6.32,6.54,6.31,6.47,269100,6.47
"56","NEO",2016-03-23,6.41,6.44,6.26,6.31,290600,6.31
"57","NEO",2016-03-24,6.25,6.35,6.19,6.33,168100,6.33
"58","NEO",2016-03-28,6.33,6.38,6.17,6.24,153300,6.24
"59","NEO",2016-03-29,6.2,6.46,6.15,6.46,221300,6.46
"60","NEO",2016-03-30,6.47,6.65,6.44,6.56,238800,6.56
"61","NEO",2016-03-31,6.58,6.77,6.56,6.74,243000,6.74
"62","NEO",2016-04-01,6.69,7.07,6.66,6.89,312300,6.89
"63","NEO",2016-04-04,6.91,7.08,6.89,7,254000,7
"64","NEO",2016-04-05,6.96,7.07,6.64,6.98,256100,6.98
"65","NEO",2016-04-06,6.96,7.09,6.96,7.05,517900,7.05
"66","NEO",2016-04-07,7.03,7.07,6.92,7,268800,7
"67","NEO",2016-04-08,7.07,7.07,6.66,6.77,216000,6.77
