"","symbol","date","open","high","low","close","volume","adjusted"
"1","NKE",2016-01-04,61.110001,61.91,60.860001,61.52,11626800,57.713154
"2","NKE",2016-01-05,61.720001,62.59,61.720001,62.380001,9220600,58.519936
"3","NKE",2016-01-06,61.299999,62.040001,61.150002,61.490002,6551600,57.685001
"4","NKE",2016-01-07,60.389999,61.259998,59.779999,59.849998,10881300,56.146484
"5","NKE",2016-01-08,60.060001,60.790001,58.66,58.869999,11191300,55.227127
"6","NKE",2016-01-11,58.970001,60.040001,58.540001,59.549999,12825000,55.865047
"7","NKE",2016-01-12,60.349998,60.82,59.57,59.939999,8292200,56.230911
"8","NKE",2016-01-13,60.529999,60.529999,58.669998,58.779999,9944300,55.142693
"9","NKE",2016-01-14,59,59.349998,57.279999,58.509998,9989000,54.889397
"10","NKE",2016-01-15,56.93,58.139999,56.59,57.560001,12208300,53.998188
"11","NKE",2016-01-19,58.189999,59.07,57.669998,58.32,9924300,54.711166
"12","NKE",2016-01-20,57.25,59.59,56.75,59.040001,16234200,55.386604
"13","NKE",2016-01-21,59.080002,61.16,59.060001,60.560001,16121600,56.812546
"14","NKE",2016-01-22,61.290001,61.470001,60.59,60.880001,8430100,57.112743
"15","NKE",2016-01-25,61.09,61.299999,60.619999,60.700001,10383400,56.943878
"16","NKE",2016-01-26,60.490002,61.369999,60.27,61.110001,8005200,57.32851
"17","NKE",2016-01-27,60.959999,61.099998,59.200001,59.580002,8593700,55.893192
"18","NKE",2016-01-28,60.32,61.599998,59.98,61.200001,10207000,57.412945
"19","NKE",2016-01-29,61.200001,62.16,61.200001,62.009998,10475200,58.172825
"20","NKE",2016-02-01,61.75,63.470001,61.700001,63.16,8247800,59.251667
"21","NKE",2016-02-02,63.02,63.5,62.310001,62.549999,9458500,58.679398
"22","NKE",2016-02-03,62.880001,62.900002,61.299999,62.490002,7213500,58.623116
"23","NKE",2016-02-04,62.02,62.16,59.990002,60.169998,10455700,56.446674
"24","NKE",2016-02-05,59.759998,59.84,56.98,57.169998,14415900,53.632317
"25","NKE",2016-02-08,56.099998,56.209999,53.639999,55.040001,21214500,51.634121
"26","NKE",2016-02-09,54.5,56.619999,54.279999,55.68,10915700,52.234531
"27","NKE",2016-02-10,56.540001,58.18,55.93,57.41,13376800,53.857464
"28","NKE",2016-02-11,56.459999,56.91,55.389999,56,13090900,52.534721
"29","NKE",2016-02-12,57.369999,57.450001,55.5,56.419998,10229500,52.928726
"30","NKE",2016-02-16,57.57,58,56.82,57.790001,8058000,54.213959
"31","NKE",2016-02-17,58.599998,58.599998,57.099998,58.169998,10332700,54.570442
"32","NKE",2016-02-18,58.169998,58.959999,57.98,58.599998,9658600,54.973835
"33","NKE",2016-02-19,58.5,59.310001,57.630001,59.310001,10080100,55.6399
"34","NKE",2016-02-22,59.310001,60.48,59.259998,60.169998,11523400,56.446674
"35","NKE",2016-02-23,60.259998,60.740002,59.889999,60.209999,7504600,56.484196
"36","NKE",2016-02-24,59.740002,60.700001,59.200001,60.400002,10390800,56.662445
"37","NKE",2016-02-25,60.68,62.380001,60.630001,62.380001,8524300,58.519936
"38","NKE",2016-02-26,62.639999,63.490002,62.470001,62.599998,8896100,58.726315
"39","NKE",2016-02-29,62.459999,62.68,61.580002,61.59,7720600,57.77882
"40","NKE",2016-03-01,61.970001,63.099998,61.75,62.919998,7438300,59.026505
"41","NKE",2016-03-02,62.52,62.889999,61.5,62.220001,8465800,58.369827
"42","NKE",2016-03-03,62.049999,62.200001,60.919998,61.470001,7924400,57.814907
"43","NKE",2016-03-04,61.419998,61.540001,60.380001,61.259998,7279400,57.617397
"44","NKE",2016-03-07,61.07,61.139999,58.790001,59.25,12829600,55.72691
