"","symbol","date","open","high","low","close","volume","adjusted"
"1","NLSN",2016-01-04,45.77,45.93,45.169998,45.669998,2854500,38.115852
"2","NLSN",2016-01-05,45.68,46.57,45.57,46.400002,2402300,38.725105
"3","NLSN",2016-01-06,46,46.389999,45.82,46.130001,1936700,38.499763
"4","NLSN",2016-01-07,45.279999,45.880001,45.029999,45.139999,6471700,37.673519
"5","NLSN",2016-01-08,45.490002,45.630001,44.279999,44.330002,6200400,36.997501
"6","NLSN",2016-01-11,44.509998,45.27,44.450001,44.990002,3385500,37.548332
"7","NLSN",2016-01-12,45.27,45.619999,44.740002,45.290001,1956000,37.798721
"8","NLSN",2016-01-13,45.43,45.68,44.580002,44.619999,2417800,37.239529
"9","NLSN",2016-01-14,44.75,45.990002,44.310001,45.700001,3528600,38.140896
"10","NLSN",2016-01-15,44.27,45.389999,44.16,44.689999,3204200,37.297939
"11","NLSN",2016-01-19,45.139999,45.5,44.610001,45.02,2436000,37.573372
"12","NLSN",2016-01-20,44.41,44.779999,42.900002,43.939999,3789000,36.672009
"13","NLSN",2016-01-21,43.970001,44.400002,43.419998,43.889999,3562800,36.63028
"14","NLSN",2016-01-22,44.650002,45.34,44.310001,45.310001,3454800,37.815399
"15","NLSN",2016-01-25,45.360001,46.57,44.639999,44.73,1712800,37.331333
"16","NLSN",2016-01-26,44.799999,45.700001,44.73,45.57,2514500,38.032391
"17","NLSN",2016-01-27,45.650002,46.650002,45.470001,45.91,3198700,38.316151
"18","NLSN",2016-01-28,46.41,47.259998,46.169998,46.860001,3259500,39.109024
"19","NLSN",2016-01-29,47.279999,48.200001,47.02,48.16,3554900,40.193985
"20","NLSN",2016-02-01,47.77,48.299999,47.18,48.029999,3909800,40.085491
"21","NLSN",2016-02-02,47.560001,47.970001,46.990002,47.209999,3895300,39.401131
"22","NLSN",2016-02-03,47.360001,47.5,46.060001,46.700001,2595800,38.975483
"23","NLSN",2016-02-04,46.68,47.07,46.450001,46.700001,2581600,38.975483
"24","NLSN",2016-02-05,46.490002,46.66,45.400002,45.630001,2410300,38.082466
"25","NLSN",2016-02-08,45.139999,45.279999,43.91,44.720001,3373800,37.322994
"26","NLSN",2016-02-09,44.169998,45.43,44.150002,45.130001,3893200,37.665169
"27","NLSN",2016-02-10,45.400002,46.470001,45.279999,45.419998,4534400,37.9072
"28","NLSN",2016-02-11,45.5,47.650002,45.200001,47.330002,6772900,39.501286
"29","NLSN",2016-02-12,47.330002,48,46.990002,47.290001,3597900,39.467892
"30","NLSN",2016-02-16,48.07,48.200001,47.060001,47.990002,2753700,40.052116
"31","NLSN",2016-02-17,48.220001,48.549999,47.959999,48.41,2622500,40.402637
"32","NLSN",2016-02-18,48.5,48.509998,47.82,47.849998,1926000,39.935268
"33","NLSN",2016-02-19,47.529999,48.110001,47.43,48.09,1984200,40.135563
"34","NLSN",2016-02-22,48.630001,49.470001,48.52,49.450001,2353600,41.270615
"35","NLSN",2016-02-23,49.240002,49.240002,48.299999,48.720001,2300800,40.661358
"36","NLSN",2016-02-24,48.380001,49.459999,47.799999,49.450001,2723800,41.270615
"37","NLSN",2016-02-25,49.450001,49.950001,49.349998,49.66,1659300,41.445873
"38","NLSN",2016-02-26,49.689999,49.919998,49.240002,49.75,2266100,41.521
"39","NLSN",2016-02-29,49.52,51.349998,49.52,50.34,3550000,42.013393
"40","NLSN",2016-03-01,50.290001,50.869999,50.02,50.599998,3130100,42.466595
"41","NLSN",2016-03-02,50.34,50.919998,50.279999,50.779999,1903800,42.617672
"42","NLSN",2016-03-03,50.799999,51.43,50.610001,51.23,1959300,42.995335
"43","NLSN",2016-03-04,51.189999,51.84,50.990002,51.73,1374400,43.414967
"44","NLSN",2016-03-07,51.419998,52.07,51.369999,51.860001,1986000,43.524071
"45","NLSN",2016-03-08,51.560001,51.700001,50.939999,51.119999,2554400,42.903015
"46","NLSN",2016-03-09,50.799999,51,50.450001,50.639999,2950300,42.500164
"47","NLSN",2016-03-10,50.66,50.919998,50.16,50.389999,2099500,42.290356
"48","NLSN",2016-03-11,50.73,51.029999,50.310001,50.669998,2045200,42.525349
"49","NLSN",2016-03-14,50.75,51.209999,50.5,51.029999,1103700,42.82748
"50","NLSN",2016-03-15,50.860001,51.23,50.5,51.060001,1412700,42.852665
"51","NLSN",2016-03-16,51.18,52,51.07,51.790001,1323200,43.465328
"52","NLSN",2016-03-17,51.669998,53.029999,51.669998,52.84,4298900,44.346546
"53","NLSN",2016-03-18,53.029999,53.049999,52.130001,52.27,3171800,43.868168
"54","NLSN",2016-03-21,52.34,52.34,51.77,52.009998,1521500,43.649952
"55","NLSN",2016-03-22,51.98,52.200001,51.650002,51.799999,1621600,43.473717
"56","NLSN",2016-03-23,51.779999,52.169998,51.369999,51.93,1517400,43.582817
"57","NLSN",2016-03-24,51.619999,52.029999,51.57,52,1043900,43.641571
"58","NLSN",2016-03-28,52.040001,52.419998,51.759998,52.220001,1313500,43.826206
"59","NLSN",2016-03-29,52.049999,52.439999,51.970001,52.380001,1877900,43.960499
"60","NLSN",2016-03-30,52.529999,52.84,52.32,52.799999,1672200,44.312981
"61","NLSN",2016-03-31,52.669998,53.080002,52.57,52.66,1794900,44.195477
"62","NLSN",2016-04-01,52.490002,53.529999,52.400002,53.450001,2269500,44.858505
"63","NLSN",2016-04-04,53.330002,53.52,52.490002,53.009998,1868500,44.489216
"64","NLSN",2016-04-05,52.77,52.77,51.970001,52.330002,3057100,43.918526
"65","NLSN",2016-04-06,52.380001,52.75,52.25,52.619999,1931900,44.161911
"66","NLSN",2016-04-07,52.490002,52.900002,52.130001,52.290001,1572800,43.884964
"67","NLSN",2016-04-08,52.700001,52.790001,52.25,52.509998,1270300,44.069588
"68","NLSN",2016-04-11,52.650002,52.860001,52.5,52.66,1388800,44.195477
"69","NLSN",2016-04-12,52.57,53.040001,52.389999,52.900002,1541100,44.396908
"70","NLSN",2016-04-13,53.279999,53.310001,52.669998,53.189999,1835400,44.640289
"71","NLSN",2016-04-14,53.299999,53.419998,52.880001,52.959999,1453900,44.447262
"72","NLSN",2016-04-15,52.869999,53.18,52.540001,52.700001,2571700,44.22905
"73","NLSN",2016-04-18,52.639999,53.32,52.639999,53.259998,1460100,44.699032
"74","NLSN",2016-04-19,53.330002,54.049999,53.330002,53.959999,2309300,45.286514
"75","NLSN",2016-04-20,54.48,54.59,51.759998,52.860001,4090900,44.363338
"76","NLSN",2016-04-21,52.700001,52.860001,51.82,51.860001,2293000,43.524071
"77","NLSN",2016-04-22,51.799999,52.09,51.509998,51.919998,1603700,43.574429
"78","NLSN",2016-04-25,51.91,51.959999,51.470001,51.630001,1386400,43.331055
"79","NLSN",2016-04-26,51.799999,52.18,51.650002,51.98,1614900,43.624779
"80","NLSN",2016-04-27,51.68,52.060001,51.150002,51.560001,2326300,43.272297
"81","NLSN",2016-04-28,51.299999,52.119999,51.240002,51.779999,2335700,43.456932
"82","NLSN",2016-04-29,51.759998,52.240002,51.630001,52.139999,3366600,43.759056
"83","NLSN",2016-05-02,52.139999,53.009998,52.009998,52.509998,3084100,44.069588
"84","NLSN",2016-05-03,52.02,52.169998,51.290001,51.560001,2218300,43.272297
"85","NLSN",2016-05-04,51.240002,51.68,51.060001,51.330002,2436600,43.079262
"86","NLSN",2016-05-05,51.380001,51.560001,50.889999,50.98,2712500,42.785522
"87","NLSN",2016-05-06,50.93,51.290001,50.66,51.279999,1544200,43.037292
"88","NLSN",2016-05-09,51.279999,51.830002,51.200001,51.700001,1691000,43.389786
"89","NLSN",2016-05-10,51.849998,52.439999,51.639999,52.389999,1417800,43.96888
"90","NLSN",2016-05-11,52.389999,52.57,51.950001,52.040001,1266800,43.67514
"91","NLSN",2016-05-12,52.169998,52.459999,51.970001,52.299999,1002800,43.893349
"92","NLSN",2016-05-13,52.23,52.549999,52,52.060001,1046800,43.691925
"93","NLSN",2016-05-16,52.080002,52.650002,51.77,52.34,1364900,43.926914
"94","NLSN",2016-05-17,52.25,52.599998,51.849998,51.990002,1586200,43.633175
"95","NLSN",2016-05-18,51.810001,52.41,51.639999,51.970001,1132300,43.616398
"96","NLSN",2016-05-19,51.77,51.93,51.07,51.59,1183200,43.29747
"97","NLSN",2016-05-20,51.950001,52.549999,51.669998,52.200001,1342000,43.809418
"98","NLSN",2016-05-23,52.150002,52.400002,51.880001,52.220001,894800,43.826206
"99","NLSN",2016-05-24,52.540001,53.16,52.259998,53.009998,1202200,44.489216
"100","NLSN",2016-05-25,53.07,53.209999,52.779999,52.950001,1275000,44.438866
"101","NLSN",2016-05-26,52.93,53.450001,52.75,53.360001,922900,44.782959
"102","NLSN",2016-05-27,53.48,53.919998,53.43,53.720001,1235800,45.085102
"103","NLSN",2016-05-31,53.529999,53.549999,53.02,53.389999,1748000,45.068214
"104","NLSN",2016-06-01,53.299999,53.689999,52.939999,53.59,1198200,45.237041
"105","NLSN",2016-06-02,53.490002,53.75,53.169998,53.720001,917000,45.346775
"106","NLSN",2016-06-03,53.630001,53.799999,53.400002,53.700001,1180800,45.329895
"107","NLSN",2016-06-06,53.830002,54.43,53.720001,54.299999,2192000,45.836365
"108","NLSN",2016-06-07,54.459999,54.48,53.869999,53.900002,1852100,45.498722
"109","NLSN",2016-06-08,53.98,54.759998,53.73,54.689999,1577500,46.165585
"110","NLSN",2016-06-09,54.450001,55.060001,54.389999,54.98,1098200,46.410385
"111","NLSN",2016-06-10,54.450001,54.759998,54.09,54.41,1109600,45.92923
"112","NLSN",2016-06-13,54.360001,54.619999,53.880001,53.900002,1240000,45.498722
"113","NLSN",2016-06-14,53.82,54.400002,53.77,54.349998,1540000,45.878582
"114","NLSN",2016-06-15,54.599998,54.619999,54.080002,54.130001,1097800,45.692875
"115","NLSN",2016-06-16,53.709999,54.139999,53.580002,53.889999,2508100,45.490276
"116","NLSN",2016-06-17,53.709999,53.810001,53.27,53.41,2022900,45.085102
"117","NLSN",2016-06-20,53.939999,54.209999,53.57,53.599998,1388000,45.24548
"118","NLSN",2016-06-21,53.610001,53.889999,53.279999,53.529999,1478200,45.18639
"119","NLSN",2016-06-22,53.509998,53.849998,53.419998,53.470001,1127400,45.135746
"120","NLSN",2016-06-23,54.110001,54.139999,53.48,53.689999,1664800,45.321461
"121","NLSN",2016-06-24,52.040001,52.240002,51.049999,51.099998,3786900,43.135143
"122","NLSN",2016-06-27,50.470001,50.599998,49.759998,50.169998,2679100,42.350105
"123","NLSN",2016-06-28,50.580002,51.029999,50.119999,51.029999,2589200,43.076061
"124","NLSN",2016-06-29,51.5,52,51.34,51.939999,3311500,43.844227
"125","NLSN",2016-06-30,51.959999,52.099998,51.200001,51.970001,4529600,43.869549
"126","NLSN",2016-07-01,51.970001,52.419998,51.709999,52.130001,2293400,44.00462
"127","NLSN",2016-07-05,52.029999,52.049999,51.369999,51.66,1888000,43.607861
"128","NLSN",2016-07-06,51.59,52.279999,51.099998,52.18,3141700,44.046822
"129","NLSN",2016-07-07,52.099998,52.5,52,52.25,1929800,44.105904
"130","NLSN",2016-07-08,52.799999,53.029999,52.639999,52.869999,1656200,44.629269
"131","NLSN",2016-07-11,52.98,53.5,52.98,53.389999,1354700,45.068214
"132","NLSN",2016-07-12,53.889999,54.209999,53.720001,53.919998,1432200,45.515598
"133","NLSN",2016-07-13,53.939999,54.119999,53.689999,53.77,1673300,45.388977
"134","NLSN",2016-07-14,54.040001,54.25,53.779999,54.029999,2093400,45.608452
"135","NLSN",2016-07-15,54.169998,54.400002,53.959999,54.18,2906000,45.735085
"136","NLSN",2016-07-18,54.400002,54.400002,54.02,54.029999,1705100,45.608452
"137","NLSN",2016-07-19,53.869999,54.48,53.779999,54.380001,1302700,45.903908
"138","NLSN",2016-07-20,54.439999,55.130001,54.259998,55.09,2240800,46.503239
"139","NLSN",2016-07-21,55.09,55.619999,54.860001,55.419998,2798600,46.781799
"140","NLSN",2016-07-22,55.34,55.860001,55.110001,55.810001,2052200,47.111015
"141","NLSN",2016-07-25,55.860001,55.939999,55.139999,55.220001,2944800,46.612972
"142","NLSN",2016-07-26,54.220001,54.790001,53.310001,54.189999,4024100,45.74353
"143","NLSN",2016-07-27,54.189999,54.330002,53.419998,54.049999,2236600,45.625343
"144","NLSN",2016-07-28,53.959999,54.540001,53.599998,54.150002,1956100,45.709763
"145","NLSN",2016-07-29,54.09,54.32,53.860001,53.860001,2193000,45.464958
"146","NLSN",2016-08-01,53.77,53.959999,53.25,53.490002,1858400,45.152634
"147","NLSN",2016-08-02,53.57,53.650002,53.040001,53.200001,1387600,44.907837
"148","NLSN",2016-08-03,53.169998,53.439999,53.07,53.349998,1549600,45.034443
"149","NLSN",2016-08-04,53.279999,53.459999,52.880001,52.959999,1706000,44.705235
"150","NLSN",2016-08-05,53.16,53.240002,52.740002,52.91,1943500,44.663025
"151","NLSN",2016-08-08,53,53.25,52.580002,52.91,1782200,44.663025
"152","NLSN",2016-08-09,52.959999,53.200001,52.66,52.68,1802600,44.468884
"153","NLSN",2016-08-10,52.799999,52.900002,52.450001,52.869999,1080800,44.629269
"154","NLSN",2016-08-11,53.060001,53.209999,52.669998,52.759998,1062300,44.536411
"155","NLSN",2016-08-12,52.759998,53.07,52.75,52.959999,1039800,44.705235
"156","NLSN",2016-08-15,52.959999,53,52.830002,52.93,844700,44.67992
"157","NLSN",2016-08-16,52.950001,52.950001,52.669998,52.759998,958600,44.536411
"158","NLSN",2016-08-17,52.860001,53.150002,52.68,53.049999,2201600,44.781208
"159","NLSN",2016-08-18,53.029999,53.189999,52.880001,53.150002,972100,44.865627
"160","NLSN",2016-08-19,52.950001,53.169998,52.75,53.150002,1025400,44.865627
"161","NLSN",2016-08-22,53.040001,53.5,52.919998,53.470001,1401200,45.135746
"162","NLSN",2016-08-23,53.209999,53.349998,52.880001,52.889999,1900300,44.906502
"163","NLSN",2016-08-24,52.919998,52.970001,52.380001,52.48,1446500,44.55838
"164","NLSN",2016-08-25,52.52,53,52,52.599998,2188600,44.660275
"165","NLSN",2016-08-26,52.759998,53.099998,52.310001,52.490002,1316700,44.566883
"166","NLSN",2016-08-29,52.52,52.860001,52.299999,52.669998,915200,44.719704
"167","NLSN",2016-08-30,52.73,53.139999,52.419998,53.09,1741900,45.076309
"168","NLSN",2016-08-31,52.950001,53.299999,52.639999,53.279999,1942700,45.237629
"169","NLSN",2016-09-01,53.130001,53.48,52.59,52.689999,1960400,44.736683
"170","NLSN",2016-09-02,52.950001,53.150002,52.509998,52.669998,1562300,44.719704
"171","NLSN",2016-09-06,52.830002,53.060001,52.689999,53.040001,1432800,45.033859
"172","NLSN",2016-09-07,52.950001,53.43,52.689999,53.369999,1324200,45.314041
"173","NLSN",2016-09-08,52.959999,53.130001,52.09,52.360001,3495700,44.456497
"174","NLSN",2016-09-09,52.279999,52.52,51.970001,52,3255700,44.150845
"175","NLSN",2016-09-12,51.900002,52.82,51.830002,52.709999,2603300,44.753674
"176","NLSN",2016-09-13,52.330002,52.490002,51.779999,51.91,2121700,44.074429
"177","NLSN",2016-09-14,51.900002,52.049999,51.689999,51.869999,1618500,44.040462
"178","NLSN",2016-09-15,51.68,52.709999,51.380001,52.52,2358300,44.59235
"179","NLSN",2016-09-16,52.220001,52.349998,51.860001,52.18,5685100,44.303665
"180","NLSN",2016-09-19,52.450001,52.759998,52.07,52.310001,1359300,44.414047
"181","NLSN",2016-09-20,52.68,52.959999,52.389999,52.41,1442000,44.498955
"182","NLSN",2016-09-21,52.66,52.84,51.82,52.330002,1821200,44.43103
"183","NLSN",2016-09-22,52.610001,52.93,52.490002,52.720001,1700000,44.762165
"184","NLSN",2016-09-23,53.040001,53.43,52.860001,53.330002,2264300,45.280083
"185","NLSN",2016-09-26,53.150002,53.25,52.849998,53.150002,1827400,45.127258
"186","NLSN",2016-09-27,53.16,53.59,53.049999,53.490002,1427500,45.415936
"187","NLSN",2016-09-28,53.490002,53.68,53.27,53.650002,1172300,45.551788
"188","NLSN",2016-09-29,53.599998,54.189999,53.459999,53.470001,1803000,45.398952
"189","NLSN",2016-09-30,53.68,53.959999,53.380001,53.57,2778000,45.483864
"190","NLSN",2016-10-03,53.43,53.75,53.25,53.650002,2116300,45.551788
"191","NLSN",2016-10-04,53.549999,53.779999,53.41,53.459999,1271400,45.390465
"192","NLSN",2016-10-05,53.529999,53.700001,53.16,53.189999,1264800,45.161221
"193","NLSN",2016-10-06,53.200001,53.200001,52.5,52.560001,1938800,44.626316
"194","NLSN",2016-10-07,52.709999,52.790001,52.259998,52.360001,1271500,44.456497
"195","NLSN",2016-10-10,52.529999,52.700001,52.5,52.529999,977700,44.600842
"196","NLSN",2016-10-11,52.369999,52.48,51.48,51.75,1421600,43.93858
"197","NLSN",2016-10-12,51.75,52.16,51.639999,52.049999,2320400,44.193291
"198","NLSN",2016-10-13,51.959999,52.639999,51.529999,52.549999,2471600,44.617821
"199","NLSN",2016-10-14,52.799999,53.700001,52.740002,53.529999,2776800,45.449898
"200","NLSN",2016-10-17,53.41,53.700001,53.32,53.470001,1634900,45.398952
"201","NLSN",2016-10-18,53.689999,54.279999,53.5,53.889999,2470100,45.755558
"202","NLSN",2016-10-19,54.110001,54.34,53.779999,54.32,2150100,46.120644
"203","NLSN",2016-10-20,53.849998,54.060001,53.529999,54.049999,2766800,45.891403
"204","NLSN",2016-10-21,53.73,54.639999,53.48,54.599998,1964800,46.358391
"205","NLSN",2016-10-24,54.689999,54.990002,54.650002,54.93,2959200,46.638577
"206","NLSN",2016-10-25,46.889999,48.959999,45.52,45.650002,21052100,38.759342
"207","NLSN",2016-10-26,45.77,47.509998,45.689999,45.779999,8012000,38.869728
"208","NLSN",2016-10-27,45.990002,46.200001,45.630001,45.950001,3422600,39.014069
"209","NLSN",2016-10-28,45.950001,46.09,44.299999,44.66,4726200,37.918785
"210","NLSN",2016-10-31,44.66,45.360001,44.630001,45.02,2634200,38.224445
