"","symbol","date","open","high","low","close","volume","adjusted"
"1","NLY",2016-01-04,9.32,9.55,9.29,9.53,8222400,4.841016
"2","NLY",2016-01-05,9.53,9.66,9.49,9.59,7218000,4.871495
"3","NLY",2016-01-06,9.56,9.69,9.54,9.65,6644700,4.901973
"4","NLY",2016-01-07,9.55,9.61,9.45,9.45,7164100,4.800378
"5","NLY",2016-01-08,9.47,9.52,9.4,9.41,7351300,4.780057
"6","NLY",2016-01-11,9.38,9.45,9.35,9.39,5948500,4.7699
"7","NLY",2016-01-12,9.43,9.43,9.19,9.26,9070800,4.703863
"8","NLY",2016-01-13,9.25,9.27,9.08,9.14,10117500,4.642905
"9","NLY",2016-01-14,9.14,9.18,9,9.07,12680300,4.607347
"10","NLY",2016-01-15,8.93,8.98,8.7,8.96,14800400,4.55147
"11","NLY",2016-01-19,8.97,9.02,8.77,8.8,15114400,4.470194
"12","NLY",2016-01-20,8.71,8.75,8.25,8.7,21045100,4.419395
"13","NLY",2016-01-21,8.7,8.87,8.63,8.69,12212600,4.414316
"14","NLY",2016-01-22,8.76,9.04,8.73,9.01,10219200,4.576869
"15","NLY",2016-01-25,9.03,9.09,8.88,8.89,11590900,4.515911
"16","NLY",2016-01-26,8.96,9.25,8.94,9.21,10962400,4.678463
"17","NLY",2016-01-27,9.25,9.3,9.11,9.17,7732800,4.658145
"18","NLY",2016-01-28,9.2,9.37,9.16,9.25,8026800,4.698783
"19","NLY",2016-01-29,9.35,9.51,9.26,9.5,11802400,4.825777
"20","NLY",2016-02-01,9.49,9.61,9.42,9.53,7876900,4.841016
"21","NLY",2016-02-02,9.5,9.67,9.42,9.64,9794000,4.896893
"22","NLY",2016-02-03,9.66,9.75,9.62,9.67,10287000,4.912133
"23","NLY",2016-02-04,9.67,9.85,9.67,9.74,11654000,4.947691
"24","NLY",2016-02-05,9.72,9.8,9.66,9.73,7066700,4.942611
"25","NLY",2016-02-08,9.71,9.85,9.66,9.83,7900700,4.993409
"26","NLY",2016-02-09,9.81,9.82,9.64,9.77,9358100,4.96293
"27","NLY",2016-02-10,9.78,9.83,9.69,9.75,6178400,4.952771
"28","NLY",2016-02-11,9.67,9.71,9.52,9.59,6914300,4.871495
"29","NLY",2016-02-12,9.64,9.79,9.6,9.73,6025600,4.942611
"30","NLY",2016-02-16,9.77,9.84,9.71,9.83,8085000,4.993409
"31","NLY",2016-02-17,9.86,9.98,9.81,9.9,9710100,5.028966
"32","NLY",2016-02-18,9.93,9.96,9.87,9.94,7387000,5.049287
"33","NLY",2016-02-19,9.9,9.94,9.88,9.92,5893700,5.039126
"34","NLY",2016-02-22,9.97,10.02,9.92,9.99,9118000,5.074685
"35","NLY",2016-02-23,10,10.16,10,10.04,11837700,5.100085
"36","NLY",2016-02-24,10.01,10.09,9.92,10,10428400,5.079765
"37","NLY",2016-02-25,10.15,10.2,10.02,10.16,9933900,5.161041
"38","NLY",2016-02-26,10.2,10.28,10.17,10.18,9383600,5.171201
"39","NLY",2016-02-29,10.2,10.26,10.12,10.13,13126000,5.145802
"40","NLY",2016-03-01,10.2,10.21,10.07,10.11,8320600,5.135642
"41","NLY",2016-03-02,10.11,10.2,10.07,10.17,7417400,5.166121
"42","NLY",2016-03-03,10.2,10.3,10.17,10.26,7124500,5.21184
"43","NLY",2016-03-04,10.26,10.36,10.24,10.28,7092400,5.221998
"44","NLY",2016-03-07,10.3,10.36,10.21,10.28,8238500,5.221998
"45","NLY",2016-03-08,10.27,10.3,10.14,10.23,5995400,5.1966
"46","NLY",2016-03-09,10.24,10.3,10.18,10.28,5098000,5.221998
"47","NLY",2016-03-10,10.3,10.3,10.12,10.23,6401000,5.1966
"48","NLY",2016-03-11,10.29,10.35,10.27,10.35,7854800,5.257557
"49","NLY",2016-03-14,10.29,10.32,10.21,10.23,8002800,5.1966
"50","NLY",2016-03-15,10.24,10.29,10.15,10.26,5741400,5.21184
"51","NLY",2016-03-16,10.27,10.36,10.22,10.34,5834100,5.252478
"52","NLY",2016-03-17,10.38,10.47,10.32,10.39,11282200,5.277876
"53","NLY",2016-03-18,10.42,10.46,10.37,10.41,9553100,5.288036
"54","NLY",2016-03-21,10.41,10.48,10.41,10.44,6191900,5.303275
"55","NLY",2016-03-22,10.46,10.48,10.4,10.45,5792900,5.308355
"56","NLY",2016-03-23,10.45,10.46,10.41,10.42,6861700,5.293115
"57","NLY",2016-03-24,10.4,10.46,10.3,10.44,6833800,5.303275
"58","NLY",2016-03-28,10.45,10.47,10.36,10.41,6866500,5.288036
"59","NLY",2016-03-29,10.13,10.16,9.98,10.15,13474800,5.308958
"60","NLY",2016-03-30,10.19,10.28,10.17,10.18,6946900,5.324648
"61","NLY",2016-03-31,10.2,10.31,10.16,10.26,12141500,5.366494
"62","NLY",2016-04-01,10.24,10.35,10.2,10.34,11819000,5.408337
"63","NLY",2016-04-04,10.33,10.34,10.23,10.27,5425800,5.371724
"64","NLY",2016-04-05,10.23,10.33,10.23,10.29,9698500,5.382184
"65","NLY",2016-04-06,10.29,10.34,10.22,10.27,5531900,5.371724
"66","NLY",2016-04-07,10.27,10.38,10.26,10.35,7144800,5.413567
"67","NLY",2016-04-08,10.37,10.42,10.35,10.41,5247300,5.444951
"68","NLY",2016-04-11,10.16,10.45,10.16,10.44,37619600,5.460641
"69","NLY",2016-04-12,10.42,10.43,10.32,10.36,8573700,5.418796
"70","NLY",2016-04-13,10.38,10.41,10.3,10.38,9497600,5.429259
"71","NLY",2016-04-14,10.42,10.42,10.32,10.35,6341500,5.413567
"72","NLY",2016-04-15,10.38,10.42,10.34,10.41,5282000,5.444951
"73","NLY",2016-04-18,10.4,10.44,10.36,10.41,6170400,5.444951
"74","NLY",2016-04-19,10.42,10.46,10.39,10.45,6247200,5.465872
"75","NLY",2016-04-20,10.46,10.49,10.4,10.4,5379800,5.43972
"76","NLY",2016-04-21,10.38,10.41,10.25,10.28,9295200,5.376954
"77","NLY",2016-04-22,10.27,10.32,10.22,10.23,5775300,5.350801
"78","NLY",2016-04-25,10.23,10.38,10.22,10.38,6605000,5.429259
"79","NLY",2016-04-26,10.4,10.44,10.25,10.31,8249500,5.392645
"80","NLY",2016-04-27,10.29,10.36,10.24,10.35,5252800,5.413567
"81","NLY",2016-04-28,10.34,10.38,10.3,10.37,5691600,5.424029
"82","NLY",2016-04-29,10.38,10.46,10.31,10.42,7856200,5.45018
"83","NLY",2016-05-02,10.43,10.47,10.35,10.41,7405900,5.444951
"84","NLY",2016-05-03,10.44,10.44,10.27,10.3,7138300,5.387416
"85","NLY",2016-05-04,10.3,10.45,10.25,10.45,8822100,5.465872
"86","NLY",2016-05-05,10.41,10.62,10.37,10.62,13401300,5.554791
"87","NLY",2016-05-06,10.6,10.85,10.6,10.85,12165600,5.675093
"88","NLY",2016-05-09,10.88,10.95,10.82,10.92,9432800,5.711706
"89","NLY",2016-05-10,10.95,11,10.89,10.99,8777100,5.748319
"90","NLY",2016-05-11,10.99,11.09,10.97,11.04,12186900,5.774471
"91","NLY",2016-05-12,11.06,11.11,10.97,11.1,9015100,5.805856
"92","NLY",2016-05-13,11.12,11.13,11.03,11.05,5754700,5.779701
"93","NLY",2016-05-16,11.03,11.12,11.03,11.12,7471800,5.816316
"94","NLY",2016-05-17,11.12,11.12,10.95,10.99,8513300,5.748319
"95","NLY",2016-05-18,11.01,11.02,10.64,10.76,12884700,5.628017
