"","symbol","date","open","high","low","close","volume","adjusted"
"1","NMRD",2018-02-05,62.290001,62.290001,57.619999,58.869999,2240,58.869999
"2","NMRD",2018-02-06,59.5,59.5,56,58,2400,58
"3","NMRD",2018-02-07,59,59,55,56.5,1030,56.5
"4","NMRD",2018-02-08,55,55.990002,50,54.099998,1630,54.099998
"5","NMRD",2018-02-09,60,60,52.599998,52.799999,990,52.799999
"6","NMRD",2018-02-12,52.099998,59.900002,52.099998,52.5,1090,52.5
"7","NMRD",2018-02-13,54.5,54.5,53,53.5,880,53.5
"8","NMRD",2018-02-14,52.5,53.5,52.25,52.5,960,52.5
"9","NMRD",2018-02-15,54.400002,54.400002,51.5,52.189999,810,52.189999
"10","NMRD",2018-02-16,51.5,57.900002,51.5,57.900002,2650,57.900002
"11","NMRD",2018-02-20,57.5,58,52.880001,52.880001,970,52.880001
"12","NMRD",2018-02-21,55,55,52.869999,53.5,860,53.5
"13","NMRD",2018-02-22,55.5,55.5,52,52,420,52
"14","NMRD",2018-02-23,53.5,56,50.5,56,990,56
"15","NMRD",2018-02-26,51.599998,55.720001,51.200001,53.099998,610,53.099998
"16","NMRD",2018-02-27,52.5,52.5,52.400002,52.400002,210,52.400002
"17","NMRD",2018-02-28,51.400002,51.799999,51.299999,51.5,570,51.5
"18","NMRD",2018-03-01,53.220001,53.220001,50.400002,50.400002,1150,50.400002
"19","NMRD",2018-03-02,50.400002,54.900002,50.400002,51.509998,1200,51.509998
"20","NMRD",2018-03-05,55,55,50.200001,53.299999,1570,53.299999
"21","NMRD",2018-03-06,53,53.599998,50.5,51,1440,51
"22","NMRD",2018-03-07,50.509998,51.950001,50,50.299999,610,50.299999
"23","NMRD",2018-03-08,50.5,54.650002,50.5,51.799999,620,51.799999
"24","NMRD",2018-03-09,52.400002,53.5,51,53.5,3160,53.5
"25","NMRD",2018-03-12,54.599998,54.599998,51.299999,52.900002,4780,52.900002
"26","NMRD",2018-03-13,52.5,52.75,51.200001,51.700001,1110,51.700001
"27","NMRD",2018-03-14,52.299999,52.299999,51.200001,51.200001,950,51.200001
"28","NMRD",2018-03-15,51.700001,51.700001,51.200001,51.5,930,51.5
"29","NMRD",2018-03-16,51.200001,51.25,50.099998,50.200001,590,50.200001
"30","NMRD",2018-03-19,50.099998,51,50,50.200001,940,50.200001
"31","NMRD",2018-03-20,50.400002,51.150002,50,50,940,50
"32","NMRD",2018-03-21,50.330002,50.599998,50,50.150002,1550,50.150002
"33","NMRD",2018-03-22,50.799999,50.799999,50,50,650,50
"34","NMRD",2018-03-23,51.5,51.5,50.099998,50.5,830,50.5
"35","NMRD",2018-03-26,50,50.799999,50,50.200001,870,50.200001
"36","NMRD",2018-03-27,50,50.700001,50,50,860,50
"37","NMRD",2018-03-28,50.900002,52,47.700001,47.700001,1990,47.700001
"38","NMRD",2018-03-29,48.5,48.599998,45,45.5,3290,45.5
"39","NMRD",2018-04-02,45,45.799999,45,45.799999,510,45.799999
"40","NMRD",2018-04-03,45.400002,47.400002,44,46.200001,1220,46.200001
"41","NMRD",2018-04-04,46,46,42,42.099998,610,42.099998
"42","NMRD",2018-04-05,42,42.299999,40,40,1540,40
"43","NMRD",2018-04-06,39.599998,39.599998,32.57,34.450001,2620,34.450001
"44","NMRD",2018-04-09,34,42.5,34,42.5,3370,42.5
"45","NMRD",2018-04-10,50,50,42.400002,42.599998,2550,42.599998
"46","NMRD",2018-04-11,49.490002,49.490002,42.799999,43,2310,43
"47","NMRD",2018-04-12,44,44.5,42.5,42.5,1180,42.5
"48","NMRD",2018-04-13,42.900002,42.900002,41,41.099998,1390,41.099998
"49","NMRD",2018-04-16,40,40.5,38.5,38.77,610,38.77
"50","NMRD",2018-04-17,39.900002,39.900002,37.799999,37.799999,770,37.799999
"51","NMRD",2018-04-18,37.700001,40.790001,37.700001,40.200001,450,40.200001
"52","NMRD",2018-04-19,36.200001,38.799999,36.200001,37.349998,1390,37.349998
"53","NMRD",2018-04-20,37.5,39,37.369999,38.299999,1540,38.299999
"54","NMRD",2018-04-23,38.400002,38.5,37.200001,37.200001,510,37.200001
"55","NMRD",2018-04-24,37.099998,38.5,37.099998,37.200001,1040,37.200001
"56","NMRD",2018-04-25,37.209999,37.400002,36.900002,36.900002,920,36.900002
"57","NMRD",2018-04-26,34.099998,36.200001,33.099998,33.5,3170,33.5
"58","NMRD",2018-04-27,33.299999,33.900002,32.209999,33.400002,2250,33.400002
"59","NMRD",2018-04-30,33.400002,33.400002,33,33,450,33
"60","NMRD",2018-05-01,35,39.299999,31.43,39.299999,5120,39.299999
