"","symbol","date","open","high","low","close","volume","adjusted"
"1","NMR",2016-01-04,5.45,5.49,5.38,5.48,2278900,5.48
"2","NMR",2016-01-05,5.56,5.58,5.52,5.55,1161800,5.55
"3","NMR",2016-01-06,5.49,5.51,5.46,5.47,282000,5.47
"4","NMR",2016-01-07,5.39,5.42,5.34,5.38,487200,5.38
"5","NMR",2016-01-08,5.37,5.37,5.18,5.18,518800,5.18
"6","NMR",2016-01-11,5.25,5.29,5.2,5.25,480400,5.25
"7","NMR",2016-01-12,5.28,5.28,5.15,5.22,475200,5.22
"8","NMR",2016-01-13,5.28,5.31,5.15,5.19,557900,5.19
"9","NMR",2016-01-14,5.27,5.32,5.21,5.29,810800,5.29
"10","NMR",2016-01-15,5.1,5.1,4.99,5.07,794400,5.07
"11","NMR",2016-01-19,5.19,5.19,5.08,5.1,1336500,5.1
"12","NMR",2016-01-20,4.98,4.99,4.82,4.92,826400,4.92
"13","NMR",2016-01-21,4.85,4.95,4.83,4.88,547800,4.88
"14","NMR",2016-01-22,5.06,5.16,5.04,5.13,722600,5.13
"15","NMR",2016-01-25,5.09,5.12,5.05,5.06,850900,5.06
"16","NMR",2016-01-26,5.08,5.14,5.04,5.12,569200,5.12
"17","NMR",2016-01-27,5.13,5.22,5.08,5.12,280700,5.12
"18","NMR",2016-01-28,5.16,5.18,5.07,5.13,338800,5.13
"19","NMR",2016-01-29,5.23,5.42,5.23,5.41,496100,5.41
"20","NMR",2016-02-01,5.42,5.47,5.39,5.44,722100,5.44
"21","NMR",2016-02-02,5.32,5.32,5.12,5.2,558600,5.2
"22","NMR",2016-02-03,4.99,5.01,4.87,4.97,775400,4.97
"23","NMR",2016-02-04,4.93,4.98,4.9,4.95,321500,4.95
"24","NMR",2016-02-05,4.89,4.91,4.79,4.79,250400,4.79
"25","NMR",2016-02-08,4.64,4.67,4.49,4.54,1131400,4.54
"26","NMR",2016-02-09,4.32,4.44,4.32,4.42,1975800,4.42
"27","NMR",2016-02-10,4.34,4.34,4.17,4.18,1499000,4.18
"28","NMR",2016-02-11,4.12,4.15,4.05,4.14,580600,4.14
"29","NMR",2016-02-12,4.02,4.11,3.96,4.11,1194000,4.11
"30","NMR",2016-02-16,4.38,4.38,4.33,4.36,1397300,4.36
"31","NMR",2016-02-17,4.42,4.51,4.41,4.45,2721800,4.45
"32","NMR",2016-02-18,4.46,4.46,4.35,4.36,853900,4.36
"33","NMR",2016-02-19,4.34,4.36,4.27,4.31,1288100,4.31
"34","NMR",2016-02-22,4.37,4.37,4.31,4.34,1340400,4.34
"35","NMR",2016-02-23,4.27,4.29,4.24,4.26,1245800,4.26
"36","NMR",2016-02-24,4.19,4.28,4.16,4.27,414800,4.27
"37","NMR",2016-02-25,4.3,4.36,4.28,4.33,431600,4.33
"38","NMR",2016-02-26,4.33,4.36,4.3,4.3,563800,4.3
"39","NMR",2016-02-29,4.21,4.24,4.19,4.2,418700,4.2
"40","NMR",2016-03-01,4.28,4.37,4.28,4.36,718000,4.36
"41","NMR",2016-03-02,4.37,4.42,4.37,4.42,284900,4.42
"42","NMR",2016-03-03,4.54,4.58,4.53,4.55,274700,4.55
"43","NMR",2016-03-04,4.7,4.73,4.64,4.65,362700,4.65
"44","NMR",2016-03-07,4.66,4.69,4.61,4.64,547000,4.64
