"","symbol","date","open","high","low","close","volume","adjusted"
"1","NOVT",2016-01-04,13.39,13.73,12.77,13.22,99000,13.22
"2","NOVT",2016-01-05,13.22,13.3,12.95,13.24,30600,13.24
"3","NOVT",2016-01-06,13.06,13.3,12.67,13.2,42600,13.2
"4","NOVT",2016-01-07,12.94,13.02,12.58,12.6,50000,12.6
"5","NOVT",2016-01-08,12.6,12.98,12.25,12.3,60100,12.3
"6","NOVT",2016-01-11,12.34,12.62,11.52,12.5,36700,12.5
"7","NOVT",2016-01-12,12.66,12.96,12.35,12.75,65400,12.75
"8","NOVT",2016-01-13,12.77,12.77,12.28,12.31,55800,12.31
"9","NOVT",2016-01-14,12.46,12.67,12.23,12.45,38100,12.45
"10","NOVT",2016-01-15,12.08,12.38,11.8,12.09,49300,12.09
"11","NOVT",2016-01-19,12.27,12.36,11.63,11.99,40200,11.99
"12","NOVT",2016-01-20,11.78,12.58,11.58,12.31,87300,12.31
"13","NOVT",2016-01-21,12.31,12.49,12.11,12.16,35200,12.16
"14","NOVT",2016-01-22,12.34,12.56,11.99,12.54,62600,12.54
"15","NOVT",2016-01-25,12.51,12.61,12.17,12.2,30200,12.2
"16","NOVT",2016-01-26,12.25,12.59,12.25,12.43,32200,12.43
"17","NOVT",2016-01-27,12.37,12.56,12.16,12.24,98100,12.24
"18","NOVT",2016-01-28,12.55,12.55,12.12,12.16,34000,12.16
"19","NOVT",2016-01-29,12.33,12.44,12.1,12.36,186200,12.36
"20","NOVT",2016-02-01,12.27,12.6,12.25,12.46,33900,12.46
"21","NOVT",2016-02-02,12.31,12.55,12.11,12.24,35600,12.24
"22","NOVT",2016-02-03,12.39,12.39,11.87,12.18,29000,12.18
"23","NOVT",2016-02-04,12.17,12.49,12.17,12.44,26900,12.44
"24","NOVT",2016-02-05,12.39,12.39,11.68,11.73,97800,11.73
"25","NOVT",2016-02-08,11.45,12.16,11.23,12.06,65800,12.06
"26","NOVT",2016-02-09,11.89,12.38,11.89,12.09,51100,12.09
"27","NOVT",2016-02-10,12.2,12.55,12.18,12.2,26900,12.2
"28","NOVT",2016-02-11,11.98,12.31,11.59,11.9,37200,11.9
"29","NOVT",2016-02-12,12.02,12.45,11.96,12.42,31000,12.42
"30","NOVT",2016-02-16,12.62,12.64,12.51,12.59,27600,12.59
"31","NOVT",2016-02-17,12.66,12.87,12.53,12.57,38900,12.57
"32","NOVT",2016-02-18,12.55,12.64,12.35,12.38,20100,12.38
"33","NOVT",2016-02-19,12.34,12.61,12.1,12.17,43300,12.17
"34","NOVT",2016-02-22,12.25,12.57,12.19,12.38,59300,12.38
"35","NOVT",2016-02-23,12.36,12.73,12.35,12.39,98100,12.39
"36","NOVT",2016-02-24,12.35,12.8,12.35,12.75,33000,12.75
"37","NOVT",2016-02-25,12.76,12.95,12.6,12.74,24500,12.74
"38","NOVT",2016-02-26,12.83,12.83,12.53,12.59,23800,12.59
"39","NOVT",2016-02-29,12.54,13,12.54,12.87,172200,12.87
"40","NOVT",2016-03-01,12.92,13,12.83,12.91,23800,12.91
"41","NOVT",2016-03-02,12.81,13.08,12.71,12.85,131100,12.85
"42","NOVT",2016-03-03,12.96,13.43,12.9,13.18,143800,13.18
"43","NOVT",2016-03-04,13.06,13.75,12.9,13.51,69600,13.51
"44","NOVT",2016-03-07,13.48,13.69,13.43,13.61,26500,13.61
"45","NOVT",2016-03-08,13.57,13.57,13.29,13.31,43400,13.31
"46","NOVT",2016-03-09,13.35,13.72,13.35,13.68,21000,13.68
"47","NOVT",2016-03-10,13.68,13.68,13.12,13.15,22800,13.15
"48","NOVT",2016-03-11,13.13,13.58,13.13,13.53,40400,13.53
"49","NOVT",2016-03-14,13.53,13.54,13.19,13.24,29500,13.24
"50","NOVT",2016-03-15,13.17,13.2,12.88,12.98,41700,12.98
"51","NOVT",2016-03-16,12.83,13.66,12.83,13.1,58500,13.1
"52","NOVT",2016-03-17,13.06,13.66,13.05,13.57,40300,13.57
"53","NOVT",2016-03-18,13.67,13.83,13.43,13.7,106300,13.7
"54","NOVT",2016-03-21,13.64,14.61,13.48,13.98,332900,13.98
"55","NOVT",2016-03-22,13.97,14.05,13.67,13.92,44900,13.92
"56","NOVT",2016-03-23,13.69,13.71,13.4,13.65,64500,13.65
"57","NOVT",2016-03-24,13.53,14.07,13.43,14.05,77900,14.05
"58","NOVT",2016-03-28,14,14.21,13.93,14.07,40000,14.07
"59","NOVT",2016-03-29,14,14.45,13.99,14.06,154300,14.06
"60","NOVT",2016-03-30,14.02,14.25,13.99,14.13,73700,14.13
"61","NOVT",2016-03-31,14.08,14.32,14.07,14.16,49900,14.16
"62","NOVT",2016-04-01,14.03,14.16,13.85,14.05,67600,14.05
"63","NOVT",2016-04-04,14.01,14.28,13.97,14.08,41600,14.08
"64","NOVT",2016-04-05,14.02,14.34,13.99,14.3,70100,14.3
"65","NOVT",2016-04-06,14.35,14.41,14.18,14.31,48300,14.31
"66","NOVT",2016-04-07,14.18,14.25,13.72,13.9,43000,13.9
"67","NOVT",2016-04-08,14,14.18,13.93,14.17,37600,14.17
"68","NOVT",2016-04-11,14.21,14.37,13.98,14.08,43200,14.08
"69","NOVT",2016-04-12,14.07,14.43,14.02,14.3,38200,14.3
"70","NOVT",2016-04-13,14.34,14.5,14.34,14.44,121800,14.44
"71","NOVT",2016-04-14,14.41,14.72,14.35,14.54,36400,14.54
"72","NOVT",2016-04-15,14.45,14.71,14.41,14.54,32600,14.54
"73","NOVT",2016-04-18,14.38,14.84,14.38,14.81,74800,14.81
"74","NOVT",2016-04-19,14.84,14.95,14.72,14.94,72300,14.94
"75","NOVT",2016-04-20,14.92,15.03,14.82,14.94,84500,14.94
"76","NOVT",2016-04-21,14.95,14.95,14.57,14.65,60300,14.65
"77","NOVT",2016-04-22,14.69,14.91,14.65,14.84,51700,14.84
"78","NOVT",2016-04-25,14.69,14.81,14.58,14.68,23400,14.68
"79","NOVT",2016-04-26,14.67,14.98,14.67,14.94,67100,14.94
"80","NOVT",2016-04-27,14.93,15,14.72,14.74,39200,14.74
"81","NOVT",2016-04-28,14.64,14.72,14.49,14.53,29000,14.53
"82","NOVT",2016-04-29,14.88,14.88,14.38,14.55,32200,14.55
"83","NOVT",2016-05-02,14.53,14.78,14.4,14.63,36200,14.63
"84","NOVT",2016-05-03,14.49,14.77,14.3,14.35,67000,14.35
"85","NOVT",2016-05-04,14.44,14.45,14.06,14.12,55700,14.12
"86","NOVT",2016-05-05,14.14,14.35,13.98,14.09,64800,14.09
"87","NOVT",2016-05-06,13.14,14.22,13.14,14.15,43700,14.15
"88","NOVT",2016-05-09,13.99,14.36,13.81,14.29,45700,14.29
"89","NOVT",2016-05-10,14.3,14.81,14.3,14.75,32600,14.75
"90","NOVT",2016-05-11,14.76,14.8,14.4,14.77,69400,14.77
"91","NOVT",2016-05-12,14.77,14.77,14.77,14.77,82000,14.77
"92","NOVT",2016-05-13,14.86,15.06,14.73,14.76,34900,14.76
"93","NOVT",2016-05-16,14.75,15.06,14.75,15.02,81000,15.02
"94","NOVT",2016-05-17,15.03,15.03,14.72,14.9,83200,14.9
"95","NOVT",2016-05-18,14.86,15,14.75,14.94,43600,14.94
"96","NOVT",2016-05-19,14.68,15,14.57,14.68,67400,14.68
"97","NOVT",2016-05-20,14.78,15.02,14.66,15.02,70100,15.02
"98","NOVT",2016-05-23,15.04,15.05,14.85,14.97,55800,14.97
"99","NOVT",2016-05-24,15.03,15.16,14.98,15.05,161400,15.05
"100","NOVT",2016-05-25,15,15.2,14.95,15.15,45400,15.15
"101","NOVT",2016-05-26,15.18,15.32,14.86,15.22,45600,15.22
"102","NOVT",2016-05-27,15.24,15.36,15.22,15.35,87000,15.35
"103","NOVT",2016-05-31,15.41,15.41,14.62,15.31,170400,15.31
"104","NOVT",2016-06-01,15.24,15.59,15.24,15.54,67700,15.54
"105","NOVT",2016-06-02,15.55,15.8,15.3,15.77,66800,15.77
"106","NOVT",2016-06-03,16.040001,16.309999,15.21,16,120800,16
"107","NOVT",2016-06-06,15.96,16,15.81,16,80200,16
"108","NOVT",2016-06-07,16.389999,16.43,15.64,15.99,48300,15.99
"109","NOVT",2016-06-08,15.96,16.24,15.51,15.99,225700,15.99
"110","NOVT",2016-06-09,16.01,16.01,15.83,15.9,25300,15.9
"111","NOVT",2016-06-10,15.8,15.99,14.95,15.87,75400,15.87
"112","NOVT",2016-06-13,15.42,15.85,15.41,15.5,43000,15.5
"113","NOVT",2016-06-14,15.4,15.62,15.4,15.57,23300,15.57
"114","NOVT",2016-06-15,15.68,15.68,15.39,15.44,47000,15.44
"115","NOVT",2016-06-16,15.39,15.61,15.23,15.52,24900,15.52
"116","NOVT",2016-06-17,15.57,15.95,15.37,15.86,148200,15.86
"117","NOVT",2016-06-20,15.86,16.1,15.65,15.74,111700,15.74
"118","NOVT",2016-06-21,15.5,15.95,15.4,15.67,55100,15.67
"119","NOVT",2016-06-22,15.75,15.75,15.44,15.53,41600,15.53
"120","NOVT",2016-06-23,15.76,16.280001,15.63,15.85,44300,15.85
"121","NOVT",2016-06-24,15.17,15.78,14.92,15.57,447400,15.57
"122","NOVT",2016-06-27,15.28,15.3,14.62,14.65,86900,14.65
"123","NOVT",2016-06-28,14.6,15.21,14.6,14.77,91800,14.77
"124","NOVT",2016-06-29,14.9,15.04,14.45,14.73,118400,14.73
"125","NOVT",2016-06-30,14.88,15.19,14.4,15.15,52000,15.15
"126","NOVT",2016-07-01,15.23,15.44,15.17,15.26,76000,15.26
"127","NOVT",2016-07-05,15.19,15.27,15.05,15.13,33500,15.13
"128","NOVT",2016-07-06,14.94,15.13,14.9,15.02,57600,15.02
"129","NOVT",2016-07-07,15.13,15.33,14.99,15.13,60700,15.13
"130","NOVT",2016-07-08,15.28,15.6,15.28,15.55,50100,15.55
"131","NOVT",2016-07-11,15.71,16.219999,14.57,16.09,212900,16.09
"132","NOVT",2016-07-12,16.18,16.4,15.21,16.16,63200,16.16
"133","NOVT",2016-07-13,16.18,16.43,16,16.129999,63600,16.129999
"134","NOVT",2016-07-14,16.299999,16.370001,16.110001,16.190001,113500,16.190001
"135","NOVT",2016-07-15,16.309999,16.4,16.120001,16.32,122400,16.32
"136","NOVT",2016-07-18,16.23,16.290001,16.139999,16.17,118600,16.17
"137","NOVT",2016-07-19,16.190001,16.190001,15.89,15.99,188000,15.99
"138","NOVT",2016-07-20,16.08,16.129999,15.98,16.049999,127400,16.049999
"139","NOVT",2016-07-21,16,16.09,15.7,15.78,41400,15.78
"140","NOVT",2016-07-22,15.74,15.94,15.6,15.92,45500,15.92
"141","NOVT",2016-07-25,15.38,15.84,15.38,15.69,34300,15.69
"142","NOVT",2016-07-26,15.55,15.82,15.5,15.58,56000,15.58
"143","NOVT",2016-07-27,15.52,15.94,15.52,15.85,57900,15.85
"144","NOVT",2016-07-28,15.7,15.84,15.56,15.72,18400,15.72
"145","NOVT",2016-07-29,15.72,15.76,15.58,15.71,71300,15.71
"146","NOVT",2016-08-01,15.67,15.86,15.5,15.75,54900,15.75
"147","NOVT",2016-08-02,15.75,15.75,15.5,15.55,163400,15.55
"148","NOVT",2016-08-03,15.8,16.02,15.78,16.01,150300,16.01
"149","NOVT",2016-08-04,15.96,16,15.79,15.89,38100,15.89
"150","NOVT",2016-08-05,15.99,16.219999,15.97,16.209999,157700,16.209999
"151","NOVT",2016-08-08,16.1,16.219999,16.1,16.190001,22500,16.190001
"152","NOVT",2016-08-09,16.219999,16.33,16.15,16.309999,55400,16.309999
"153","NOVT",2016-08-10,16.360001,16.360001,15.83,16.059999,75000,16.059999
"154","NOVT",2016-08-11,16.02,16.34,16.02,16.23,35800,16.23
"155","NOVT",2016-08-12,16.5,16.5,16.23,16.379999,53800,16.379999
"156","NOVT",2016-08-15,16.469999,16.75,16.42,16.52,56300,16.52
"157","NOVT",2016-08-16,16.389999,16.57,16.389999,16.450001,53300,16.450001
"158","NOVT",2016-08-17,16.35,16.790001,16.299999,16.59,71000,16.59
"159","NOVT",2016-08-18,16.629999,16.9,16.629999,16.85,96200,16.85
"160","NOVT",2016-08-19,16.85,17.190001,16.790001,17.09,254200,17.09
"161","NOVT",2016-08-22,17.15,17.15,16.959999,17.110001,59400,17.110001
"162","NOVT",2016-08-23,17.049999,17.209999,16.870001,16.879999,38500,16.879999
"163","NOVT",2016-08-24,16.889999,17.059999,16.76,16.84,46500,16.84
"164","NOVT",2016-08-25,16.74,17,16.74,17,52200,17
"165","NOVT",2016-08-26,17,17.09,16.82,16.85,31900,16.85
"166","NOVT",2016-08-29,16.83,16.969999,16.799999,16.84,20800,16.84
"167","NOVT",2016-08-30,16.82,17.02,16.700001,16.83,19300,16.83
"168","NOVT",2016-08-31,16.860001,17.040001,16.59,16.889999,250300,16.889999
"169","NOVT",2016-09-01,16.93,17.02,16.540001,16.99,47700,16.99
"170","NOVT",2016-09-02,17.02,17.15,16.879999,17,26500,17
"171","NOVT",2016-09-06,17,17,16.790001,16.91,52100,16.91
"172","NOVT",2016-09-07,16.9,17.219999,16.9,17.120001,103600,17.120001
"173","NOVT",2016-09-08,17.110001,17.139999,16.860001,17.030001,35000,17.030001
"174","NOVT",2016-09-09,16.84,16.84,16.440001,16.469999,49800,16.469999
"175","NOVT",2016-09-12,16.309999,17.08,16.26,17.07,52300,17.07
"176","NOVT",2016-09-13,16.950001,17.07,16.77,16.809999,156500,16.809999
"177","NOVT",2016-09-14,16.809999,16.969999,16.719999,16.780001,47800,16.780001
"178","NOVT",2016-09-15,16.799999,17.049999,16.719999,17,25800,17
"179","NOVT",2016-09-16,17.08,17.42,16.879999,17.299999,294300,17.299999
"180","NOVT",2016-09-19,17.299999,17.379999,17.040001,17.1,55900,17.1
"181","NOVT",2016-09-20,17.26,17.26,17.040001,17.059999,39400,17.059999
"182","NOVT",2016-09-21,17.16,17.290001,17.030001,17.24,32400,17.24
"183","NOVT",2016-09-22,17.4,17.4,17.01,17.389999,66100,17.389999
"184","NOVT",2016-09-23,17.42,17.42,17.129999,17.25,26500,17.25
"185","NOVT",2016-09-26,17.110001,17.309999,17,17.110001,32700,17.110001
"186","NOVT",2016-09-27,17.030001,17.299999,17.030001,17.200001,26300,17.200001
"187","NOVT",2016-09-28,17.15,17.4,17.15,17.379999,239500,17.379999
"188","NOVT",2016-09-29,17.309999,17.48,17.049999,17.07,33700,17.07
"189","NOVT",2016-09-30,17.17,17.43,17.059999,17.35,49600,17.35
"190","NOVT",2016-10-03,17.24,17.32,17.07,17.129999,34100,17.129999
"191","NOVT",2016-10-04,17.190001,17.41,16.99,17.08,46900,17.08
"192","NOVT",2016-10-05,17.139999,17.43,17.09,17.4,201900,17.4
"193","NOVT",2016-10-06,17.4,17.58,17.25,17.48,74200,17.48
"194","NOVT",2016-10-07,17.49,17.49,17.030001,17.24,45700,17.24
"195","NOVT",2016-10-10,17.389999,17.610001,17.280001,17.57,66400,17.57
"196","NOVT",2016-10-11,17.530001,17.610001,17.280001,17.440001,56900,17.440001
"197","NOVT",2016-10-12,17.41,17.639999,17.379999,17.540001,23700,17.540001
"198","NOVT",2016-10-13,17.25,17.450001,17.209999,17.35,32100,17.35
"199","NOVT",2016-10-14,17.51,17.59,17.379999,17.5,28100,17.5
"200","NOVT",2016-10-17,17.549999,17.75,17.450001,17.700001,110200,17.700001
"201","NOVT",2016-10-18,17.75,17.9,17.200001,17.35,30100,17.35
"202","NOVT",2016-10-19,17.35,17.6,17.200001,17.4,29000,17.4
"203","NOVT",2016-10-20,17.35,17.6,17.35,17.549999,24800,17.549999
"204","NOVT",2016-10-21,17.35,17.4,17.25,17.299999,21600,17.299999
"205","NOVT",2016-10-24,17.35,17.75,17.35,17.700001,21900,17.700001
"206","NOVT",2016-10-25,17.6,17.799999,17.6,17.700001,33000,17.700001
"207","NOVT",2016-10-26,17.700001,17.85,17.5,17.6,42600,17.6
"208","NOVT",2016-10-27,17.700001,17.700001,16.950001,17.65,35300,17.65
"209","NOVT",2016-10-28,17.6,17.799999,17.5,17.65,25700,17.65
"210","NOVT",2016-10-31,17.549999,17.85,17.4,17.450001,140600,17.450001
"211","NOVT",2016-11-01,17.5,17.6,17.1,17.15,34700,17.15
"212","NOVT",2016-11-02,17.299999,17.5,16.65,16.799999,35100,16.799999
"213","NOVT",2016-11-03,16.799999,17.200001,16.549999,16.950001,144100,16.950001
"214","NOVT",2016-11-04,17.049999,17.219999,16.65,16.9,78400,16.9
"215","NOVT",2016-11-07,17.200001,17.450001,17.049999,17.4,78800,17.4
"216","NOVT",2016-11-08,17.25,17.85,17.25,17.799999,31700,17.799999
"217","NOVT",2016-11-09,17.52,18.6,17.450001,18.5,71700,18.5
"218","NOVT",2016-11-10,18.799999,19.049999,18.200001,18.4,110900,18.4
"219","NOVT",2016-11-11,18.5,19.4,18.5,19.35,233800,19.35
"220","NOVT",2016-11-14,19.5,19.549999,18.9,19,88200,19
"221","NOVT",2016-11-15,19.049999,19.5,18.85,19.25,106300,19.25
"222","NOVT",2016-11-16,19.15,19.35,18.700001,19,279400,19
"223","NOVT",2016-11-17,18.9,19.25,18.35,19.1,396500,19.1
"224","NOVT",2016-11-18,19.1,19.799999,18.25,19.5,152300,19.5
"225","NOVT",2016-11-21,19.6,19.799999,19.549999,19.799999,62900,19.799999
"226","NOVT",2016-11-22,19.75,19.9,19.65,19.85,55100,19.85
"227","NOVT",2016-11-23,19.65,20.200001,19.5,20.1,172800,20.1
"228","NOVT",2016-11-25,20.15,20.35,20.1,20.299999,114900,20.299999
"229","NOVT",2016-11-28,20.15,20.950001,20.15,20.65,265800,20.65
"230","NOVT",2016-11-29,20.75,20.950001,20.530001,20.549999,62400,20.549999
"231","NOVT",2016-11-30,20.700001,20.950001,20.200001,20.25,62600,20.25
"232","NOVT",2016-12-01,20.25,20.85,20.200001,20.450001,92300,20.450001
"233","NOVT",2016-12-02,20.4,20.700001,19.85,20.049999,71300,20.049999
"234","NOVT",2016-12-05,20.25,20.5,19.950001,20.4,94600,20.4
"235","NOVT",2016-12-06,20.299999,21.1,20.049999,20.950001,111600,20.950001
"236","NOVT",2016-12-07,20.85,21.1,20.65,21.049999,69200,21.049999
"237","NOVT",2016-12-08,20.950001,21.549999,20.75,21.35,119500,21.35
"238","NOVT",2016-12-09,21.25,21.75,20.5,21.4,496100,21.4
"239","NOVT",2016-12-12,21.35,21.5,21.25,21.4,62700,21.4
"240","NOVT",2016-12-13,21.5,21.700001,20.950001,21.049999,82400,21.049999
"241","NOVT",2016-12-14,20.950001,21.049999,20.4,20.450001,108000,20.450001
"242","NOVT",2016-12-15,20.6,20.950001,20.450001,20.549999,120100,20.549999
"243","NOVT",2016-12-16,20.6,20.75,20.200001,20.450001,226700,20.450001
"244","NOVT",2016-12-19,20.4,20.549999,20.200001,20.5,88200,20.5
"245","NOVT",2016-12-20,20.65,20.950001,20.25,20.799999,66600,20.799999
"246","NOVT",2016-12-21,20.75,21.1,20.450001,20.6,56700,20.6
"247","NOVT",2016-12-22,20.6,21,20.129999,20.4,111600,20.4
"248","NOVT",2016-12-23,20.549999,20.799999,20.450001,20.75,39800,20.75
"249","NOVT",2016-12-27,20.700001,20.969999,20.700001,20.85,31100,20.85
"250","NOVT",2016-12-28,20.9,21.1,20.85,21.049999,75000,21.049999
"251","NOVT",2016-12-29,21.1,21.200001,20.799999,21.049999,42900,21.049999
"252","NOVT",2016-12-30,20.85,21.049999,20.85,21,60200,21
"253","NOVT",2017-01-03,21.25,21.700001,20.950001,21.549999,114300,21.549999
"254","NOVT",2017-01-04,21.65,21.799999,21.4,21.75,137200,21.75
"255","NOVT",2017-01-05,21.549999,21.700001,21.1,21.4,69100,21.4
"256","NOVT",2017-01-06,21.5,21.5,21,21.049999,44100,21.049999
"257","NOVT",2017-01-09,21.049999,21.15,20.700001,20.9,207700,20.9
"258","NOVT",2017-01-10,20.950001,21.200001,20.85,21,98600,21
"259","NOVT",2017-01-11,21.35,23.15,21.049999,22.9,454500,22.9
"260","NOVT",2017-01-12,22.950001,23.4,22.049999,23.299999,180800,23.299999
"261","NOVT",2017-01-13,23.1,24.15,23.1,23.299999,494800,23.299999
"262","NOVT",2017-01-17,23,23,22.1,22.200001,86600,22.200001
"263","NOVT",2017-01-18,22.450001,23,21.549999,22.6,161800,22.6
"264","NOVT",2017-01-19,22.75,23.25,22.75,23,145100,23
"265","NOVT",2017-01-20,23,23.200001,22.75,22.799999,57200,22.799999
"266","NOVT",2017-01-23,22.799999,23.549999,22.75,23.450001,229400,23.450001
"267","NOVT",2017-01-24,23.6,23.799999,23.4,23.5,154900,23.5
"268","NOVT",2017-01-25,23.75,23.799999,23.15,23.25,79800,23.25
"269","NOVT",2017-01-26,23.35,23.35,22.799999,22.85,79000,22.85
"270","NOVT",2017-01-27,22.950001,23.35,22.9,23.200001,166100,23.200001
"271","NOVT",2017-01-30,23,23.15,22.549999,22.700001,63400,22.700001
"272","NOVT",2017-01-31,22.799999,23.35,22.15,22.35,136400,22.35
"273","NOVT",2017-02-01,22.549999,22.9,22.450001,22.549999,87400,22.549999
"274","NOVT",2017-02-02,22.6,23.1,22.1,23.049999,116300,23.049999
"275","NOVT",2017-02-03,23.299999,23.299999,22.9,23.200001,86700,23.200001
"276","NOVT",2017-02-06,23.15,23.35,22.85,22.950001,44100,22.950001
"277","NOVT",2017-02-07,23.1,23.65,23,23.299999,167800,23.299999
"278","NOVT",2017-02-08,23.200001,23.700001,22.9,23.5,164200,23.5
"279","NOVT",2017-02-09,23.450001,24.200001,23.450001,24,177600,24
"280","NOVT",2017-02-10,24.200001,24.4,23.9,24.4,141100,24.4
"281","NOVT",2017-02-13,24.4,24.65,24.299999,24.6,162600,24.6
"282","NOVT",2017-02-14,24.549999,24.65,24.120001,24.549999,169600,24.549999
"283","NOVT",2017-02-15,24.35,24.85,24.15,24.799999,144500,24.799999
"284","NOVT",2017-02-16,24.700001,24.799999,24.35,24.65,181900,24.65
"285","NOVT",2017-02-17,24.700001,24.799999,24.25,24.5,100700,24.5
"286","NOVT",2017-02-21,24.549999,24.799999,24.15,24.35,50800,24.35
"287","NOVT",2017-02-22,24.299999,24.549999,24.18,24.450001,61600,24.450001
"288","NOVT",2017-02-23,24.4,24.5,23.950001,24.25,77300,24.25
"289","NOVT",2017-02-24,24,24.549999,23.75,24.549999,56600,24.549999
"290","NOVT",2017-02-27,24.35,24.799999,24.23,24.549999,127300,24.549999
"291","NOVT",2017-02-28,24.549999,24.6,24.049999,24.299999,139500,24.299999
"292","NOVT",2017-03-01,24.6,25.200001,24.6,25.15,161400,25.15
"293","NOVT",2017-03-02,25.25,25.25,24.799999,25.1,215300,25.1
"294","NOVT",2017-03-03,25.1,25.549999,24.76,25.549999,234800,25.549999
"295","NOVT",2017-03-06,25,25.799999,23.76,24.6,130400,24.6
"296","NOVT",2017-03-07,24.5,25.65,24.5,25.6,153100,25.6
"297","NOVT",2017-03-08,25.75,26.25,25.65,26.049999,243900,26.049999
"298","NOVT",2017-03-09,25.9,26.450001,25.75,26.25,179600,26.25
"299","NOVT",2017-03-10,26.450001,26.700001,26.25,26.549999,190000,26.549999
