"","symbol","date","open","high","low","close","volume","adjusted"
"1","NTRA",2016-01-04,10.06,10.79,10.06,10.34,803600,10.34
"2","NTRA",2016-01-05,10.13,10.5,9.72,10.37,592300,10.37
"3","NTRA",2016-01-06,9.98,10.6,9.94,10.46,540800,10.46
"4","NTRA",2016-01-07,10.2,10.25,9.75,9.89,188100,9.89
"5","NTRA",2016-01-08,9.86,10.15,9.75,9.78,569400,9.78
"6","NTRA",2016-01-11,9.75,9.76,7.95,8.74,544500,8.74
"7","NTRA",2016-01-12,8.61,9.25,7.9,9.05,304800,9.05
"8","NTRA",2016-01-13,9.02,10.19,8.1,8.93,374800,8.93
"9","NTRA",2016-01-14,8.84,8.86,8.2,8.76,262700,8.76
"10","NTRA",2016-01-15,8.56,8.92,7.96,8.82,595100,8.82
"11","NTRA",2016-01-19,8.88,9,8.25,8.63,329200,8.63
"12","NTRA",2016-01-20,8.58,8.99,7.82,8.76,504100,8.76
"13","NTRA",2016-01-21,8.7,8.86,8.41,8.58,161800,8.58
"14","NTRA",2016-01-22,8.67,9.165,8.555,9.06,205600,9.06
"15","NTRA",2016-01-25,8.99,9.42,8.95,9.18,233500,9.18
"16","NTRA",2016-01-26,9.16,9.35,8.64,9.14,315100,9.14
"17","NTRA",2016-01-27,9.08,9.2,8.81,8.85,226600,8.85
"18","NTRA",2016-01-28,8.85,9.19,8.66,8.94,293100,8.94
"19","NTRA",2016-01-29,8.86,9.08,8.19,8.55,272500,8.55
"20","NTRA",2016-02-01,8.46,8.46,7.81,8.04,149800,8.04
"21","NTRA",2016-02-02,7.95,8.11,7.61,7.73,107600,7.73
"22","NTRA",2016-02-03,7.76,7.76,7.2,7.52,166200,7.52
"23","NTRA",2016-02-04,7.52,8.08,7.2,7.52,94100,7.52
"24","NTRA",2016-02-05,7.45,7.825,7.04,7.18,134700,7.18
"25","NTRA",2016-02-08,7.1,7.1,6.52,6.61,130900,6.61
"26","NTRA",2016-02-09,6.58,7.22,6.58,6.66,134100,6.66
"27","NTRA",2016-02-10,6.67,7.09,6.67,6.85,384600,6.85
"28","NTRA",2016-02-11,6.72,7.11,6.7,6.98,252500,6.98
"29","NTRA",2016-02-12,7.06,7.07,6.58,7,157800,7
"30","NTRA",2016-02-16,7.08,7.45,6.9,7.08,121100,7.08
"31","NTRA",2016-02-17,7.1,7.37,7.05,7.21,192500,7.21
"32","NTRA",2016-02-18,7.2,7.395,7.05,7.1,199000,7.1
"33","NTRA",2016-02-19,7.07,7.13,6.94,6.99,578000,6.99
"34","NTRA",2016-02-22,6.9,7.66,6.74,7.48,297900,7.48
"35","NTRA",2016-02-23,7.43,7.8,7.3,7.72,96000,7.72
"36","NTRA",2016-02-24,7.64,8.07,7.35,7.86,88700,7.86
"37","NTRA",2016-02-25,7.86,8.07,7.2,7.76,234100,7.76
"38","NTRA",2016-02-26,7.74,7.95,7.52,7.52,151800,7.52
