"","symbol","date","open","high","low","close","volume","adjusted"
"1","NUE",2016-01-04,39.639999,40.060001,39.23,39.549999,4029900,33.457802
"2","NUE",2016-01-05,39.900002,40.029999,39.459999,39.959999,3514500,33.804638
"3","NUE",2016-01-06,39.220001,39.709999,39.099998,39.360001,1631000,33.297066
"4","NUE",2016-01-07,38.59,38.610001,36.990002,37.349998,5617100,31.59667
"5","NUE",2016-01-08,37.459999,37.75,36.360001,36.439999,3400900,30.826851
"6","NUE",2016-01-11,36.740002,36.82,35.799999,36.139999,3334300,30.573069
"7","NUE",2016-01-12,36.450001,36.849998,35.439999,36.290001,4248900,30.699965
"8","NUE",2016-01-13,36.610001,37.07,35.549999,35.619999,3481100,30.133167
"9","NUE",2016-01-14,35.880001,36.59,35.5,36.220001,3819000,30.640741
"10","NUE",2016-01-15,35.279999,35.540001,34.720001,35.150002,3362300,29.735561
"11","NUE",2016-01-19,35.790001,35.900002,34.740002,35.27,3265500,29.83708
"12","NUE",2016-01-20,34.610001,35.400002,33.900002,34.98,3579000,29.591749
"13","NUE",2016-01-21,34.950001,35.580002,34.700001,35.009998,2826100,29.617128
"14","NUE",2016-01-22,35.639999,35.860001,35.02,35.360001,2836000,29.913208
"15","NUE",2016-01-25,35.27,35.580002,34.82,34.860001,2326500,29.490234
"16","NUE",2016-01-26,35.330002,36.880001,35.25,36.540001,3707000,30.911453
"17","NUE",2016-01-27,35.950001,36.630001,35.57,35.700001,3327200,30.200846
"18","NUE",2016-01-28,37,37,34.900002,36.639999,3970000,30.996046
"19","NUE",2016-01-29,36.709999,39.110001,36.639999,39.07,6027800,33.051727
"20","NUE",2016-02-01,38.709999,39.23,38,39.18,3355800,33.144791
"21","NUE",2016-02-02,38.669998,38.759998,38.18,38.490002,2949000,32.561081
"22","NUE",2016-02-03,38.98,40.009998,38.470001,39.91,2839600,33.762348
"23","NUE",2016-02-04,40.330002,41.16,40.099998,40.470001,2907700,34.236076
"24","NUE",2016-02-05,40.139999,41.240002,39.669998,39.919998,2782700,33.770802
"25","NUE",2016-02-08,39.869999,39.970001,39.110001,39.389999,2598000,33.322437
"26","NUE",2016-02-09,38.919998,39.380001,38.290001,38.91,2720300,32.916386
"27","NUE",2016-02-10,38.990002,39.939999,38.75,38.950001,1624300,32.950218
"28","NUE",2016-02-11,38.509998,38.689999,37.709999,38.349998,2095000,32.442638
"29","NUE",2016-02-12,39.189999,40.060001,38.639999,40.029999,2540800,33.863853
"30","NUE",2016-02-16,40.23,40.5,39.650002,40.18,2450500,33.990746
"31","NUE",2016-02-17,40.549999,41.080002,40.450001,40.759998,2614200,34.481407
"32","NUE",2016-02-18,40.720001,40.830002,39.830002,40.029999,2544100,33.863853
"33","NUE",2016-02-19,39.860001,39.869999,39.110001,39.389999,2708700,33.322437
"34","NUE",2016-02-22,39.849998,40.099998,39.560001,39.759998,2662400,33.635445
"35","NUE",2016-02-23,39.369999,39.560001,38.880001,38.900002,2096400,32.907913
"36","NUE",2016-02-24,38.259998,39.060001,37.77,39.02,2957700,33.009441
"37","NUE",2016-02-25,38.939999,39.75,38.790001,39.75,2162100,33.62698
"38","NUE",2016-02-26,39.919998,40.419998,39.700001,39.959999,1851300,33.804638
"39","NUE",2016-02-29,39.310001,39.900002,39.080002,39.34,2816900,33.28014
"40","NUE",2016-03-01,39.959999,41.200001,39.619999,40.959999,2172400,34.650593
"41","NUE",2016-03-02,41.349998,42.310001,41.209999,42.240002,2974300,35.733437
"42","NUE",2016-03-03,42.290001,43.209999,42.139999,42.75,3967300,36.164871
"43","NUE",2016-03-04,42.950001,43.84,42.200001,42.959999,3442800,36.342525
"44","NUE",2016-03-07,43.16,44.77,43,44.759998,3646300,37.865261
"45","NUE",2016-03-08,44.139999,44.950001,44.040001,44.32,3750100,37.493034
"46","NUE",2016-03-09,44.470001,44.779999,43.279999,43.540001,2827700,36.833191
"47","NUE",2016-03-10,43.599998,45.07,43.459999,44.990002,2733700,38.059834
"48","NUE",2016-03-11,45.360001,45.439999,44.279999,45.380001,2944200,38.389751
"49","NUE",2016-03-14,45.040001,45.650002,44.689999,45.150002,2380300,38.195179
"50","NUE",2016-03-15,44.73,45.490002,44.389999,45.049999,2126300,38.110596
"51","NUE",2016-03-16,44.720001,45.610001,44.490002,45.490002,3249400,38.482815
"52","NUE",2016-03-17,45.860001,46.759998,45.25,46.650002,3108100,39.464134
"53","NUE",2016-03-18,46.759998,47.360001,46.34,46.700001,3119200,39.506428
"54","NUE",2016-03-21,46.57,46.689999,45.860001,46.41,1804800,39.261105
"55","NUE",2016-03-22,45.93,46.860001,45.91,46.59,1970300,39.413372
"56","NUE",2016-03-23,46.09,46.669998,45.880001,46.049999,2518500,38.956554
"57","NUE",2016-03-24,45.560001,46.540001,45.52,46.48,1995700,39.320313
"58","NUE",2016-03-28,46.560001,47.189999,46.209999,46.860001,2637000,39.641773
"59","NUE",2016-03-29,46.27,47.27,45.959999,47.240002,2679600,40.285645
"60","NUE",2016-03-30,47.57,48.52,47.25,48.310001,4989200,41.198109
"61","NUE",2016-03-31,48.18,48.189999,47.259998,47.299999,3988300,40.336796
"62","NUE",2016-04-01,46.830002,47.580002,46.720001,47.52,2414800,40.524406
"63","NUE",2016-04-04,47.41,47.779999,46.599998,46.68,2356200,39.808071
"64","NUE",2016-04-05,46.5,47.07,46.5,46.779999,2049000,39.89336
"65","NUE",2016-04-06,46.84,47.25,46.360001,47.220001,1715100,40.268581
"66","NUE",2016-04-07,46.779999,46.990002,46.23,46.560001,2165000,39.705734
"67","NUE",2016-04-08,47.130001,47.75,47.02,47.290001,2074000,40.328274
"68","NUE",2016-04-11,47.610001,48.310001,47.57,47.669998,2827400,40.652328
"69","NUE",2016-04-12,48.040001,48.400002,47.549999,48.09,2640600,41.010502
"70","NUE",2016-04-13,48.740002,49.5,48.5,49.09,2846600,41.863281
"71","NUE",2016-04-14,49.189999,49.369999,48.830002,49.310001,2066900,42.050907
"72","NUE",2016-04-15,49.209999,49.560001,48.93,49.509998,2167600,42.221458
"73","NUE",2016-04-18,49.349998,49.939999,49.23,49.860001,2279700,42.519936
"74","NUE",2016-04-19,50.139999,50.779999,50,50.459999,2894800,43.031605
"75","NUE",2016-04-20,50.610001,50.720001,49.790001,50.279999,2870600,42.878101
"76","NUE",2016-04-21,49.959999,50.139999,48.59,49.5,2591700,42.212929
"77","NUE",2016-04-22,49.150002,50.150002,49.150002,49.549999,2315900,42.255573
"78","NUE",2016-04-25,49.25,49.66,48.830002,49.119999,2533600,41.888866
"79","NUE",2016-04-26,49.43,49.599998,48.650002,49.509998,3139900,42.221458
"80","NUE",2016-04-27,49.610001,50.66,48.919998,50.610001,2255600,43.159531
"81","NUE",2016-04-28,50.310001,51.099998,49.799999,49.939999,2601000,42.58815
