"","symbol","date","open","high","low","close","volume","adjusted"
"1","NUVA",2016-01-04,53.209999,53.77,50.860001,52.25,425200,52.25
"2","NUVA",2016-01-05,52.07,53.57,52.049999,53.439999,250400,53.439999
"3","NUVA",2016-01-06,55.009998,55.529999,52.700001,54.259998,1441400,54.259998
"4","NUVA",2016-01-07,53.189999,53.189999,51.830002,53.09,882200,53.09
"5","NUVA",2016-01-08,53.169998,54.439999,52.07,52.529999,789900,52.529999
"6","NUVA",2016-01-11,52.849998,53.040001,50.389999,51.43,496200,51.43
"7","NUVA",2016-01-12,51,51.509998,48.709999,50.43,1123100,50.43
"8","NUVA",2016-01-13,50.75,51.959999,49.830002,50.07,908100,50.07
"9","NUVA",2016-01-14,50.59,50.790001,49.5,50.009998,594700,50.009998
"10","NUVA",2016-01-15,48.639999,49.5,47.150002,49.09,872300,49.09
"11","NUVA",2016-01-19,49.759998,50.139999,47.68,47.860001,834600,47.860001
"12","NUVA",2016-01-20,47.360001,47.880001,43.84,47.450001,1670700,47.450001
"13","NUVA",2016-01-21,47.5,47.740002,46.060001,46.279999,866800,46.279999
"14","NUVA",2016-01-22,46.830002,47.310001,45.849998,46.77,719700,46.77
"15","NUVA",2016-01-25,46.73,47.52,46.360001,46.490002,381800,46.490002
"16","NUVA",2016-01-26,46.75,47.880001,46.209999,47.52,725700,47.52
"17","NUVA",2016-01-27,47.470001,47.709999,46.220001,46.380001,604900,46.380001
"18","NUVA",2016-01-28,46.84,46.84,44.73,44.970001,339500,44.970001
"19","NUVA",2016-01-29,45.049999,46.16,45.049999,46.119999,570600,46.119999
"20","NUVA",2016-02-01,45.889999,46.919998,45.48,46.599998,608100,46.599998
"21","NUVA",2016-02-02,46,46.110001,44.650002,44.959999,389100,44.959999
"22","NUVA",2016-02-03,45.419998,45.5,43.549999,44.630001,594200,44.630001
"23","NUVA",2016-02-04,44.419998,44.950001,43.98,44.43,393400,44.43
"24","NUVA",2016-02-05,44.41,44.549999,41.360001,41.450001,1084300,41.450001
"25","NUVA",2016-02-08,40.860001,41.360001,39.68,41.029999,1269600,41.029999
"26","NUVA",2016-02-09,40.549999,42.02,40.16,41.740002,578000,41.740002
"27","NUVA",2016-02-10,42.07,42.970001,41.580002,41.689999,460500,41.689999
"28","NUVA",2016-02-11,40.799999,42.09,40,41.82,598900,41.82
