"","symbol","date","open","high","low","close","volume","adjusted"
"1","NVAX",2016-01-04,163.399994,165,155.199997,157.600006,244205,157.600006
"2","NVAX",2016-01-05,158.399994,161.800003,155,157.800003,152660,157.800003
"3","NVAX",2016-01-06,153.800003,154.800003,148.199997,150.800003,250745,150.800003
"4","NVAX",2016-01-07,145,147.600006,135.199997,138.399994,354790,138.399994
"5","NVAX",2016-01-08,142.600006,143.199997,139.199997,141.399994,150635,141.399994
"6","NVAX",2016-01-11,141.600006,143.600006,126,131.600006,293075,131.600006
"7","NVAX",2016-01-12,134.199997,140,123,132.800003,335260,132.800003
"8","NVAX",2016-01-13,138.800003,139.199997,117.599998,120.400002,374325,120.400002
"9","NVAX",2016-01-14,123,134.600006,99.599998,131.399994,551425,131.399994
"10","NVAX",2016-01-15,120.199997,130.600006,119.599998,130.199997,520175,130.199997
"11","NVAX",2016-01-19,134.800003,134.800003,117,121.400002,414480,121.400002
"12","NVAX",2016-01-20,117,127,109.199997,124,426550,124
"13","NVAX",2016-01-21,125.199997,131.600006,120,124.199997,342230,124.199997
"14","NVAX",2016-01-22,127.599998,133,122.800003,132.399994,408605,132.399994
"15","NVAX",2016-01-25,122,130.800003,108.599998,111.199997,1008375,111.199997
"16","NVAX",2016-01-26,107.800003,113,105.400002,113,1199150,113
"17","NVAX",2016-01-27,113.199997,113.800003,105.599998,106.800003,553505,106.800003
"18","NVAX",2016-01-28,108.400002,108.800003,96,97.400002,576310,97.400002
"19","NVAX",2016-01-29,100.400002,105.199997,98,103,424845,103
"20","NVAX",2016-02-01,103.599998,103.800003,97.400002,100.800003,419610,100.800003
"21","NVAX",2016-02-02,98.800003,102.199997,91.400002,94,652820,94
"22","NVAX",2016-02-03,96,96.800003,81.599998,91.800003,626875,91.800003
"23","NVAX",2016-02-04,90.400002,99,87.800003,97.599998,545450,97.599998
"24","NVAX",2016-02-05,96.400002,97.199997,90.199997,96.199997,886590,96.199997
"25","NVAX",2016-02-08,93,95.199997,88.400002,93,755850,93
"26","NVAX",2016-02-09,90.199997,97,87,92.400002,430895,92.400002
"27","NVAX",2016-02-10,94.400002,100.199997,92.400002,93.199997,407560,93.199997
"28","NVAX",2016-02-11,90.199997,93.199997,88.199997,90.599998,526780,90.599998
"29","NVAX",2016-02-12,92.800003,93.599998,89.599998,92.199997,312665,92.199997
"30","NVAX",2016-02-16,96,102,94,98,416025,98
"31","NVAX",2016-02-17,100.800003,102.800003,98.199997,101.400002,404830,101.400002
"32","NVAX",2016-02-18,103.199997,104,96.800003,97.199997,390415,97.199997
"33","NVAX",2016-02-19,96.400002,102.599998,94,101.199997,434865,101.199997
"34","NVAX",2016-02-22,103.400002,104.400002,100,100.599998,250695,100.599998
"35","NVAX",2016-02-23,100.199997,102,96.400002,96.599998,193880,96.599998
"36","NVAX",2016-02-24,95.599998,96.800003,90.199997,95.800003,302650,95.800003
"37","NVAX",2016-02-25,95.599998,97.800003,91,91.800003,299840,91.800003
"38","NVAX",2016-02-26,93.400002,95,90.599998,94.199997,273675,94.199997
"39","NVAX",2016-02-29,93.199997,96,84.400002,87.199997,606250,87.199997
