"","symbol","date","open","high","low","close","volume","adjusted"
"1","NVDA",2016-01-04,8.0725,8.145,8.01,8.0925,35807600,7.911175
"2","NVDA",2016-01-05,8.245,8.36,8.125,8.2225,49027200,8.038262
"3","NVDA",2016-01-06,8.0875,8.125,7.79,7.8825,44934400,7.705878
"4","NVDA",2016-01-07,7.685,7.7375,7.47,7.57,64530400,7.40038
"5","NVDA",2016-01-08,7.6675,7.675,7.3925,7.4075,39847200,7.241521
"6","NVDA",2016-01-11,7.415,7.4725,7.2875,7.42,40937200,7.253742
"7","NVDA",2016-01-12,7.5525,7.655,7.4925,7.545,46935600,7.37594
"8","NVDA",2016-01-13,7.6025,7.6525,7.3075,7.315,48167200,7.151094
"9","NVDA",2016-01-14,7.165,7.25,6.955,7.1675,60023600,7.006899
"10","NVDA",2016-01-15,6.88,6.9625,6.66,6.7775,84145200,6.625639
"11","NVDA",2016-01-19,6.9175,7.1125,6.805,6.8325,45714000,6.679405
"12","NVDA",2016-01-20,6.7025,6.9575,6.6125,6.87,48118000,6.716064
"13","NVDA",2016-01-21,6.945,7.0575,6.8025,6.95,48145600,6.794272
"14","NVDA",2016-01-22,7.0825,7.16,7.0675,7.1125,25799600,6.953132
"15","NVDA",2016-01-25,7.11,7.1925,7.09,7.105,27072800,6.945799
"16","NVDA",2016-01-26,7.12,7.205,7.0475,7.175,22794400,7.014231
"17","NVDA",2016-01-27,7.165,7.1875,6.955,7.09,23170000,6.931136
"18","NVDA",2016-01-28,7.1475,7.1725,6.875,7.0125,27677600,6.855373
"19","NVDA",2016-01-29,7.0725,7.3375,7.045,7.3225,31050400,7.158426
"20","NVDA",2016-02-01,7.315,7.3625,7.2525,7.325,28988400,7.16087
"21","NVDA",2016-02-02,7.25,7.2875,6.965,7.015,34190800,6.857816
"22","NVDA",2016-02-03,7.07,7.1125,6.8875,7.05,32677200,6.892033
"23","NVDA",2016-02-04,7.06,7.2125,6.9825,7.0525,34814000,6.894477
"24","NVDA",2016-02-05,7.005,7.0825,6.5875,6.6075,60042800,6.459448
"25","NVDA",2016-02-08,6.5075,6.54,6.2125,6.305,60885200,6.163725
"26","NVDA",2016-02-09,6.23,6.6375,6.2,6.3725,42537200,6.229712
"27","NVDA",2016-02-10,6.4125,6.5975,6.3225,6.3575,33580000,6.215049
"28","NVDA",2016-02-11,6.195,6.39,6.195,6.325,34014400,6.183277
"29","NVDA",2016-02-12,6.425,6.445,6.1875,6.4325,34081600,6.288367
"30","NVDA",2016-02-16,6.525,6.7575,6.505,6.7475,48535200,6.59631
"31","NVDA",2016-02-17,6.8325,6.98,6.805,6.915,77146800,6.760056
"32","NVDA",2016-02-18,7.4825,7.745,7.475,7.51,106866000,7.341724
"33","NVDA",2016-02-19,7.47,7.6775,7.4125,7.61,52562800,7.439484
"34","NVDA",2016-02-22,7.72,7.9675,7.705,7.88,44966800,7.703434
"35","NVDA",2016-02-23,7.8175,7.975,7.78,7.9,36938000,7.722986
"36","NVDA",2016-02-24,7.8675,7.9675,7.65,7.955,33685200,7.776754
"37","NVDA",2016-02-25,7.985,8.0125,7.83,7.9725,34961600,7.793862
"38","NVDA",2016-02-26,8.01,8.03,7.84,7.92,36196400,7.742537
"39","NVDA",2016-02-29,7.9025,8.005,7.835,7.84,32334400,7.692254
"40","NVDA",2016-03-01,7.86,8.1875,7.8475,8.1875,34870000,8.033203
"41","NVDA",2016-03-02,8.1425,8.265,8.1275,8.235,23381200,8.079809
"42","NVDA",2016-03-03,8.225,8.26,8.0525,8.1625,30200400,8.008677
"43","NVDA",2016-03-04,8.225,8.2325,8.075,8.1375,17530400,7.984147
"44","NVDA",2016-03-07,8.0925,8.1475,7.98,8.085,23996800,7.932637
"45","NVDA",2016-03-08,8.0025,8.05,7.9125,7.9375,27494000,7.787917
"46","NVDA",2016-03-09,8.0075,8.02,7.83,7.9325,22278800,7.783011
"47","NVDA",2016-03-10,7.98,8.025,7.76,7.92,28608400,7.770745
"48","NVDA",2016-03-11,8.0375,8.0575,7.9425,8.055,27740000,7.903203
"49","NVDA",2016-03-14,8.0175,8.1075,7.98,8.075,19031200,7.922825
"50","NVDA",2016-03-15,8.0325,8.085,7.8925,8.035,22621600,7.88358
"51","NVDA",2016-03-16,7.975,8.3025,7.9375,8.275,36364400,8.119056
"52","NVDA",2016-03-17,8.245,8.285,8.0925,8.205,35368000,8.050376
"53","NVDA",2016-03-18,8.3025,8.5625,8.25,8.4525,54551200,8.293212
"54","NVDA",2016-03-21,8.3775,8.48,8.2875,8.4775,33778000,8.317741
"55","NVDA",2016-03-22,8.45,8.5225,8.3575,8.4625,24201200,8.303021
"56","NVDA",2016-03-23,8.5,8.67,8.4625,8.6075,42900800,8.445292
"57","NVDA",2016-03-24,8.53,8.635,8.5025,8.62,24495600,8.457555
"58","NVDA",2016-03-28,8.605,8.745,8.595,8.7075,26538800,8.543406
"59","NVDA",2016-03-29,8.67,8.8675,8.65,8.8475,26181200,8.680767
"60","NVDA",2016-03-30,8.88,9.0625,8.875,8.94,37670000,8.771523
"61","NVDA",2016-03-31,8.98,9,8.8375,8.9075,37988400,8.739636
"62","NVDA",2016-04-01,8.8525,9.0425,8.785,9.0375,34829200,8.867186
"63","NVDA",2016-04-04,9.1125,9.16,8.915,8.95,39394000,8.781336
"64","NVDA",2016-04-05,8.87,9.02,8.835,8.9375,33956800,8.769071
"65","NVDA",2016-04-06,8.825,8.955,8.6575,8.95,45337600,8.781336
"66","NVDA",2016-04-07,8.8925,8.9725,8.82,8.8575,37810400,8.690577
"67","NVDA",2016-04-08,8.93,8.9875,8.8275,8.915,25593600,8.746995
"68","NVDA",2016-04-11,8.9675,9.1175,8.94,8.97,38752400,8.80096
"69","NVDA",2016-04-12,9,9.0125,8.785,8.96,29276400,8.791149
"70","NVDA",2016-04-13,9,9.1875,9,9.185,35071600,9.011908
"71","NVDA",2016-04-14,9.16,9.25,9.1225,9.21,41656400,9.036434
"72","NVDA",2016-04-15,9.2075,9.365,9.1775,9.2825,43697200,9.107569
"73","NVDA",2016-04-18,9.265,9.265,9.1525,9.2425,30732000,9.068321
"74","NVDA",2016-04-19,9.2775,9.295,9.02,9.0775,30915200,8.906434
"75","NVDA",2016-04-20,9.0625,9.1675,9.0525,9.1125,20017200,8.940773
"76","NVDA",2016-04-21,9.115,9.1575,9.0625,9.1025,17828000,8.930961
"77","NVDA",2016-04-22,9.1325,9.195,9.0375,9.0675,22354000,8.896621
"78","NVDA",2016-04-25,9.07,9.1625,9.045,9.1125,19197200,8.940773
"79","NVDA",2016-04-26,9.1675,9.2725,9.08,9.12,21453600,8.948133
"80","NVDA",2016-04-27,9.0975,9.3325,9.08,9.3275,35239600,9.151722
"81","NVDA",2016-04-28,9.27,9.325,9.0275,9.05,38122400,8.879452
"82","NVDA",2016-04-29,9.0125,9.0325,8.785,8.8825,32190400,8.715106
"83","NVDA",2016-05-02,8.9675,9.055,8.925,9,25607600,8.830394
"84","NVDA",2016-05-03,8.8975,8.935,8.815,8.8925,22402400,8.72492
"85","NVDA",2016-05-04,8.785,8.7925,8.6,8.69,52576400,8.526234
"86","NVDA",2016-05-05,8.7625,8.845,8.6775,8.7425,24688400,8.577746
"87","NVDA",2016-05-06,8.7275,8.855,8.71,8.8325,18324000,8.666052
"88","NVDA",2016-05-09,8.855,8.8925,8.7475,8.82,33333600,8.653785
"89","NVDA",2016-05-10,8.875,9.005,8.79,8.99,26967600,8.820582
"90","NVDA",2016-05-11,9.0175,9.115,8.9675,9.015,32817600,8.84511
"91","NVDA",2016-05-12,9.08,9.12,8.7325,8.8925,67054000,8.72492
"92","NVDA",2016-05-13,9.7975,10.25,9.75,10.245,211025600,10.051931
"93","NVDA",2016-05-16,10.1675,10.7,10.135,10.5475,97303200,10.348731
"94","NVDA",2016-05-17,10.5,10.645,10.365,10.57,62839200,10.370808
"95","NVDA",2016-05-18,10.5,10.9625,10.5,10.84,54107200,10.635719
"96","NVDA",2016-05-19,10.7975,10.965,10.7825,10.8875,39888000,10.682323
"97","NVDA",2016-05-20,10.955,11.1275,10.9375,11.0825,39108400,10.87365
"98","NVDA",2016-05-23,11.13,11.1725,11.0325,11.1,41363600,10.890818
"99","NVDA",2016-05-24,11.105,11.375,11.075,11.34,41578800,11.155191
"100","NVDA",2016-05-25,11.375,11.4225,11.2025,11.2925,45807600,11.108463
"101","NVDA",2016-05-26,11.3125,11.495,11.28,11.4125,30996400,11.226508
"102","NVDA",2016-05-27,11.425,11.4925,11.3875,11.475,27741600,11.287988
"103","NVDA",2016-05-31,11.525,11.705,11.5175,11.68,41252400,11.489648
"104","NVDA",2016-06-01,11.625,11.815,11.59,11.7025,38713200,11.511782
"105","NVDA",2016-06-02,11.765,11.885,11.65,11.785,32920800,11.592938
"106","NVDA",2016-06-03,11.67,11.685,11.415,11.62,46107600,11.430624
"107","NVDA",2016-06-06,11.65,11.74,11.5,11.56,32251200,11.371603
"108","NVDA",2016-06-07,11.63,11.695,11.5775,11.5825,19340000,11.393735
"109","NVDA",2016-06-08,11.585,11.6275,11.45,11.545,23461600,11.356847
"110","NVDA",2016-06-09,11.505,11.8625,11.48,11.845,47216800,11.651957
"111","NVDA",2016-06-10,11.705,11.81,11.535,11.55,40002400,11.361767
"112","NVDA",2016-06-13,11.5625,11.925,11.5625,11.6975,47558800,11.506863
"113","NVDA",2016-06-14,11.67,11.775,11.54,11.72,29834400,11.528996
"114","NVDA",2016-06-15,11.8175,11.9425,11.6875,11.84,30103600,11.647041
"115","NVDA",2016-06-16,11.7525,11.9075,11.6375,11.8875,24645600,11.693765
"116","NVDA",2016-06-17,11.9025,11.905,11.6325,11.68,47100000,11.489648
"117","NVDA",2016-06-20,11.8675,12.0425,11.86,11.89,29376800,11.696226
"118","NVDA",2016-06-21,11.94,11.9725,11.8,11.8175,21250800,11.624907
"119","NVDA",2016-06-22,11.8425,11.92,11.7875,11.8075,20262000,11.61507
"120","NVDA",2016-06-23,11.92,12.135,11.9125,12.1225,29788000,11.924935
