"","symbol","date","open","high","low","close","volume","adjusted"
"1","NVGS",2016-01-04,13.51,13.72,13.31,13.66,116200,13.66
"2","NVGS",2016-01-05,13.63,13.75,13.27,13.46,183000,13.46
"3","NVGS",2016-01-06,13.08,13.29,12.9,12.94,174400,12.94
"4","NVGS",2016-01-07,12.64,12.81,12.23,12.33,232700,12.33
"5","NVGS",2016-01-08,12.49,12.49,12.25,12.28,132400,12.28
"6","NVGS",2016-01-11,12.28,12.31,11.9,11.97,254400,11.97
"7","NVGS",2016-01-12,12.2,12.2,11.42,11.75,211300,11.75
"8","NVGS",2016-01-13,11.87,11.99,11.35,11.44,177200,11.44
"9","NVGS",2016-01-14,11.58,12.12,11.39,12.05,160900,12.05
"10","NVGS",2016-01-15,11.39,12.07,11.21,12.01,308900,12.01
"11","NVGS",2016-01-19,11.77,11.93,10.9,10.98,597200,10.98
"12","NVGS",2016-01-20,10.7,10.82,10.24,10.73,317600,10.73
"13","NVGS",2016-01-21,10.72,11.42,10.53,11.29,185900,11.29
"14","NVGS",2016-01-22,11.71,12.08,11.57,12.01,307900,12.01
"15","NVGS",2016-01-25,11.84,12.42,11.76,11.94,199000,11.94
"16","NVGS",2016-01-26,12.17,12.45,12.01,12.28,101000,12.28
"17","NVGS",2016-01-27,12.3,12.69,12.09,12.68,211700,12.68
"18","NVGS",2016-01-28,13,13.3,12.76,13.04,153600,13.04
"19","NVGS",2016-01-29,13.13,13.85,13.1,13.85,285800,13.85
"20","NVGS",2016-02-01,14.41,14.75,14.1,14.75,750900,14.75
"21","NVGS",2016-02-02,14.59,14.59,13.97,14.31,315300,14.31
"22","NVGS",2016-02-03,14.67,14.67,13.91,14.38,356800,14.38
"23","NVGS",2016-02-04,14.51,15.05,14.47,14.92,381000,14.92
"24","NVGS",2016-02-05,14.84,14.91,14.51,14.73,249500,14.73
"25","NVGS",2016-02-08,14.44,14.44,13.75,14.11,291200,14.11
"26","NVGS",2016-02-09,13.83,14.14,13.5,13.75,306900,13.75
"27","NVGS",2016-02-10,13.77,13.97,13.51,13.67,172000,13.67
"28","NVGS",2016-02-11,13.5,13.73,12.96,13.27,228400,13.27
"29","NVGS",2016-02-12,13.57,14.19,13.32,13.54,378400,13.54
"30","NVGS",2016-02-16,13.84,14.66,13.73,14.29,278600,14.29
"31","NVGS",2016-02-17,14.52,14.83,14.29,14.39,441300,14.39
"32","NVGS",2016-02-18,14.64,14.64,14.15,14.31,224600,14.31
"33","NVGS",2016-02-19,14.16,14.76,13.91,14.72,219900,14.72
"34","NVGS",2016-02-22,15.08,15.12,14.75,14.79,258800,14.79
"35","NVGS",2016-02-23,14.75,14.81,14.5,14.61,129000,14.61
"36","NVGS",2016-02-24,14.43,14.85,13.96,14.83,252800,14.83
"37","NVGS",2016-02-25,14.74,15.02,14.67,14.97,132200,14.97
"38","NVGS",2016-02-26,15.19,15.48,14.93,15.16,263700,15.16
"39","NVGS",2016-02-29,15.38,15.97,15.31,15.55,333000,15.55
"40","NVGS",2016-03-01,16.030001,17.67,15.49,17.17,925400,17.17
"41","NVGS",2016-03-02,17.48,17.5,16.43,17.309999,410300,17.309999
"42","NVGS",2016-03-03,17.32,17.6,17.15,17.200001,389100,17.200001
"43","NVGS",2016-03-04,17.299999,17.49,16.610001,16.950001,382200,16.950001
"44","NVGS",2016-03-07,16.860001,17.6,16.860001,17.57,236300,17.57
"45","NVGS",2016-03-08,17.5,17.639999,16.66,16.67,304700,16.67
"46","NVGS",2016-03-09,16.82,16.92,16.27,16.92,203300,16.92
"47","NVGS",2016-03-10,16.92,16.92,16.27,16.879999,251700,16.879999
"48","NVGS",2016-03-11,17,17.290001,16.790001,17.040001,207300,17.040001
"49","NVGS",2016-03-14,16.73,17.27,16.73,17,182700,17
"50","NVGS",2016-03-15,16.709999,16.92,16.41,16.83,132400,16.83
"51","NVGS",2016-03-16,16.91,17.1,16.620001,16.889999,205500,16.889999
"52","NVGS",2016-03-17,16.950001,17.35,16.780001,17.200001,204600,17.200001
"53","NVGS",2016-03-18,17.16,17.48,16.66,17.110001,186500,17.110001
"54","NVGS",2016-03-21,17.110001,17.110001,16.59,16.629999,271700,16.629999
"55","NVGS",2016-03-22,16.540001,16.65,16.24,16.379999,226500,16.379999
"56","NVGS",2016-03-23,16.23,16.33,15.71,15.75,214700,15.75
"57","NVGS",2016-03-24,15.66,16.030001,15.07,16.030001,369000,16.030001
"58","NVGS",2016-03-28,16.08,16.08,15.55,15.84,111400,15.84
"59","NVGS",2016-03-29,15.61,16.25,15.53,16.07,229000,16.07
"60","NVGS",2016-03-30,16.23,16.51,15.8,15.82,132200,15.82
"61","NVGS",2016-03-31,15.8,16.34,15.67,16.15,291900,16.15
"62","NVGS",2016-04-01,15.9,16.01,15.55,15.59,176900,15.59
"63","NVGS",2016-04-04,15.52,15.79,15.29,15.34,167500,15.34
"64","NVGS",2016-04-05,15.22,15.38,15.11,15.13,150600,15.13
"65","NVGS",2016-04-06,15.29,15.46,15,15.34,173900,15.34
