"","symbol","date","open","high","low","close","volume","adjusted"
"1","NVO",2016-01-04,57.790001,57.810001,56.740002,57.299999,1348500,50.208977
"2","NVO",2016-01-05,57.970001,58.16,57.580002,57.98,902600,50.804832
"3","NVO",2016-01-06,57.049999,57.599998,56.990002,57.290001,735600,50.200222
"4","NVO",2016-01-07,56.099998,56.459999,55.650002,56.049999,1142300,49.11367
"5","NVO",2016-01-08,56.029999,56.139999,54.630001,54.759998,1309600,47.983311
"6","NVO",2016-01-11,55.200001,55.23,53.939999,54.529999,1203700,47.78178
"7","NVO",2016-01-12,55.560001,55.68,54.82,55.43,1489000,48.5704
"8","NVO",2016-01-13,55.400002,55.630001,54,54.130001,830900,47.431286
"9","NVO",2016-01-14,54.5,55.209999,53.75,54.959999,992700,48.158566
"10","NVO",2016-01-15,52.459999,53.529999,52.43,53.119999,1567900,46.546272
"11","NVO",2016-01-19,53.68,53.779999,52.880001,53.200001,2079700,46.616367
"12","NVO",2016-01-20,52.34,53.310001,51.560001,52.889999,1910900,46.344727
"13","NVO",2016-01-21,53.43,53.73,52.77,53.32,1512500,46.721516
"14","NVO",2016-01-22,54.18,55,54.139999,54.740002,1185700,47.965794
"15","NVO",2016-01-25,55.099998,55.84,54.889999,55.259998,1313100,48.421432
"16","NVO",2016-01-26,55.029999,55.41,54.73,55.189999,1253600,48.360107
"17","NVO",2016-01-27,56.310001,56.310001,55.220001,55.619999,1503200,48.736889
"18","NVO",2016-01-28,55.060001,55.23,53.830002,54.529999,1562800,47.78178
"19","NVO",2016-01-29,55.209999,55.880001,54.860001,55.869999,1766700,48.955944
"20","NVO",2016-02-01,55.25,56.040001,55.049999,55.84,1089100,48.929668
"21","NVO",2016-02-02,55.07,55.380001,54.939999,55.060001,1218300,48.246197
"22","NVO",2016-02-03,52.560001,53,50.259998,51.700001,3956400,45.302006
"23","NVO",2016-02-04,49.740002,50.369999,49.16,49.650002,2659100,43.505695
"24","NVO",2016-02-05,49.650002,49.700001,48.619999,48.900002,1982100,42.848511
"25","NVO",2016-02-08,47.080002,47.23,46.389999,47.02,2573500,41.20116
"26","NVO",2016-02-09,46.310001,47.209999,46.169998,46.580002,1979800,40.815605
"27","NVO",2016-02-10,48.549999,49.200001,47.639999,47.91,4300700,41.981026
"28","NVO",2016-02-11,48.73,48.75,47.970001,48.619999,3575000,42.603153
"29","NVO",2016-02-12,48.849998,48.91,48.040001,48.799999,1403700,42.760883
"30","NVO",2016-02-16,49.790001,49.98,49.169998,49.630001,2171200,43.488163
"31","NVO",2016-02-17,50.18,50.759998,49.970001,50.689999,3912200,44.416988
"32","NVO",2016-02-18,50.880001,51.130001,50.23,50.299999,1247200,44.075249
"33","NVO",2016-02-19,50.540001,51.060001,50.200001,50.91,1301000,44.60976
