"","symbol","date","open","high","low","close","volume","adjusted"
"1","NWL",2016-01-04,43.310001,43.57,42.470001,43.439999,5525900,34.729321
"2","NWL",2016-01-05,43.459999,43.830002,43.029999,43.419998,3693100,34.713341
"3","NWL",2016-01-06,42.77,42.970001,41.779999,42.220001,5857700,33.75396
"4","NWL",2016-01-07,41.619999,41.619999,40.150002,40.330002,6087500,32.242943
"5","NWL",2016-01-08,40.790001,40.790001,39.279999,39.380001,5811000,31.483438
"6","NWL",2016-01-11,39.41,39.740002,38.43,39.349998,5387200,31.459452
"7","NWL",2016-01-12,39.810001,40.049999,38.869999,39.970001,3923000,31.955143
"8","NWL",2016-01-13,40.150002,40.779999,37.93,37.970001,7430300,30.356186
"9","NWL",2016-01-14,37.610001,38.040001,36.880001,37.48,8768300,29.964441
"10","NWL",2016-01-15,36.369999,37.189999,36.099998,37.130001,6538600,29.684616
"11","NWL",2016-01-19,37.68,37.84,35.630001,36.200001,5970700,28.941101
"12","NWL",2016-01-20,35.580002,36.43,34.5,36.07,8847100,28.837175
"13","NWL",2016-01-21,36.18,37.490002,35.630001,36.849998,7980800,29.460762
"14","NWL",2016-01-22,37.389999,37.799999,36.59,36.970001,3676100,29.556704
"15","NWL",2016-01-25,36.799999,37.48,36.669998,37.130001,5988300,29.684616
"16","NWL",2016-01-26,37.220001,38.240002,37.110001,38.18,5461300,30.524071
"17","NWL",2016-01-27,37.919998,38.310001,36.959999,37.150002,5122700,29.700603
"18","NWL",2016-01-28,37.349998,37.77,36.52,37.509998,6026200,29.988424
"19","NWL",2016-01-29,37.240002,38.84,37,38.779999,9700900,31.003763
"20","NWL",2016-02-01,39.18,39.419998,38.48,39.009998,8183300,31.187635
"21","NWL",2016-02-02,38.380001,38.509998,37.060001,37.25,5731000,29.780552
"22","NWL",2016-02-03,37.650002,37.709999,35.470001,36.23,6553900,28.965088
"23","NWL",2016-02-04,36.209999,37.57,36.049999,37.52,6034400,29.996418
"24","NWL",2016-02-05,37.310001,37.610001,36.389999,36.43,7357000,29.124981
"25","NWL",2016-02-08,36.049999,36.119999,33.77,34.259998,9930400,27.39012
"26","NWL",2016-02-09,33.919998,34.700001,33.43,34.27,8404600,27.398104
"27","NWL",2016-02-10,34.549999,35.240002,34.299999,34.869999,3657400,27.877802
"28","NWL",2016-02-11,34.02,34.52,33.259998,33.759998,4834700,26.990377
