"","symbol","date","open","high","low","close","volume","adjusted"
"1","NWSA",2016-01-04,13.12,13.21,13.01,13.21,3980000,12.123114
"2","NWSA",2016-01-05,13.26,13.32,12.69,12.77,4867700,11.719316
"3","NWSA",2016-01-06,12.53,12.82,12.48,12.71,3682000,11.66425
"4","NWSA",2016-01-07,12.44,12.61,12.39,12.42,3197100,11.398114
"5","NWSA",2016-01-08,12.56,12.71,12.42,12.58,4502000,11.544947
"6","NWSA",2016-01-11,12.4,12.64,12.06,12.21,5272200,11.205391
"7","NWSA",2016-01-12,12.35,12.48,12.22,12.43,3800600,11.40729
"8","NWSA",2016-01-13,12.51,12.54,12.08,12.19,4484900,11.187037
"9","NWSA",2016-01-14,12.29,12.81,12.18,12.71,5457800,11.66425
"10","NWSA",2016-01-15,12.36,12.73,12.25,12.51,6232000,11.480709
"11","NWSA",2016-01-19,12.67,12.67,12.12,12.35,4828700,11.333871
"12","NWSA",2016-01-20,12.12,12.28,11.8,12.15,4935200,11.150326
"13","NWSA",2016-01-21,12.15,12.58,12.05,12.37,3375200,11.352227
"14","NWSA",2016-01-22,12.7,12.72,12.53,12.7,2533100,11.655073
"15","NWSA",2016-01-25,12.66,12.73,12.46,12.5,3245900,11.47153
"16","NWSA",2016-01-26,12.57,12.8,12.41,12.8,2480000,11.746847
"17","NWSA",2016-01-27,12.68,12.96,12.6,12.7,3398400,11.655073
"18","NWSA",2016-01-28,12.96,12.96,12.54,12.84,4184700,11.783557
"19","NWSA",2016-01-29,12.89,13.05,12.67,12.97,4118500,11.902858
"20","NWSA",2016-02-01,13.1,13.1,12.5,12.7,4617500,11.655073
"21","NWSA",2016-02-02,12.55,12.68,12.07,12.12,3915800,11.122795
"22","NWSA",2016-02-03,12.26,12.65,11.94,12.24,3775900,11.232923
"23","NWSA",2016-02-04,12.22,12.5,12.16,12.21,6302000,11.205391
"24","NWSA",2016-02-05,11.43,11.79,10.96,11.1,9924600,10.186719
"25","NWSA",2016-02-08,10.97,11.09,10.26,10.56,6769000,9.69115
"26","NWSA",2016-02-09,10.37,10.65,10.29,10.49,5450100,9.626908
"27","NWSA",2016-02-10,10.52,10.77,10.47,10.6,5478400,9.727858
"28","NWSA",2016-02-11,10.44,10.48,10.21,10.4,4924300,9.544312
"29","NWSA",2016-02-12,10.53,10.99,10.47,10.75,4348100,9.865515
"30","NWSA",2016-02-16,10.92,11.1,10.64,10.94,4088800,10.039882
"31","NWSA",2016-02-17,11.02,11.27,10.93,11,3483800,10.094946
"32","NWSA",2016-02-18,11.02,11.05,10.83,10.85,3177300,9.957288
"33","NWSA",2016-02-19,10.8,11.06,10.75,10.92,4886400,10.021528
"34","NWSA",2016-02-22,11.04,11.19,11.02,11.1,2634400,10.186719
"35","NWSA",2016-02-23,11.02,11.17,10.88,10.89,4069900,9.993995
"36","NWSA",2016-02-24,10.49,10.86,10.49,10.79,5656500,9.902224
"37","NWSA",2016-02-25,10.81,10.88,10.58,10.87,3211900,9.97564
"38","NWSA",2016-02-26,10.95,11.04,10.82,10.92,2657400,10.021528
