"","symbol","date","open","high","low","close","volume","adjusted"
"1","NXST",2016-01-04,57.490002,58.459999,54.639999,54.810001,396100,48.166332
"2","NXST",2016-01-05,54.91,55.830002,52.66,55.639999,749300,48.895718
"3","NXST",2016-01-06,54.700001,56.970001,54.700001,56.900002,634200,50.002991
"4","NXST",2016-01-07,55.5,55.5,51.82,52.84,1554800,46.435112
"5","NXST",2016-01-08,52.5,53.849998,50.860001,50.869999,1119700,44.703903
"6","NXST",2016-01-11,50.799999,51.18,48.669998,50.360001,802500,44.255718
"7","NXST",2016-01-12,50.700001,52.009998,47.029999,50.470001,671600,44.35239
"8","NXST",2016-01-13,50.549999,50.73,47.740002,48.459999,653200,42.586025
"9","NXST",2016-01-14,48.82,52.84,47.09,49.080002,560500,43.130886
"10","NXST",2016-01-15,47.639999,48.700001,46.610001,48.290001,526700,42.43663
"11","NXST",2016-01-19,48.959999,49.150002,46.59,47.66,548000,41.882999
"12","NXST",2016-01-20,46.82,48.439999,44.91,47.73,816000,41.9445
"13","NXST",2016-01-21,47.970001,49.16,46.650002,48.060001,461800,42.234516
"14","NXST",2016-01-22,49.099998,50.830002,48.240002,49.650002,606900,43.631783
"15","NXST",2016-01-25,49.169998,49.169998,47.259998,47.369999,264600,41.628147
"16","NXST",2016-01-26,48,49.16,47.330002,49.139999,595700,43.183601
"17","NXST",2016-01-27,48.91,50.299999,46.599998,46.889999,1770400,41.206333
"18","NXST",2016-01-28,47.82,47.93,43.209999,43.400002,2054900,38.139362
"19","NXST",2016-01-29,43.84,45.75,43.630001,45.209999,1706300,39.729969
"20","NXST",2016-02-01,44.860001,45.169998,43.369999,44.73,949300,39.308151
"21","NXST",2016-02-02,44.07,44.240002,41.049999,42.189999,1069600,37.076023
"22","NXST",2016-02-03,42.669998,44.130001,41.419998,43.799999,1277500,38.490875
"23","NXST",2016-02-04,44.380001,45.279999,42.150002,42.220001,910000,37.102394
"24","NXST",2016-02-05,42.650002,43.419998,39.830002,39.91,829100,35.072399
"25","NXST",2016-02-08,39.290001,39.959999,36.740002,37.459999,915500,32.919365
"26","NXST",2016-02-09,36.639999,37.84,34.82,36.259998,1073000,31.864824
"27","NXST",2016-02-10,36.419998,37.709999,35.380001,36.27,580800,32.085987
"28","NXST",2016-02-11,35.490002,37.650002,34.650002,35.549999,572200,31.449053
"29","NXST",2016-02-12,35.799999,36.330002,35.02,35.98,469700,31.829437
"30","NXST",2016-02-16,36.830002,37.68,36.360001,37.419998,412900,33.103325
"31","NXST",2016-02-17,37.799999,39.490002,37.73,39.080002,710500,34.571838
"32","NXST",2016-02-18,39.02,39.040001,37.27,37.900002,580500,33.527958
"33","NXST",2016-02-19,37.720001,38.59,37.259998,38.57,533800,34.120659
"34","NXST",2016-02-22,38.759998,41.150002,38.759998,41,708500,36.270336
"35","NXST",2016-02-23,40.810001,41.799999,40.049999,40.990002,660300,36.261501
"36","NXST",2016-02-24,40.220001,41.009998,38.330002,40.869999,806700,36.155342
"37","NXST",2016-02-25,43.240002,44.029999,41.810001,42.509998,880800,37.606159
"38","NXST",2016-02-26,42.509998,44.220001,42.240002,43.779999,930800,38.729649
"39","NXST",2016-02-29,43.700001,45.389999,43.049999,44.68,885300,39.525829
"40","NXST",2016-03-01,45.009998,46.220001,44.759998,45.830002,790300,40.543159
"41","NXST",2016-03-02,45.93,46.360001,44.959999,46.209999,581700,40.879326
"42","NXST",2016-03-03,46.509998,48.82,46.419998,48.450001,734200,42.860935
"43","NXST",2016-03-04,48.48,49.080002,46.459999,47.59,1455500,42.100136
"44","NXST",2016-03-07,47.27,48.189999,46.759998,48.18,657100,42.62207
"45","NXST",2016-03-08,48.009998,48.330002,45.959999,46.119999,578900,40.799709
"46","NXST",2016-03-09,46.509998,47.740002,46.5,47.720001,569100,42.215149
"47","NXST",2016-03-10,48.02,48.41,46.740002,47.360001,387700,41.896667
"48","NXST",2016-03-11,47.869999,48.709999,47.869999,48.389999,371200,42.807854
"49","NXST",2016-03-14,48.07,48.330002,47.369999,47.700001,382700,42.197445
"50","NXST",2016-03-15,47.48,47.490002,46.02,46.32,374500,40.97665
"51","NXST",2016-03-16,46.400002,47.310001,46.099998,47.060001,409200,41.631287
"52","NXST",2016-03-17,47.150002,48.41,46.66,47.740002,415700,42.232841
"53","NXST",2016-03-18,47.990002,49.189999,47.84,48.169998,911300,42.613235
"54","NXST",2016-03-21,48.119999,48.119999,46.18,46.259998,383600,40.923561
"55","NXST",2016-03-22,45.77,46.189999,44.41,45,981600,39.80891
"56","NXST",2016-03-23,44.919998,45.310001,43.43,43.450001,741200,38.437714
"57","NXST",2016-03-24,43.119999,43.439999,41.91,42.560001,498600,37.650387
"58","NXST",2016-03-28,42.439999,43.700001,42.029999,43.669998,477500,38.632336
"59","NXST",2016-03-29,43.66,45.139999,43.18,44.990002,782600,39.800072
"60","NXST",2016-03-30,45.290001,45.290001,43.68,43.73,471100,38.685429
"61","NXST",2016-03-31,43.919998,44.619999,43.02,44.27,635100,39.163124
"62","NXST",2016-04-01,43.740002,46.73,43.740002,45.830002,569900,40.543159
"63","NXST",2016-04-04,45.939999,46.419998,45.18,45.389999,503500,40.153923
"64","NXST",2016-04-05,45.080002,45.48,44.349998,45.02,430100,39.826603
"65","NXST",2016-04-06,45.189999,46.139999,44.66,46.07,378700,40.755486
"66","NXST",2016-04-07,45.740002,46.200001,45.459999,45.959999,583700,40.658169
"67","NXST",2016-04-08,46.459999,46.509998,45.34,45.610001,297800,40.348553
"68","NXST",2016-04-11,46.009998,46.59,45.529999,45.869999,368500,40.578552
"69","NXST",2016-04-12,45.669998,46.220001,44.759998,46.189999,471200,40.861641
"70","NXST",2016-04-13,46.540001,47.759998,45.990002,47.560001,332700,42.073601
"71","NXST",2016-04-14,47.599998,47.950001,47.009998,47.52,371400,42.038219
"72","NXST",2016-04-15,47.369999,47.689999,46.919998,47.23,299000,41.78167
"73","NXST",2016-04-18,47.450001,49.18,47.02,49.07,582100,43.409412
"74","NXST",2016-04-19,49.040001,50.990002,49.040001,50.310001,738700,44.506367
"75","NXST",2016-04-20,49.48,50.77,49.209999,50.060001,478600,44.285213
