"","symbol","date","open","high","low","close","volume","adjusted"
"1","OEC",2016-01-04,12.36,12.5,12.2,12.41,99900,10.60711
"2","OEC",2016-01-05,12.49,12.64,11.98,12.04,190000,10.290862
"3","OEC",2016-01-06,11.9,12.08,11.72,11.74,148400,10.034444
"4","OEC",2016-01-07,11.63,11.9,11.63,11.74,47000,10.034444
"5","OEC",2016-01-08,11.72,11.84,11.53,11.54,39500,9.863501
"6","OEC",2016-01-11,11.68,11.73,11.36,11.36,119000,9.709651
"7","OEC",2016-01-12,11.45,11.8,11.315,11.62,119700,9.931877
"8","OEC",2016-01-13,11.7,12,11.26,11.37,122000,9.718197
"9","OEC",2016-01-14,11.32,11.47,11.1,11.22,69200,9.58999
"10","OEC",2016-01-15,11.1,11.4,10.81,11.34,68500,9.692556
"11","OEC",2016-01-19,11.28,11.44,10.82,10.87,94600,9.290836
"12","OEC",2016-01-20,10.67,11.18,10.33,11.13,152500,9.513064
"13","OEC",2016-01-21,11.1,11.345,10.89,11.05,87700,9.444686
"14","OEC",2016-01-22,11.15,11.79,11.15,11.67,105300,9.974613
"15","OEC",2016-01-25,11.53,11.8,10.96,11.12,111700,9.504519
"16","OEC",2016-01-26,11.12,11.58,11.12,11.5,21400,9.829312
"17","OEC",2016-01-27,11.38,11.54,11.1,11.28,73700,9.641272
"18","OEC",2016-01-28,11.46,11.61,11.09,11.4,75600,9.743837
"19","OEC",2016-01-29,11.4,12.25,11.4,12.09,193600,10.333599
"20","OEC",2016-02-01,11.89,12.225,11.82,12.04,153700,10.290862
"21","OEC",2016-02-02,11.79,12.37,11.79,12.15,263600,10.38488
"22","OEC",2016-02-03,12.19,12.23,11.92,12.15,94900,10.38488
"23","OEC",2016-02-04,12.06,13.18,12.06,12.74,203300,10.889167
"24","OEC",2016-02-05,12.88,12.93,12.45,12.79,163700,10.931905
"25","OEC",2016-02-08,12.58,12.8,12,12.16,228500,10.393429
"26","OEC",2016-02-09,11.91,12.4,11.865,11.97,255800,10.231031
"27","OEC",2016-02-10,11.98,12.19,11.81,11.82,135400,10.102821
"28","OEC",2016-02-11,11.7,12.05,11.66,11.87,106600,10.145559
"29","OEC",2016-02-12,11.93,12.1,11.78,12,66300,10.256673
"30","OEC",2016-02-16,12.05,12.53,11.89,12.49,83300,10.675485
"31","OEC",2016-02-17,12.63,12.79,12.5,12.64,64900,10.803698
"32","OEC",2016-02-18,12.71,12.89,12.49,12.62,154700,10.7866
"33","OEC",2016-02-19,12.46,12.62,12.39,12.5,66500,10.684034
"34","OEC",2016-02-22,12.64,12.64,12.35,12.57,50600,10.743864
"35","OEC",2016-02-23,12.55,12.63,12.36,12.4,77600,10.598563
"36","OEC",2016-02-24,12.24,12.53,12.04,12.48,52100,10.66694
"37","OEC",2016-02-25,12.43,12.55,12.26,12.5,92300,10.684034
"38","OEC",2016-02-26,12.49,12.87,12.3,12.79,133000,10.931905
"39","OEC",2016-02-29,12.68,13.06,12.68,12.85,53000,10.983188
"40","OEC",2016-03-01,12.85,13.05,12.85,12.96,97200,11.077208
"41","OEC",2016-03-02,12.85,13.73,12.85,13.62,155600,11.641324
"42","OEC",2016-03-03,13.3,13.45,12.85,12.85,360100,11.138572
"43","OEC",2016-03-04,13.06,14.945,13.06,13.87,328200,12.022723
"44","OEC",2016-03-07,13.84,14.06,13.7,13.81,179000,11.970714
"45","OEC",2016-03-08,13.85,13.85,13.43,13.45,70000,11.658658
"46","OEC",2016-03-09,13.55,13.58,13.34,13.46,131900,11.667328
"47","OEC",2016-03-10,13.46,13.62,13.31,13.49,145200,11.693333
"48","OEC",2016-03-11,13.54,13.98,13.54,13.72,133300,11.8927
"49","OEC",2016-03-14,13.78,14.08,13.7,13.84,105400,11.996719
"50","OEC",2016-03-15,13.69,13.79,13.37,13.54,99100,11.736673
"51","OEC",2016-03-16,13.39,13.72,13.341,13.48,89700,11.684665
"52","OEC",2016-03-17,13.48,14.04,13.48,13.91,100200,12.057394
"53","OEC",2016-03-18,13.84,14.14,13.84,14.1,79000,12.222089
"54","OEC",2016-03-21,13.95,14.07,13.84,14.02,60400,12.152744
"55","OEC",2016-03-22,13.91,13.97,13.61,13.89,100500,12.040059
"56","OEC",2016-03-23,13.71,13.905,13.61,13.75,205100,11.918704
"57","OEC",2016-03-24,13.58,13.91,13.58,13.74,110500,11.910035
"58","OEC",2016-03-28,13.7,13.82,13.61,13.62,41500,11.806018
"59","OEC",2016-03-29,13.49,14.06,13.49,13.73,173300,11.901368
"60","OEC",2016-03-30,13.74,14.36,13.74,14.19,107200,12.300102
"61","OEC",2016-03-31,14.16,14.27,13.94,14.12,39000,12.239428
"62","OEC",2016-04-01,13.91,13.96,13.59,13.92,83300,12.066063
"63","OEC",2016-04-04,13.81,13.92,13.81,13.87,65400,12.022723
"64","OEC",2016-04-05,13.72,13.72,13.58,13.59,33100,11.780014
"65","OEC",2016-04-06,13.63,13.89,13.52,13.84,53500,11.996719
"66","OEC",2016-04-07,13.73,13.84,13.525,13.56,40900,11.754009
"67","OEC",2016-04-08,13.59,13.66,13.58,13.58,38400,11.771344
"68","OEC",2016-04-11,13.58,13.76,13.58,13.58,64900,11.771344
"69","OEC",2016-04-12,13.53,13.72,13.53,13.69,30400,11.866695
"70","OEC",2016-04-13,13.63,14.04,13.58,13.96,89700,12.100738
"71","OEC",2016-04-14,14,14,13.73,13.88,21400,12.03139
"72","OEC",2016-04-15,13.8,13.9,13.6,13.84,39600,11.996719
