"","symbol","date","open","high","low","close","volume","adjusted"
"1","OFC",2016-01-04,21.67,21.85,21.459999,21.85,858000,17.169796
"2","OFC",2016-01-05,21.85,22.18,21.74,22.120001,1044400,17.381966
"3","OFC",2016-01-06,21.92,22.16,21.879999,22.040001,1508900,17.319101
"4","OFC",2016-01-07,21.610001,21.85,21.280001,21.280001,803200,16.721888
"5","OFC",2016-01-08,21.440001,21.559999,21.24,21.450001,1235600,16.855478
"6","OFC",2016-01-11,21.49,21.690001,21.280001,21.629999,1357400,16.99692
"7","OFC",2016-01-12,21.860001,21.860001,21.48,21.639999,1595200,17.00478
"8","OFC",2016-01-13,21.66,22.049999,21.559999,21.66,1209400,17.020494
"9","OFC",2016-01-14,21.700001,21.780001,21.309999,21.459999,1118500,16.863338
"10","OFC",2016-01-15,21.16,21.17,20.6,20.780001,1286600,16.328987
"11","OFC",2016-01-19,20.870001,21.040001,20.52,20.68,1184700,16.250412
"12","OFC",2016-01-20,20.49,20.52,19.52,20.040001,1877900,15.747499
"13","OFC",2016-01-21,20.16,20.780001,19.959999,20.450001,1318500,16.069672
"14","OFC",2016-01-22,20.6,21.129999,20.530001,21.110001,876400,16.588306
"15","OFC",2016-01-25,21.4,21.58,21.07,21.360001,1553800,16.784758
"16","OFC",2016-01-26,21.450001,22.059999,21.43,22.059999,1394800,17.334814
"17","OFC",2016-01-27,21.940001,22.110001,21.68,21.870001,989400,17.185514
"18","OFC",2016-01-28,21.99,22.389999,21.879999,22.190001,1150900,17.436974
"19","OFC",2016-01-29,22.33,22.52,22,22.299999,1450500,17.523411
"20","OFC",2016-02-01,22.16,22.83,22.01,22.58,1011500,17.743437
"21","OFC",2016-02-02,22.51,22.549999,22.139999,22.17,1001000,17.421251
"22","OFC",2016-02-03,22.290001,22.48,22.09,22.42,900900,17.617702
"23","OFC",2016-02-04,22.4,22.639999,22.290001,22.49,1287800,17.67271
"24","OFC",2016-02-05,22.42,22.530001,22.24,22.26,876800,17.491982
"25","OFC",2016-02-08,22.110001,22.139999,21.4,21.93,1113700,17.232666
"26","OFC",2016-02-09,21.709999,21.84,21.120001,21.209999,851800,16.66688
"27","OFC",2016-02-10,21.219999,21.780001,21.200001,21.389999,562600,16.808332
"28","OFC",2016-02-11,21.15,21.219999,20.6,20.860001,987000,16.391853
"29","OFC",2016-02-12,20.73,21.280001,20.42,20.91,775800,16.431147
"30","OFC",2016-02-16,21.08,21.51,20.91,21.5,890400,16.894768
"31","OFC",2016-02-17,22.02,22.42,21.959999,22.059999,2160600,17.334814
"32","OFC",2016-02-18,22.059999,22.469999,21.93,22.440001,1088800,17.633421
"33","OFC",2016-02-19,22.33,22.559999,22.219999,22.5,710100,17.680573
"34","OFC",2016-02-22,22.639999,23.129999,22.639999,23.08,801700,18.136339
"35","OFC",2016-02-23,22.950001,23.290001,22.9,23.059999,934300,18.120619
"36","OFC",2016-02-24,22.9,23.120001,22.639999,23.030001,996700,18.097048
"37","OFC",2016-02-25,23.139999,23.43,23.110001,23.42,460400,18.403513
"38","OFC",2016-02-26,23.42,23.67,23.27,23.549999,751000,18.505663
"39","OFC",2016-02-29,23.58,23.66,23.26,23.4,772400,18.387794
"40","OFC",2016-03-01,23.59,24.1,23.540001,23.9,814400,18.780691
"41","OFC",2016-03-02,23.870001,24.49,23.58,24.43,828000,19.19717
"42","OFC",2016-03-03,24.57,24.66,24.34,24.639999,914100,19.362188
"43","OFC",2016-03-04,24.65,25.059999,24.6,24.889999,911800,19.558641
"44","OFC",2016-03-07,24.799999,25.200001,24.74,24.969999,745500,19.621506
"45","OFC",2016-03-08,25,25.16,24.85,25.02,805800,19.660799
"46","OFC",2016-03-09,25.01,25.16,24.98,25.15,503400,19.762947
"47","OFC",2016-03-10,25.299999,25.41,24.719999,25.08,831500,19.707945
"48","OFC",2016-03-11,25.389999,25.5,25.139999,25.35,1010900,19.920111
"49","OFC",2016-03-14,25.280001,25.5,25.209999,25.25,744300,19.841528
"50","OFC",2016-03-15,25.139999,25.459999,25.049999,25.379999,344300,19.943686
"51","OFC",2016-03-16,25.379999,25.77,25.25,25.77,737500,20.250147
"52","OFC",2016-03-17,25.83,26,25.709999,25.99,607400,20.423025
"53","OFC",2016-03-18,25.92,26.34,25.639999,25.65,1250600,20.155851
"54","OFC",2016-03-21,25.59,25.870001,25.540001,25.57,503600,20.092987
"55","OFC",2016-03-22,25.49,25.969999,25.379999,25.940001,465700,20.383732
"56","OFC",2016-03-23,25.950001,26.07,25.719999,25.73,412300,20.218719
"57","OFC",2016-03-24,25.65,25.66,25.25,25.65,421700,20.155851
"58","OFC",2016-03-28,25.700001,25.85,25.48,25.85,313700,20.313013
"59","OFC",2016-03-29,25.6,26.32,25.57,26.280001,685600,20.872957
"60","OFC",2016-03-30,26.35,26.450001,26.27,26.27,333200,20.865019
"61","OFC",2016-03-31,26.200001,26.379999,26.01,26.24,636100,20.841188
"62","OFC",2016-04-01,26.049999,26.309999,25.77,26.24,797100,20.841188
"63","OFC",2016-04-04,26.26,26.299999,25.790001,25.799999,627600,20.491716
"64","OFC",2016-04-05,25.59,26.1,25.57,25.92,935000,20.58703
"65","OFC",2016-04-06,25.879999,26.120001,25.629999,26.030001,428600,20.674397
"66","OFC",2016-04-07,25.950001,26.07,25.73,25.82,644400,20.507603
