"","symbol","date","open","high","low","close","volume","adjusted"
"1","OMC",2016-01-04,74.389999,74.440002,72.809998,73.57,2150700,60.155304
"2","OMC",2016-01-05,74.040001,74.239998,73.169998,73.959999,1820400,60.474167
"3","OMC",2016-01-06,73.18,73.440002,71.57,71.940002,2415200,58.822506
"4","OMC",2016-01-07,70.419998,71.709999,69.970001,70.510002,1721700,57.653278
"5","OMC",2016-01-08,71.160004,71.410004,69.709999,69.900002,1502600,57.154488
"6","OMC",2016-01-11,70.230003,70.559998,68.849998,69.650002,1714600,56.950066
"7","OMC",2016-01-12,70.290001,71.110001,70.07,70.800003,1556100,57.890377
"8","OMC",2016-01-13,70.940002,71.239998,69.139999,69.25,1113500,56.622993
"9","OMC",2016-01-14,69.559998,71.089996,69.010002,70.75,1364100,57.849491
"10","OMC",2016-01-15,68.940002,70.040001,68.830002,69.669998,1472300,56.966419
"11","OMC",2016-01-19,70.43,70.720001,68.690002,68.889999,1748700,56.328648
"12","OMC",2016-01-20,68.010002,68.699997,66.480003,67.940002,2177300,55.551872
"13","OMC",2016-01-21,68.260002,69.230003,67.089996,68.650002,1198700,56.132408
"14","OMC",2016-01-22,69.699997,71,69.25,70.610001,1601200,57.73502
"15","OMC",2016-01-25,70.25,70.730003,69.769997,69.879997,1353600,57.138138
"16","OMC",2016-01-26,70.290001,72.07,70.230003,71.989998,1796300,58.863396
"17","OMC",2016-01-27,71.860001,72.760002,71.010002,71.519997,2266800,58.479088
"18","OMC",2016-01-28,71.839996,72.010002,70.620003,71.889999,1921300,58.781639
"19","OMC",2016-01-29,72.25,73.470001,72.18,73.349998,2020300,59.975418
"20","OMC",2016-02-01,72.910004,74.519997,72.650002,73.949997,1739600,60.466007
"21","OMC",2016-02-02,73.080002,73.220001,72.209999,72.370003,1580300,59.174114
"22","OMC",2016-02-03,72.860001,73.239998,71.779999,72.470001,1750200,59.255875
"23","OMC",2016-02-04,72.510002,73.779999,72.07,72.650002,1960500,59.403049
"24","OMC",2016-02-05,72.580002,72.760002,70.889999,71.209999,2649200,58.225632
"25","OMC",2016-02-08,70.239998,70.410004,68.050003,69.720001,3711200,57.007298
"26","OMC",2016-02-09,69.720001,72.830002,69.720001,71.620003,4780400,58.560863
"27","OMC",2016-02-10,72.389999,74.769997,72.150002,73.470001,3863200,60.073528
"28","OMC",2016-02-11,72.5,73.379997,71.25,71.889999,2923300,58.781639
"29","OMC",2016-02-12,72.629997,73.410004,71.25,73.349998,1772700,59.975418
"30","OMC",2016-02-16,74.050003,75.959999,73.150002,75.75,2114200,61.937798
"31","OMC",2016-02-17,76.199997,76.529999,75.099998,75.459999,2073200,61.700676
"32","OMC",2016-02-18,75.389999,76.519997,75.25,76.010002,2036300,62.150391
"33","OMC",2016-02-19,75.989998,76.519997,75.400002,76.519997,1466200,62.567402
"34","OMC",2016-02-22,76.519997,77.599998,76.300003,77.120003,1341600,63.057991
"35","OMC",2016-02-23,77.040001,77.639999,76.720001,76.82,1350900,62.812687
"36","OMC",2016-02-24,75.919998,77.019997,75.400002,76.900002,1911500,62.878113
"37","OMC",2016-02-25,77.080002,77.849998,76.300003,77.709999,1997000,63.540421
"38","OMC",2016-02-26,78,78.25,77.349998,77.610001,1226700,63.458649
"39","OMC",2016-02-29,77.720001,78.690002,77.620003,77.809998,2051400,63.622185
"40","OMC",2016-03-01,78.629997,79.230003,78.279999,79,1961100,64.5952
"41","OMC",2016-03-02,78.709999,79.139999,77.980003,78.410004,2231300,64.112793
"42","OMC",2016-03-03,78.529999,78.739998,77.239998,78.389999,4042000,64.09642
"43","OMC",2016-03-04,78.470001,78.970001,77.889999,78.760002,2098900,64.398964
"44","OMC",2016-03-07,77.839996,78.620003,77.470001,78.5,1446500,64.596458
"45","OMC",2016-03-08,77.93,78.389999,77.419998,77.860001,1322600,64.069794
"46","OMC",2016-03-09,78.25,78.279999,77.150002,77.629997,1323200,63.880535
"47","OMC",2016-03-10,78.019997,78.540001,77.150002,77.580002,1569300,63.839417
"48","OMC",2016-03-11,78.279999,79.269997,78.230003,78.949997,1606300,64.966728
"49","OMC",2016-03-14,78.57,79.190002,77.739998,78.970001,745300,64.983192
"50","OMC",2016-03-15,78.32,79.190002,78.209999,78.889999,1222400,64.917374
"51","OMC",2016-03-16,78.599998,79.839996,78.239998,79.690002,909000,65.575691
"52","OMC",2016-03-17,79.839996,80.760002,79.75,80.459999,1591000,66.20929
"53","OMC",2016-03-18,80.580002,81.339996,80.529999,80.980003,2246300,66.637215
"54","OMC",2016-03-21,80.669998,81.739998,80.529999,81.480003,1361200,67.04866
"55","OMC",2016-03-22,81.150002,81.919998,80.889999,81.339996,1187300,66.933426
"56","OMC",2016-03-23,81.57,81.959999,80.989998,81.290001,1711200,66.892311
"57","OMC",2016-03-24,80.970001,81.400002,80.629997,81.339996,1186600,66.933426
"58","OMC",2016-03-28,81.379997,82.510002,81.230003,82.199997,1617500,67.641129
"59","OMC",2016-03-29,82.199997,82.980003,81.93,82.800003,1158900,68.134872
"60","OMC",2016-03-30,82.989998,83.860001,82.769997,83.32,1743100,68.562744
"61","OMC",2016-03-31,83.410004,84.230003,83,83.230003,1680500,68.488693
"62","OMC",2016-04-01,82.290001,84.089996,82.190002,83.900002,2003300,69.040016
"63","OMC",2016-04-04,83.849998,84.290001,83.459999,83.879997,1722500,69.023567
"64","OMC",2016-04-05,83.760002,83.870003,83.150002,83.32,1299800,68.562744
"65","OMC",2016-04-06,83.470001,84.080002,83.32,84,1131400,69.122307
"66","OMC",2016-04-07,83.410004,83.660004,82.730003,82.910004,1343200,68.225388
"67","OMC",2016-04-08,83.540001,83.660004,82.910004,83.150002,847400,68.422874
"68","OMC",2016-04-11,83.519997,84.239998,83.25,83.330002,1253000,68.570984
"69","OMC",2016-04-12,83.339996,84.480003,83.150002,84.339996,1164400,69.402077
"70","OMC",2016-04-13,84.57,84.779999,83.629997,84.419998,2104700,69.467949
"71","OMC",2016-04-14,83.779999,83.93,83.269997,83.739998,2371300,68.908356
"72","OMC",2016-04-15,83.629997,84.379997,83.43,84.300003,1489800,69.369186
"73","OMC",2016-04-18,83.849998,85.540001,83.720001,85.25,2296300,70.150932
"74","OMC",2016-04-19,84.419998,85.949997,84.07,84.739998,3071100,69.731247
"75","OMC",2016-04-20,84.370003,84.370003,82.910004,83.410004,2277000,68.63681
"76","OMC",2016-04-21,83.599998,84.360001,83.440002,84.019997,1950800,69.138771
"77","OMC",2016-04-22,83.849998,85,83.489998,83.769997,1802900,68.933067
"78","OMC",2016-04-25,83.5,83.730003,82.669998,83.519997,1824200,68.727333
"79","OMC",2016-04-26,83.809998,84.269997,83.339996,83.889999,1570300,69.031799
"80","OMC",2016-04-27,83.82,84.379997,83.18,84.129997,1066700,69.229301
"81","OMC",2016-04-28,83.629997,83.959999,83.019997,83.18,1199100,68.44754
"82","OMC",2016-04-29,83.160004,83.190002,82.459999,82.970001,1643600,68.274742
"83","OMC",2016-05-02,83.459999,83.800003,82.970001,83.610001,1129100,68.801376
"84","OMC",2016-05-03,83.209999,83.589996,83.07,83.449997,1331300,68.669739
"85","OMC",2016-05-04,82.959999,83.620003,82.809998,83.349998,1313800,68.587448
"86","OMC",2016-05-05,83.300003,83.57,82.830002,83.260002,1441100,68.513382
"87","OMC",2016-05-06,83.209999,84.199997,83.139999,83.959999,1320300,69.089386
"88","OMC",2016-05-09,83.690002,84.459999,83.610001,83.669998,1044900,68.850754
"89","OMC",2016-05-10,83.669998,84.610001,83.5,84.580002,1460100,69.599579
"90","OMC",2016-05-11,84.019997,84.269997,83.540001,84.120003,2232600,69.221085
"91","OMC",2016-05-12,84.360001,84.440002,83.720001,84.260002,1876000,69.336266
"92","OMC",2016-05-13,84.029999,84.379997,83.339996,83.730003,1289900,68.900131
"93","OMC",2016-05-16,83.57,84.629997,83.419998,84.260002,1076700,69.336266
"94","OMC",2016-05-17,84.050003,84.5,83.089996,83.300003,1266600,68.546303
"95","OMC",2016-05-18,83.260002,83.650002,82.730003,83.230003,1807600,68.488693
"96","OMC",2016-05-19,82.900002,83,81.919998,82.410004,1874200,67.813911
"97","OMC",2016-05-20,82.800003,83.309998,82.739998,82.790001,1626400,68.126633
"98","OMC",2016-05-23,82.93,83.080002,82.129997,82.190002,1549000,67.632904
"99","OMC",2016-05-24,82.489998,83.040001,82.25,82.879997,1641700,68.200691
"100","OMC",2016-05-25,83.010002,83.209999,81.559998,82.059998,2143500,67.525917
"101","OMC",2016-05-26,81.970001,82.57,81.809998,82.190002,2193600,67.632904
"102","OMC",2016-05-27,82.419998,82.75,82.290001,82.639999,651200,68.003189
"103","OMC",2016-05-31,82.769997,83.410004,82.400002,83.330002,1803600,68.570984
"104","OMC",2016-06-01,83.139999,83.160004,82.599998,82.949997,1423700,68.258293
"105","OMC",2016-06-02,82.970001,83.110001,82.519997,83.040001,1942500,68.332336
"106","OMC",2016-06-03,82.699997,82.769997,81.160004,81.940002,2027700,67.427185
"107","OMC",2016-06-06,81.970001,82.639999,81.5,82.440002,1360000,67.838631
"108","OMC",2016-06-07,82.690002,83.400002,82.389999,83.269997,1474100,68.521614
"109","OMC",2016-06-08,83.459999,85.75,83.410004,85.370003,2527800,70.249672
"110","OMC",2016-06-09,84.269997,84.650002,83.989998,84.400002,1679600,69.901802
"111","OMC",2016-06-10,83.940002,84.040001,83.230003,83.330002,1540300,69.015625
"112","OMC",2016-06-13,82.790001,83.199997,79.449997,82.150002,1385600,68.038322
"113","OMC",2016-06-14,82.019997,82.129997,81.050003,81.849998,2107600,67.789848
"114","OMC",2016-06-15,81.900002,82.25,81.519997,81.620003,1695400,67.599373
"115","OMC",2016-06-16,81.389999,81.910004,80.400002,81.709999,1374700,67.673897
"116","OMC",2016-06-17,81.57,81.589996,80.730003,81.349998,1445000,67.375748
"117","OMC",2016-06-20,82.330002,83.160004,82.209999,82.949997,1252500,68.700897
"118","OMC",2016-06-21,83.279999,83.650002,82.57,83.279999,1344000,68.974213
"119","OMC",2016-06-22,83.650002,84.089996,82.980003,83.839996,1574100,69.438004
"120","OMC",2016-06-23,84.830002,84.959999,84.32,84.959999,1328700,70.365608
"121","OMC",2016-06-24,82.169998,82.199997,80.550003,80.690002,3364300,66.82914
"122","OMC",2016-06-27,79.849998,79.879997,77.32,77.57,2595500,64.245056
"123","OMC",2016-06-28,78.269997,78.900002,77.870003,78.830002,1634700,65.288635
"124","OMC",2016-06-29,79.120003,80.18,75.610001,80.099998,2292600,66.340469
"125","OMC",2016-06-30,80.400002,81.489998,79.739998,81.489998,1600600,67.491699
"126","OMC",2016-07-01,81.489998,81.970001,81.339996,81.690002,1489000,67.657333
"127","OMC",2016-07-05,81.209999,81.209999,80.410004,80.739998,1622700,66.870529
"128","OMC",2016-07-06,82.239998,83.199997,79.940002,81.419998,1812300,67.433716
"129","OMC",2016-07-07,81.5,82.510002,81.169998,82.309998,1879800,68.170815
"130","OMC",2016-07-08,82.879997,83.260002,82.489998,83.120003,1308800,68.841698
"131","OMC",2016-07-11,83.120003,84.239998,82.440002,83.959999,1900800,69.537392
"132","OMC",2016-07-12,84.269997,85.290001,84.07,84.540001,2482700,70.017769
