"","symbol","date","open","high","low","close","volume","adjusted"
"1","OPI",2016-01-04,63,63,60.720001,61.400002,303475,34.679211
"2","OPI",2016-01-05,61.439999,64.279999,61.240002,63.880001,273725,36.079948
"3","OPI",2016-01-06,63.279999,63.759998,62.439999,62.759998,115375,35.44735
"4","OPI",2016-01-07,61.959999,62,60.360001,60.52,261550,34.182178
"5","OPI",2016-01-08,60.799999,61.040001,58.48,58.52,244250,33.052567
"6","OPI",2016-01-11,58.560001,59,58,58.279999,216050,32.917011
"7","OPI",2016-01-12,58.32,58.400002,55.400002,56.360001,294375,31.832584
"8","OPI",2016-01-13,56.360001,56.880001,55.119999,55.560001,221450,31.380726
"9","OPI",2016-01-14,55.560001,55.880001,54.48,55.360001,235425,31.267775
"10","OPI",2016-01-15,53.799999,54.919998,53.279999,54.919998,257975,31.019264
"11","OPI",2016-01-19,55.080002,55.360001,53.959999,54.439999,223325,30.748152
"12","OPI",2016-01-20,52.16,52.240002,49.32,51.48,337625,30.02494
"13","OPI",2016-01-21,51.560001,53.080002,50.959999,51.560001,208125,30.071594
"14","OPI",2016-01-22,52,54.240002,51.919998,53.880001,214825,31.424692
"15","OPI",2016-01-25,53.720001,54.560001,52.599998,52.68,169450,30.724825
"16","OPI",2016-01-26,53.240002,54.599998,53,54.599998,174175,31.844633
"17","OPI",2016-01-27,54.119999,54.759998,53.720001,53.880001,149425,31.424692
"18","OPI",2016-01-28,54.279999,55,53.720001,53.959999,128225,31.471363
"19","OPI",2016-01-29,54.400002,54.959999,54.240002,54.919998,153700,32.031269
"20","OPI",2016-02-01,54.400002,54.759998,53.959999,54.200001,148125,31.611338
"21","OPI",2016-02-02,54,54.16,53.040001,53.52,148150,31.214733
"22","OPI",2016-02-03,53.959999,55.119999,53.52,54.799999,165050,31.961275
"23","OPI",2016-02-04,54.919998,55.759998,54.639999,55.200001,147175,32.194569
"24","OPI",2016-02-05,54.919998,56.799999,54.52,55.560001,248900,32.40453
"25","OPI",2016-02-08,54.84,55.400002,52.52,53.919998,299750,31.44803
"26","OPI",2016-02-09,53.279999,53.52,52.119999,53.240002,275175,31.051435
"27","OPI",2016-02-10,53.400002,54.880001,53.200001,53.759998,151450,31.354712
"28","OPI",2016-02-11,53.040001,53.32,52.279999,53.200001,226750,31.028103
"29","OPI",2016-02-12,53.200001,54.16,53.200001,53.599998,196150,31.261398
"30","OPI",2016-02-16,53.959999,54.799999,53.439999,54.720001,162825,31.914616
"31","OPI",2016-02-17,55.119999,56.360001,54.919998,55.639999,309775,32.451195
"32","OPI",2016-02-18,56,56,53.32,54.400002,302625,31.727982
"33","OPI",2016-02-19,54.040001,55.68,53.360001,54.919998,437900,32.031269
"34","OPI",2016-02-22,55.32,55.919998,54.84,54.880001,277750,32.007931
"35","OPI",2016-02-23,54.84,55.799999,54.799999,55.040001,149075,32.101254
"36","OPI",2016-02-24,54.720001,56.16,53.639999,55.880001,300075,32.591171
"37","OPI",2016-02-25,56.32,58.279999,56,58.119999,357550,33.89761
"38","OPI",2016-02-26,58.16,59.759998,58.080002,58.639999,377925,34.200897
"39","OPI",2016-02-29,58.759998,61.040001,58.759998,59.360001,476625,34.620827
"40","OPI",2016-03-01,59.639999,61.919998,59.639999,61.880001,266950,36.090584
"41","OPI",2016-03-02,61.720001,61.84,60.720001,60.919998,283500,35.53067
"42","OPI",2016-03-03,61,62.52,61,62.48,240725,36.440517
"43","OPI",2016-03-04,62.400002,63.040001,61.200001,62.959999,208800,36.720474
"44","OPI",2016-03-07,62.759998,63.759998,62.400002,63.599998,197700,37.093746
