"","symbol","date","open","high","low","close","volume","adjusted"
"1","ORCC",2019-07-18,15.5,15.86,15.02,15.49,3258000,12.011263
"2","ORCC",2019-07-19,15.49,15.49,15.49,15.49,0,12.011263
"3","ORCC",2019-07-22,15.49,15.49,15.49,15.49,0,12.011263
"4","ORCC",2019-07-23,15.7,15.7,15.55,15.6,172500,12.09656
"5","ORCC",2019-07-24,15.56,15.607,15.52,15.55,186800,12.057788
"6","ORCC",2019-07-25,15.61,15.61,15.55,15.57,147400,12.073296
"7","ORCC",2019-07-26,15.57,15.71,15.57,15.59,227900,12.088805
"8","ORCC",2019-07-29,15.77,15.77,15.57,15.59,202000,12.088805
"9","ORCC",2019-07-30,15.65,15.68,15.58,15.66,150000,12.143085
"10","ORCC",2019-07-31,15.9,15.99,15.75,15.85,279800,12.290415
"11","ORCC",2019-08-01,15.84,16.450001,15.6,15.9,277900,12.329185
"12","ORCC",2019-08-02,15.95,15.973,15.837,15.92,124000,12.344693
"13","ORCC",2019-08-05,15.8,15.94,15.56,15.7,251600,12.174103
"14","ORCC",2019-08-06,15.75,15.896,15.71,15.72,97300,12.189609
"15","ORCC",2019-08-07,15.73,15.77,15.54,15.74,246300,12.205117
"16","ORCC",2019-08-08,15.76,16,15.62,15.91,165400,12.33694
"17","ORCC",2019-08-09,15.7,15.99,15.7,15.9,108000,12.329185
"18","ORCC",2019-08-12,15.85,16.129999,15.75,15.85,172000,12.290415
"19","ORCC",2019-08-13,16.18,16.18,15.8,15.99,241100,12.398973
"20","ORCC",2019-08-14,15.9,16.02,15.67,15.73,260300,12.197362
"21","ORCC",2019-08-15,15.88,15.88,15.55,15.69,224300,12.166347
"22","ORCC",2019-08-16,15.76,15.94,15.65,15.68,136600,12.158593
"23","ORCC",2019-08-19,15.74,16.01,15.68,15.92,90800,12.344693
"24","ORCC",2019-08-20,16,16.09,15.86,15.89,376300,12.321431
"25","ORCC",2019-08-21,15.89,16.049999,15.85,15.94,222100,12.360202
"26","ORCC",2019-08-22,15.97,16,15.89,15.94,109300,12.360202
"27","ORCC",2019-08-23,15.89,15.95,15.85,15.85,115600,12.290415
"28","ORCC",2019-08-26,15.93,16.120001,15.87,15.98,154400,12.391219
"29","ORCC",2019-08-27,15.96,15.99,15.91,15.91,56500,12.33694
"30","ORCC",2019-08-28,15.89,16.01,15.89,15.98,85200,12.391219
"31","ORCC",2019-08-29,15.96,16.110001,15.85,15.88,242700,12.313675
"32","ORCC",2019-08-30,15.96,16,15.9,15.9,167200,12.329185
"33","ORCC",2019-09-03,15.92,16.040001,15.92,15.97,135000,12.383465
"34","ORCC",2019-09-04,16,16.038,15.9,16.030001,159500,12.429989
"35","ORCC",2019-09-05,16.1,16.18,15.93,15.95,154700,12.367955
"36","ORCC",2019-09-06,15.98,16.43,15.98,16.24,216200,12.592828
"37","ORCC",2019-09-09,16.290001,16.299999,16.01,16.049999,183200,12.445497
"38","ORCC",2019-09-10,16.02,16.200001,15.9,15.94,173700,12.360202
"39","ORCC",2019-09-11,15.94,16.089001,15.88,15.9,143400,12.329185
"40","ORCC",2019-09-12,15.92,16.389999,15.9,16.15,201700,12.523039
"41","ORCC",2019-09-13,16.200001,16.620001,16.200001,16.389999,331300,12.709141
"42","ORCC",2019-09-16,16.530001,17.09,16.5,16.98,626800,13.166637
"43","ORCC",2019-09-17,17.200001,17.25,16.84,16.950001,200600,13.143377
"44","ORCC",2019-09-18,16.93,17.799999,16.907,17.700001,476600,13.724943
"45","ORCC",2019-09-19,17.93,18.09,17.66,18.040001,624500,13.988585
"46","ORCC",2019-09-20,18.07,18.15,16.84,16.889999,1377500,13.09685
"47","ORCC",2019-09-23,16.92,17.26,16.129999,16.129999,284300,12.50753
"48","ORCC",2019-09-24,16.17,16.48,16.17,16.35,150800,12.678123
"49","ORCC",2019-09-25,16.48,16.826,16.440001,16.6,130200,12.871981
"50","ORCC",2019-09-26,16.559999,16.715,16.25,16.290001,203600,12.631599
"51","ORCC",2019-09-27,16.09,16.365999,15.85,15.94,537500,12.61577
"52","ORCC",2019-09-30,15.96,16.01,15.67,15.77,468500,12.481224
"53","ORCC",2019-10-01,16.27,16.27,15.67,15.73,189300,12.449564
"54","ORCC",2019-10-02,15.72,16.01,15.57,15.95,291600,12.623685
"55","ORCC",2019-10-03,15.95,16.16,15.82,16.129999,106900,12.766145
"56","ORCC",2019-10-04,16.1,16.33,16.030001,16.26,258000,12.869036
"57","ORCC",2019-10-07,16.299999,16.43,15.9,16.35,135600,12.940266
"58","ORCC",2019-10-08,16.299999,16.42,16.1,16.16,107100,12.789889
"59","ORCC",2019-10-09,16.290001,16.49,16.110001,16.309999,106800,12.908607
"60","ORCC",2019-10-10,16.379999,16.84,16.35,16.73,122200,13.241017
"61","ORCC",2019-10-11,17.23,17.35,16.690001,16.709999,150700,13.225187
"62","ORCC",2019-10-14,17.209999,17.209999,16.673,16.91,117000,13.383479
"63","ORCC",2019-10-15,16.950001,17.190001,16.709999,16.950001,150100,13.415138
"64","ORCC",2019-10-16,17.08,17.200001,16.809999,16.969999,152100,13.430965
"65","ORCC",2019-10-17,17.02,17.25,16.950001,16.99,250100,13.446795
"66","ORCC",2019-10-18,16.99,17.09,16.85,16.959999,139500,13.423051
"67","ORCC",2019-10-21,17.049999,17.084999,16.85,16.860001,85400,13.343907
"68","ORCC",2019-10-22,16.84,17.200001,16.541,17.02,203300,13.470541
"69","ORCC",2019-10-23,17.02,17.280001,16.93,17,156000,13.454711
"70","ORCC",2019-10-24,16.950001,17.097,16.91,16.98,159600,13.43888
"71","ORCC",2019-10-25,16.91,16.99,16.629999,16.639999,99700,13.169787
