"","symbol","date","open","high","low","close","volume","adjusted"
"1","ORCL",2016-01-04,36.009998,36.009998,35.360001,35.75,18784400,32.46236
"2","ORCL",2016-01-05,35.860001,36.119999,35.490002,35.639999,25340700,32.362465
"3","ORCL",2016-01-06,35.5,36.139999,35.360001,35.82,18165700,32.525921
"4","ORCL",2016-01-07,35.25,35.68,34.880001,35.040001,22591400,31.817665
"5","ORCL",2016-01-08,35.130001,35.279999,34.610001,34.650002,21962200,31.463531
"6","ORCL",2016-01-11,34.75,35.119999,34.52,34.939999,18726600,31.726847
"7","ORCL",2016-01-12,35.32,35.549999,34.990002,35.369999,18457300,32.117313
"8","ORCL",2016-01-13,35.189999,35.400002,33.869999,34.080002,28322900,30.945944
"9","ORCL",2016-01-14,34.189999,35.09,34.009998,34.790001,19523600,31.590647
"10","ORCL",2016-01-15,33.799999,34.509998,33.66,34.119999,25425000,30.982269
"11","ORCL",2016-01-19,34.540001,34.75,34.240002,34.549999,21423100,31.372721
"12","ORCL",2016-01-20,33.880001,34.23,33.130001,33.939999,25278700,30.818819
"13","ORCL",2016-01-21,33.91,34.560001,33.59,34.119999,20380300,30.982269
"14","ORCL",2016-01-22,34.549999,34.990002,34.529999,34.799999,15892700,31.599733
"15","ORCL",2016-01-25,34.580002,34.939999,34.299999,34.34,16793600,31.182037
"16","ORCL",2016-01-26,34.32,35.23,34.119999,35.23,19728900,31.990183
"17","ORCL",2016-01-27,35.029999,35.549999,34.73,34.91,20567600,31.69961
"18","ORCL",2016-01-28,35.169998,35.549999,34.939999,35.330002,15472800,32.08099
"19","ORCL",2016-01-29,35.650002,36.310001,35.509998,36.310001,19059300,32.970871
"20","ORCL",2016-02-01,35.900002,36.540001,35.849998,36.32,14144000,32.979942
"21","ORCL",2016-02-02,35.849998,35.939999,35.25,35.349998,17404500,32.099152
"22","ORCL",2016-02-03,35.560001,35.790001,34.939999,35.689999,13855300,32.407871
"23","ORCL",2016-02-04,35.700001,36.540001,35.66,36.450001,16925900,33.097996
"24","ORCL",2016-02-05,36.130001,36.240002,35.369999,35.700001,17312200,32.416958
"25","ORCL",2016-02-08,35.130001,35.700001,34.48,35.610001,20118800,32.335239
"26","ORCL",2016-02-09,35.130001,35.610001,34.619999,35.080002,17819800,31.853981
"27","ORCL",2016-02-10,35.419998,36.139999,35.139999,35.200001,13368700,31.96295
"28","ORCL",2016-02-11,34.59,35.110001,34.470001,34.84,18889700,31.636049
"29","ORCL",2016-02-12,35.240002,35.549999,34.91,35.540001,15837900,32.271675
"30","ORCL",2016-02-16,35.759998,35.91,35.419998,35.700001,19676300,32.416958
"31","ORCL",2016-02-17,35.970001,36.77,35.970001,36.630001,13186500,33.261436
"32","ORCL",2016-02-18,36.709999,36.869999,36.400002,36.630001,12866600,33.261436
"33","ORCL",2016-02-19,36.52,36.790001,36.419998,36.779999,13203400,33.397644
"34","ORCL",2016-02-22,37.110001,37.490002,36.900002,37.110001,10109900,33.697292
"35","ORCL",2016-02-23,37.110001,37.110001,36.380001,36.549999,9417100,33.188801
"36","ORCL",2016-02-24,36.09,36.73,35.77,36.630001,10978200,33.261436
"37","ORCL",2016-02-25,36.790001,37.299999,36.5,37.290001,11566000,33.860748
"38","ORCL",2016-02-26,37.43,37.650002,36.84,36.959999,16551100,33.561089
"39","ORCL",2016-02-29,37,37.330002,36.630001,36.779999,22300200,33.397644
"40","ORCL",2016-03-01,37.150002,37.990002,37.040001,37.990002,13030800,34.496368
"41","ORCL",2016-03-02,37.759998,37.889999,37.43,37.759998,12791200,34.287521
"42","ORCL",2016-03-03,37.610001,37.91,37.400002,37.889999,8832200,34.405571
"43","ORCL",2016-03-04,38,38.16,37.77,37.889999,10638400,34.405571
"44","ORCL",2016-03-07,37.540001,38.450001,37.52,38.360001,13011000,34.832348
"45","ORCL",2016-03-08,38.110001,38.450001,37.939999,38.150002,12384400,34.641659
"46","ORCL",2016-03-09,38.43,38.610001,38.119999,38.48,16786500,34.941307
"47","ORCL",2016-03-10,38.77,38.77,37.509998,38.049999,17620600,34.550846
"48","ORCL",2016-03-11,38.450001,38.970001,38.279999,38.950001,13143300,35.368099
"49","ORCL",2016-03-14,38.91,38.939999,38.549999,38.700001,14704500,35.141083
"50","ORCL",2016-03-15,38.349998,38.869999,38.130001,38.740002,17502900,35.177402
"51","ORCL",2016-03-16,39.549999,40.950001,39.529999,40.220001,49082300,36.521297
"52","ORCL",2016-03-17,40.150002,40.959999,40.07,40.610001,22163500,36.875431
"53","ORCL",2016-03-18,40.869999,41.490002,40.650002,41.48,34354000,37.665432
"54","ORCL",2016-03-21,41.419998,42,41.369999,41.610001,17275100,37.78347
"55","ORCL",2016-03-22,41.32,41.75,41.189999,41.380001,11970500,37.574615
"56","ORCL",2016-03-23,41.299999,41.349998,40.57,40.75,13666800,37.002556
"57","ORCL",2016-03-24,40.599998,41.07,40.34,40.970001,11956200,37.202324
"58","ORCL",2016-03-28,41.110001,41.110001,40.560001,40.619999,14647000,36.884506
"59","ORCL",2016-03-29,40.41,40.799999,40.369999,40.700001,15159200,36.95715
"60","ORCL",2016-03-30,40.959999,41.110001,40.849998,40.970001,9803600,37.202324
"61","ORCL",2016-03-31,41.130001,41.240002,40.799999,40.91,10196500,37.147839
"62","ORCL",2016-04-01,40.68,41.220001,40.619999,41.16,9574100,37.374851
"63","ORCL",2016-04-04,41.150002,41.279999,40.900002,41.07,10243500,37.293133
"64","ORCL",2016-04-05,40.849998,41.060001,40.459999,40.529999,9111300,36.80278
"65","ORCL",2016-04-06,40.400002,40.790001,40.189999,40.75,12516200,37.002556
"66","ORCL",2016-04-07,40.59,40.59,39.810001,39.970001,12838600,36.294292
"67","ORCL",2016-04-08,40.130001,40.540001,40.130001,40.360001,8011000,36.648426
"68","ORCL",2016-04-11,40.59,41.080002,40.380001,40.389999,10399600,36.675667
"69","ORCL",2016-04-12,40.310001,40.52,39.990002,40.419998,9245000,36.839714
"70","ORCL",2016-04-13,40.82,41.389999,40.630001,41.310001,12752300,37.650883
"71","ORCL",2016-04-14,41.310001,41.459999,41.18,41.240002,9150500,37.587086
"72","ORCL",2016-04-15,41.119999,41.380001,41.02,41.02,10340300,37.386574
"73","ORCL",2016-04-18,40.84,41.25,40.799999,41.240002,8849300,37.587086
"74","ORCL",2016-04-19,41.41,41.490002,40.970001,41.060001,9884400,37.423027
"75","ORCL",2016-04-20,41.189999,41.389999,41.080002,41.099998,8481200,37.459488
"76","ORCL",2016-04-21,41.029999,41.299999,40.880001,40.990002,11954100,37.35923
"77","ORCL",2016-04-22,40.790001,41.43,40.669998,40.700001,15003300,37.094917
"78","ORCL",2016-04-25,40.59,40.830002,40.470001,40.779999,10876200,37.167835
"79","ORCL",2016-04-26,40.82,40.849998,40.43,40.650002,8365800,37.049347
"80","ORCL",2016-04-27,40.509998,41,40.509998,40.849998,8742100,37.231632
"81","ORCL",2016-04-28,40.360001,40.970001,40.169998,40.330002,9233800,36.757694
"82","ORCL",2016-04-29,40.169998,40.169998,39.369999,39.860001,12883300,36.329323
"83","ORCL",2016-05-02,39.900002,40.43,39.830002,40.299999,10454200,36.730347
"84","ORCL",2016-05-03,40.029999,40.110001,39.529999,39.68,11439600,36.165276
"85","ORCL",2016-05-04,39.389999,39.57,39.130001,39.290001,9046200,35.809807
"86","ORCL",2016-05-05,39.439999,39.459999,39.130001,39.23,8962700,35.755119
"87","ORCL",2016-05-06,38.970001,39.419998,38.970001,39.41,7587400,35.919178
"88","ORCL",2016-05-09,39.34,39.73,39.220001,39.360001,7949400,35.873604
"89","ORCL",2016-05-10,39.580002,40.060001,39.580002,40.02,9290200,36.475147
"90","ORCL",2016-05-11,39.860001,40.080002,39.639999,39.650002,7180100,36.137913
"91","ORCL",2016-05-12,39.889999,40.029999,39.59,39.82,10006700,36.292866
"92","ORCL",2016-05-13,39.779999,40.080002,39.509998,39.610001,9392600,36.101463
"93","ORCL",2016-05-16,39.77,40.099998,39.459999,39.970001,7797100,36.429577
"94","ORCL",2016-05-17,39.799999,40.02,39.470001,39.599998,9483700,36.092354
"95","ORCL",2016-05-18,39.59,39.799999,39.16,39.470001,10379700,35.973869
"96","ORCL",2016-05-19,39.16,39.240002,38.560001,38.84,15124400,35.399666
"97","ORCL",2016-05-20,39.080002,39.580002,38.950001,39.41,16153200,35.919178
"98","ORCL",2016-05-23,39.310001,39.439999,39.139999,39.18,8904800,35.709545
"99","ORCL",2016-05-24,39.419998,40.080002,39.25,39.900002,11329800,36.365784
"100","ORCL",2016-05-25,40.049999,40.290001,40.049999,40.130001,7972200,36.575405
"101","ORCL",2016-05-26,40.110001,40.200001,39.919998,39.950001,7574000,36.411339
"102","ORCL",2016-05-27,39.830002,40.080002,39.799999,40.07,8240600,36.520718
"103","ORCL",2016-05-31,40.080002,40.220001,39.950001,40.200001,12567400,36.639206
"104","ORCL",2016-06-01,40.060001,40.299999,39.82,40.259998,9268800,36.693893
"105","ORCL",2016-06-02,38.700001,39.049999,38.080002,38.66,51063400,35.235607
"106","ORCL",2016-06-03,38.740002,39.209999,38.689999,39.099998,20740000,35.636639
"107","ORCL",2016-06-06,39.189999,39.639999,39.119999,39.439999,16116900,35.946518
"108","ORCL",2016-06-07,39.549999,39.740002,39.049999,39.130001,20009500,35.663979
"109","ORCL",2016-06-08,39.16,39.34,38.900002,39.279999,11671000,35.800705
"110","ORCL",2016-06-09,39.189999,39.209999,38.75,39.049999,12316100,35.591068
"111","ORCL",2016-06-10,38.779999,38.990002,38.610001,38.740002,10441700,35.308525
"112","ORCL",2016-06-13,38.5,38.889999,38.380001,38.619999,13036300,35.199158
"113","ORCL",2016-06-14,38.630001,38.98,38.57,38.830002,12092200,35.390556
"114","ORCL",2016-06-15,38.799999,38.919998,38.41,38.439999,14476100,35.035095
"115","ORCL",2016-06-16,38.360001,38.799999,38.080002,38.639999,17916500,35.217381
"116","ORCL",2016-06-17,39.490002,39.959999,38.919998,39.68,34512400,36.165276
"117","ORCL",2016-06-20,39.900002,40.349998,39.700001,39.73,17149200,36.210835
"118","ORCL",2016-06-21,39.93,40.119999,39.75,39.990002,20111100,36.447811
"119","ORCL",2016-06-22,40.150002,40.34,39.869999,40.009998,12643400,36.46603
"120","ORCL",2016-06-23,40.400002,40.869999,40.259998,40.830002,15430000,37.213398
