"","symbol","date","open","high","low","close","volume","adjusted"
"1","ORMP",2016-01-04,8.5,8.54,8.25,8.49,45200,8.49
"2","ORMP",2016-01-05,8.56,8.72,8.36,8.53,32300,8.53
"3","ORMP",2016-01-06,8.26,8.53,8.23,8.25,58500,8.25
"4","ORMP",2016-01-07,8.04,8.15,7.5,7.56,115400,7.56
"5","ORMP",2016-01-08,7.83,7.95,7.01,7.14,110700,7.14
"6","ORMP",2016-01-11,7.07,7.36,6.69,7.19,112600,7.19
"7","ORMP",2016-01-12,7.26,7.49,7,7.06,37800,7.06
"8","ORMP",2016-01-13,7.05,7.05,6.5,6.77,84600,6.77
"9","ORMP",2016-01-14,6.71,6.87,6.39,6.78,85900,6.78
"10","ORMP",2016-01-15,6.7,6.7,6.35,6.61,59200,6.61
"11","ORMP",2016-01-19,6.68,6.92,6.35,6.44,35700,6.44
"12","ORMP",2016-01-20,6.25,6.44,5.6,6.2,209800,6.2
"13","ORMP",2016-01-21,5.9,6.39,5.87,6.11,32800,6.11
"14","ORMP",2016-01-22,6.17,6.58,6.15,6.44,52200,6.44
"15","ORMP",2016-01-25,6.34,7.78,6.34,7.29,170800,7.29
"16","ORMP",2016-01-26,7.25,7.26,6.79,7.06,32900,7.06
"17","ORMP",2016-01-27,7.06,7.15,6.56,6.79,35800,6.79
"18","ORMP",2016-01-28,6.82,6.82,6.26,6.29,59900,6.29
"19","ORMP",2016-01-29,6.35,6.59,6.34,6.4,30000,6.4
"20","ORMP",2016-02-01,6.39,6.39,6.05,6.29,39300,6.29
"21","ORMP",2016-02-02,6.26,6.27,5.95,6.02,18300,6.02
"22","ORMP",2016-02-03,5.97,6.16,5.69,5.78,115000,5.78
"23","ORMP",2016-02-04,5.93,7.5,5.93,6.27,60500,6.27
"24","ORMP",2016-02-05,6.35,6.37,6.05,6.09,27300,6.09
"25","ORMP",2016-02-08,6.07,6.07,5.77,6.03,53500,6.03
"26","ORMP",2016-02-09,5.95,5.99,5.81,5.93,22700,5.93
"27","ORMP",2016-02-10,6.03,6.11,5.85,5.85,30400,5.85
"28","ORMP",2016-02-11,5.75,6,5.75,5.95,36500,5.95
"29","ORMP",2016-02-12,6,6.22,5.92,6.14,29700,6.14
"30","ORMP",2016-02-16,6.22,6.69,6.22,6.58,46100,6.58
"31","ORMP",2016-02-17,6.67,6.96,6.6,6.84,30400,6.84
"32","ORMP",2016-02-18,6.89,6.94,6.58,6.85,28700,6.85
"33","ORMP",2016-02-19,6.85,7,6.46,6.99,38600,6.99
"34","ORMP",2016-02-22,7.34,7.45,7.27,7.4,50700,7.4
"35","ORMP",2016-02-23,7.4,7.42,6.8,7.09,29300,7.09
"36","ORMP",2016-02-24,6.98,7.24,6.69,7.09,32900,7.09
"37","ORMP",2016-02-25,7.08,7.31,6.81,7.02,16100,7.02
"38","ORMP",2016-02-26,7.01,7.2,7,7.1,24900,7.1
"39","ORMP",2016-02-29,7.05,7.22,6.95,7.09,28900,7.09
"40","ORMP",2016-03-01,7.21,7.21,6.67,6.79,119300,6.79
"41","ORMP",2016-03-02,6.78,7.1,6.71,6.81,84200,6.81
"42","ORMP",2016-03-03,6.8,6.98,6.52,6.61,34200,6.61
"43","ORMP",2016-03-04,6.67,6.89,6.4,6.51,24300,6.51
"44","ORMP",2016-03-07,6.46,6.77,6.4,6.67,21000,6.67
"45","ORMP",2016-03-08,6.6,6.63,6.47,6.53,31600,6.53
"46","ORMP",2016-03-09,6.55,6.75,6.54,6.61,11900,6.61
"47","ORMP",2016-03-10,6.65,6.87,6.37,6.43,32900,6.43
"48","ORMP",2016-03-11,6.54,6.68,6.34,6.6,10600,6.6
"49","ORMP",2016-03-14,6.73,6.86,6.69,6.84,21100,6.84
"50","ORMP",2016-03-15,6.83,7.04,6.44,6.66,37000,6.66
"51","ORMP",2016-03-16,6.71,6.71,6.38,6.38,27300,6.38
"52","ORMP",2016-03-17,6.37,6.44,6.2,6.21,34300,6.21
"53","ORMP",2016-03-18,6.2,6.2,6.06,6.17,29300,6.17
"54","ORMP",2016-03-21,6.41,6.62,6.16,6.62,30300,6.62
"55","ORMP",2016-03-22,6.69,6.69,6.47,6.51,10200,6.51
