"","symbol","date","open","high","low","close","volume","adjusted"
"1","OSK",2016-01-04,38.279999,39.240002,38.02,38.98,981100,35.677586
"2","OSK",2016-01-05,38.98,39.110001,37.509998,37.580002,1088300,34.396202
"3","OSK",2016-01-06,36.82,37.060001,36.240002,36.68,1032900,33.572445
"4","OSK",2016-01-07,35.84,36.369999,35.299999,35.470001,706300,32.464958
"5","OSK",2016-01-08,35.68,35.709999,34.75,34.810001,761100,31.860872
"6","OSK",2016-01-11,34.939999,35.220001,33.970001,34.580002,687200,31.650358
"7","OSK",2016-01-12,35.080002,35.209999,34.02,34.75,768000,31.805954
"8","OSK",2016-01-13,35.099998,35.549999,33.740002,33.939999,828800,31.064585
"9","OSK",2016-01-14,33.970001,34.299999,32.790001,33.970001,826700,31.092047
"10","OSK",2016-01-15,32.709999,34.23,32.560001,34.23,1252300,31.330017
"11","OSK",2016-01-19,34.619999,34.630001,33.119999,33.790001,1154500,30.927286
"12","OSK",2016-01-20,32.880001,33.389999,31.02,32.889999,1632300,30.103531
"13","OSK",2016-01-21,32.93,33.709999,32.360001,32.790001,901400,30.012005
"14","OSK",2016-01-22,33.700001,34.580002,33.150002,33.669998,913200,30.817446
"15","OSK",2016-01-25,33.189999,33.419998,32.380001,32.790001,1208900,30.012005
"16","OSK",2016-01-26,33.450001,35.75,33,34.59,2476400,31.659506
"17","OSK",2016-01-27,34.610001,35.07,33.43,33.73,1201100,30.87237
"18","OSK",2016-01-28,30.309999,32.27,29.59,31.23,4266500,28.584167
"19","OSK",2016-01-29,32,33.279999,31.559999,32.93,2090900,30.14015
"20","OSK",2016-02-01,32.130001,32.18,30.059999,31.469999,1678300,28.803844
"21","OSK",2016-02-02,30.959999,30.959999,30.34,30.68,1547000,28.080765
"22","OSK",2016-02-03,31.25,31.91,30.27,31.83,2801100,29.133337
"23","OSK",2016-02-04,32.25,33.669998,31.860001,32.880001,1241700,30.094389
"24","OSK",2016-02-05,32.580002,33.490002,32.490002,33.419998,1006900,30.588633
"25","OSK",2016-02-08,32.82,33.07,31.030001,31.709999,820300,29.0235
"26","OSK",2016-02-09,31.24,31.48,30.549999,31.049999,864800,28.41942
"27","OSK",2016-02-10,31.08,31.84,30.41,31.309999,999400,28.657394
"28","OSK",2016-02-11,30.459999,30.940001,29.75,30.33,628800,27.929914
"29","OSK",2016-02-12,31,32.470001,30.559999,32.009998,860600,29.476965
"30","OSK",2016-02-16,32.580002,33.57,31.950001,33.48,888400,30.830639
"31","OSK",2016-02-17,34.009998,34.889999,33.799999,34.259998,813600,31.548914
"32","OSK",2016-02-18,34.419998,34.849998,33.82,34.650002,950900,31.908049
"33","OSK",2016-02-19,33.830002,34.73,33.830002,34.27,1655400,31.558126
"34","OSK",2016-02-22,35.169998,35.98,34.790001,34.950001,771100,32.184319
"35","OSK",2016-02-23,34.75,35.16,33.630001,33.709999,885200,31.04244
"36","OSK",2016-02-24,33.130001,33.82,32.529999,33.779999,1027900,31.106899
"37","OSK",2016-02-25,33.959999,34.32,32.73,33.709999,901300,31.04244
"38","OSK",2016-02-26,34.169998,34.169998,33.060001,33.740002,1383300,31.070065
"39","OSK",2016-02-29,33.810001,34.669998,33.68,34.5,1343000,31.769928
"40","OSK",2016-03-01,34.75,35.720001,33.860001,35.220001,1068600,32.432949
"41","OSK",2016-03-02,35.130001,35.639999,34.48,35.34,701900,32.543453
"42","OSK",2016-03-03,35.240002,36.599998,34.84,36.52,658200,33.630085
"43","OSK",2016-03-04,36.639999,37.630001,36.07,37.240002,929400,34.293106
"44","OSK",2016-03-07,37.27,38.220001,37.139999,38.169998,1007700,35.149506
"45","OSK",2016-03-08,37.599998,37.790001,36.450001,36.900002,586300,33.980015
"46","OSK",2016-03-09,37.189999,37.310001,36.459999,36.77,379300,33.860298
"47","OSK",2016-03-10,36.77,36.889999,35.919998,36.59,401400,33.69453
"48","OSK",2016-03-11,37,37.48,36.830002,37.110001,858100,34.173389
"49","OSK",2016-03-14,36.889999,37.32,36.34,37.23,628900,34.28389
"50","OSK",2016-03-15,36.720001,37.610001,36.459999,37.560001,779500,34.587784
"51","OSK",2016-03-16,37.450001,38.93,37.290001,38.68,982100,35.619152
"52","OSK",2016-03-17,39.009998,39.490002,38.650002,39.369999,762700,36.254551
"53","OSK",2016-03-18,39.330002,40.610001,39.330002,40.599998,1255800,37.387211
"54","OSK",2016-03-21,40.52,40.689999,39.720001,40.290001,496600,37.101757
"55","OSK",2016-03-22,39.869999,40.529999,39.759998,40.189999,453300,37.009663
"56","OSK",2016-03-23,40.029999,40.119999,38.959999,39.09,401300,35.996708
"57","OSK",2016-03-24,38.77,40.689999,38.389999,40.32,731800,37.129368
"58","OSK",2016-03-28,40.360001,40.849998,40.02,40.470001,551100,37.267506
"59","OSK",2016-03-29,40.240002,41.099998,39.779999,41.049999,571600,37.801605
"60","OSK",2016-03-30,41.540001,41.540001,40.639999,40.849998,674000,37.617432
"61","OSK",2016-03-31,40.779999,41.25,40.419998,40.869999,581600,37.635849
"62","OSK",2016-04-01,40.25,40.25,39.360001,40.049999,992500,36.880733
"63","OSK",2016-04-04,40.060001,40.610001,39.5,39.810001,836200,36.659733
"64","OSK",2016-04-05,39.310001,39.790001,38.98,39.32,621100,36.2085
"65","OSK",2016-04-06,39.330002,39.5,38.470001,39.259998,366500,36.153252
"66","OSK",2016-04-07,39.02,39.27,38.580002,38.790001,253900,35.720448
"67","OSK",2016-04-08,39.330002,40,39.009998,39.209999,313200,36.107216
"68","OSK",2016-04-11,39.549999,40.02,39.400002,39.48,364300,36.355843
"69","OSK",2016-04-12,39.48,40.189999,39.41,39.599998,689400,36.466347
"70","OSK",2016-04-13,40.049999,41.189999,39.740002,41,1157200,37.755562
"71","OSK",2016-04-14,41.130001,41.419998,39.889999,40.139999,1133200,36.963619
"72","OSK",2016-04-15,39.959999,40.400002,39.889999,40.200001,769200,37.018875
"73","OSK",2016-04-18,40,40.529999,39.830002,39.93,414300,36.770241
"74","OSK",2016-04-19,40.139999,40.459999,39.57,39.98,792200,36.816277
"75","OSK",2016-04-20,40.119999,40.330002,39.490002,39.5,651600,36.374264
"76","OSK",2016-04-21,39.52,39.93,38.59,39.5,860400,36.374264
"77","OSK",2016-04-22,39.5,40.369999,39.349998,40.040001,788800,36.871532
"78","OSK",2016-04-25,39.810001,40.110001,39.240002,39.41,689300,36.291393
"79","OSK",2016-04-26,39.75,39.889999,39.259998,39.689999,1542900,36.549236
"80","OSK",2016-04-27,39.849998,41.880001,39.610001,41.799999,1996600,38.492268
"81","OSK",2016-04-28,45.639999,48.41,43.52,47.360001,3720800,43.612282
"82","OSK",2016-04-29,48,49.709999,47.860001,48.849998,2279700,44.984367
"83","OSK",2016-05-02,48.849998,49.09,48.049999,48.830002,1237800,44.965961
"84","OSK",2016-05-03,48.040001,48.040001,46.669998,47.130001,1450000,43.400478
"85","OSK",2016-05-04,46.650002,46.98,45.459999,45.779999,1001700,42.157318
"86","OSK",2016-05-05,46.07,46.580002,45.599998,45.880001,587100,42.249393
"87","OSK",2016-05-06,45.57,46.639999,45.57,46.330002,428800,42.663788
"88","OSK",2016-05-09,45.970001,46.099998,45.349998,45.380001,413100,41.78896
"89","OSK",2016-05-10,45.400002,46.5,45.400002,46.119999,892100,42.470406
"90","OSK",2016-05-11,46.119999,46.360001,45.560001,45.75,568100,42.129681
"91","OSK",2016-05-12,45.919998,46.279999,45.200001,45.360001,429200,41.94474
"92","OSK",2016-05-13,45.209999,45.75,44.889999,45.16,337700,41.7598
"93","OSK",2016-05-16,45.5,46.220001,45.41,45.68,451200,42.24065
"94","OSK",2016-05-17,45.549999,46.380001,45.27,45.73,526100,42.286892
"95","OSK",2016-05-18,45.400002,46.48,45.119999,45.25,546000,41.843021
"96","OSK",2016-05-19,44.830002,45.439999,44.48,45.150002,321700,41.750561
"97","OSK",2016-05-20,45.470001,45.759998,45.200001,45.41,328900,41.990982
"98","OSK",2016-05-23,45.310001,45.869999,45.040001,45.349998,363400,41.935493
"99","OSK",2016-05-24,45.529999,46.02,45.279999,45.610001,414600,42.175926
"100","OSK",2016-05-25,45.98,46.25,45.709999,46,789400,42.536564
"101","OSK",2016-05-26,46.200001,47.290001,46.040001,46.040001,730100,42.57354
"102","OSK",2016-05-27,45.919998,46.43,45.48,45.990002,467700,42.527321
"103","OSK",2016-05-31,45.970001,46.369999,45.689999,45.91,860300,42.453335
"104","OSK",2016-06-01,45.91,46.240002,44.959999,46.18,527100,42.702999
"105","OSK",2016-06-02,46.110001,46.48,45.880001,46.23,730800,42.749241
"106","OSK",2016-06-03,46.389999,46.389999,45.5,46.07,508300,42.60128
"107","OSK",2016-06-06,46.23,47.27,46.029999,47,1041800,43.461269
"108","OSK",2016-06-07,47.080002,47.48,46.779999,46.779999,762900,43.257828
"109","OSK",2016-06-08,47.07,47.310001,46.799999,47.060001,416700,43.516747
"110","OSK",2016-06-09,46.610001,46.91,45.900002,46.700001,343600,43.183849
"111","OSK",2016-06-10,46.240002,46.470001,45.330002,45.560001,333800,42.129684
"112","OSK",2016-06-13,45.41,45.82,45.009998,45.110001,355300,41.71357
"113","OSK",2016-06-14,45,45.299999,44.389999,45.060001,429000,41.667328
"114","OSK",2016-06-15,45.330002,45.990002,44.98,45.139999,314400,41.741306
"115","OSK",2016-06-16,44.84,45.529999,44.540001,45.439999,357900,42.018719
"116","OSK",2016-06-17,45.540001,47.77,45.209999,47.41,1541500,43.840393
"117","OSK",2016-06-20,48,48.869999,47.860001,48.470001,889500,44.820591
"118","OSK",2016-06-21,48.419998,48.540001,47.869999,47.970001,629400,44.358246
"119","OSK",2016-06-22,48.130001,48.32,47.57,47.73,501700,44.136303
"120","OSK",2016-06-23,48.41,48.93,48.080002,48.639999,623300,44.977791
"121","OSK",2016-06-24,46.310001,47.209999,45.66,45.880001,587900,42.425587
"122","OSK",2016-06-27,45.080002,45.369999,44.009998,44.259998,951900,40.92757
"123","OSK",2016-06-28,45,46.150002,45,45.939999,924200,42.481075
"124","OSK",2016-06-29,46.709999,46.82,45.799999,46.43,619400,42.934181
"125","OSK",2016-06-30,46.59,47.740002,46.209999,47.709999,453100,44.117802
"126","OSK",2016-07-01,47.810001,48.400002,47.240002,47.57,368700,43.98835
"127","OSK",2016-07-05,47.18,47.220001,45.740002,46.389999,381000,42.89719
"128","OSK",2016-07-06,46.189999,46.189999,45.189999,46.060001,856800,42.592041
"129","OSK",2016-07-07,46.290001,47.25,46.169998,46.700001,700300,43.183849
"130","OSK",2016-07-08,47.240002,48.73,47.240002,48.66,684300,44.996281
"131","OSK",2016-07-11,48.66,49.389999,48.470001,48.549999,515600,44.894569
"132","OSK",2016-07-12,49.099998,49.560001,49.040001,49.240002,627700,45.532616
"133","OSK",2016-07-13,49.389999,49.41,48.23,48.509998,598000,44.857578
"134","OSK",2016-07-14,48.450001,49,48.029999,48.150002,793900,44.524677
"135","OSK",2016-07-15,48.560001,48.990002,48.32,48.689999,370200,45.024021
"136","OSK",2016-07-18,48.52,48.52,47.98,48,400600,44.385975
"137","OSK",2016-07-19,47.5,47.5,46.75,47.369999,734200,43.803406
"138","OSK",2016-07-20,47.330002,48.150002,46.849998,47.650002,450900,44.062336
"139","OSK",2016-07-21,48.68,48.919998,48.040001,48.860001,694300,45.181229
"140","OSK",2016-07-22,49,49.209999,48.27,48.950001,812200,45.264442
"141","OSK",2016-07-25,48.77,49.02,48.18,48.349998,615100,44.709621
"142","OSK",2016-07-26,48.599998,49.07,48.439999,48.799999,820800,45.125744
"143","OSK",2016-07-27,48.939999,49.09,48.509998,48.799999,905700,45.125744
"144","OSK",2016-07-28,50.400002,54.029999,49.98,53.650002,2030400,49.610569
"145","OSK",2016-07-29,54.310001,55.630001,54.310001,55.09,1659100,50.942146
"146","OSK",2016-08-01,55.080002,55.080002,53.619999,54.189999,1205500,50.109905
"147","OSK",2016-08-02,54.189999,54.5,53.220001,53.689999,814700,49.647568
"148","OSK",2016-08-03,53.599998,54.09,53.470001,53.84,522600,49.786263
"149","OSK",2016-08-04,53.75,54.209999,53.540001,53.599998,592600,49.564331
"150","OSK",2016-08-05,53.73,54.360001,53.580002,53.84,700200,49.786263
"151","OSK",2016-08-08,54.02,54.290001,53.52,53.869999,515200,49.814003
"152","OSK",2016-08-09,53.939999,54.150002,53.259998,53.32,410100,49.305408
"153","OSK",2016-08-10,53.549999,53.849998,53.23,53.369999,657700,49.351654
"154","OSK",2016-08-11,53.57,53.75,53.34,53.349998,522100,49.509407
"155","OSK",2016-08-12,53.209999,53.380001,52.639999,52.959999,276100,49.14748
"156","OSK",2016-08-15,53.110001,54.25,52.950001,53.970001,518300,50.084778
"157","OSK",2016-08-16,53.880001,54.099998,53.529999,53.540001,343300,49.685741
"158","OSK",2016-08-17,53.540001,53.540001,53.25,53.32,540100,49.481567
"159","OSK",2016-08-18,55,55.34,54.259998,54.540001,1203500,50.61375
"160","OSK",2016-08-19,54.099998,54.639999,54.080002,54.560001,609900,50.632305
"161","OSK",2016-08-22,54.310001,54.459999,53.810001,53.990002,225500,50.103348
"162","OSK",2016-08-23,54.650002,54.91,54.330002,54.5,569500,50.576622
"163","OSK",2016-08-24,54.419998,54.549999,53.900002,54.049999,324800,50.159027
"164","OSK",2016-08-25,54,54.5,53.779999,54.349998,564700,50.437424
"165","OSK",2016-08-26,54.580002,54.869999,54.169998,54.439999,537900,50.52095
"166","OSK",2016-08-29,54.450001,54.830002,54.150002,54.25,578000,50.344627
"167","OSK",2016-08-30,54.25,54.709999,54.02,54.290001,490700,50.381737
"168","OSK",2016-08-31,54.18,54.18,53.32,53.93,454900,50.047657
"169","OSK",2016-09-01,53.990002,54.110001,53.330002,54.009998,377500,50.121895
"170","OSK",2016-09-02,54.59,54.889999,54.299999,54.779999,938500,50.836472
"171","OSK",2016-09-06,55.07,55.43,54.779999,55.34,1000600,51.356155
"172","OSK",2016-09-07,55.369999,56.310001,55.240002,56.240002,895400,52.191364
"173","OSK",2016-09-08,56.16,56.27,55.799999,56.080002,499400,52.042892
"174","OSK",2016-09-09,55.66,56.889999,54.439999,54.439999,939700,50.52095
"175","OSK",2016-09-12,54,55.450001,54,55.32,738100,51.337593
"176","OSK",2016-09-13,54.709999,55.16,54,54.41,615200,50.493099
"177","OSK",2016-09-14,54.439999,55.25,54.27,54.93,630600,50.975666
"178","OSK",2016-09-15,54.900002,56.279999,54.639999,56.169998,724600,52.1264
"179","OSK",2016-09-16,55.59,56.669998,55.509998,55.900002,908900,51.875835
"180","OSK",2016-09-19,56.529999,57.75,56.450001,56.82,1019900,52.72961
"181","OSK",2016-09-20,57.369999,57.400002,56.099998,56.139999,827000,52.098564
"182","OSK",2016-09-21,56.43,56.759998,55.799999,56.330002,1233700,52.274883
"183","OSK",2016-09-22,57.16,57.240002,56.75,56.900002,634100,52.803856
"184","OSK",2016-09-23,54.299999,54.830002,50.77,50.880001,3991000,47.217228
"185","OSK",2016-09-26,51.560001,52.889999,51.5,52.419998,1973100,48.646358
"186","OSK",2016-09-27,52.27,53.509998,52.200001,53.419998,1226600,49.574371
"187","OSK",2016-09-28,53.93,54.52,53.59,54.450001,1326600,50.530228
"188","OSK",2016-09-29,54.5,55,54.02,54.34,1055100,50.428146
"189","OSK",2016-09-30,54.669998,56.540001,54.619999,56,1553000,51.968651
"190","OSK",2016-10-03,55.869999,56.330002,55.77,55.950001,1003200,51.922245
"191","OSK",2016-10-04,56.07,56.259998,55.09,55.369999,566900,51.383995
"192","OSK",2016-10-05,55.869999,56.529999,55.82,56.189999,805300,52.144966
"193","OSK",2016-10-06,55.830002,56.599998,55.82,56.040001,717600,52.005764
"194","OSK",2016-10-07,56.099998,56.290001,54.880001,54.91,954200,50.957108
"195","OSK",2016-10-10,55.34,55.810001,54.5,54.52,529800,50.595181
"196","OSK",2016-10-11,54.669998,54.82,53.490002,53.959999,704900,50.075497
"197","OSK",2016-10-12,53.740002,54.209999,53.57,53.66,313400,49.797089
"198","OSK",2016-10-13,53.07,53.52,52.490002,53.290001,417600,49.453728
"199","OSK",2016-10-14,53.91,54.18,52.700001,52.75,527600,48.952614
"200","OSK",2016-10-17,52.759998,53.200001,52.560001,52.959999,437100,49.14748
"201","OSK",2016-10-18,53.630001,53.66,52.540001,53.299999,448900,49.463013
"202","OSK",2016-10-19,53.419998,53.419998,52.560001,52.959999,530700,49.14748
"203","OSK",2016-10-20,52.779999,53.560001,52.59,52.889999,720600,49.082531
"204","OSK",2016-10-21,52.34,53.59,52,53.529999,478300,49.676445
"205","OSK",2016-10-24,54.25,54.25,52.75,53.099998,429100,49.277405
