"","symbol","date","open","high","low","close","volume","adjusted"
"1","OSUR",2016-01-04,6.35,6.43,5.98,6.35,1064000,6.35
"2","OSUR",2016-01-05,6.35,6.58,6.3,6.44,487300,6.44
"3","OSUR",2016-01-06,6.37,6.56,6.33,6.37,710500,6.37
"4","OSUR",2016-01-07,6.26,6.26,5.92,5.93,881300,5.93
"5","OSUR",2016-01-08,5.93,6.17,5.93,6.04,797000,6.04
"6","OSUR",2016-01-11,6.04,6.11,5.8,5.86,477200,5.86
"7","OSUR",2016-01-12,5.89,6.02,5.8,5.92,397100,5.92
"8","OSUR",2016-01-13,5.93,6.04,5.61,5.63,373600,5.63
"9","OSUR",2016-01-14,5.62,5.81,5.54,5.73,398300,5.73
"10","OSUR",2016-01-15,5.53,5.8,5.42,5.75,548900,5.75
"11","OSUR",2016-01-19,5.79,5.87,5.52,5.66,544800,5.66
"12","OSUR",2016-01-20,5.56,5.69,5.25,5.61,519500,5.61
"13","OSUR",2016-01-21,5.64,5.72,5.49,5.59,411400,5.59
"14","OSUR",2016-01-22,5.68,5.73,5.55,5.67,383000,5.67
"15","OSUR",2016-01-25,5.6,5.74,5.6,5.61,258400,5.61
"16","OSUR",2016-01-26,5.61,5.76,5.46,5.68,270100,5.68
"17","OSUR",2016-01-27,5.62,5.74,5.45,5.47,325100,5.47
"18","OSUR",2016-01-28,5.5,5.6,5.09,5.18,855300,5.18
"19","OSUR",2016-01-29,5.21,5.5,5.21,5.47,487200,5.47
"20","OSUR",2016-02-01,5.45,5.45,5.29,5.35,306100,5.35
"21","OSUR",2016-02-02,5.3,5.41,5.25,5.39,447600,5.39
"22","OSUR",2016-02-03,5.42,5.5,5.2,5.5,408100,5.5
"23","OSUR",2016-02-04,6.68,6.77,6.01,6.18,2495900,6.18
"24","OSUR",2016-02-05,6.22,6.29,5.9,6.06,798000,6.06
"25","OSUR",2016-02-08,6.03,6.46,5.95,6.44,1131500,6.44
"26","OSUR",2016-02-09,6.38,6.69,6.16,6.56,762700,6.56
"27","OSUR",2016-02-10,6.58,6.75,6.28,6.29,1107100,6.29
"28","OSUR",2016-02-11,6.2,6.39,6.11,6.26,443900,6.26
