"","symbol","date","open","high","low","close","volume","adjusted"
"1","OTIC",2016-01-04,27.15,27.23,25.700001,26.030001,195300,26.030001
"2","OTIC",2016-01-05,26.18,26.459999,24.379999,24.4,153500,24.4
"3","OTIC",2016-01-06,22.9,23,20.610001,21.049999,427300,21.049999
"4","OTIC",2016-01-07,19.67,21.459999,19.5,21.09,1708500,21.09
"5","OTIC",2016-01-08,21.09,21.225,19.719999,20.16,621400,20.16
"6","OTIC",2016-01-11,20.110001,20.469999,17.68,18.610001,832800,18.610001
"7","OTIC",2016-01-12,18.91,20.940001,18.190001,18.92,524800,18.92
"8","OTIC",2016-01-13,19.02,19.49,17.309999,17.6,516300,17.6
"9","OTIC",2016-01-14,17.620001,18.15,16.940001,17.73,651200,17.73
"10","OTIC",2016-01-15,17.190001,17.290001,16.52,17.07,472700,17.07
"11","OTIC",2016-01-19,17.459999,17.459999,16.219999,16.67,244900,16.67
"12","OTIC",2016-01-20,16.25,17.51,15.5,17.110001,269700,17.110001
"13","OTIC",2016-01-21,17.02,17.549999,15.96,16.18,244900,16.18
"14","OTIC",2016-01-22,16.4,16.98,15.96,16.809999,179400,16.809999
"15","OTIC",2016-01-25,16.709999,17.370001,16.16,16.34,235700,16.34
"16","OTIC",2016-01-26,16.389999,16.77,15.565,16.08,268400,16.08
"17","OTIC",2016-01-27,16.08,16.209999,15,15.1,549000,15.1
"18","OTIC",2016-01-28,15.37,15.69,14.24,14.34,636700,14.34
"19","OTIC",2016-01-29,14.25,15.16,14.009,14.92,894100,14.92
"20","OTIC",2016-02-01,14.96,15.62,14.64,15.5,258900,15.5
"21","OTIC",2016-02-02,15.4,15.88,14.56,14.84,370100,14.84
"22","OTIC",2016-02-03,14.86,14.967,13.45,14.14,331600,14.14
"23","OTIC",2016-02-04,14.02,14.61,13.65,14.05,246300,14.05
"24","OTIC",2016-02-05,13.92,14.18,13.63,13.8,272900,13.8
"25","OTIC",2016-02-08,13.6,13.66,12.49,12.97,383700,12.97
"26","OTIC",2016-02-09,12.76,13.77,12.17,12.79,211700,12.79
"27","OTIC",2016-02-10,12.88,14.02,12.67,13.2,992300,13.2
"28","OTIC",2016-02-11,12.86,14.09,12.76,13.96,315300,13.96
"29","OTIC",2016-02-12,14.12,14.42,13.64,14.33,203800,14.33
"30","OTIC",2016-02-16,14.5,14.95,14,14.51,191000,14.51
"31","OTIC",2016-02-17,14.52,14.97,14.28,14.91,346900,14.91
"32","OTIC",2016-02-18,15.06,15.19,14.15,14.45,349800,14.45
"33","OTIC",2016-02-19,14.35,14.95,13.99,14.68,134100,14.68
"34","OTIC",2016-02-22,14.91,15.41,14.7,14.85,213600,14.85
"35","OTIC",2016-02-23,14.75,15.1,14.38,14.44,331800,14.44
"36","OTIC",2016-02-24,14.22,14.57,13.83,14.53,176800,14.53
"37","OTIC",2016-02-25,14.5,14.62,13.65,13.73,442200,13.73
"38","OTIC",2016-02-26,13.72,14.205,13.56,13.71,231800,13.71
"39","OTIC",2016-02-29,13.77,13.79,12.61,12.67,346000,12.67
"40","OTIC",2016-03-01,12.77,14.46,12.58,14.44,262500,14.44
"41","OTIC",2016-03-02,14.28,14.87,13.17,14.72,256300,14.72
"42","OTIC",2016-03-03,14.75,15.06,14.53,14.92,210000,14.92
"43","OTIC",2016-03-04,14.93,16.209999,14.73,16.01,281200,16.01
"44","OTIC",2016-03-07,15.97,16.799999,15.55,16.379999,231700,16.379999
"45","OTIC",2016-03-08,16.709999,17.02,15.7,15.84,325300,15.84
"46","OTIC",2016-03-09,15.81,16.08,14.65,15.64,243800,15.64
"47","OTIC",2016-03-10,15.81,16.42,15,15.48,224300,15.48
"48","OTIC",2016-03-11,15.74,16.440001,15.35,16.17,267900,16.17
"49","OTIC",2016-03-14,16.190001,16.51,15.87,16.1,188200,16.1
"50","OTIC",2016-03-15,15.92,15.92,14.77,14.85,155200,14.85
"51","OTIC",2016-03-16,14.66,15.06,14.09,14.45,151500,14.45
"52","OTIC",2016-03-17,14.41,14.67,13.64,14.14,206400,14.14
"53","OTIC",2016-03-18,14.26,14.931,13.79,14.83,545700,14.83
"54","OTIC",2016-03-21,14.83,15.68,14.83,15.04,189000,15.04
"55","OTIC",2016-03-22,14.95,15.58,14.92,15.18,108900,15.18
"56","OTIC",2016-03-23,15.11,15.33,14.16,14.29,322500,14.29
"57","OTIC",2016-03-24,14.14,14.38,12.97,13.54,277800,13.54
"58","OTIC",2016-03-28,13.51,13.84,13.04,13.45,136300,13.45
"59","OTIC",2016-03-29,13.34,14.88,12.89,14.82,451600,14.82
"60","OTIC",2016-03-30,15.02,15.795,14.69,14.79,253500,14.79
"61","OTIC",2016-03-31,14.73,15.53,14.38,14.92,450000,14.92
"62","OTIC",2016-04-01,14.85,16.23,14.65,16.139999,220200,16.139999
"63","OTIC",2016-04-04,16.23,16.629999,15.96,16.18,192300,16.18
"64","OTIC",2016-04-05,16.01,16.389999,15.335,16.02,221100,16.02
"65","OTIC",2016-04-06,16.07,17.530001,16.07,17.459999,381800,17.459999
"66","OTIC",2016-04-07,17.26,17.530001,16.24,16.67,167600,16.67
"67","OTIC",2016-04-08,16.870001,16.870001,15.7,16.129999,180300,16.129999
"68","OTIC",2016-04-11,16.16,16.549999,15.72,15.9,153300,15.9
"69","OTIC",2016-04-12,15.79,16.450001,15.79,16.23,121400,16.23
"70","OTIC",2016-04-13,16.35,17.08,16.049999,16.879999,114400,16.879999
"71","OTIC",2016-04-14,16.879999,17.17,16.610001,17.01,91000,17.01
"72","OTIC",2016-04-15,16.940001,17.405001,16.719999,17.32,134700,17.32
"73","OTIC",2016-04-18,17.059999,17.605,16.85,17.5,103600,17.5
"74","OTIC",2016-04-19,17.559999,17.559999,16.290001,16.74,80400,16.74
"75","OTIC",2016-04-20,16.809999,16.895,16.15,16.75,129600,16.75
"76","OTIC",2016-04-21,16.74,17.280001,16.690001,17.01,154700,17.01
"77","OTIC",2016-04-22,17.02,17.280001,16.58,16.98,80500,16.98
"78","OTIC",2016-04-25,16.879999,17.125,15.97,16.02,283500,16.02
"79","OTIC",2016-04-26,16.040001,16.643,15.28,16.129999,157100,16.129999
"80","OTIC",2016-04-27,16.030001,16.337999,15.44,15.55,76300,15.55
"81","OTIC",2016-04-28,15.42,15.68,14.545,14.62,192700,14.62
"82","OTIC",2016-04-29,14.53,15.46,14.02,14.26,134700,14.26
"83","OTIC",2016-05-02,14.4,14.42,13.78,13.96,210500,13.96
"84","OTIC",2016-05-03,13.96,14.72,13.595,13.84,306100,13.84
"85","OTIC",2016-05-04,13.67,13.75,12.85,13.02,372800,13.02
"86","OTIC",2016-05-05,13.08,13.08,12.52,12.68,170700,12.68
"87","OTIC",2016-05-06,12.55,12.9,12,12.14,240200,12.14
"88","OTIC",2016-05-09,12.12,12.53,12.12,12.26,183200,12.26
"89","OTIC",2016-05-10,12.12,12.42,10.6,11.99,548300,11.99
"90","OTIC",2016-05-11,11.99,12.1,11.2,11.29,165500,11.29
"91","OTIC",2016-05-12,11.31,11.538,10.5,10.79,235400,10.79
"92","OTIC",2016-05-13,10.81,12.01,10.81,11.69,197400,11.69
"93","OTIC",2016-05-16,11.72,12.1,11.505,11.99,222700,11.99
"94","OTIC",2016-05-17,11.91,12.13,11.31,11.35,177700,11.35
"95","OTIC",2016-05-18,11.23,12.11,11.23,11.86,180500,11.86
"96","OTIC",2016-05-19,11.76,12.1,11.46,11.69,93100,11.69
"97","OTIC",2016-05-20,12.22,13.93,11.87,13.76,458100,13.76
"98","OTIC",2016-05-23,13.68,14.3,13.443,13.51,205800,13.51
"99","OTIC",2016-05-24,13.63,14.57,13.4,13.68,138200,13.68
"100","OTIC",2016-05-25,13.8,14.56,13.555,14.46,235300,14.46
"101","OTIC",2016-05-26,14.46,14.66,14.05,14.21,160100,14.21
"102","OTIC",2016-05-27,14.22,14.49,14.02,14.33,107800,14.33
"103","OTIC",2016-05-31,14.43,14.97,14.4,14.69,184500,14.69
"104","OTIC",2016-06-01,14.58,15.58,14.303,15.45,288100,15.45
"105","OTIC",2016-06-02,15.54,16.412001,15.47,16.379999,262200,16.379999
"106","OTIC",2016-06-03,16.26,16.459999,15.59,16.08,284100,16.08
"107","OTIC",2016-06-06,16.15,16.99,15.69,16.709999,209500,16.709999
"108","OTIC",2016-06-07,16.620001,16.870001,15.53,15.6,177200,15.6
"109","OTIC",2016-06-08,15.65,15.76,15.25,15.65,126000,15.65
"110","OTIC",2016-06-09,15.57,15.945,15.04,15.07,118100,15.07
"111","OTIC",2016-06-10,14.85,15.25,14.51,14.96,206500,14.96
"112","OTIC",2016-06-13,14.79,15.22,14.68,14.96,300200,14.96
"113","OTIC",2016-06-14,14.96,15.57,14.81,15.13,245200,15.13
"114","OTIC",2016-06-15,15.23,15.69,15.14,15.3,259000,15.3
"115","OTIC",2016-06-16,15.24,15.93,14.88,15.86,285000,15.86
"116","OTIC",2016-06-17,15.86,16.280001,14.84,14.98,414000,14.98
"117","OTIC",2016-06-20,15.16,15.97,14.96,15.37,147300,15.37
"118","OTIC",2016-06-21,15.41,15.42,14.65,15.2,178200,15.2
"119","OTIC",2016-06-22,15.18,15.62,14.8,15.01,157100,15.01
"120","OTIC",2016-06-23,15.2,16.379999,15,16.25,166600,16.25
