"","symbol","date","open","high","low","close","volume","adjusted"
"1","PCRX",2016-01-04,75,76.449997,72.419998,75.629997,847800,75.629997
"2","PCRX",2016-01-05,75.699997,76.75,73.650002,74.470001,659700,74.470001
"3","PCRX",2016-01-06,72.940002,75.779999,72.43,75.120003,804500,75.120003
"4","PCRX",2016-01-07,72.470001,72.470001,67.099998,67.540001,1904300,67.540001
"5","PCRX",2016-01-08,68.400002,69.449997,66.230003,67.559998,724600,67.559998
"6","PCRX",2016-01-11,68.18,68.470001,61.689999,63.549999,1151000,63.549999
"7","PCRX",2016-01-12,64.360001,66.760002,62.540001,64.839996,727900,64.839996
"8","PCRX",2016-01-13,64.919998,65.849998,61.02,61.389999,738100,61.389999
"9","PCRX",2016-01-14,62.060001,67.760002,58.849998,65.5,928600,65.5
"10","PCRX",2016-01-15,62.880001,67.580002,62.02,67.32,1158700,67.32
"11","PCRX",2016-01-19,67.730003,69.830002,65,66.620003,1619100,66.620003
"12","PCRX",2016-01-20,65.419998,70.860001,64.349998,68.660004,1482700,68.660004
"13","PCRX",2016-01-21,68.43,69.410004,64.650002,64.709999,947900,64.709999
"14","PCRX",2016-01-22,66.449997,66.629997,63.68,66.010002,997600,66.010002
"15","PCRX",2016-01-25,65.400002,68.32,64.190002,65.32,890100,65.32
"16","PCRX",2016-01-26,65.970001,66.68,63.700001,64.980003,512800,64.980003
"17","PCRX",2016-01-27,64.669998,66.32,63.080002,63.330002,827900,63.330002
"18","PCRX",2016-01-28,63.82,64,56.75,57.560001,1883100,57.560001
"19","PCRX",2016-01-29,57.650002,60,54.799999,59.419998,1774800,59.419998
"20","PCRX",2016-02-01,59.119999,64.300003,58.810001,63.84,1421300,63.84
"21","PCRX",2016-02-02,63.049999,64.790001,60.259998,61.48,629900,61.48
"22","PCRX",2016-02-03,62,63.189999,60.09,62.860001,547600,62.860001
"23","PCRX",2016-02-04,62.599998,65.059998,61.599998,64.220001,454700,64.220001
"24","PCRX",2016-02-05,63.810001,64.959999,61.389999,63.099998,592300,63.099998
"25","PCRX",2016-02-08,62.09,62.200001,56.720001,58.220001,775600,58.220001
"26","PCRX",2016-02-09,57.16,60.759998,56.18,57.700001,509200,57.700001
"27","PCRX",2016-02-10,58.459999,60.799999,57.5,57.919998,533100,57.919998
"28","PCRX",2016-02-11,56.48,56.759998,53.540001,56.279999,565300,56.279999
"29","PCRX",2016-02-12,57.049999,59.900002,55.290001,57.040001,458800,57.040001
"30","PCRX",2016-02-16,58.139999,60,57.029999,59.470001,575900,59.470001
"31","PCRX",2016-02-17,60,62.75,58,61.939999,643600,61.939999
"32","PCRX",2016-02-18,62.139999,62.380001,58.639999,60.169998,410700,60.169998
"33","PCRX",2016-02-19,59.860001,61.779999,59,61.43,564300,61.43
"34","PCRX",2016-02-22,62.5,64.18,61.580002,63.200001,910100,63.200001
"35","PCRX",2016-02-23,62.84,63.200001,59.91,60.389999,502200,60.389999
"36","PCRX",2016-02-24,59.560001,60.639999,57.59,59.610001,911800,59.610001
"37","PCRX",2016-02-25,55.049999,61.919998,55,57.259998,1422500,57.259998
"38","PCRX",2016-02-26,57.43,58.470001,51.5,56.02,2323800,56.02
"39","PCRX",2016-02-29,55.869999,55.889999,49.68,52.009998,1750800,52.009998
"40","PCRX",2016-03-01,51.950001,52.630001,50.049999,51.130001,1050500,51.130001
"41","PCRX",2016-03-02,50.869999,54.619999,50.060001,54.57,747700,54.57
"42","PCRX",2016-03-03,54.470001,55.240002,53.630001,54.25,491700,54.25
"43","PCRX",2016-03-04,54.43,55.450001,53.16,54.25,517500,54.25
"44","PCRX",2016-03-07,53.82,55.360001,52.919998,54.23,517300,54.23
"45","PCRX",2016-03-08,53.869999,54.689999,50,50.130001,578500,50.130001
"46","PCRX",2016-03-09,50.169998,50.959999,48.009998,50.68,927600,50.68
"47","PCRX",2016-03-10,51.279999,51.990002,49.700001,50.349998,483500,50.349998
"48","PCRX",2016-03-11,51.080002,52.740002,50.490002,52.380001,433100,52.380001
"49","PCRX",2016-03-14,52.380001,55.139999,51.66,54,683300,54
"50","PCRX",2016-03-15,53.360001,53.360001,49.91,50.27,816100,50.27
"51","PCRX",2016-03-16,50,52.080002,47.639999,48.240002,680400,48.240002
"52","PCRX",2016-03-17,48.34,48.5,44.150002,45.360001,1395500,45.360001
"53","PCRX",2016-03-18,45.630001,47.93,45.16,47.82,1055200,47.82
"54","PCRX",2016-03-21,47.57,49,47.139999,48.049999,490200,48.049999
"55","PCRX",2016-03-22,47.689999,51.16,47.689999,50.09,671800,50.09
"56","PCRX",2016-03-23,50.09,50.939999,48.48,48.66,755700,48.66
"57","PCRX",2016-03-24,48.130001,50,46.689999,48.709999,349600,48.709999
"58","PCRX",2016-03-28,49.09,49.5,46.310001,46.970001,818100,46.970001
"59","PCRX",2016-03-29,46.57,50.490002,46.060001,50.310001,775300,50.310001
"60","PCRX",2016-03-30,51.060001,52.869999,50.040001,50.860001,562300,50.860001
"61","PCRX",2016-03-31,50.740002,54.220001,50.200001,52.98,539000,52.98
"62","PCRX",2016-04-01,52.689999,55.049999,51.73,54.34,494100,54.34
"63","PCRX",2016-04-04,54.540001,57.5,54.27,55.509998,668400,55.509998
"64","PCRX",2016-04-05,55.029999,56.82,54.130001,56.169998,572900,56.169998
"65","PCRX",2016-04-06,56.439999,58.5,55.75,57.959999,707000,57.959999
"66","PCRX",2016-04-07,57.73,59.639999,57.259998,59.360001,636600,59.360001
"67","PCRX",2016-04-08,59.970001,61.860001,59.43,60.580002,607300,60.580002
"68","PCRX",2016-04-11,60.48,61.349998,58.810001,60.279999,679100,60.279999
"69","PCRX",2016-04-12,60.049999,61.84,59.130001,60.650002,781500,60.650002
"70","PCRX",2016-04-13,60.939999,64.099998,60.419998,64.040001,1304500,64.040001
"71","PCRX",2016-04-14,64.089996,65.260002,62.630001,64.32,781500,64.32
"72","PCRX",2016-04-15,63.939999,64.870003,63.220001,64.559998,365100,64.559998
"73","PCRX",2016-04-18,64.07,65.32,62.91,63.950001,482700,63.950001
"74","PCRX",2016-04-19,64.980003,65.639999,63.529999,64.110001,476200,64.110001
"75","PCRX",2016-04-20,64.360001,64.360001,59.540001,60.700001,1191500,60.700001
"76","PCRX",2016-04-21,60.91,62.740002,60.68,61.740002,819700,61.740002
"77","PCRX",2016-04-22,59.779999,62.5,59.779999,61.91,752200,61.91
"78","PCRX",2016-04-25,61.91,62.23,59.549999,60.060001,578900,60.060001
"79","PCRX",2016-04-26,59.950001,60.919998,58.349998,60.09,358800,60.09
"80","PCRX",2016-04-27,60.18,60.18,56.650002,57.189999,601200,57.189999
"81","PCRX",2016-04-28,57.16,57.639999,55.330002,55.549999,937300,55.549999
"82","PCRX",2016-04-29,55.389999,55.82,52.860001,54.110001,1273200,54.110001
"83","PCRX",2016-05-02,54.009998,55.540001,48.509998,50.509998,2805700,50.509998
"84","PCRX",2016-05-03,50.43,53.720001,50.169998,51.540001,1394200,51.540001
"85","PCRX",2016-05-04,50.509998,50.759998,47.560001,48.830002,1388400,48.830002
"86","PCRX",2016-05-05,49.049999,49.169998,46.75,47.889999,883900,47.889999
"87","PCRX",2016-05-06,47.48,47.849998,45.669998,47.360001,998200,47.360001
"88","PCRX",2016-05-09,47.790001,49.990002,47.790001,48.450001,772800,48.450001
"89","PCRX",2016-05-10,48.709999,50,47.290001,49.59,745500,49.59
"90","PCRX",2016-05-11,49.27,49.66,46.970001,47.040001,602200,47.040001
"91","PCRX",2016-05-12,47.299999,47.66,43.400002,43.759998,1214000,43.759998
"92","PCRX",2016-05-13,43.779999,44.549999,42.82,43.209999,909600,43.209999
"93","PCRX",2016-05-16,43.560001,45.259998,43.34,45.16,1494500,45.16
"94","PCRX",2016-05-17,45.099998,45.810001,43.970001,44.119999,568800,44.119999
"95","PCRX",2016-05-18,43.77,45.439999,42.849998,43.700001,983100,43.700001
"96","PCRX",2016-05-19,43.419998,44.360001,41.77,42.970001,664100,42.970001
"97","PCRX",2016-05-20,43.360001,44.099998,42.18,43.900002,746600,43.900002
"98","PCRX",2016-05-23,44.189999,44.98,42.77,43.459999,570000,43.459999
"99","PCRX",2016-05-24,43.599998,46.75,43.110001,46.02,1918500,46.02
"100","PCRX",2016-05-25,45.619999,45.619999,42.139999,43.439999,2189700,43.439999
"101","PCRX",2016-05-26,43.380001,44.060001,42.700001,43.700001,757300,43.700001
"102","PCRX",2016-05-27,44.169998,45.700001,43.849998,45.560001,719900,45.560001
"103","PCRX",2016-05-31,45.860001,47.599998,45.610001,46.509998,882800,46.509998
"104","PCRX",2016-06-01,46.27,48.09,46.009998,47.34,611800,47.34
"105","PCRX",2016-06-02,47.490002,48.59,46.810001,48.18,351100,48.18
"106","PCRX",2016-06-03,48.560001,48.560001,46.23,47.09,389400,47.09
"107","PCRX",2016-06-06,46.950001,48.619999,46.470001,48.400002,452000,48.400002
"108","PCRX",2016-06-07,47.93,48.369999,46.91,48.189999,464200,48.189999
"109","PCRX",2016-06-08,48.139999,48.139999,46.779999,47.040001,441200,47.040001
"110","PCRX",2016-06-09,46.619999,47.689999,45.220001,45.41,404400,45.41
"111","PCRX",2016-06-10,44.919998,45.299999,43.139999,44.07,609100,44.07
"112","PCRX",2016-06-13,43.759998,44.560001,42.970001,43.25,669500,43.25
"113","PCRX",2016-06-14,43.139999,43.66,41.509998,42.150002,506100,42.150002
"114","PCRX",2016-06-15,42.23,42.349998,40.169998,40.34,1083600,40.34
"115","PCRX",2016-06-16,40.150002,40.459999,39.009998,39.77,1438400,39.77
"116","PCRX",2016-06-17,39.68,40.240002,38.419998,38.599998,1187000,38.599998
"117","PCRX",2016-06-20,38.799999,39.68,37.610001,38.360001,1756800,38.360001
"118","PCRX",2016-06-21,38.709999,39.07,37.43,37.91,564000,37.91
"119","PCRX",2016-06-22,37.919998,39.049999,36.650002,37.93,875100,37.93
"120","PCRX",2016-06-23,38.41,40.080002,38.41,39.990002,1321900,39.990002
"121","PCRX",2016-06-24,38.139999,39.549999,38.139999,38.849998,670200,38.849998
"122","PCRX",2016-06-27,38.75,39.610001,37.369999,37.98,716900,37.98
"123","PCRX",2016-06-28,38.560001,40,38.139999,38.880001,843700,38.880001
"124","PCRX",2016-06-29,39.02,39.900002,36.5,38.009998,1227900,38.009998
"125","PCRX",2016-06-30,38.049999,38.330002,31.08,33.73,3174800,33.73
"126","PCRX",2016-07-01,33.82,35.240002,32.16,33.48,2689200,33.48
"127","PCRX",2016-07-05,33.32,35,32.48,33.490002,963800,33.490002
"128","PCRX",2016-07-06,33.119999,35.459999,32.98,35.209999,809200,35.209999
"129","PCRX",2016-07-07,35.150002,36.02,35.150002,35.860001,647000,35.860001
"130","PCRX",2016-07-08,35.939999,36.540001,35.66,36.389999,667400,36.389999
"131","PCRX",2016-07-11,36.439999,37.400002,36.040001,36.490002,541600,36.490002
