"","symbol","date","open","high","low","close","volume","adjusted"
"1","PEGA",2016-01-04,27.040001,27.309999,26.780001,27.059999,216500,26.721615
"2","PEGA",2016-01-05,27.08,27.530001,26.57,27.190001,186800,26.849985
"3","PEGA",2016-01-06,26.709999,27.18,26.610001,26.91,163100,26.573488
"4","PEGA",2016-01-07,26.48,26.540001,25.66,25.700001,226100,25.378622
"5","PEGA",2016-01-08,25.780001,26.200001,24.870001,24.9,205700,24.588627
"6","PEGA",2016-01-11,25.09,25.209999,24.57,24.82,342100,24.509624
"7","PEGA",2016-01-12,25.1,25.4,24.700001,25.23,259800,24.914497
"8","PEGA",2016-01-13,25.34,25.59,24.17,24.25,146000,23.946751
"9","PEGA",2016-01-14,24.299999,24.76,23.690001,24.389999,327400,24.084999
"10","PEGA",2016-01-15,23.73,24.34,23.52,24.16,189200,23.85788
"11","PEGA",2016-01-19,24.35,24.719999,23.440001,23.719999,260700,23.423382
"12","PEGA",2016-01-20,23.360001,24.35,23.09,24.1,211200,23.798632
"13","PEGA",2016-01-21,24.09,24.25,23.67,23.74,136800,23.443134
"14","PEGA",2016-01-22,24.02,24.4,23.959999,24.32,181500,24.015875
"15","PEGA",2016-01-25,24.18,24.360001,23.67,23.73,117800,23.433252
"16","PEGA",2016-01-26,23.889999,24.040001,23.48,23.82,134400,23.522127
"17","PEGA",2016-01-27,23.709999,23.83,23.1,23.16,120000,22.87038
"18","PEGA",2016-01-28,23.389999,23.389999,22.91,23.1,101900,22.811132
"19","PEGA",2016-01-29,23.24,23.66,23.24,23.5,158100,23.206125
"20","PEGA",2016-02-01,23.370001,23.959999,23.15,23.809999,238000,23.512251
"21","PEGA",2016-02-02,23.639999,23.639999,22.84,23.219999,302700,22.929628
"22","PEGA",2016-02-03,23.379999,24.02,22.6,23.950001,639700,23.650507
"23","PEGA",2016-02-04,23.780001,23.92,23.33,23.51,176100,23.216005
"24","PEGA",2016-02-05,23.370001,23.49,21,21.110001,475700,20.846018
"25","PEGA",2016-02-08,20.629999,21,20.379999,20.77,216000,20.510265
"26","PEGA",2016-02-09,20.51,21.129999,20.440001,20.620001,143300,20.36215
"27","PEGA",2016-02-10,20.780001,21.700001,20.690001,20.9,178500,20.638645
"28","PEGA",2016-02-11,20.610001,20.91,20.530001,20.73,173100,20.47077
"29","PEGA",2016-02-12,20.99,21.549999,20.83,21.280001,131300,21.013897
"30","PEGA",2016-02-16,21.57,22.93,21.49,21.66,160900,21.389139
"31","PEGA",2016-02-17,21.719999,23.35,21.530001,21.809999,516000,21.537266
"32","PEGA",2016-02-18,21.91,22.08,21.469999,21.5,376400,21.23114
"33","PEGA",2016-02-19,21.469999,22.219999,21.219999,21.85,330400,21.576765
"34","PEGA",2016-02-22,22.110001,22.43,22.040001,22.16,189700,21.882893
"35","PEGA",2016-02-23,22.09,22.35,21.92,22.120001,168800,21.843388
"36","PEGA",2016-02-24,21.93,23.040001,21.719999,22.93,481200,22.643263
"37","PEGA",2016-02-25,22.92,23.17,22.209999,23.110001,464400,22.821011
"38","PEGA",2016-02-26,24.75,25.32,24.049999,24.85,446400,24.539253
"39","PEGA",2016-02-29,25,25.26,24.26,24.35,340800,24.0455
"40","PEGA",2016-03-01,24.66,25.58,24.299999,25.57,358200,25.250246
"41","PEGA",2016-03-02,25.629999,25.65,25.190001,25.5,279600,25.181124
"42","PEGA",2016-03-03,25.389999,25.469999,25.120001,25.4,146000,25.082371
"43","PEGA",2016-03-04,25.440001,25.6,25.16,25.51,236900,25.190996
"44","PEGA",2016-03-07,25.34,25.85,25.280001,25.48,144900,25.161366
"45","PEGA",2016-03-08,25.24,25.6,25.17,25.290001,198000,24.973742
"46","PEGA",2016-03-09,25.450001,25.639999,24.959999,25.200001,152800,24.884871
"47","PEGA",2016-03-10,25.27,25.51,24.549999,24.84,179000,24.529375
"48","PEGA",2016-03-11,25.02,25.200001,24.780001,24.969999,214800,24.657749
"49","PEGA",2016-03-14,24.969999,25.15,24.879999,24.969999,267000,24.657749
"50","PEGA",2016-03-15,24.77,24.83,24.530001,24.66,165900,24.351627
"51","PEGA",2016-03-16,24.610001,25.049999,24.5,24.879999,198800,24.568878
"52","PEGA",2016-03-17,24.700001,25.08,24.65,24.959999,124600,24.647877
"53","PEGA",2016-03-18,25.110001,25.33,24.940001,25.07,224700,24.7565
"54","PEGA",2016-03-21,25,25.040001,24.629999,24.870001,152900,24.559004
"55","PEGA",2016-03-22,24.719999,24.969999,24.620001,24.780001,93100,24.470133
"56","PEGA",2016-03-23,24.75,24.790001,24.08,24.1,204400,23.798632
"57","PEGA",2016-03-24,24.01,24.59,23.799999,24.43,175800,24.1245
"58","PEGA",2016-03-28,24.6,24.6,24.200001,24.309999,90300,24.006001
"59","PEGA",2016-03-29,24.27,25,24.01,24.969999,181300,24.657749
"60","PEGA",2016-03-30,25,25.389999,24.790001,25.209999,170900,24.924694
"61","PEGA",2016-03-31,25.209999,25.6,25.139999,25.379999,184800,25.092764
"62","PEGA",2016-04-01,25.16,25.43,25.02,25.299999,148100,25.013674
"63","PEGA",2016-04-04,25.32,25.51,25.049999,25.18,97100,24.895037
"64","PEGA",2016-04-05,25,25.09,24.75,24.809999,138800,24.529221
"65","PEGA",2016-04-06,24.780001,24.99,24.75,24.92,85700,24.63798
"66","PEGA",2016-04-07,24.790001,24.889999,24.48,24.629999,214200,24.351259
"67","PEGA",2016-04-08,24.77,24.9,24.389999,24.6,132300,24.321596
"68","PEGA",2016-04-11,24.610001,24.959999,24.42,24.440001,100100,24.163404
"69","PEGA",2016-04-12,24.49,24.639999,24.110001,24.32,103000,24.044762
"70","PEGA",2016-04-13,24.5,25.030001,24.5,24.99,122800,24.707182
"71","PEGA",2016-04-14,24.91,24.91,24.68,24.700001,75700,24.42046
"72","PEGA",2016-04-15,24.57,25,24.57,24.83,82400,24.548996
"73","PEGA",2016-04-18,24.780001,26.43,24.780001,26.290001,423300,25.992474
"74","PEGA",2016-04-19,26.5,26.5,25.809999,26.129999,159700,25.834278
