"","symbol","date","open","high","low","close","volume","adjusted"
"1","PFGC",2016-01-04,22.74,23.129999,22,22.41,201400,22.41
"2","PFGC",2016-01-05,22.389999,22.629999,21.99,22.120001,243800,22.120001
"3","PFGC",2016-01-06,21.82,22.27,21.700001,21.76,163600,21.76
"4","PFGC",2016-01-07,21.530001,21.790001,20.919001,21.360001,405500,21.360001
"5","PFGC",2016-01-08,21.370001,21.68,20.799999,20.799999,297100,20.799999
"6","PFGC",2016-01-11,20.84,21.09,20.32,20.77,542200,20.77
"7","PFGC",2016-01-12,20.91,21.17,20.24,20.290001,331800,20.290001
"8","PFGC",2016-01-13,20.290001,21.219999,19.995001,20.51,237000,20.51
"9","PFGC",2016-01-14,20.549999,21.58,20.43,21.23,203700,21.23
"10","PFGC",2016-01-15,20.76,20.889999,20.18,20.85,279700,20.85
"11","PFGC",2016-01-19,21.02,21.35,20.809999,21.219999,158600,21.219999
"12","PFGC",2016-01-20,21.030001,22.25,20.780001,21.98,285000,21.98
"13","PFGC",2016-01-21,21.940001,22.25,21.280001,21.639999,326300,21.639999
"14","PFGC",2016-01-22,21.84,22.077999,21.6,21.99,188500,21.99
"15","PFGC",2016-01-25,21.879999,21.950001,21.200001,21.389999,155000,21.389999
"16","PFGC",2016-01-26,21.43,21.99,21.18,21.92,134800,21.92
"17","PFGC",2016-01-27,21.870001,22.049999,21.469999,21.6,134100,21.6
"18","PFGC",2016-01-28,21.66,22.25,21.504999,22.129999,195800,22.129999
"19","PFGC",2016-01-29,22.23,23.42,22.167999,23.4,238600,23.4
"20","PFGC",2016-02-01,23.209999,24.459999,23,24.41,298300,24.41
"21","PFGC",2016-02-02,24.23,25.1,23.959999,24.129999,261600,24.129999
"22","PFGC",2016-02-03,24.950001,25.459999,24.190001,24.57,297200,24.57
"23","PFGC",2016-02-04,24.82,25,23.25,23.639999,172500,23.639999
"24","PFGC",2016-02-05,23.610001,24,23.129999,23.219999,161600,23.219999
"25","PFGC",2016-02-08,23.059999,23.950001,23.059999,23.639999,176800,23.639999
"26","PFGC",2016-02-09,23.43,23.790001,23.059999,23.4,251400,23.4
"27","PFGC",2016-02-10,23.559999,23.73,22.73,22.84,187900,22.84
"28","PFGC",2016-02-11,22.59,22.74,21.549999,22.469999,157800,22.469999
"29","PFGC",2016-02-12,22.83,22.85,20.799999,21.530001,158300,21.530001
"30","PFGC",2016-02-16,21.73,22.530001,21.379999,22.459999,174200,22.459999
"31","PFGC",2016-02-17,22.49,22.49,21.33,22.33,242100,22.33
"32","PFGC",2016-02-18,22.309999,22.780001,22,22.610001,201800,22.610001
"33","PFGC",2016-02-19,22.66,22.879999,22.466,22.84,218000,22.84
"34","PFGC",2016-02-22,22.85,23.27,22.77,23.24,101300,23.24
"35","PFGC",2016-02-23,23.129999,23.309999,22.924999,23.110001,80900,23.110001
"36","PFGC",2016-02-24,22.9,23.969999,22.799999,23.83,69400,23.83
"37","PFGC",2016-02-25,23.93,24.209999,23.889999,24.030001,61100,24.030001
"38","PFGC",2016-02-26,24.049999,24.139999,23.66,24.08,70800,24.08
"39","PFGC",2016-02-29,24.190001,24.860001,23.9,24.73,89100,24.73
"40","PFGC",2016-03-01,24.91,24.91,23.9,24.120001,175400,24.120001
"41","PFGC",2016-03-02,24.049999,24.4,23.129999,23.41,137500,23.41
"42","PFGC",2016-03-03,24.040001,24.040001,22.950001,23.610001,158800,23.610001
"43","PFGC",2016-03-04,23.629999,24.59,23.33,24.129999,156600,24.129999
"44","PFGC",2016-03-07,24.17,24.27,23.719999,24.030001,117500,24.030001
"45","PFGC",2016-03-08,23.940001,24.110001,23.540001,23.6,115800,23.6
"46","PFGC",2016-03-09,23.23,24,23.200001,23.530001,168400,23.530001
"47","PFGC",2016-03-10,23.67,24.013,23.08,23.65,161500,23.65
"48","PFGC",2016-03-11,23.790001,23.790001,23,23.219999,138600,23.219999
"49","PFGC",2016-03-14,23.1,23.5,23.1,23.290001,103900,23.290001
"50","PFGC",2016-03-15,23.25,23.389999,22.65,22.91,109500,22.91
"51","PFGC",2016-03-16,22.76,23.41,22.76,23.25,129600,23.25
"52","PFGC",2016-03-17,23.049999,23.559999,22.98,23.23,128500,23.23
"53","PFGC",2016-03-18,23.370001,23.41,23.01,23.32,182200,23.32
"54","PFGC",2016-03-21,23.25,23.52,23.08,23.110001,93400,23.110001
"55","PFGC",2016-03-22,23.01,23.33,22.75,23.08,97800,23.08
"56","PFGC",2016-03-23,22.959999,23.129999,22.540001,22.57,177900,22.57
"57","PFGC",2016-03-24,22.530001,23.125,22.25,22.969999,82800,22.969999
"58","PFGC",2016-03-28,22.93,23.42,22.879999,23.219999,175300,23.219999
"59","PFGC",2016-03-29,23.219999,24.09,23.076,23.68,199000,23.68
"60","PFGC",2016-03-30,23.780001,24.299999,23.620001,23.99,233800,23.99
"61","PFGC",2016-03-31,23.594999,23.65,22.969999,23.35,133000,23.35
"62","PFGC",2016-04-01,23.1,23.540001,23.08,23.51,76100,23.51
"63","PFGC",2016-04-04,23.42,23.67,23.08,23.65,338100,23.65
"64","PFGC",2016-04-05,23.52,24.25,23.52,23.93,120500,23.93
"65","PFGC",2016-04-06,23.9,24.389999,23.9,24.35,64900,24.35
"66","PFGC",2016-04-07,24.200001,24.450001,23.389999,23.6,90100,23.6
"67","PFGC",2016-04-08,23.700001,23.959999,23.450001,23.959999,92400,23.959999
"68","PFGC",2016-04-11,24,24,23.309999,23.32,81700,23.32
"69","PFGC",2016-04-12,23.379999,23.940001,23.379999,23.67,58200,23.67
"70","PFGC",2016-04-13,23.75,24.34,23.65,24.299999,54700,24.299999
"71","PFGC",2016-04-14,24.280001,25.389999,24.120001,25.049999,191100,25.049999
"72","PFGC",2016-04-15,25.01,25.17,24.77,24.860001,92300,24.860001
"73","PFGC",2016-04-18,24.85,25.07,24.5,24.85,49600,24.85
"74","PFGC",2016-04-19,24.85,25.17,24.790001,24.809999,40200,24.809999
"75","PFGC",2016-04-20,24.790001,26.299999,24.790001,25.74,112500,25.74
"76","PFGC",2016-04-21,25.799999,25.799999,24.85,24.99,64500,24.99
"77","PFGC",2016-04-22,25.07,25.52,24.700001,25.290001,101800,25.290001
"78","PFGC",2016-04-25,25.290001,25.610001,25.139999,25.49,44100,25.49
"79","PFGC",2016-04-26,25.620001,26.040001,25.450001,25.98,140700,25.98
"80","PFGC",2016-04-27,26.07,26.18,25.52,26.049999,122200,26.049999
"81","PFGC",2016-04-28,26.049999,26.450001,25.860001,25.889999,91800,25.889999
"82","PFGC",2016-04-29,25.76,25.9,25.5,25.879999,65600,25.879999
"83","PFGC",2016-05-02,26.030001,26.266001,25.690001,25.99,132200,25.99
"84","PFGC",2016-05-03,25.85,26.43,25.67,25.85,176800,25.85
"85","PFGC",2016-05-04,25.860001,26.389999,25.77,26.059999,164000,26.059999
"86","PFGC",2016-05-05,26.18,27.52,26.17,27.43,188200,27.43
"87","PFGC",2016-05-06,27.48,28.129999,27.370001,27.4,106700,27.4
"88","PFGC",2016-05-09,27.18,27.18,25.379999,26.549999,163400,26.549999
"89","PFGC",2016-05-10,26.68,27.209999,26.379999,26.9,107600,26.9
"90","PFGC",2016-05-11,26.67,27.450001,26.49,26.52,99600,26.52
"91","PFGC",2016-05-12,26.120001,26.76,25.950001,26.42,141900,26.42
"92","PFGC",2016-05-13,26.33,27.16,26.254999,26.92,215400,26.92
"93","PFGC",2016-05-16,26.91,27.434999,26.780001,27,210200,27
"94","PFGC",2016-05-17,26.24,26.85,25.190001,25.4,463000,25.4
"95","PFGC",2016-05-18,25.120001,26.155001,24.43,24.450001,513200,24.450001
