"","symbol","date","open","high","low","close","volume","adjusted"
"1","PGR",2016-01-04,31.4,31.43,30.77,31.120001,3266700,25.179562
"2","PGR",2016-01-05,31.120001,31.58,31,31.41,6043500,25.4142
"3","PGR",2016-01-06,31.030001,31.25,30.860001,31.059999,4206300,25.131012
"4","PGR",2016-01-07,30.610001,30.940001,30.370001,30.530001,4892900,24.702181
"5","PGR",2016-01-08,30.67,30.709999,30.040001,30.08,4178000,24.338085
"6","PGR",2016-01-11,30.290001,30.74,30.25,30.639999,3519600,24.791185
"7","PGR",2016-01-12,30.85,30.92,30.139999,30.73,3083700,24.864004
"8","PGR",2016-01-13,30.879999,30.92,30.049999,30.110001,2794900,24.362354
"9","PGR",2016-01-14,30.209999,30.6,30.1,30.219999,4102800,24.451359
"10","PGR",2016-01-15,29.48,30.08,29.48,29.91,4173800,24.200533
"11","PGR",2016-01-19,29.83,29.969999,29.469999,29.799999,4456500,24.111534
"12","PGR",2016-01-20,29.469999,30.01,29.32,29.68,5852400,24.014439
"13","PGR",2016-01-21,29.77,30,29.459999,29.549999,4218700,23.90925
"14","PGR",2016-01-22,29.93,30.059999,29.68,29.950001,3037000,24.232899
"15","PGR",2016-01-25,29.940001,30,29.459999,29.5,3749200,23.868795
"16","PGR",2016-01-26,29.620001,29.93,29.379999,29.49,3800000,23.86071
"17","PGR",2016-01-27,30.66,30.74,29.92,30.379999,5831800,24.580814
"18","PGR",2016-01-28,30.620001,30.799999,29.91,30.719999,4399900,24.855915
"19","PGR",2016-01-29,30.950001,31.360001,30.82,31.25,6877600,25.284744
"20","PGR",2016-02-01,29.969999,30.66,29.969999,30.48,6982100,25.383009
"21","PGR",2016-02-02,30.370001,30.66,30.200001,30.49,5102900,25.391336
"22","PGR",2016-02-03,30.66,30.66,29.99,30.42,5863300,25.333046
"23","PGR",2016-02-04,30.389999,30.67,30.27,30.66,4987500,25.532911
"24","PGR",2016-02-05,30.66,30.950001,30.49,30.700001,3762200,25.566223
"25","PGR",2016-02-08,30.389999,30.870001,30.35,30.73,5718600,25.591202
"26","PGR",2016-02-09,30.469999,31.309999,30.450001,30.879999,7501200,25.716118
"27","PGR",2016-02-10,31.030001,31.48,30.9,30.91,4266700,25.741108
"28","PGR",2016-02-11,30.41,30.68,30.190001,30.23,5204000,25.17482
"29","PGR",2016-02-12,30.610001,31.450001,30.559999,31.379999,6632000,26.132507
"30","PGR",2016-02-16,31.700001,31.719999,31.27,31.65,5294100,26.357357
"31","PGR",2016-02-17,32,32.220001,31.780001,32.060001,4908700,26.698801
"32","PGR",2016-02-18,32.060001,32.119999,31.780001,31.950001,3178500,26.607193
"33","PGR",2016-02-19,31.76,32.080002,31.75,31.91,3188200,26.573879
"34","PGR",2016-02-22,32.16,32.279999,31.84,32.029999,2926700,26.673809
"35","PGR",2016-02-23,32.029999,32.119999,31.809999,31.93,2888500,26.590536
"36","PGR",2016-02-24,31.68,31.9,31.450001,31.85,3640900,26.523914
"37","PGR",2016-02-25,31.98,32.23,31.889999,32.169998,3029100,26.7904
"38","PGR",2016-02-26,32.349998,32.349998,31.870001,32.110001,3117600,26.740435
"39","PGR",2016-02-29,32.029999,32.23,31.889999,31.92,3707300,26.582209
"40","PGR",2016-03-01,32.16,32.599998,32.049999,32.57,3260200,27.12351
"41","PGR",2016-03-02,32.549999,33.029999,32.43,32.93,3732000,27.423307
"42","PGR",2016-03-03,32.98,33.540001,32.98,33.490002,7479000,27.889666
"43","PGR",2016-03-04,33.450001,33.529999,33.07,33.189999,3659200,27.63983
"44","PGR",2016-03-07,33.040001,33.380001,33.009998,33.330002,3800100,27.756422
"45","PGR",2016-03-08,33.209999,33.299999,32.939999,33.029999,3916800,27.50659
"46","PGR",2016-03-09,33.200001,33.310001,32.939999,33.029999,1962800,27.50659
"47","PGR",2016-03-10,33.150002,33.27,32.619999,32.84,4260100,27.348364
"48","PGR",2016-03-11,33.119999,33.220001,32.830002,33.209999,5756100,27.656487
"49","PGR",2016-03-14,33.200001,33.220001,32.919998,33.040001,3522600,27.514915
"50","PGR",2016-03-15,32.849998,33.310001,32.810001,33.279999,3153200,27.714785
"51","PGR",2016-03-16,33.25,34.07,33.110001,34.02,4386200,28.331036
"52","PGR",2016-03-17,34.080002,34.529999,33.779999,34.459999,3810900,28.697456
"53","PGR",2016-03-18,34.57,34.669998,34.389999,34.610001,6531100,28.822374
"54","PGR",2016-03-21,34.5,34.970001,34.459999,34.93,3242800,29.088869
"55","PGR",2016-03-22,34.84,35.139999,34.779999,35.040001,3645400,29.180468
"56","PGR",2016-03-23,34.990002,35.27,34.919998,35.169998,3701300,29.288727
"57","PGR",2016-03-24,34.970001,35.07,34.560001,34.810001,2504700,28.988932
"58","PGR",2016-03-28,34.799999,35.099998,34.759998,35.029999,2097500,29.172138
"59","PGR",2016-03-29,35.040001,35.18,34.869999,35.02,3320700,29.163809
"60","PGR",2016-03-30,35.169998,35.259998,34.860001,35.029999,2325500,29.172138
"61","PGR",2016-03-31,35.060001,35.200001,34.919998,35.139999,2877300,29.263748
"62","PGR",2016-04-01,35.119999,35.5,34.959999,35.48,2633400,29.546888
"63","PGR",2016-04-04,35.470001,35.540001,35.110001,35.169998,2747400,29.288727
"64","PGR",2016-04-05,35.07,35.169998,34.650002,34.650002,4073700,28.855694
"65","PGR",2016-04-06,34.66,34.779999,34.52,34.77,3518200,28.955614
"66","PGR",2016-04-07,34.650002,34.669998,34.27,34.41,3366000,28.655817
"67","PGR",2016-04-08,34.52,34.619999,34.349998,34.43,3791900,28.67248
"68","PGR",2016-04-11,34.5,34.669998,34.240002,34.279999,1936700,28.547558
"69","PGR",2016-04-12,34.369999,34.77,34.240002,34.709999,3670500,28.905649
"70","PGR",2016-04-13,34.84,34.950001,34.389999,34.759998,3685500,28.947289
"71","PGR",2016-04-14,34.130001,34.139999,33.23,33.57,7797500,27.956289
"72","PGR",2016-04-15,33.52,33.540001,33.23,33.43,4164600,27.839701
"73","PGR",2016-04-18,33.369999,33.720001,33.299999,33.720001,3837900,28.081202
"74","PGR",2016-04-19,33.790001,33.939999,33.630001,33.75,3383000,28.106184
"75","PGR",2016-04-20,33.77,33.869999,33.279999,33.439999,2510100,27.848024
"76","PGR",2016-04-21,33.310001,33.41,32.669998,32.720001,3470100,27.248428
"77","PGR",2016-04-22,32.73,33.049999,32.73,32.950001,2387100,27.43997
"78","PGR",2016-04-25,32.82,32.91,32.669998,32.860001,2309500,27.365019
"79","PGR",2016-04-26,32.91,32.959999,32.619999,32.75,3172600,27.273417
"80","PGR",2016-04-27,32.799999,32.950001,32.630001,32.790001,2062100,27.306719
"81","PGR",2016-04-28,32.540001,32.790001,32.41,32.540001,2179900,27.098526
"82","PGR",2016-04-29,32.400002,32.68,32.259998,32.599998,2336900,27.148493
"83","PGR",2016-05-02,32.630001,33.18,32.630001,33.07,2217400,27.539894
"84","PGR",2016-05-03,32.779999,33.220001,32.669998,33.18,2812600,27.631502
"85","PGR",2016-05-04,33,33.099998,32.709999,32.830002,3243100,27.340034
"86","PGR",2016-05-05,32.950001,33.34,32.759998,32.880001,3484800,27.381676
"87","PGR",2016-05-06,32.740002,33.060001,32.41,32.959999,3161400,27.44829
"88","PGR",2016-05-09,32.919998,33.27,32.779999,33.150002,2024100,27.606522
"89","PGR",2016-05-10,33.279999,33.610001,33.16,33.599998,2208300,27.98127
"90","PGR",2016-05-11,33.52,33.639999,33.130001,33.150002,2469500,27.606522
"91","PGR",2016-05-12,33.299999,33.59,33.189999,33.560001,2467500,27.947964
"92","PGR",2016-05-13,33.419998,33.509998,33.169998,33.240002,2339700,27.681471
"93","PGR",2016-05-16,33.209999,33.290001,33,33.040001,4540000,27.514915
"94","PGR",2016-05-17,33.02,33.200001,32.73,32.82,4758900,27.331699
"95","PGR",2016-05-18,32.68,32.68,31.99,32.380001,10880600,26.965281
"96","PGR",2016-05-19,32.240002,32.689999,32.060001,32.560001,4692600,27.115183
"97","PGR",2016-05-20,32.73,33.09,32.650002,32.98,3655600,27.464951
"98","PGR",2016-05-23,32.939999,33.060001,32.860001,32.990002,3021400,27.473278
"99","PGR",2016-05-24,33.200001,33.810001,33.080002,33.490002,2874800,27.889666
"100","PGR",2016-05-25,33.52,33.580002,33.220001,33.259998,2651300,27.698124
"101","PGR",2016-05-26,33.220001,33.34,33.169998,33.25,3123300,27.689796
"102","PGR",2016-05-27,33.259998,33.32,33.169998,33.25,3646800,27.689796
"103","PGR",2016-05-31,33.34,33.450001,33.119999,33.299999,6316600,27.731441
"104","PGR",2016-06-01,33.220001,33.450001,33.16,33.400002,3077600,27.814716
"105","PGR",2016-06-02,32.939999,33.290001,32.73,33.169998,2721900,27.62318
"106","PGR",2016-06-03,32.810001,32.990002,32.599998,32.880001,2866300,27.381676
"107","PGR",2016-06-06,32.860001,33.040001,32.709999,32.77,1642700,27.29007
"108","PGR",2016-06-07,32.869999,32.950001,32.52,32.529999,2811300,27.0902
"109","PGR",2016-06-08,32.450001,32.860001,32.400002,32.82,2207800,27.331699
"110","PGR",2016-06-09,32.709999,32.91,32.630001,32.860001,2159000,27.365019
"111","PGR",2016-06-10,32.650002,32.919998,32.560001,32.66,3293200,27.198462
"112","PGR",2016-06-13,32.68,32.849998,32.290001,32.330002,2665900,26.923651
"113","PGR",2016-06-14,32.310001,32.389999,32.029999,32.09,2877000,26.723778
"114","PGR",2016-06-15,32.029999,32.169998,31.690001,31.75,3325000,26.440636
"115","PGR",2016-06-16,31.58,31.959999,31.379999,31.940001,2017900,26.598864
"116","PGR",2016-06-17,31.809999,31.93,31.67,31.809999,2605000,26.490599
"117","PGR",2016-06-20,32.060001,32.27,31.82,31.85,2490100,26.523914
"118","PGR",2016-06-21,31.98,32.139999,31.84,32.040001,2011300,26.682142
"119","PGR",2016-06-22,31.959999,32.240002,31.959999,32.029999,1821300,26.673809
"120","PGR",2016-06-23,32.34,32.490002,32.150002,32.490002,1904000,27.05689
"121","PGR",2016-06-24,31.450001,32.02,31.280001,31.68,5671400,26.382343
"122","PGR",2016-06-27,31.34,31.6,31.139999,31.360001,4101500,26.115856
"123","PGR",2016-06-28,31.5,31.969999,31.33,31.969999,2433600,26.623846
"124","PGR",2016-06-29,32.16,32.689999,32.16,32.630001,3572600,27.173483
"125","PGR",2016-06-30,32.68,33.5,32.599998,33.5,3543400,27.897999
"126","PGR",2016-07-01,33.48,33.5,33.150002,33.240002,2364800,27.681471
"127","PGR",2016-07-05,32.970001,33.189999,32.880001,33.029999,1973400,27.50659
"128","PGR",2016-07-06,32.970001,33.139999,32.860001,33.110001,2196000,27.573214
"129","PGR",2016-07-07,33.110001,33.360001,33.07,33.139999,3533900,27.598194
"130","PGR",2016-07-08,33.439999,33.740002,33.099998,33.689999,3132200,28.056217
"131","PGR",2016-07-11,33.73,33.860001,33.509998,33.509998,2318300,27.906321
"132","PGR",2016-07-12,33.580002,33.740002,33.23,33.259998,3229500,27.698124
"133","PGR",2016-07-13,33.279999,33.560001,33.169998,33.27,2963400,27.706459
"134","PGR",2016-07-14,33.639999,33.860001,33.25,33.459999,4122400,27.864685
"135","PGR",2016-07-15,33.560001,33.560001,33.060001,33.099998,2295800,27.564878
"136","PGR",2016-07-18,33,33.09,32.799999,32.84,2337800,27.348364
"137","PGR",2016-07-19,32.75,32.880001,32.639999,32.869999,1889600,27.373348
"138","PGR",2016-07-20,32.889999,33.040001,32.799999,32.799999,1786600,27.315042
"139","PGR",2016-07-21,32.669998,32.869999,32.580002,32.650002,2621700,27.190136
"140","PGR",2016-07-22,32.740002,33.080002,32.73,33.07,1502900,27.539894
"141","PGR",2016-07-25,33.07,33.09,32.889999,32.939999,1831300,27.431637
"142","PGR",2016-07-26,32.939999,33.060001,32.560001,32.639999,2052900,27.18181
"143","PGR",2016-07-27,32.610001,32.759998,32.57,32.619999,2333900,27.165152
"144","PGR",2016-07-28,32.580002,32.759998,32.540001,32.639999,2118000,27.18181
"145","PGR",2016-07-29,32.599998,32.740002,32.470001,32.509998,3175800,27.07354
"146","PGR",2016-08-01,32.509998,32.610001,32.439999,32.5,2433100,27.065218
"147","PGR",2016-08-02,32.459999,32.639999,32.34,32.549999,2891800,27.106859
"148","PGR",2016-08-03,32.650002,33.09,32.549999,33.009998,4301900,27.489933
"149","PGR",2016-08-04,33.080002,33.68,32.959999,33.509998,4148500,27.906321
"150","PGR",2016-08-05,33.75,34.119999,33.66,34.119999,2686200,28.414314
"151","PGR",2016-08-08,34.119999,34.220001,33.970001,34.139999,2004000,28.430965
"152","PGR",2016-08-09,33.970001,34.290001,33.880001,34.099998,2236000,28.397661
"153","PGR",2016-08-10,33.970001,34.169998,33.950001,34.009998,1823400,28.32271
"154","PGR",2016-08-11,34.099998,34.189999,33.939999,34.09,1689600,28.389336
"155","PGR",2016-08-12,34.060001,34.150002,33.959999,33.970001,1193700,28.2894
"156","PGR",2016-08-15,33.970001,34.07,33.84,33.860001,1738200,28.19779
