"","symbol","date","open","high","low","close","volume","adjusted"
"1","PG",2016-01-04,78.360001,78.5,77.540001,78.370003,11529800,65.451424
"2","PG",2016-01-05,78.440002,78.959999,78.209999,78.620003,8133700,65.660202
"3","PG",2016-01-06,77.669998,78.290001,77.120003,77.860001,9551000,65.025475
"4","PG",2016-01-07,76.849998,77.599998,76.07,77.18,11973900,64.457565
"5","PG",2016-01-08,77.360001,77.480003,75.669998,75.970001,9676400,63.447041
"6","PG",2016-01-11,76.169998,77.040001,75.599998,76.669998,10209200,64.031662
"7","PG",2016-01-12,77,77.019997,75.75,76.510002,8774700,63.898037
"8","PG",2016-01-13,76.970001,76.989998,75.790001,75.849998,9310100,63.346825
"9","PG",2016-01-14,76.099998,76.949997,75.879997,76.150002,12835100,63.59737
"10","PG",2016-01-15,74.5,75.68,74.470001,74.980003,17023900,62.620228
"11","PG",2016-01-19,75.800003,76.910004,75.720001,76.730003,13457300,64.081764
"12","PG",2016-01-20,75.290001,76.089996,74.459999,75.830002,17795000,63.882114
"13","PG",2016-01-21,76.019997,77.18,75.410004,76.720001,12712900,64.631889
"14","PG",2016-01-22,77.400002,77.970001,76.550003,77.360001,9465800,65.171036
"15","PG",2016-01-25,77.199997,77.360001,76.559998,76.849998,9870400,64.741386
"16","PG",2016-01-26,78,79.580002,77.540001,78.809998,16374800,66.39257
"17","PG",2016-01-27,78.529999,79.849998,78.150002,78.800003,10816100,66.384163
"18","PG",2016-01-28,79.400002,80,78.610001,79.82,9895100,67.243431
"19","PG",2016-01-29,79.980003,82,79.830002,81.690002,19895000,68.818802
"20","PG",2016-02-01,81.209999,81.400002,80.529999,81.120003,9657200,68.338608
"21","PG",2016-02-02,80.089996,80.540001,79.809998,80.220001,9116400,67.580391
"22","PG",2016-02-03,80.480003,81.239998,80.019997,81.099998,10149600,68.321754
"23","PG",2016-02-04,80.849998,81.099998,80.330002,80.699997,8295100,67.984749
"24","PG",2016-02-05,80.580002,81.199997,80.57,81.199997,9957600,68.405991
"25","PG",2016-02-08,80.290001,82.720001,80.290001,82.620003,16530200,69.602264
"26","PG",2016-02-09,81.830002,83,81.019997,82.639999,14308900,69.619118
"27","PG",2016-02-10,82.910004,83,81.459999,81.620003,10585400,68.759811
"28","PG",2016-02-11,80.389999,80.989998,79.629997,79.900002,12343900,67.310822
"29","PG",2016-02-12,80.360001,81.019997,79.790001,80.989998,9306100,68.22908
"30","PG",2016-02-16,81.989998,81.989998,80.839996,81.470001,9352600,68.633453
"31","PG",2016-02-17,81.650002,82.830002,81.510002,82.449997,10892900,69.459038
"32","PG",2016-02-18,82.230003,82.32,81.209999,81.980003,7702600,69.063095
"33","PG",2016-02-19,81.959999,82.260002,81.400002,81.790001,7709600,68.903015
"34","PG",2016-02-22,81.790001,82.669998,81.709999,82.129997,6916500,69.189461
"35","PG",2016-02-23,82,82.459999,81.610001,81.809998,5840600,68.919891
"36","PG",2016-02-24,81.260002,81.639999,80.660004,81.559998,6759800,68.709282
"37","PG",2016-02-25,81.699997,82.339996,81.470001,82.339996,6789700,69.366364
"38","PG",2016-02-26,82.519997,82.650002,80.949997,81.099998,9281100,68.321754
"39","PG",2016-02-29,81.099998,81.349998,80.209999,80.290001,11065300,67.639359
"40","PG",2016-03-01,80.540001,81.360001,80.529999,81.230003,9483900,68.431252
"41","PG",2016-03-02,81.580002,82.660004,80.849998,82.550003,12096600,69.543289
"42","PG",2016-03-03,82.540001,82.93,82.18,82.839996,8747100,69.787582
"43","PG",2016-03-04,82.620003,83.739998,82.260002,83.489998,9406700,70.335159
"44","PG",2016-03-07,83.18,83.699997,83,83.099998,6792400,70.006622
"45","PG",2016-03-08,82.970001,83.75,82.669998,83.059998,7788400,69.972908
"46","PG",2016-03-09,83.300003,83.690002,82.68,82.959999,8954800,69.888687
"47","PG",2016-03-10,83.129997,83.230003,81.75,82.279999,10385600,69.315819
"48","PG",2016-03-11,82.75,82.800003,81.440002,81.75,11109500,68.869324
"49","PG",2016-03-14,81.57,81.849998,80.68,81.169998,12389300,68.380714
"50","PG",2016-03-15,81,81.459999,80.760002,81.309998,9297800,68.498657
"51","PG",2016-03-16,81.309998,81.800003,80.480003,81.339996,9490300,68.523926
"52","PG",2016-03-17,81.290001,83.230003,81.279999,82.75,12061500,69.711777
"53","PG",2016-03-18,82.860001,83.5,82.440002,83.150002,33635200,70.048744
"54","PG",2016-03-21,83.120003,83.870003,82.910004,83.32,8625600,70.191956
"55","PG",2016-03-22,83.279999,83.32,82.489998,82.739998,7205900,69.703369
"56","PG",2016-03-23,82.720001,83.489998,82.580002,82.82,5594600,69.770752
"57","PG",2016-03-24,82.459999,83.120003,82.43,82.889999,6645700,69.829712
"58","PG",2016-03-28,82.989998,83.449997,82.519997,82.620003,4988500,69.602264
"59","PG",2016-03-29,82.660004,83.089996,82.160004,82.800003,6731400,69.753906
"60","PG",2016-03-30,83.089996,83.360001,82.650002,82.68,6925400,69.652802
"61","PG",2016-03-31,82.75,83,82.150002,82.309998,6819200,69.341095
"62","PG",2016-04-01,82,83.620003,81.93,83.529999,8028600,70.368889
"63","PG",2016-04-04,83.650002,83.650002,83.029999,83.209999,5593400,70.099304
"64","PG",2016-04-05,83.160004,83.559998,82.989998,83.160004,5259100,70.057175
"65","PG",2016-04-06,83.139999,83.839996,83.080002,83.809998,6292100,70.604767
"66","PG",2016-04-07,83.239998,83.68,82.870003,83.239998,6655900,70.124565
"67","PG",2016-04-08,83.440002,83.449997,82.769997,83.199997,5453000,70.090866
"68","PG",2016-04-11,83.029999,83.339996,82.660004,82.730003,7081500,69.694931
"69","PG",2016-04-12,82.709999,83.209999,82.449997,82.830002,7081600,69.779175
"70","PG",2016-04-13,83.050003,83.43,81.839996,82.459999,11738600,69.467461
"71","PG",2016-04-14,81.949997,82.370003,81.540001,82.010002,6904400,69.654312
"72","PG",2016-04-15,82.050003,82.43,81.849998,82.300003,7299300,69.900612
"73","PG",2016-04-18,82.300003,82.989998,82.019997,82.830002,5628000,70.350784
"74","PG",2016-04-19,82.910004,83.699997,82.849998,83.279999,6606100,70.732964
