"","symbol","date","open","high","low","close","volume","adjusted"
"1","PHG",2016-01-04,24.77,25.030001,24.58,25.01,1512500,22.124657
"2","PHG",2016-01-05,24.65,24.75,24.48,24.74,1729900,21.885803
"3","PHG",2016-01-06,24.15,24.450001,24.139999,24.42,1590200,21.60272
"4","PHG",2016-01-07,24.280001,24.559999,24.18,24.25,1665300,21.452333
"5","PHG",2016-01-08,24.379999,24.4,24.01,24.040001,1510800,21.266562
"6","PHG",2016-01-11,24.73,24.74,24.370001,24.57,1630000,21.735413
"7","PHG",2016-01-12,25.120001,25.190001,24.799999,25.059999,1637900,22.168886
"8","PHG",2016-01-13,25.01,25.08,24.370001,24.43,1138200,21.611568
"9","PHG",2016-01-14,24.780001,25.190001,24.709999,25.049999,4020600,22.16004
"10","PHG",2016-01-15,24.459999,24.59,24.209999,24.35,1605400,21.540796
"11","PHG",2016-01-19,24.799999,24.959999,24.66,24.84,1860600,21.974266
"12","PHG",2016-01-20,24.52,24.74,24.08,24.6,2217500,21.761953
"13","PHG",2016-01-21,24.4,24.74,24.23,24.58,1263900,21.744261
"14","PHG",2016-01-22,24.57,24.790001,24.469999,24.67,2465900,21.823879
"15","PHG",2016-01-25,24.52,24.84,24.440001,24.629999,1528300,21.788494
"16","PHG",2016-01-26,25.99,26.299999,25.629999,26.280001,2445600,23.248138
"17","PHG",2016-01-27,26.08,26.530001,26.07,26.15,1252400,23.133135
"18","PHG",2016-01-28,26.200001,26.23,25.809999,26.139999,1804500,23.124289
"19","PHG",2016-01-29,26.110001,26.709999,26.09,26.68,1424600,23.60199
"20","PHG",2016-02-01,26.43,26.629999,26.360001,26.57,832600,23.504681
"21","PHG",2016-02-02,26.040001,26.1,25.75,25.83,3106500,22.85005
"22","PHG",2016-02-03,25.9,26.360001,25.5,26.32,2900700,23.283522
"23","PHG",2016-02-04,25.82,26,25.700001,25.91,2515700,22.920824
"24","PHG",2016-02-05,25.74,25.809999,25.4,25.48,1681600,22.540432
"25","PHG",2016-02-08,24.6,24.690001,24.290001,24.610001,3277200,21.7708
"26","PHG",2016-02-09,23.93,24.629999,23.93,24.450001,2960400,21.629261
"27","PHG",2016-02-10,24.440001,24.57,24.290001,24.309999,2232800,21.505411
"28","PHG",2016-02-11,23.950001,24.139999,23.690001,23.85,2348800,21.098482
"29","PHG",2016-02-12,23.549999,23.68,23.459999,23.68,1820900,20.948093
"30","PHG",2016-02-16,24.16,24.25,23.950001,24.209999,1415700,21.416946
"31","PHG",2016-02-17,24.57,24.73,24.540001,24.700001,1570200,21.85042
"32","PHG",2016-02-18,24.799999,24.84,24.610001,24.629999,927000,21.788494
"33","PHG",2016-02-19,24.870001,24.959999,24.74,24.940001,1200900,22.062731
"34","PHG",2016-02-22,25.09,25.33,25.059999,25.290001,981200,22.372353
"35","PHG",2016-02-23,25.26,25.309999,25.059999,25.110001,885000,22.213118
"36","PHG",2016-02-24,24.82,24.950001,24.48,24.92,1756700,22.045038
"37","PHG",2016-02-25,24.92,25.33,24.92,25.299999,1575700,22.381197
"38","PHG",2016-02-26,25.52,25.559999,25.360001,25.440001,1056400,22.505045
"39","PHG",2016-02-29,25.33,25.549999,25.23,25.33,1250500,22.407738
"40","PHG",2016-03-01,26.059999,26.43,25.889999,26.42,1323800,23.371988
"41","PHG",2016-03-02,25.98,26.08,25.879999,26.08,1069000,23.071211
