"","symbol","date","open","high","low","close","volume","adjusted"
"1","PODD",2016-01-04,37.200001,37.529999,35.939999,37.060001,792800,37.060001
"2","PODD",2016-01-05,37.07,37.52,36.599998,37.490002,314900,37.490002
"3","PODD",2016-01-06,36.810001,37.619999,36.669998,37.540001,252200,37.540001
"4","PODD",2016-01-07,37.02,37.25,36.43,36.75,403000,36.75
"5","PODD",2016-01-08,36.75,36.98,34.66,34.77,331900,34.77
"6","PODD",2016-01-11,35.049999,35.209999,33.459999,34.209999,278000,34.209999
"7","PODD",2016-01-12,34.599998,35.200001,34.099998,34.5,732600,34.5
"8","PODD",2016-01-13,34.610001,35.279999,32.709999,33.57,699000,33.57
"9","PODD",2016-01-14,33.68,35.029999,33.419998,34.380001,341000,34.380001
"10","PODD",2016-01-15,33.360001,34.02,33.240002,33.919998,427200,33.919998
"11","PODD",2016-01-19,34.189999,35.18,33.48,33.98,273500,33.98
"12","PODD",2016-01-20,33.549999,34.75,32.459999,34.419998,593100,34.419998
"13","PODD",2016-01-21,34.5,34.580002,33.419998,33.459999,352900,33.459999
"14","PODD",2016-01-22,33.959999,34.549999,33.23,33.349998,505400,33.349998
"15","PODD",2016-01-25,33.009998,33.990002,32.900002,33.310001,572800,33.310001
"16","PODD",2016-01-26,33.43,33.810001,32.540001,33,478000,33
"17","PODD",2016-01-27,32.779999,33.560001,32.639999,33.099998,379800,33.099998
"18","PODD",2016-01-28,33.34,33.34,31.4,32.07,234500,32.07
"19","PODD",2016-01-29,32.130001,33.220001,32.029999,33.18,357300,33.18
"20","PODD",2016-02-01,32.98,33.540001,32.799999,33.209999,258600,33.209999
"21","PODD",2016-02-02,32.869999,32.93,32.369999,32.720001,298500,32.720001
"22","PODD",2016-02-03,33.130001,33.490002,30.299999,31.209999,417200,31.209999
"23","PODD",2016-02-04,31.059999,31.459999,30.43,31.049999,387800,31.049999
"24","PODD",2016-02-05,30.92,30.92,28.08,28.17,398400,28.17
"25","PODD",2016-02-08,27.6,27.6,25.27,26.209999,574800,26.209999
"26","PODD",2016-02-09,25.870001,26.690001,25.08,26,586700,26
"27","PODD",2016-02-10,26.209999,26.5,25.620001,25.860001,562600,25.860001
"28","PODD",2016-02-11,25.35,25.6,24.209999,24.68,537100,24.68
"29","PODD",2016-02-12,25.059999,25.059999,23.940001,24.969999,317600,24.969999
"30","PODD",2016-02-16,25.110001,26.74,24.459999,26.469999,618400,26.469999
"31","PODD",2016-02-17,26.5,28.200001,26.5,27.51,622800,27.51
"32","PODD",2016-02-18,27.530001,28.299999,26.75,26.99,561500,26.99
"33","PODD",2016-02-19,26.9,27.48,26.51,27.059999,251500,27.059999
"34","PODD",2016-02-22,27.120001,27.98,26.75,27.74,580600,27.74
"35","PODD",2016-02-23,27.65,28.49,27.59,28.299999,477100,28.299999
"36","PODD",2016-02-24,28.049999,29.360001,27.76,29.26,550000,29.26
"37","PODD",2016-02-25,27.5,30.129999,27.43,29.42,1104300,29.42
"38","PODD",2016-02-26,32.77,33,30.719999,31.879999,1586300,31.879999
"39","PODD",2016-02-29,31.67,32.040001,30.58,30.639999,750400,30.639999
"40","PODD",2016-03-01,30.959999,31.73,30.139999,30.610001,745500,30.610001
"41","PODD",2016-03-02,30.690001,31.26,29.74,30.950001,426000,30.950001
"42","PODD",2016-03-03,31.059999,31.75,30.5,31.66,333500,31.66
"43","PODD",2016-03-04,31.77,32.07,31.139999,31.559999,271600,31.559999
"44","PODD",2016-03-07,31.15,34.25,30.389999,32.189999,374000,32.189999
"45","PODD",2016-03-08,32,32.279999,31.23,31.299999,242300,31.299999
"46","PODD",2016-03-09,31.450001,31.459999,30.4,30.76,364300,30.76
"47","PODD",2016-03-10,30.84,31.16,29.870001,30.66,261300,30.66
"48","PODD",2016-03-11,30.83,31.68,30.73,31.360001,193400,31.360001
"49","PODD",2016-03-14,31.219999,32.299999,30.75,31.33,217300,31.33
"50","PODD",2016-03-15,31.16,31.16,30.18,30.799999,245900,30.799999
"51","PODD",2016-03-16,30.77,31.139999,30.33,30.799999,288900,30.799999
"52","PODD",2016-03-17,30.790001,31.629999,30.469999,31.33,490900,31.33
"53","PODD",2016-03-18,31.51,31.790001,30.809999,31.610001,366800,31.610001
"54","PODD",2016-03-21,31.49,31.889999,31.219999,31.5,264300,31.5
"55","PODD",2016-03-22,31.26,32.400002,31.040001,32.32,336800,32.32
"56","PODD",2016-03-23,32.310001,32.939999,31.42,31.469999,385900,31.469999
"57","PODD",2016-03-24,31.33,31.4,30.209999,30.969999,339000,30.969999
"58","PODD",2016-03-28,31.16,31.610001,30.459999,31.200001,464100,31.200001
"59","PODD",2016-03-29,31.219999,32.189999,30.690001,32.169998,385600,32.169998
"60","PODD",2016-03-30,32.18,32.73,31.92,32.200001,421600,32.200001
"61","PODD",2016-03-31,32.119999,33.259998,32.09,33.16,308300,33.16
"62","PODD",2016-04-01,32.790001,33.790001,32.439999,33.52,331300,33.52
"63","PODD",2016-04-04,33.48,34.93,33.290001,34.310001,418700,34.310001
"64","PODD",2016-04-05,34.040001,34.299999,32.939999,33.040001,292200,33.040001
"65","PODD",2016-04-06,33.07,34.009998,33.07,33.82,268200,33.82
"66","PODD",2016-04-07,33.560001,33.919998,32.52,33.450001,281400,33.450001
"67","PODD",2016-04-08,33.720001,34.049999,33.150002,33.470001,219600,33.470001
"68","PODD",2016-04-11,33.57,33.869999,33.16,33.380001,197900,33.380001
"69","PODD",2016-04-12,33.369999,33.630001,32.790001,33.540001,281400,33.540001
"70","PODD",2016-04-13,33.790001,34.48,33.57,34.400002,311300,34.400002
"71","PODD",2016-04-14,34.5,34.830002,34.060001,34.34,203300,34.34
"72","PODD",2016-04-15,34.139999,34.849998,33.650002,34.060001,317100,34.060001
"73","PODD",2016-04-18,34.080002,34.139999,33.66,34.080002,239300,34.080002
"74","PODD",2016-04-19,34.209999,34.259998,33.279999,33.610001,283000,33.610001
"75","PODD",2016-04-20,33.75,34.060001,33.049999,33.720001,233400,33.720001
"76","PODD",2016-04-21,33.75,33.959999,33.41,33.779999,331700,33.779999
"77","PODD",2016-04-22,33.970001,35.119999,33.720001,35.060001,583000,35.060001
"78","PODD",2016-04-25,35.07,35.5,34.75,35.150002,630800,35.150002
"79","PODD",2016-04-26,35.25,35.5,34.32,34.470001,741800,34.470001
"80","PODD",2016-04-27,34.43,35.07,33.970001,34.700001,958700,34.700001
"81","PODD",2016-04-28,34.619999,34.700001,33.23,33.459999,609500,33.459999
"82","PODD",2016-04-29,35.52,35.990002,32.57,33.299999,1741300,33.299999
"83","PODD",2016-05-02,33.529999,34.23,32.93,32.939999,591500,32.939999
"84","PODD",2016-05-03,32.610001,33.34,28.93,29.5,3578300,29.5
