"","symbol","date","open","high","low","close","volume","adjusted"
"1","POOL",2016-01-04,79.440002,79.849998,78.580002,79.169998,293700,74.289238
"2","POOL",2016-01-05,79.489998,80.080002,78.839996,79.519997,181500,74.617653
"3","POOL",2016-01-06,78.540001,79.25,77.940002,78.769997,176800,73.913879
"4","POOL",2016-01-07,77.290001,78.470001,76.519997,77.529999,189900,72.750343
"5","POOL",2016-01-08,77.639999,77.790001,75.900002,75.959999,264600,71.277145
"6","POOL",2016-01-11,76.089996,76.400002,75.190002,75.800003,430000,71.126991
"7","POOL",2016-01-12,76.260002,77.309998,75.870003,77.099998,222600,72.34684
"8","POOL",2016-01-13,77.470001,77.470001,74.900002,75.129997,245700,70.498314
"9","POOL",2016-01-14,75.459999,76.620003,74.379997,75.919998,220700,71.239586
"10","POOL",2016-01-15,73.709999,74.510002,72.410004,74.5,417600,69.907158
"11","POOL",2016-01-19,75.300003,75.550003,74.269997,75.029999,252900,70.404457
"12","POOL",2016-01-20,74.18,75.459999,72.669998,74.550003,294300,69.954041
"13","POOL",2016-01-21,74.68,75.07,73.43,74.370003,265100,69.785141
"14","POOL",2016-01-22,75.220001,76.269997,74.470001,76.199997,248100,71.502319
"15","POOL",2016-01-25,76.449997,78.900002,75.440002,77.970001,768500,73.163223
"16","POOL",2016-01-26,78.260002,79.779999,75.879997,77.360001,6977900,72.590813
"17","POOL",2016-01-27,76.629997,78.110001,76.120003,77.389999,631000,72.618958
"18","POOL",2016-01-28,77.980003,80.099998,76.989998,79.900002,574800,74.974228
"19","POOL",2016-01-29,80.150002,84.529999,80.150002,84.5,865300,79.290649
"20","POOL",2016-02-01,83.989998,84.5,82.489998,83.949997,705200,78.774559
"21","POOL",2016-02-02,82.169998,82.25,80.32,80.889999,494200,75.903198
"22","POOL",2016-02-03,81.300003,82.279999,78.57,79.830002,507300,74.908554
"23","POOL",2016-02-04,79.580002,80.57,78.660004,79.989998,329700,75.058678
"24","POOL",2016-02-05,79.470001,80.620003,76.669998,77,628000,72.253006
"25","POOL",2016-02-08,76.199997,77.019997,75,76.940002,385900,72.196709
"26","POOL",2016-02-09,76.330002,77.809998,75.57,77.279999,347500,72.515739
"27","POOL",2016-02-10,77.599998,79.040001,77.389999,77.419998,251500,72.647102
"28","POOL",2016-02-11,76.300003,78.010002,76.300003,77.57,309600,72.787849
"29","POOL",2016-02-12,78.410004,78.410004,76.260002,77.879997,371800,73.078766
"30","POOL",2016-02-16,78.989998,80.050003,77.879997,79.43,289000,74.533195
"31","POOL",2016-02-17,80,80.559998,79.370003,80.199997,524100,75.25573
"32","POOL",2016-02-18,81.25,82.849998,80,80.230003,677300,75.283913
"33","POOL",2016-02-19,80.089996,81.360001,79.879997,81.099998,589100,76.100235
"34","POOL",2016-02-22,81.540001,82.610001,80.410004,80.940002,508300,75.950119
"35","POOL",2016-02-23,80.860001,81.599998,80.410004,80.959999,311400,75.968887
"36","POOL",2016-02-24,80.32,80.699997,79.260002,80.32,381000,75.368332
"37","POOL",2016-02-25,80.410004,80.980003,79.699997,80.779999,364800,75.799957
"38","POOL",2016-02-26,81.309998,81.839996,80.720001,81.830002,369300,76.785248
"39","POOL",2016-02-29,82.040001,82.089996,79.949997,80.269997,314200,75.321426
"40","POOL",2016-03-01,80.870003,82.419998,80.599998,81.699997,370100,76.663254
"41","POOL",2016-03-02,81.290001,81.769997,80.25,81.230003,262400,76.222244
"42","POOL",2016-03-03,80.779999,81.489998,79.919998,81.330002,228300,76.316078
"43","POOL",2016-03-04,81.440002,82.160004,80.809998,81.559998,230900,76.531906
"44","POOL",2016-03-07,80.879997,81.82,80.5,81.529999,272800,76.503754
"45","POOL",2016-03-08,81.459999,82.5,80.989998,81.050003,203300,76.053337
"46","POOL",2016-03-09,81.410004,83.269997,80.68,82.43,386300,77.348251
"47","POOL",2016-03-10,82.940002,84,80.839996,81.5,226000,76.475586
"48","POOL",2016-03-11,81.879997,82.779999,81.160004,82.739998,226200,77.639122
"49","POOL",2016-03-14,82.400002,83.169998,81.349998,82.25,202000,77.42263
"50","POOL",2016-03-15,81.82,82.610001,81.82,82.279999,172200,77.450874
"51","POOL",2016-03-16,82.370003,83.110001,81.57,82.709999,182100,77.855652
