"","symbol","date","open","high","low","close","volume","adjusted"
"1","POR",2016-01-04,35.52,36.189999,35.490002,35.799999,1175000,29.461367
"2","POR",2016-01-05,35.860001,36.09,35.27,35.990002,564500,29.617731
"3","POR",2016-01-06,35.700001,36.040001,35.639999,36.029999,923800,29.650639
"4","POR",2016-01-07,35.599998,35.98,35.5,35.91,1138600,29.551884
"5","POR",2016-01-08,36.029999,36.330002,35.860001,35.939999,962900,29.576574
"6","POR",2016-01-11,36.040001,36.389999,35.93,36.310001,649300,29.881069
"7","POR",2016-01-12,36.689999,36.689999,35.439999,36.200001,799700,29.790537
"8","POR",2016-01-13,36.200001,36.950001,36.18,36.549999,1355800,30.078568
"9","POR",2016-01-14,36.759998,37.57,36.290001,37.389999,1238800,30.76984
"10","POR",2016-01-15,36.450001,36.91,36.029999,36.740002,1205400,30.234932
"11","POR",2016-01-19,36.919998,37.849998,36.77,37.689999,1181000,31.016724
"12","POR",2016-01-20,37.400002,37.740002,36.23,36.830002,1207400,30.309
"13","POR",2016-01-21,36.84,37,36.209999,36.580002,1618900,30.103266
"14","POR",2016-01-22,36.59,37.66,36.59,37.66,1154400,30.992027
"15","POR",2016-01-25,37.599998,37.709999,36.900002,37.009998,830000,30.457125
"16","POR",2016-01-26,37.139999,37.759998,37.139999,37.419998,760800,30.794529
"17","POR",2016-01-27,37.25,37.790001,37.110001,37.59,792200,30.934427
"18","POR",2016-01-28,37.450001,38.349998,37.009998,38.110001,689500,31.362358
"19","POR",2016-01-29,38.400002,39.02,38.25,38.869999,728600,31.987793
"20","POR",2016-02-01,38.540001,39.759998,38.279999,39.43,1107900,32.448639
"21","POR",2016-02-02,39.240002,40.150002,39.150002,39.970001,925100,32.893024
"22","POR",2016-02-03,40.150002,40.48,39.790001,40.290001,1040700,33.156376
"23","POR",2016-02-04,40.110001,40.439999,39.790001,39.900002,685200,32.835426
"24","POR",2016-02-05,39.700001,40.419998,39.310001,40.23,765900,33.106998
"25","POR",2016-02-08,40.18,40.41,39.259998,39.950001,1140900,32.876575
"26","POR",2016-02-09,39.970001,40.299999,39.880001,39.919998,1136400,32.851891
"27","POR",2016-02-10,39.950001,40.110001,39.049999,39.549999,1814900,32.547398
"28","POR",2016-02-11,39.41,39.619999,38.98,39.02,1245500,32.11124
"29","POR",2016-02-12,39.279999,39.279999,37.830002,38.220001,1294400,31.452887
"30","POR",2016-02-16,37.830002,38.27,37.610001,37.84,1346400,31.140169
"31","POR",2016-02-17,37.849998,38.130001,37.509998,37.57,1442500,30.917976
"32","POR",2016-02-18,37.619999,38.099998,37.400002,37.990002,2181500,31.263607
"33","POR",2016-02-19,37.939999,38.09,37.610001,37.880001,1019100,31.173088
"34","POR",2016-02-22,38.119999,38.889999,38.040001,38.450001,969500,31.64216
"35","POR",2016-02-23,38.209999,38.639999,38.02,38.560001,685200,31.732689
"36","POR",2016-02-24,38.540001,39,38.509998,38.919998,473000,32.028942
"37","POR",2016-02-25,38.950001,39.380001,38.869999,39.349998,453300,32.382809
"38","POR",2016-02-26,39.080002,39.18,37.939999,37.950001,580500,31.230684
"39","POR",2016-02-29,37.900002,38.470001,37.759998,38.049999,596200,31.312981
"40","POR",2016-03-01,38.220001,38.41,37.540001,37.700001,470900,31.024942
"41","POR",2016-03-02,37.599998,37.619999,37.040001,37.509998,1185800,30.868595
"42","POR",2016-03-03,37.630001,38.189999,37.200001,38.18,858600,31.419973
"43","POR",2016-03-04,37.950001,37.950001,37.34,37.82,1261100,31.123713
"44","POR",2016-03-07,37.689999,37.91,37.509998,37.91,980800,31.197781
"45","POR",2016-03-08,37.939999,38.860001,37.709999,38.759998,785500,31.897272
"46","POR",2016-03-09,38.669998,39.080002,38.560001,38.869999,775200,31.987793
"47","POR",2016-03-10,38.919998,39.080002,38.299999,38.990002,674400,32.086552
"48","POR",2016-03-11,39.18,39.389999,38.889999,39.240002,522100,32.292301
"49","POR",2016-03-14,39.23,39.48,38.759998,38.82,379000,31.946648
"50","POR",2016-03-15,38.700001,39.200001,38.549999,38.900002,459100,32.012489
"51","POR",2016-03-16,38.849998,39.310001,38.389999,39.240002,536200,32.292301
"52","POR",2016-03-17,39.240002,39.869999,39.029999,39.779999,740100,32.736683
"53","POR",2016-03-18,39.900002,39.900002,39.259998,39.549999,771100,32.547398
"54","POR",2016-03-21,39.419998,39.549999,38.919998,39.459999,510600,32.473343
"55","POR",2016-03-22,38.049999,39.23,38.049999,38.990002,569200,32.332367
"56","POR",2016-03-23,38.990002,39.630001,38.689999,39.5,530900,32.755283
"57","POR",2016-03-24,39.349998,39.610001,39.049999,39.32,800200,32.60601
"58","POR",2016-03-28,39.27,39.57,38.84,39.040001,743200,32.373833
"59","POR",2016-03-29,39.220001,39.639999,39.040001,39.580002,1058900,32.821621
