"","symbol","date","open","high","low","close","volume","adjusted"
"1","PPBI",2016-01-04,20.91,21.059999,20.08,20.23,113400,18.067913
"2","PPBI",2016-01-05,20.34,20.52,20.120001,20.42,55300,18.237606
"3","PPBI",2016-01-06,20.139999,20.65,20.139999,20.48,60700,18.291193
"4","PPBI",2016-01-07,20.200001,20.5,19.83,19.940001,100200,17.808905
"5","PPBI",2016-01-08,19.969999,20.58,19.530001,20.17,244600,18.014326
"6","PPBI",2016-01-11,20.24,20.27,19.77,19.82,59500,17.701731
"7","PPBI",2016-01-12,20,20,19.07,19.459999,98700,17.380205
"8","PPBI",2016-01-13,19.559999,20.32,19.26,19.389999,160200,17.31769
"9","PPBI",2016-01-14,19.34,20.35,19.200001,19.459999,103100,17.380205
"10","PPBI",2016-01-15,19.07,19.52,18.6,18.860001,111900,16.844332
"11","PPBI",2016-01-19,19.07,19.09,18.82,18.959999,102100,16.933647
"12","PPBI",2016-01-20,18.74,19.27,18.73,19.07,207300,17.031889
"13","PPBI",2016-01-21,18.969999,18.969999,18.32,18.629999,72200,16.638914
"14","PPBI",2016-01-22,18.75,19.32,18.709999,19.299999,98100,17.237305
"15","PPBI",2016-01-25,19.27,19.459999,19.110001,19.290001,140000,17.228376
"16","PPBI",2016-01-26,19.290001,19.799999,19.24,19.469999,213100,17.389139
"17","PPBI",2016-01-27,19.530001,19.809999,19.290001,19.52,85800,17.4338
"18","PPBI",2016-01-28,19.540001,20.299999,19.450001,20.15,159400,17.996464
"19","PPBI",2016-01-29,20.16,20.559999,20.07,20.530001,83600,18.335854
"20","PPBI",2016-02-01,20.43,20.67,20.219999,20.629999,99200,18.425161
"21","PPBI",2016-02-02,20.459999,20.51,20.25,20.48,93400,18.291193
"22","PPBI",2016-02-03,20.540001,20.540001,19.620001,19.799999,183500,17.683868
"23","PPBI",2016-02-04,19.780001,20.290001,19.690001,19.860001,121300,17.737457
"24","PPBI",2016-02-05,19.85,20,19.700001,19.75,157200,17.639212
"25","PPBI",2016-02-08,19.67,19.91,19.1,19.860001,113800,17.737457
"26","PPBI",2016-02-09,19.799999,20.299999,19.77,20.129999,77200,17.9786
"27","PPBI",2016-02-10,20.18,20.690001,20.18,20.49,187600,18.300127
"28","PPBI",2016-02-11,20.15,20.33,19.73,19.84,89200,17.719597
"29","PPBI",2016-02-12,20.129999,20.290001,19.91,20.15,82900,17.996464
"30","PPBI",2016-02-16,20.379999,20.450001,19.66,20.209999,64800,18.050053
"31","PPBI",2016-02-17,20.25,20.48,19.870001,20.17,98800,18.014326
"32","PPBI",2016-02-18,20.139999,20.5,19.9,20.219999,104100,18.058981
"33","PPBI",2016-02-19,20.200001,20.73,20.02,20.5,110900,18.309057
"34","PPBI",2016-02-22,20.559999,20.950001,20.280001,20.67,147800,18.46089
"35","PPBI",2016-02-23,20.75,20.76,20.09,20.6,194900,18.398369
"36","PPBI",2016-02-24,20.219999,20.4,19.59,20.27,226500,18.103642
"37","PPBI",2016-02-25,20.27,20.82,20.27,20.73,210200,18.514479
"38","PPBI",2016-02-26,20.809999,21.629999,20.709999,21.530001,205300,19.228979
"39","PPBI",2016-02-29,21.530001,21.610001,20.48,20.549999,628300,18.353712
"40","PPBI",2016-03-01,20.620001,21.66,20.620001,21.6,146500,19.291492
"41","PPBI",2016-03-02,21.6,21.77,20.870001,20.91,99500,18.675238
"42","PPBI",2016-03-03,20.950001,21.139999,20.74,21.1,79300,18.844929
"43","PPBI",2016-03-04,21.139999,21.34,20.860001,21.190001,78400,18.925314
"44","PPBI",2016-03-07,21.139999,21.49,21.08,21.450001,82400,19.157526
"45","PPBI",2016-03-08,21.34,21.73,21.290001,21.389999,140700,19.103941
"46","PPBI",2016-03-09,21.42,21.700001,21.360001,21.540001,84600,19.237907
"47","PPBI",2016-03-10,21.559999,21.700001,21.219999,21.290001,80600,19.014624
"48","PPBI",2016-03-11,21.35,21.73,21.280001,21.66,152700,19.345083
"49","PPBI",2016-03-14,21.73,21.76,21.360001,21.559999,265000,19.255768
"50","PPBI",2016-03-15,21.51,21.65,21.01,21.01,73000,18.764551
"51","PPBI",2016-03-16,21.01,21.280001,20.639999,20.66,96600,18.451954
"52","PPBI",2016-03-17,20.58,20.75,20.309999,20.700001,137500,18.48768
"53","PPBI",2016-03-18,20.860001,21.43,20.75,21.120001,303700,18.862797
"54","PPBI",2016-03-21,21.17,21.24,20.809999,21.110001,75500,18.853863
"55","PPBI",2016-03-22,21.1,21.59,20.809999,21.41,72300,19.121801
"56","PPBI",2016-03-23,21.290001,21.549999,20.799999,20.83,62400,18.60379
"57","PPBI",2016-03-24,20.790001,20.889999,20.530001,20.719999,79300,18.505547
"58","PPBI",2016-03-28,20.85,20.959999,20.629999,20.82,37900,18.594854
"59","PPBI",2016-03-29,20.73,21.290001,20.629999,21.290001,122900,19.014624
"60","PPBI",2016-03-30,21.25,21.52,21.120001,21.27,71000,18.996765
"61","PPBI",2016-03-31,21.34,21.379999,20.860001,21.370001,216000,19.086079
"62","PPBI",2016-04-01,21.190001,21.43,20.84,21.24,80000,18.969971
"63","PPBI",2016-04-04,21.309999,21.52,21.110001,21.129999,43600,18.871725
"64","PPBI",2016-04-05,20.950001,21.25,20.809999,20.82,70400,18.594854
"65","PPBI",2016-04-06,20.809999,21,20.77,20.84,46600,18.612719
"66","PPBI",2016-04-07,20.790001,20.790001,20.299999,20.379999,69600,18.201881
"67","PPBI",2016-04-08,20.540001,20.690001,20.23,20.32,64400,18.148296
