"","symbol","date","open","high","low","close","volume","adjusted"
"1","PRGO",2016-01-04,142.009995,143.419998,141.130005,142.5,1679400,131.275116
"2","PRGO",2016-01-05,143.119995,145.600006,141.259995,142.679993,1170100,131.440948
"3","PRGO",2016-01-06,141.210007,144.979996,141,144.279999,2507000,132.914932
"4","PRGO",2016-01-07,142.300003,145.190002,142.100006,144.309998,1679600,132.942505
"5","PRGO",2016-01-08,144.529999,145.009995,140.199997,140.690002,1487200,129.607712
"6","PRGO",2016-01-11,146.210007,146.210007,138.740005,143.610001,2277700,132.297653
"7","PRGO",2016-01-12,144.949997,147.350006,143.940002,146.570007,1615400,135.024536
"8","PRGO",2016-01-13,147.369995,147.660004,142.520004,143.080002,1593400,131.809418
"9","PRGO",2016-01-14,143.309998,146.690002,140.320007,145.410004,1812200,133.955902
"10","PRGO",2016-01-15,141.910004,145.259995,141.339996,145.009995,1861000,133.587433
"11","PRGO",2016-01-19,145.839996,147,144.240005,146.5,2492200,134.960068
"12","PRGO",2016-01-20,144.600006,147.410004,140.740005,145.839996,3056900,134.35202
"13","PRGO",2016-01-21,146.289993,147.919998,143.910004,146.789993,2850100,135.227158
"14","PRGO",2016-01-22,147.679993,152.360001,147.429993,148.580002,3667200,136.87619
"15","PRGO",2016-01-25,149.089996,151.179993,148.429993,149.059998,1807900,137.318375
"16","PRGO",2016-01-26,149.589996,151.5,148.279999,148.940002,1756500,137.207825
"17","PRGO",2016-01-27,148.139999,148.889999,143.039993,144.520004,1980100,133.136017
"18","PRGO",2016-01-28,145.179993,145.410004,140.050003,143.229996,2246500,131.947632
"19","PRGO",2016-01-29,143.630005,145.660004,142.639999,144.580002,1612600,133.191299
"20","PRGO",2016-02-01,143.139999,144.270004,142.570007,143.699997,1437200,132.3806
"21","PRGO",2016-02-02,142.830002,144.080002,141.619995,144.009995,1556400,132.666199
"22","PRGO",2016-02-03,145.020004,146.289993,142.199997,145.679993,1008900,134.204605
"23","PRGO",2016-02-04,145.419998,147.580002,142.25,144.110001,1069600,132.758301
"24","PRGO",2016-02-05,142.759995,145.320007,142.279999,143.880005,1480300,132.546402
"25","PRGO",2016-02-08,142.270004,142.460007,135.869995,137.820007,1778200,126.963768
"26","PRGO",2016-02-09,136.910004,140.369995,136.320007,138.770004,1213200,127.838951
"27","PRGO",2016-02-10,138.910004,139.649994,136.820007,137.460007,1133100,126.632126
"28","PRGO",2016-02-11,136.600006,137.259995,133.229996,135.070007,1824300,124.430412
"29","PRGO",2016-02-12,135.070007,138.919998,133.809998,138.600006,1577500,127.682343
"30","PRGO",2016-02-16,139.289993,141.710007,138.509995,141.210007,1806900,130.086746
"31","PRGO",2016-02-17,141.410004,146.160004,141.410004,145.169998,2175100,133.734787
