"","symbol","date","open","high","low","close","volume","adjusted"
"1","PRLB",2016-01-04,62.93,63.689999,61.75,63.220001,230200,63.220001
"2","PRLB",2016-01-05,62.939999,63.900002,62.549999,63.650002,154000,63.650002
"3","PRLB",2016-01-06,63.02,64.07,62.689999,63.139999,263900,63.139999
"4","PRLB",2016-01-07,61.830002,62.84,61.740002,62.32,181400,62.32
"5","PRLB",2016-01-08,62.59,62.59,59.619999,60.650002,291400,60.650002
"6","PRLB",2016-01-11,60.779999,60.779999,59.23,59.849998,149800,59.849998
"7","PRLB",2016-01-12,60.439999,60.860001,58.25,59.110001,304100,59.110001
"8","PRLB",2016-01-13,59.110001,59.630001,55.549999,56.310001,230700,56.310001
"9","PRLB",2016-01-14,56.639999,57.110001,55.43,56.869999,477000,56.869999
"10","PRLB",2016-01-15,55.32,56.16,54.439999,55.73,251100,55.73
"11","PRLB",2016-01-19,56.139999,56.450001,54.130001,54.48,141300,54.48
"12","PRLB",2016-01-20,53.5,54.650002,52.68,54.130001,309600,54.130001
"13","PRLB",2016-01-21,54.369999,57,54.060001,55.849998,318100,55.849998
"14","PRLB",2016-01-22,56.619999,57.299999,54.849998,55.290001,319000,55.290001
"15","PRLB",2016-01-25,54.93,54.950001,53.700001,53.84,168100,53.84
"16","PRLB",2016-01-26,54.290001,54.900002,53.310001,54.619999,153700,54.619999
"17","PRLB",2016-01-27,54.369999,55.459999,53.869999,54.369999,191800,54.369999
"18","PRLB",2016-01-28,54.490002,54.619999,52,53.34,292500,53.34
"19","PRLB",2016-01-29,53.66,55.549999,53.57,54.990002,275300,54.990002
"20","PRLB",2016-02-01,54.110001,56.099998,53.98,55.529999,206100,55.529999
"21","PRLB",2016-02-02,54.700001,55,52.700001,53.07,357700,53.07
"22","PRLB",2016-02-03,53.400002,53.919998,51.610001,52.860001,344400,52.860001
"23","PRLB",2016-02-04,54.279999,61.59,54.279999,60.02,966700,60.02
"24","PRLB",2016-02-05,59.720001,60.82,57.220001,58.849998,604100,58.849998
"25","PRLB",2016-02-08,58,58.68,57.220001,57.880001,434400,57.880001
"26","PRLB",2016-02-09,57.09,58.860001,57,57.669998,355600,57.669998
"27","PRLB",2016-02-10,57.880001,58.720001,56.919998,57.290001,247400,57.290001
"28","PRLB",2016-02-11,56.669998,58.549999,55.860001,58.009998,261600,58.009998
"29","PRLB",2016-02-12,58.34,59.669998,57.240002,59,224400,59
"30","PRLB",2016-02-16,59.41,60.869999,59.349998,60.700001,299100,60.700001
"31","PRLB",2016-02-17,60.990002,64.220001,60.990002,63.560001,414500,63.560001
"32","PRLB",2016-02-18,63.630001,64.410004,62.5,63.66,402700,63.66
"33","PRLB",2016-02-19,63.259998,65.220001,62.470001,64.889999,441900,64.889999
"34","PRLB",2016-02-22,65.379997,66.309998,63.970001,64.629997,290300,64.629997
"35","PRLB",2016-02-23,64.300003,65.099998,63.330002,63.700001,232300,63.700001
"36","PRLB",2016-02-24,62.650002,63.490002,62.279999,63.290001,226300,63.290001
"37","PRLB",2016-02-25,63.34,64.300003,62.189999,63.599998,168800,63.599998
"38","PRLB",2016-02-26,64.059998,65.82,63.93,65.120003,176800,65.120003
"39","PRLB",2016-02-29,65.199997,65.720001,64.199997,65.07,160200,65.07
"40","PRLB",2016-03-01,65.529999,67.879997,64.75,67.309998,309900,67.309998
"41","PRLB",2016-03-02,67.050003,67.910004,66.269997,67.889999,109800,67.889999
"42","PRLB",2016-03-03,67.959999,68.449997,67.120003,68.360001,153900,68.360001
"43","PRLB",2016-03-04,71.300003,74.029999,71.120003,74,4045400,74
"44","PRLB",2016-03-07,73.25,74.989998,71.830002,74.870003,622200,74.870003
"45","PRLB",2016-03-08,74.169998,74.790001,73.5,74.300003,340500,74.300003
"46","PRLB",2016-03-09,74.629997,74.839996,73.360001,74.169998,226600,74.169998
"47","PRLB",2016-03-10,73.989998,74.43,72.809998,73.349998,194300,73.349998
"48","PRLB",2016-03-11,73.839996,74.25,72.779999,73.690002,323900,73.690002
"49","PRLB",2016-03-14,73.370003,75.279999,73.110001,74.769997,313300,74.769997
"50","PRLB",2016-03-15,74.169998,74.169998,71.709999,73.589996,297200,73.589996
"51","PRLB",2016-03-16,73.239998,74.160004,72.760002,73.769997,150100,73.769997
"52","PRLB",2016-03-17,73.989998,76.459999,72.809998,75.660004,231700,75.660004
