"","symbol","date","open","high","low","close","volume","adjusted"
"1","PROF",2019-10-29,9.8,10.1,9.674,9.707,7500,9.707
"2","PROF",2019-10-30,9.98,9.98,9.351,9.584,13400,9.584
"3","PROF",2019-10-31,9.577,9.68,9.538,9.58,9700,9.58
"4","PROF",2019-11-01,9.86,9.97,9.456,9.555,13200,9.555
"5","PROF",2019-11-04,9.71,9.72,9.48,9.51,6100,9.51
"6","PROF",2019-11-05,9.56,9.97,9.37,9.6,3300,9.6
"7","PROF",2019-11-06,9.507,9.56,9.5,9.56,2100,9.56
"8","PROF",2019-11-07,9.25,9.624,9.25,9.33,5500,9.33
"9","PROF",2019-11-08,9.282,9.68,9.08,9.39,5000,9.39
"10","PROF",2019-11-11,9.07,9.1,8.8,8.81,8700,8.81
"11","PROF",2019-11-12,9.078,9.078,8.69,8.727,9200,8.727
"12","PROF",2019-11-13,8.7,8.814,8.565,8.636,5900,8.636
"13","PROF",2019-11-14,8.657,8.67,8.511,8.57,3700,8.57
"14","PROF",2019-11-15,8.675,8.822,8.673,8.7,5800,8.7
"15","PROF",2019-11-18,8.278,8.562,8.278,8.5,3000,8.5
"16","PROF",2019-11-19,8.4,8.615,8,8.29,10600,8.29
"17","PROF",2019-11-20,8.32,8.34,8.3,8.331,1900,8.331
"18","PROF",2019-11-21,8.18,8.4,8.115,8.34,4700,8.34
"19","PROF",2019-11-22,8.3,8.475,8.241,8.27,14700,8.27
"20","PROF",2019-11-25,8.3,8.51,8.18,8.356,15300,8.356
"21","PROF",2019-11-26,8.31,8.31,7.97,7.97,6700,7.97
"22","PROF",2019-11-27,7.93,7.93,7.6,7.8,10300,7.8
"23","PROF",2019-11-29,7.813,7.85,7.813,7.85,500,7.85
"24","PROF",2019-12-02,8.18,8.18,7.66,7.75,7300,7.75
"25","PROF",2019-12-03,7.72,8,7.66,7.805,14600,7.805
"26","PROF",2019-12-04,8.075,8.119,7.9,8.05,10600,8.05
"27","PROF",2019-12-05,8.27,8.455,8.12,8.35,6600,8.35
"28","PROF",2019-12-06,8.61,8.771,8.48,8.48,9700,8.48
"29","PROF",2019-12-09,8.53,9.14,8.48,9.128,5800,9.128
"30","PROF",2019-12-10,9.16,9.425,9.065,9.4,6500,9.4
"31","PROF",2019-12-11,9.323,9.66,9.2,9.66,9800,9.66
"32","PROF",2019-12-12,9.75,9.77,9.46,9.46,8100,9.46
"33","PROF",2019-12-13,9.564,9.608,9.56,9.56,3300,9.56
"34","PROF",2019-12-16,9.72,9.84,9.59,9.76,13100,9.76
"35","PROF",2019-12-17,10.068,10.068,9.19,9.9,3300,9.9
"36","PROF",2019-12-18,10.1,10.4,9.984,10,71000,10
"37","PROF",2019-12-19,9.946,10.251,9.877,9.95,18300,9.95
"38","PROF",2019-12-20,10.41,10.41,9.82,9.87,43700,9.87
"39","PROF",2019-12-23,10.19,10.6,10.12,10.15,58300,10.15
"40","PROF",2019-12-24,10.33,10.588,10.11,10.588,4200,10.588
"41","PROF",2019-12-26,11.46,12.49,11.46,11.95,14100,11.95
"42","PROF",2019-12-27,12.1,12.1,10.67,10.67,41200,10.67
"43","PROF",2019-12-30,10.737,10.997,10.65,10.963,7300,10.963
"44","PROF",2019-12-31,10.91,11.55,10.91,10.95,9300,10.95
"45","PROF",2020-01-02,11.379,11.379,10.59,10.59,9100,10.59
"46","PROF",2020-01-03,10.45,10.59,10.3,10.3,3600,10.3
"47","PROF",2020-01-06,10.26,10.46,10.13,10.19,16700,10.19
"48","PROF",2020-01-07,10.25,10.295,9.9,10.079,21600,10.079
"49","PROF",2020-01-08,10.24,10.25,9.91,10,10100,10
"50","PROF",2020-01-09,9.881,10.038,9.775,9.9,56900,9.9
"51","PROF",2020-01-10,11.5,12.165,10.87,11.25,50200,11.25
