"","symbol","date","open","high","low","close","volume","adjusted"
"1","PRO",2016-01-04,22.540001,22.639999,21.51,22.200001,302300,22.200001
"2","PRO",2016-01-05,22.190001,22.25,21.85,21.969999,101000,21.969999
"3","PRO",2016-01-06,21.700001,21.709999,20.950001,21.34,165600,21.34
"4","PRO",2016-01-07,20.92,21.09,20.4,20.41,153800,20.41
"5","PRO",2016-01-08,20.440001,20.83,19.639999,19.67,218700,19.67
"6","PRO",2016-01-11,19.629999,19.91,19.24,19.66,160500,19.66
"7","PRO",2016-01-12,19.92,20.209999,19.18,19.6,185100,19.6
"8","PRO",2016-01-13,19.6,20,18.889999,18.99,185000,18.99
"9","PRO",2016-01-14,19.24,19.6,18.889999,19.280001,211000,19.280001
"10","PRO",2016-01-15,16.530001,16.530001,14.8,15.39,1321000,15.39
"11","PRO",2016-01-19,15.46,15.7,12.96,13.55,894300,13.55
"12","PRO",2016-01-20,13.41,13.85,12.87,13.64,715400,13.64
"13","PRO",2016-01-21,13.59,13.92,13.32,13.64,470400,13.64
"14","PRO",2016-01-22,13.91,13.99,13.4,13.53,479600,13.53
"15","PRO",2016-01-25,13.42,13.57,13.1,13.41,580000,13.41
"16","PRO",2016-01-26,13.46,13.49,12.88,12.91,261300,12.91
"17","PRO",2016-01-27,12.84,13.05,12.38,12.42,236000,12.42
"18","PRO",2016-01-28,12.5,12.81,11.97,12.05,221100,12.05
"19","PRO",2016-01-29,12.03,12.36,11.64,12.28,385700,12.28
"20","PRO",2016-02-01,12.06,12.83,11.84,12.62,285500,12.62
"21","PRO",2016-02-02,12.4,12.57,11.86,11.89,164500,11.89
"22","PRO",2016-02-03,12,12.09,11.5,11.84,361900,11.84
"23","PRO",2016-02-04,11.83,12,11.58,11.79,419700,11.79
"24","PRO",2016-02-05,11.77,11.77,10.47,10.48,504400,10.48
"25","PRO",2016-02-08,10.28,10.28,9.05,9.28,572400,9.28
"26","PRO",2016-02-09,9.19,9.73,9.01,9.51,424300,9.51
"27","PRO",2016-02-10,10.08,11.5,9.19,9.39,585300,9.39
"28","PRO",2016-02-11,9.34,9.95,9.13,9.34,528000,9.34
"29","PRO",2016-02-12,9.48,10.5,9.36,10.14,517200,10.14
"30","PRO",2016-02-16,10.38,10.71,10.06,10.66,290100,10.66
"31","PRO",2016-02-17,10.89,11.61,10.83,11.5,382900,11.5
"32","PRO",2016-02-18,11.5,11.62,10.96,11.03,238100,11.03
"33","PRO",2016-02-19,11.05,11.28,11.01,11.1,223000,11.1
"34","PRO",2016-02-22,11.18,11.23,10.74,10.77,227600,10.77
"35","PRO",2016-02-23,10.75,11.07,10.67,10.69,158900,10.69
"36","PRO",2016-02-24,10.55,10.68,10.34,10.57,746300,10.57
"37","PRO",2016-02-25,10.58,10.87,10.44,10.71,259100,10.71
"38","PRO",2016-02-26,10.73,11.11,10.5,11,506200,11
"39","PRO",2016-02-29,11.02,11.35,10.94,10.99,377300,10.99
"40","PRO",2016-03-01,11,11.33,10.98,11.27,477900,11.27
"41","PRO",2016-03-02,11.31,11.86,11.15,11.83,557100,11.83
"42","PRO",2016-03-03,11.81,12.19,11.74,12.17,212200,12.17
"43","PRO",2016-03-04,12.17,12.83,12.13,12.5,268500,12.5
"44","PRO",2016-03-07,12.4,12.68,12.23,12.46,228300,12.46
"45","PRO",2016-03-08,12.36,12.36,11.81,11.89,213400,11.89
"46","PRO",2016-03-09,11.91,12.24,11.84,11.86,292300,11.86
"47","PRO",2016-03-10,11.96,12.08,11.44,11.6,286400,11.6
"48","PRO",2016-03-11,11.68,11.87,11.56,11.69,178500,11.69
"49","PRO",2016-03-14,11.67,11.77,11.49,11.57,170400,11.57
"50","PRO",2016-03-15,11.51,11.55,10.64,11.01,321700,11.01
"51","PRO",2016-03-16,10.94,11.3,10.94,11.02,324600,11.02
"52","PRO",2016-03-17,10.98,11.34,10.94,11.21,200700,11.21
"53","PRO",2016-03-18,11.26,11.42,11.17,11.33,268200,11.33
"54","PRO",2016-03-21,11.35,11.49,11.17,11.34,167300,11.34
"55","PRO",2016-03-22,11.22,11.34,11.15,11.23,98000,11.23
"56","PRO",2016-03-23,11.17,11.33,11.03,11.15,263500,11.15
"57","PRO",2016-03-24,11.04,11.42,11.02,11.4,164800,11.4
"58","PRO",2016-03-28,11.41,11.47,10.98,11.09,130200,11.09
"59","PRO",2016-03-29,11.1,11.75,11.04,11.64,111300,11.64
"60","PRO",2016-03-30,11.73,12.14,11.56,11.62,170900,11.62
"61","PRO",2016-03-31,11.66,11.89,11.43,11.79,160000,11.79
"62","PRO",2016-04-01,11.67,11.81,11.31,11.73,212600,11.73
"63","PRO",2016-04-04,11.77,11.83,11.54,11.81,149700,11.81
"64","PRO",2016-04-05,11.68,11.81,11.5,11.51,126700,11.51
"65","PRO",2016-04-06,11.54,11.7,11.3,11.65,76500,11.65
"66","PRO",2016-04-07,11.54,11.54,10.97,11.04,97100,11.04
"67","PRO",2016-04-08,11.2,11.32,10.8,10.94,250500,10.94
"68","PRO",2016-04-11,11.01,11.18,10.76,10.78,95000,10.78
"69","PRO",2016-04-12,10.75,10.89,10.61,10.74,192200,10.74
"70","PRO",2016-04-13,10.78,11.7,10.71,11.67,159600,11.67
"71","PRO",2016-04-14,11.59,11.59,10.97,11.01,120100,11.01
"72","PRO",2016-04-15,10.98,11.37,10.9,11.19,165000,11.19
"73","PRO",2016-04-18,11.07,11.33,10.91,11.24,108400,11.24
"74","PRO",2016-04-19,11.19,11.38,10.98,11.01,106600,11.01
"75","PRO",2016-04-20,11.03,11.12,10.9,10.92,172300,10.92
"76","PRO",2016-04-21,10.95,11.32,10.88,10.99,135400,10.99
"77","PRO",2016-04-22,10.87,11.45,10.87,11.42,141200,11.42
"78","PRO",2016-04-25,11.35,11.46,11.23,11.32,152600,11.32
"79","PRO",2016-04-26,11.32,11.44,11.18,11.35,62200,11.35
"80","PRO",2016-04-27,11.37,11.7,11.35,11.62,119800,11.62
"81","PRO",2016-04-28,11.55,11.94,11.5,11.87,328000,11.87
"82","PRO",2016-04-29,11.82,11.89,11.49,11.76,234500,11.76
"83","PRO",2016-05-02,11.87,11.87,11.58,11.84,230300,11.84
"84","PRO",2016-05-03,11.71,11.9,11.19,11.55,152300,11.55
"85","PRO",2016-05-04,12.25,13.89,11.79,13,616700,13
"86","PRO",2016-05-05,13,13.1,12.31,12.49,401600,12.49
"87","PRO",2016-05-06,12.26,12.46,11.9,11.99,216200,11.99
"88","PRO",2016-05-09,11.95,12.02,11.73,11.74,132600,11.74
"89","PRO",2016-05-10,11.83,12.25,11.73,12.11,130500,12.11
"90","PRO",2016-05-11,12.12,12.41,12,12.12,146800,12.12
"91","PRO",2016-05-12,12.16,12.25,11.65,11.7,145200,11.7
"92","PRO",2016-05-13,11.7,11.89,11.6,11.67,71200,11.67
"93","PRO",2016-05-16,11.72,11.88,11.48,11.56,177400,11.56
"94","PRO",2016-05-17,11.51,11.74,11.22,11.25,126000,11.25
"95","PRO",2016-05-18,11.18,11.6,11.15,11.39,106900,11.39
"96","PRO",2016-05-19,11.34,11.41,10.9,10.99,111500,10.99
"97","PRO",2016-05-20,11.05,12.65,10.99,12.5,328800,12.5
"98","PRO",2016-05-23,12.5,12.59,12.32,12.37,118100,12.37
"99","PRO",2016-05-24,12.42,14.08,12.42,13.99,376700,13.99
"100","PRO",2016-05-25,14.1,14.31,13.78,14.17,153100,14.17
"101","PRO",2016-05-26,14.2,14.2,13.76,14.07,168500,14.07
"102","PRO",2016-05-27,13.93,14.29,13.81,14,141400,14
"103","PRO",2016-05-31,14,14.17,13.8,13.99,154400,13.99
"104","PRO",2016-06-01,13.98,14.34,13.92,14.21,254500,14.21
"105","PRO",2016-06-02,14.21,15.03,14.1,14.97,364800,14.97
"106","PRO",2016-06-03,15.12,15.29,14.69,15.14,250700,15.14
"107","PRO",2016-06-06,15.24,16.1,15.14,16.02,276600,16.02
"108","PRO",2016-06-07,16,16.32,15.8,16.18,213700,16.18
"109","PRO",2016-06-08,16.25,16.49,16.120001,16.360001,408500,16.360001
"110","PRO",2016-06-09,16.18,16.639999,16.01,16.530001,251400,16.530001
"111","PRO",2016-06-10,16.299999,16.4,15.81,16.27,242500,16.27
"112","PRO",2016-06-13,16.25,16.639999,16.040001,16.110001,182000,16.110001
"113","PRO",2016-06-14,15.94,16.34,15.85,16.030001,150600,16.030001
"114","PRO",2016-06-15,16.07,16.26,16.049999,16.07,108600,16.07
"115","PRO",2016-06-16,15.92,16.01,15.53,15.88,101500,15.88
"116","PRO",2016-06-17,16,16.27,15.87,16.18,246700,16.18
"117","PRO",2016-06-20,16.24,16.969999,16.24,16.690001,291200,16.690001
"118","PRO",2016-06-21,16.700001,16.99,16.52,16.98,168200,16.98
"119","PRO",2016-06-22,17.040001,17.049999,16.629999,16.66,172000,16.66
"120","PRO",2016-06-23,16.870001,17.549999,16.709999,17.530001,155400,17.530001
"121","PRO",2016-06-24,16.65,16.65,15.93,16.190001,463600,16.190001
"122","PRO",2016-06-27,15.94,16.040001,15.49,15.73,300500,15.73
"123","PRO",2016-06-28,16.09,16.34,15.67,15.77,334400,15.77
