"","symbol","date","open","high","low","close","volume","adjusted"
"1","PSA",2016-01-04,243.919998,246.479996,242.149994,244.369995,1220900,198.488754
"2","PSA",2016-01-05,244.800003,252.270004,244.360001,251.270004,776000,204.093277
"3","PSA",2016-01-06,250,253.800003,249.639999,251.669998,589800,204.418198
"4","PSA",2016-01-07,248.479996,251.880005,248.389999,249.050003,633700,202.29007
"5","PSA",2016-01-08,250.199997,251.389999,246.800003,247.229996,600600,200.811798
"6","PSA",2016-01-11,248.199997,251.470001,248.089996,249.669998,818100,202.793686
"7","PSA",2016-01-12,250.119995,251.270004,248,250.169998,856000,203.199783
"8","PSA",2016-01-13,250.490005,254.660004,248.910004,249.350006,849400,202.533752
"9","PSA",2016-01-14,249.770004,251.660004,246.429993,249.729996,1070400,202.842422
"10","PSA",2016-01-15,247.740005,253.380005,246.300003,248.550003,1273900,201.883957
"11","PSA",2016-01-19,250.119995,252.779999,247.820007,250.440002,901600,203.419098
"12","PSA",2016-01-20,248.740005,249.910004,239.509995,240.289993,1336500,195.174774
"13","PSA",2016-01-21,241.210007,244.669998,240.130005,241.059998,748700,195.800186
"14","PSA",2016-01-22,242.789993,249.220001,242.600006,247.729996,778500,201.217896
"15","PSA",2016-01-25,247.979996,251.490005,246.380005,247.509995,918000,201.039215
"16","PSA",2016-01-26,246.850006,253.539993,246.380005,253.470001,983600,205.880219
"17","PSA",2016-01-27,253.020004,253.919998,246.970001,248.179993,978900,201.583389
"18","PSA",2016-01-28,248.910004,252.529999,247.479996,249.059998,736700,202.298218
"19","PSA",2016-01-29,251.789993,255.970001,249.070007,253.559998,978900,205.953323
"20","PSA",2016-02-01,253.139999,256.459991,251.630005,254.080002,675800,206.375671
"21","PSA",2016-02-02,254.039993,256.119995,251.850006,255.220001,774600,207.301666
"22","PSA",2016-02-03,256.23999,257.980011,250.139999,253.110001,708600,205.587845
"23","PSA",2016-02-04,252.710007,252.839996,245.600006,246.220001,930500,199.991455
"24","PSA",2016-02-05,245.75,245.75,236.729996,237.130005,1188600,192.608109
"25","PSA",2016-02-08,235,235.960007,224.710007,228.979996,1418200,185.988281
"26","PSA",2016-02-09,228.119995,235.330002,225.949997,232.919998,1061000,189.188507
"27","PSA",2016-02-10,235.320007,238.910004,234.619995,235.869995,856000,191.584656
"28","PSA",2016-02-11,234.720001,236.919998,230.940002,234.830002,1388100,190.739899
"29","PSA",2016-02-12,237.169998,237.509995,229.839996,233.610001,1040700,189.749008
"30","PSA",2016-02-16,236.220001,239.369995,234.059998,238.179993,838400,193.460953
"31","PSA",2016-02-17,242.960007,249.449997,242.350006,246.110001,1093900,199.902084
"32","PSA",2016-02-18,245.5,247.789993,244.589996,246.720001,528300,200.397537
"33","PSA",2016-02-19,246.289993,254.320007,244.059998,251.970001,1084800,204.661819
"34","PSA",2016-02-22,253.330002,254.949997,251.720001,253.639999,520100,206.01828
"35","PSA",2016-02-23,253.330002,256.790009,253.110001,253.720001,521200,206.083298
"36","PSA",2016-02-24,252.460007,254.440002,247.850006,249.919998,589800,202.996735
"37","PSA",2016-02-25,251.25,255.25,250.259995,255.100006,756000,207.204193
