"","symbol","date","open","high","low","close","volume","adjusted"
"1","PVH",2016-01-04,72.720001,74.209999,72.099998,73.489998,1353200,72.963806
"2","PVH",2016-01-05,73.949997,74.830002,73.099998,74.5,1400800,73.966583
"3","PVH",2016-01-06,73.32,74.370003,71.68,72.790001,1238800,72.268806
"4","PVH",2016-01-07,71.68,73.230003,70.980003,71.440002,1569300,70.928482
"5","PVH",2016-01-08,71.910004,72.110001,70.209999,70.339996,1219400,69.836357
"6","PVH",2016-01-11,70.480003,71.459999,69.019997,69.769997,988900,69.270424
"7","PVH",2016-01-12,70.980003,72.400002,69.18,70.07,970800,69.568298
"8","PVH",2016-01-13,70.559998,71.68,69.860001,69.949997,1324900,69.449165
"9","PVH",2016-01-14,69.93,69.93,67.660004,68.779999,915900,68.287514
"10","PVH",2016-01-15,66.959999,69.18,66.410004,68.349998,2067100,67.860603
"11","PVH",2016-01-19,68.629997,69.139999,65.919998,66.410004,2682200,65.934486
"12","PVH",2016-01-20,65.5,66.93,64.160004,66.440002,1853200,65.964279
"13","PVH",2016-01-21,66.519997,69.82,65.870003,68.68,1060900,68.188232
"14","PVH",2016-01-22,69.75,70.459999,68.669998,69.830002,728500,69.330017
"15","PVH",2016-01-25,69.510002,69.730003,67.260002,67.580002,944100,67.09613
"16","PVH",2016-01-26,68.190002,70.540001,67.919998,69.57,1007700,69.071869
"17","PVH",2016-01-27,69.199997,71.190002,68.849998,69.449997,738800,68.952736
"18","PVH",2016-01-28,70.480003,71.019997,68.43,69.300003,907500,68.80378
"19","PVH",2016-01-29,69.660004,73.419998,69.269997,73.379997,1173400,72.854599
"20","PVH",2016-02-01,72.370003,74.160004,71.32,73.169998,1123100,72.646088
"21","PVH",2016-02-02,79.089996,79.110001,74.68,75.150002,3783500,74.611916
"22","PVH",2016-02-03,76.059998,79.68,75.690002,79.260002,2492200,78.69249
"23","PVH",2016-02-04,78.169998,78.169998,76.150002,77.419998,2115600,76.865677
"24","PVH",2016-02-05,76.769997,77.610001,74.639999,74.919998,1754500,74.383575
"25","PVH",2016-02-08,74.099998,74.099998,70.389999,71.879997,1465900,71.365326
"26","PVH",2016-02-09,71.160004,72.139999,68.959999,71.089996,1521100,70.580994
"27","PVH",2016-02-10,71.739998,72.480003,71.379997,71.580002,949400,71.067482
"28","PVH",2016-02-11,70.860001,71.5,69.330002,70.459999,847900,69.955482
"29","PVH",2016-02-12,71.470001,73.559998,70.57,73.349998,857400,72.824806
"30","PVH",2016-02-16,74.32,74.480003,72.739998,73.919998,1035500,73.390724
"31","PVH",2016-02-17,75.099998,75.970001,73.510002,75.919998,1280600,75.376411
"32","PVH",2016-02-18,75.510002,77.019997,74.43,76.379997,1168000,75.833099
"33","PVH",2016-02-19,74.620003,75.160004,71.879997,74.989998,1284000,74.453049
"34","PVH",2016-02-22,75.449997,77.050003,75.209999,76.379997,800600,75.833099
"35","PVH",2016-02-23,76.75,79.260002,75.580002,77.730003,1292200,77.211853
"36","PVH",2016-02-24,76.870003,77.25,75.389999,76.849998,1381800,76.337723
"37","PVH",2016-02-25,77.050003,80.279999,76.790001,80.25,1340200,79.715065
"38","PVH",2016-02-26,80.940002,80.940002,78.589996,79.690002,1065300,79.158791
"39","PVH",2016-02-29,79.830002,80.949997,78.980003,79.150002,708900,78.622375
"40","PVH",2016-03-01,80.089996,82.839996,79.099998,82.510002,1217900,81.960007
"41","PVH",2016-03-02,81.779999,84.510002,81.519997,84.349998,1223900,83.78772
"42","PVH",2016-03-03,83.949997,85.489998,83.910004,85.449997,899900,84.880379
"43","PVH",2016-03-04,85.459999,87.599998,85.150002,85.949997,1007800,85.377052
