"","symbol","date","open","high","low","close","volume","adjusted"
"1","QRTEA",2016-01-04,26.83,26.950001,26.24,26.809999,2396600,15.212855
"2","QRTEA",2016-01-05,26.799999,26.969999,26.33,26.620001,2810300,15.105044
"3","QRTEA",2016-01-06,26.190001,26.59,25.709999,26.120001,2215300,14.821327
"4","QRTEA",2016-01-07,25.540001,25.98,25.290001,25.389999,2443800,14.407102
"5","QRTEA",2016-01-08,25.469999,25.77,24.99,25.02,3539500,14.197151
"6","QRTEA",2016-01-11,25.030001,25.620001,24.75,25.5,2475200,14.469519
"7","QRTEA",2016-01-12,25.67,25.959999,25.4,25.879999,1961900,14.685144
"8","QRTEA",2016-01-13,25.879999,26.059999,25.200001,25.309999,3102400,14.361707
"9","QRTEA",2016-01-14,25.299999,25.84,25.040001,25.610001,2170100,14.531937
"10","QRTEA",2016-01-15,24.9,25.35,24.690001,24.99,2339600,14.180129
"11","QRTEA",2016-01-19,25.16,25.370001,24.860001,25.18,1977700,14.287941
"12","QRTEA",2016-01-20,24.85,25.1,24.139999,24.799999,2552100,14.072316
"13","QRTEA",2016-01-21,24.76,24.969999,24.360001,24.48,2777300,13.890738
"14","QRTEA",2016-01-22,25.040001,25.35,24.870001,25.27,3020300,14.339011
"15","QRTEA",2016-01-25,25.23,25.23,24.65,24.709999,2922700,14.021247
"16","QRTEA",2016-01-26,24.709999,25.450001,24.43,25.280001,1774400,14.344686
"17","QRTEA",2016-01-27,25.129999,25.42,24.459999,24.85,1554800,14.100688
"18","QRTEA",2016-01-28,25.139999,25.200001,24.68,25.17,1649700,14.282267
"19","QRTEA",2016-01-29,25.35,26.059999,25.16,26.059999,2900300,14.78728
"20","QRTEA",2016-02-01,25.799999,26.049999,25.469999,25.889999,2176100,14.690817
"21","QRTEA",2016-02-02,25.59,25.9,25.27,25.42,1848000,14.424124
"22","QRTEA",2016-02-03,25.5,25.530001,24.82,25.26,1976500,14.333334
"23","QRTEA",2016-02-04,25,25.42,24.77,25.219999,1815900,14.310637
"24","QRTEA",2016-02-05,25.02,25.08,23.950001,23.99,2439500,13.612696
"25","QRTEA",2016-02-08,23.59,23.59,22.809999,23.110001,2671400,13.113358
"26","QRTEA",2016-02-09,22.870001,23.26,22.610001,22.68,2538300,12.86936
"27","QRTEA",2016-02-10,22.799999,23.280001,22.51,22.75,3353700,12.90908
"28","QRTEA",2016-02-11,22.68,23.33,22.540001,23.26,3076600,13.198471
"29","QRTEA",2016-02-12,23.360001,23.719999,22.75,23.17,3159400,13.147403
"30","QRTEA",2016-02-16,23.59,24.26,23.42,24.24,2846800,13.754555
"31","QRTEA",2016-02-17,24.549999,25.15,24.49,24.9,2246200,14.129061
"32","QRTEA",2016-02-18,24.940001,25.23,24.549999,24.690001,1809800,14.009898
"33","QRTEA",2016-02-19,24.49,24.74,23.17,24.450001,1994700,13.873715
"34","QRTEA",2016-02-22,24.84,25.059999,24.65,25.01,1794500,14.191478
"35","QRTEA",2016-02-23,24.99,25.190001,24.629999,25.1,2222300,14.242546
"36","QRTEA",2016-02-24,24.9,26.110001,24.870001,25.950001,2909600,14.724864
"37","QRTEA",2016-02-25,26.16,26.379999,25.690001,26.25,2652400,14.895094
"38","QRTEA",2016-02-26,26.43,26.440001,25.42,25.700001,3022700,14.583005
"39","QRTEA",2016-02-29,25.639999,25.73,25.32,25.379999,3213700,14.401426
"40","QRTEA",2016-03-01,25.59,26.1,25.379999,26.08,2188300,14.798632
"41","QRTEA",2016-03-02,25.93,26.02,25.25,25.83,2121200,14.656772
"42","QRTEA",2016-03-03,25.65,26.639999,25.559999,26.450001,2694300,15.008579
"43","QRTEA",2016-03-04,26.610001,26.610001,26.200001,26.27,2085800,14.906442
"44","QRTEA",2016-03-07,25.99,26.18,25.620001,25.940001,2805300,14.71919
"45","QRTEA",2016-03-08,25.85,25.940001,25.360001,25.389999,3416100,14.407102
"46","QRTEA",2016-03-09,25.43,25.559999,24.92,25.1,2142100,14.242546
"47","QRTEA",2016-03-10,25.280001,25.440001,24.77,25.09,1138500,14.236872
"48","QRTEA",2016-03-11,25.26,25.549999,25.09,25.35,1873400,14.384404
"49","QRTEA",2016-03-14,25,25.440001,24.860001,25.23,1147600,14.316312
"50","QRTEA",2016-03-15,25.08,25.27,24.84,24.879999,1598900,14.117711
"51","QRTEA",2016-03-16,24.879999,25.17,24.860001,25.120001,1279400,14.253894
"52","QRTEA",2016-03-17,24.950001,25.280001,24.780001,24.99,1423900,14.180129
"53","QRTEA",2016-03-18,25.040001,25.370001,24.85,25.07,1812400,14.225524
"54","QRTEA",2016-03-21,24.950001,25.08,24.66,24.809999,1421800,14.077991
"55","QRTEA",2016-03-22,24.549999,24.9,24.41,24.75,1997300,14.043945
"56","QRTEA",2016-03-23,24.719999,24.74,24.360001,24.41,1509100,13.851018
"57","QRTEA",2016-03-24,24.440001,24.860001,24.379999,24.74,1479300,14.038271
