"","symbol","date","open","high","low","close","volume","adjusted"
"1","RBCAA",2016-01-04,26.049999,26.280001,25.379999,25.639999,29600,21.904171
"2","RBCAA",2016-01-05,25.719999,25.889999,25.51,25.719999,7100,21.972517
"3","RBCAA",2016-01-06,25.459999,25.809999,25.389999,25.690001,11300,21.946888
"4","RBCAA",2016-01-07,25.5,25.5,25.02,25.049999,15900,21.400137
"5","RBCAA",2016-01-08,25.190001,25.52,25,25,15900,21.357424
"6","RBCAA",2016-01-11,25.040001,25.059999,24.799999,24.860001,11600,21.237825
"7","RBCAA",2016-01-12,25.1,25.1,24.780001,24.91,24700,21.280537
"8","RBCAA",2016-01-13,24.969999,24.98,24.110001,24.280001,21700,20.742329
"9","RBCAA",2016-01-14,24.209999,24.4,23.860001,24.26,35700,20.72525
"10","RBCAA",2016-01-15,23.57,24.41,23.530001,23.75,20700,20.289551
"11","RBCAA",2016-01-19,24.08,24.08,23.459999,23.709999,39800,20.255379
"12","RBCAA",2016-01-20,23.440001,23.9,23,23.66,28000,20.212667
"13","RBCAA",2016-01-21,23.65,23.73,23.139999,23.530001,25200,20.101608
"14","RBCAA",2016-01-22,23.700001,23.76,23.5,23.76,19600,20.298096
"15","RBCAA",2016-01-25,23.73,23.889999,23.48,23.75,16600,20.289551
"16","RBCAA",2016-01-26,23.93,25.299999,23.93,25.200001,25800,21.528282
"17","RBCAA",2016-01-27,25.200001,25.43,24.93,25.040001,23800,21.391598
"18","RBCAA",2016-01-28,25.200001,25.5,25.15,25.32,25300,21.6308
"19","RBCAA",2016-01-29,25.440001,26.709999,25.440001,26.709999,36800,22.818274
"20","RBCAA",2016-02-01,26.51,26.68,26.32,26.530001,24900,22.664497
"21","RBCAA",2016-02-02,26.27,26.530001,26.08,26.469999,21000,22.613241
"22","RBCAA",2016-02-03,26.440001,26.5,26.17,26.41,18400,22.561983
"23","RBCAA",2016-02-04,26.41,26.540001,25.940001,26.26,12200,22.433842
"24","RBCAA",2016-02-05,26.25,26.4,25.66,25.719999,27300,21.972517
"25","RBCAA",2016-02-08,25.629999,25.92,25.440001,25.85,20200,22.08357
"26","RBCAA",2016-02-09,25.66,25.780001,25.42,25.65,26100,21.912716
"27","RBCAA",2016-02-10,25.879999,26,25.469999,25.59,15500,21.86146
"28","RBCAA",2016-02-11,25.16,25.530001,24.66,25.23,12400,21.553913
"29","RBCAA",2016-02-12,25.57,25.9,25.18,25.73,12000,21.981058
"30","RBCAA",2016-02-16,25.75,26.15,25.639999,25.790001,33100,22.032322
"31","RBCAA",2016-02-17,25.940001,26.18,25.42,25.6,12600,21.870003
"32","RBCAA",2016-02-18,25.58,25.93,25.02,25.120001,8300,21.45994
"33","RBCAA",2016-02-19,25.09,25.41,24.76,25.08,22500,21.425768
"34","RBCAA",2016-02-22,25.17,25.73,24.9,25.49,23700,21.776028
"35","RBCAA",2016-02-23,25.219999,25.5,25.049999,25.4,38800,21.699144
"36","RBCAA",2016-02-24,25.23,25.68,25.190001,25.639999,10500,21.904171
"37","RBCAA",2016-02-25,25.65,25.75,25.49,25.74,4700,21.989605
"38","RBCAA",2016-02-26,25.799999,26.120001,25.540001,25.690001,20100,21.946888
"39","RBCAA",2016-02-29,25.58,25.799999,25.559999,25.610001,40800,21.878544
"40","RBCAA",2016-03-01,25.709999,26,25.709999,26,25900,22.211721
"41","RBCAA",2016-03-02,26,26.059999,25.92,26.059999,30300,22.262978
"42","RBCAA",2016-03-03,26.02,26.07,25.91,25.98,39800,22.194637
"43","RBCAA",2016-03-04,25.940001,26.07,25.389999,25.540001,34300,21.818745
"44","RBCAA",2016-03-07,25.450001,25.92,25.450001,25.549999,26300,21.827282
"45","RBCAA",2016-03-08,25.469999,25.629999,25.27,25.32,19800,21.6308
"46","RBCAA",2016-03-09,25.389999,25.450001,24.889999,25.389999,24600,21.690594
"47","RBCAA",2016-03-10,25.370001,25.440001,24.92,25.209999,19900,21.536821
"48","RBCAA",2016-03-11,25.309999,25.549999,25.129999,25.549999,38400,21.827282
"49","RBCAA",2016-03-14,25.540001,25.540001,25.120001,25.27,20400,21.588081
"50","RBCAA",2016-03-15,25.18,25.549999,25.16,25.4,17100,21.699144
"51","RBCAA",2016-03-16,25.15,25.469999,24.74,24.91,21600,21.447729
"52","RBCAA",2016-03-17,24.75,25.35,24.360001,25.27,17900,21.757692
"53","RBCAA",2016-03-18,25.370001,25.6,24.790001,25.290001,85300,21.77491
"54","RBCAA",2016-03-21,25.25,25.309999,24.73,24.790001,44900,21.34441
"55","RBCAA",2016-03-22,24.77,24.77,24.6,24.73,21600,21.292744
"56","RBCAA",2016-03-23,24.700001,25.25,24.51,25.139999,26600,21.645758
"57","RBCAA",2016-03-24,25.110001,25.49,24.959999,25.450001,13300,21.91267
"58","RBCAA",2016-03-28,25.450001,25.5,25.290001,25.450001,19700,21.91267
"59","RBCAA",2016-03-29,25.33,25.870001,24.99,25.809999,24300,22.222635
"60","RBCAA",2016-03-30,25.950001,26.48,25.700001,26.24,30800,22.592869
"61","RBCAA",2016-03-31,26.25,26.25,25.75,25.83,24900,22.239855
"62","RBCAA",2016-04-01,25.690001,26.16,25.219999,25.959999,14900,22.351789
